neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4598343,0.0,0.49020424,0.0,0.43761027,0.0,0.45347875,0.0,0.45784512,0.0
0.5016584,0.039989334,0.57726365,0.0,0.4505555,0.0,0.43900368,0.0,0.4464299,0.0
0.54389656,0.07991469,0.66279626,0.0,0.4605958,0.0,0.4244762,0.0,0.4351799,0.0
0.58601964,0.119712204,0.7416987,0.0,0.46786755,0.0,0.4099435,0.0,0.42410323,0.0
0.62746185,0.15931821,0.8097961,0.0,0.47267988,0.0,0.3954498,0.0,0.4132072,0.0
0.6676533,0.19866931,0.8648624,0.0,0.4754402,0.0,0.38103452,0.0,0.4024981,0.0
0.70605636,0.23770262,0.90684456,0.0,0.47657177,0.0,0.3667316,0.0,0.39198142,0.0
0.74220085,0.27635565,0.9373059,0.0,0.47645143,0.0,0.3525698,0.0,0.38166186,0.0
0.7757133,0.31456655,0.9585613,0.0,0.475379,0.0,0.33857316,0.0,0.3715433,0.0
0.8063356,0.3522742,0.97296447,0.0,0.473573,0.0,0.3247621,0.0,0.3616289,0.0
0.8339315,0.38941833,0.9825199,0.0,0.47118112,0.0,0.3111543,0.0,0.3519211,0.0
0.8584802,0.42593947,0.9887659,0.0,0.4682954,0.0,0.29776517,0.0,0.3424218,0.0
0.88006157,0.46177918,0.9928073,0.0,0.46496665,0.0,0.28460854,0.0,0.3331322,0.0
0.89883405,0.4968801,0.9954048,0.0,0.46121597,0.0,0.271697,0.0,0.3240529,0.0
0.91501135,0.5311862,0.99706703,0.0,0.45704314,0.0,0.25904235,0.0,0.31518403,0.0
0.92883986,0.5646424,0.9981281,0.0,0.45243227,0.0,0.2466556,0.0,0.30652523,0.0
0.9405793,0.59719545,0.99880457,0.0,0.44735533,0.0,0.2345473,0.0,0.2980756,0.0
0.9504878,0.628793,0.9992357,0.0,0.4417743,0.0,0.22272779,0.0,0.28983393,0.0
0.95881104,0.65938467,0.9995106,0.0,0.43564215,0.0,0.2112072,0.0,0.28179857,0.0
0.96577555,0.68892145,0.99968606,0.0,0.4289032,0.0,0.19999571,0.0,0.27396747,0.0
0.9715851,0.7173561,0.9997982,0.0,0.42149282,0.0,0.18910368,0.0,0.26633838,0.0
0.9764196,0.7446431,0.99987,0.0,0.41333675,0.0,0.17854178,0.0,0.25890863,0.0
0.9804354,0.7707389,0.999916,0.0,0.40435004,0.0,0.16832122,0.0,0.25167534,0.0
0.98376656,0.7956016,0.99994564,0.0,0.39443567,0.0,0.15845397,0.0,0.24463536,0.0
0.9865274,0.8191916,0.9999647,0.0,0.38348284,0.0,0.14895293,0.0,0.23778535,0.0
0.9888142,0.84147096,0.99997705,0.0,0.37136492,0.0,0.13983217,0.0,0.23112176,0.0
0.9907078,0.8624042,0.99998504,0.0,0.357937,0.0,0.13110726,0.0,0.22464085,0.0
0.99227583,0.88195777,0.99999017,0.0,0.34303316,0.0,0.12279555,0.0,0.2183387,0.0
0.99357444,0.90010047,0.99999356,0.0,0.32646337,0.0,0.11491656,0.0,0.21221127,0.0
0.9946503,0.9168031,0.99999577,0.0,0.3080098,0.0,0.107492335,0.0,0.20625433,0.0
0.9955421,0.9320391,0.9999972,0.0,0.28742328,0.0,0.10054792,0.0,0.20046358,0.0
0.9962817,0.94578403,0.99999815,0.0,0.26441935,0.0,0.09411185,0.0,0.19483452,0.0
0.99689543,0.95801586,0.99999875,0.0,0.2386748,0.0,0.08821669,0.0,0.18936256,0.0
0.99740523,0.9687151,0.99999917,0.0,0.20982502,0.0,0.082899615,0.0,0.18404296,0.0
0.997829,0.9778646,0.99999946,0.0,0.17746349,0.0,0.07820291,0.0,0.1788709,0.0
0.9981816,0.98544973,0.99999964,0.0,0.14114478,0.0,0.07417453,0.0,0.17384136,0.0
0.9984752,0.99145836,0.99999976,0.0,0.10039385,0.0,0.070868395,0.0,0.1689492,0.0
0.99871993,0.99588084,0.9999998,0.0,0.054725315,0.0,0.068344414,0.0,0.16418917,0.0
0.99892414,0.99871016,0.9999999,0.0,0.0036776199,0.0,0.06666796,0.0,0.15955581,0.0
0.9990947,0.9999417,0.99999994,0.0,-0.053131852,0.0,0.06590852,0.0,0.15504353,0.0
0.9992373,0.9995736,0.99999994,0.0,-0.11592504,0.0,0.06613704,0.0,0.15064655,0.0
0.9993567,0.9976064,0.99999994,0.0,-0.18465216,0.0,0.067421645,0.0,0.14635901,0.0
0.9994567,0.99404323,1.0,0.0,-0.25885797,0.0,0.06982131,0.0,0.14217494,0.0
0.9995406,0.98888975,1.0,0.0,-0.33754733,0.0,0.07337766,0.0,0.13808835,0.0
0.9996111,0.9821543,1.0,0.0,-0.419095,0.0,0.07810546,0.0,0.13409324,0.0
0.9996703,0.9738476,1.0,0.0,-0.50126195,0.0,0.08398375,0.0,0.13018388,0.0
0.9997202,0.963983,1.0,0.0,-0.58137417,0.0,0.0909499,0.0,0.12635478,0.0
0.99976224,0.9525762,1.0,0.0,-0.656672,0.0,0.0988995,0.0,0.12260096,0.0
0.9997977,0.93964547,1.0,0.0,-0.7247536,0.0,0.10769303,0.0,0.118917935,0.0
0.9998276,0.92521155,1.0,0.0,-0.7839662,0.0,0.11716872,0.0,0.115301855,0.0
0.99985296,0.9092974,1.0,0.0,-0.83360374,0.0,0.12715802,0.0,0.11174948,0.0
0.9998744,0.8919287,1.0,0.0,-0.87386036,0.0,0.13749994,0.0,0.108258165,0.0
0.9998926,0.873133,1.0,0.0,-0.9055981,0.0,0.14805143,0.0,0.10482577,0.0
0.99990803,0.85294056,1.0,0.0,-0.93004745,0.0,0.15869255,0.0,0.10145059,0.0
0.9999211,0.8313835,1.0,0.0,-0.9485431,0.0,0.16932768,0.0,0.09813126,0.0
0.9999322,0.80849636,1.0,0.0,-0.9623435,0.0,0.17988348,0.0,0.09486668,0.0
0.99994177,0.78431594,1.0,0.0,-0.97253746,0.0,0.19030572,0.0,0.09165594,0.0
0.9999499,0.75888073,1.0,0.0,-0.98001385,0.0,0.20055562,0.0,0.08849826,0.0
0.9999568,0.7322315,1.0,0.0,-0.9854708,0.0,0.21060643,0.0,0.085392974,0.0
0.9999627,0.70441085,1.0,0.0,-0.98944134,0.0,0.2204405,0.0,0.08233948,0.0
