fitness,g0,g1
0.671094,0.22305274,0.1587522
0.67103213,0.23291028,-0.64796925
0.67084444,-0.8870889,-0.8807843
0.6710922,-0.66945004,0.19141746
0.6710673,-0.27290213,-0.3417294
0.6711299,0.57045245,-0.92075205
0.67096007,-0.44999456,-0.7877145
0.67111564,-0.68491066,0.9300288
0.67110485,-0.34143484,0.3940134
0.6710863,-0.052885294,-0.94290626
0.6710805,-0.10020077,-0.43557
0.6709133,-0.6835526,-0.87665164
0.67108923,-0.14256585,0.41238475
0.6712885,0.4764154,0.59982693
0.67113763,0.60757697,-0.4579357
0.67113835,-0.29103553,0.7320622
0.6711001,0.26345408,-0.9317318
0.67108804,-0.16107273,0.014267683
0.67117995,0.30921268,-0.7805027
0.6710811,0.8373562,0.17133176
0.67109346,-0.27721584,-0.051145434
0.67111886,0.7139187,-0.3513744
0.6710562,-0.112189054,0.55275893
0.6710759,-0.3016461,-0.39037788
0.6711218,-0.7053653,0.29747045
0.67085016,0.71099377,-0.55867183
0.6710463,-0.96965206,-0.9465709
0.6713374,-0.87765515,0.7675296
0.67108387,0.057907462,0.9374057
0.67114514,0.8017335,0.96984804
0.67110044,-0.71568894,-0.037534714
0.6709518,-0.5449865,-0.78338933
0.67109174,-0.58216393,0.6957426
0.6710861,0.2513361,-4.6777725E-4
0.67111194,-0.38565958,0.9240309
0.6713024,0.7389821,-0.82179034
0.67109513,-0.08737302,-0.67281723
0.67109144,0.050257444,-0.46757066
0.67122096,0.45886922,-0.84067667
0.6712646,-0.6045495,0.8222867
0.67104775,0.52010024,0.93787634
0.67093205,0.845852,-0.6438817
0.6711593,0.28676403,-0.8595978
0.67108345,-0.5941621,0.06624651
0.67107534,0.46432948,-0.090750694
0.671072,-0.62598634,0.09253621
0.6709428,0.65396595,0.7640171
0.6710887,-0.0065773726,0.87376547
0.6711369,-0.47771692,-0.6781678
0.6710628,-0.6091844,-0.2531935
0.67108685,-0.239869,0.025436282
0.67107826,-0.19501662,0.053620934
0.67106175,0.8304647,-0.120912194
0.67134404,-0.8958483,0.7560669
0.67106044,0.50527036,0.19227433
0.67095596,-0.40756094,0.5585184
0.67106324,0.19155383,-0.6687604
0.6710144,-0.8946234,-0.4617021
0.67118436,-0.95360816,-0.5216794
0.67105114,-0.60550964,-0.7160796
0.6710913,-0.118953705,0.3990996
0.6712693,0.8009467,0.5411508
0.6712062,-0.72563696,-0.99021804
0.67111576,0.7646487,-0.21094811
0.67117757,0.7550291,-0.7101793
0.6711079,0.3109982,-0.9197959
0.6710412,-0.97453904,-0.33823133
0.6710489,-0.74727905,0.6763514
0.67116326,-0.3805542,0.7409314
0.6710258,-0.64832723,0.66836476
0.6711162,-0.5430838,0.33179736
0.67110306,-0.6995591,-0.06943381
0.67112166,-0.38523746,0.9154031
0.67111397,-0.51856196,0.33075166
0.6712885,-0.67579114,0.8320123
0.67119545,0.452559,-0.864475
0.6710921,0.19475079,0.15910578
0.67114216,0.15940046,0.610945
0.6711039,-0.33534372,0.28468502
0.6710837,0.87404203,-0.1815151
0.6711306,0.67802787,0.17588818
0.67113835,0.8603909,-0.3936956
0.67104506,0.588429,0.34291768
0.67108697,-0.2339114,-0.20416594
0.6710818,0.28907144,-0.50171876
0.67111486,0.7409799,-0.4363277
0.6709993,0.56956613,0.9113455
0.671094,0.28214502,0.018794894
0.67091,0.69923604,-0.54179907
0.67107564,0.8054936,-0.024923086
0.6710686,0.2369914,0.36684072
0.6710548,0.9439211,-0.080872774
0.6709752,-0.9322318,0.6576512
0.67125696,0.5720289,-0.82656455
0.67104405,0.6655283,0.2792151
0.6710041,-0.4425949,-0.74516845
0.67108005,-0.41717756,-0.060572505
0.6711083,-0.7615305,0.42825735
0.6711423,0.1669159,0.63192344
0.67110395,-0.37111998,0.4558518
