fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
0.24700886,0.13769747,-0.96218675,0.59795207,-0.6313162,-0.06506102,0.9196375,-0.074938595,-0.7271213,-0.4977668,0.001145135,-0.16432902,-0.029620556,-0.5293769,-0.22839038
-0.76754206,-0.34153518,0.60887086,-0.36688444,-0.96036834,-0.6901183,-0.21004729,-0.40180048,-0.43426943,0.4474456,-0.16336775,-0.8170263,-0.44558907,-0.18184221,-0.11242471
-0.29782665,-0.65041745,0.17462039,-0.34105158,0.4730878,0.8689935,-0.0996927,-0.046412103,-0.21335572,-0.19687307,-0.121508084,0.52692634,0.508331,-0.08788571,-0.09525894
-0.90345675,0.85368335,0.57653165,0.35042846,-0.72769594,0.26730418,-0.7482818,-0.52715605,-0.70726275,0.6059943,-0.42151234,-0.24283174,-0.9038878,-0.05730295,-0.18261434
-1.2930659,0.82943714,-0.025323465,0.17124435,-0.0049447506,0.39665923,0.45377383,0.9260328,0.34048587,-0.7644046,0.0829032,0.17805338,0.17933044,0.010228351,0.2437684
0.83163583,0.13178194,0.2617774,0.5592426,-0.5807681,0.58189124,-0.9509871,-0.24277872,-0.7071463,0.0699767,-0.4464474,-0.064527154,0.3880058,-0.48451406,-0.062069893
-1.1262565,0.1323689,0.84991074,-0.17377466,0.16271657,-0.33773714,-0.29804066,-0.30546787,0.14258508,0.67895246,0.08904704,-0.5762541,-0.7394594,0.8284149,-0.3897691
-0.040230922,-0.3103627,0.08082999,0.02225646,0.09611216,0.7662794,0.31605044,0.12874377,0.5801132,0.16102706,-0.38149086,-0.08642571,0.8007673,-0.431929,-0.90626705
-0.31892884,-0.5719722,0.50676346,0.0014796489,-0.3698518,0.58703095,-0.15747876,-0.8726331,-0.0892846,-0.0747902,-0.27367434,-0.59295815,-0.04362024,0.52001065,-0.052167777
-0.12023915,0.4696374,0.29715687,0.8032699,0.5778054,-0.10536249,0.48524082,-0.05134236,0.07208051,-0.32182717,0.2507364,0.11624454,0.9203864,-0.9074696,0.31459892
0.68128455,-0.4942092,0.16707931,0.08341058,0.9606405,-0.41075286,-0.055565238,-0.46114913,0.33381417,-0.8373489,0.82979286,-0.47787556,-0.024747808,-0.11929717,0.5229434
-0.4891111,0.86902726,-0.7253319,-0.26433557,-0.31004956,-0.27044097,0.03979051,0.2902008,0.7396608,-0.7241438,0.0068702414,-0.09096432,-0.90755266,-0.4930448,-0.10925619
-0.4585897,-0.16666983,0.090317875,-0.31653306,0.02654329,-0.42159814,0.70166653,-0.010649771,0.066169955,0.040658247,-0.9998625,0.20118348,0.9876763,0.07183872,-0.27388072
0.42156193,0.51086134,0.10062645,-0.0130981095,-0.65898716,0.70536846,0.5350851,0.5433938,0.31452513,0.18635055,0.76212823,-0.057885215,0.21424736,-0.94453365,0.22670598
0.80635047,-0.21906674,-0.33759135,-0.20227858,-0.003417042,0.07684636,-0.21382312,-0.10174351,-0.2924876,0.23820986,0.8052647,-0.34934372,0.010705471,-0.15523168,0.46050543
0.65618277,0.020474013,0.06587229,-0.061309192,0.5305922,0.5005941,0.20731339,-0.22834182,-0.36289814,-0.08278395,-0.55403525,-0.23228455,-0.09462794,-0.18655945,-0.2873022
0.16111007,0.21254256,0.20420086,-0.12491667,0.9180426,-0.20918863,-0.2812123,0.07687324,-0.5027123,0.3525242,0.29814422,0.32520616,0.06065901,-0.7023098,0.8953889
0.10189652,-0.6368467,0.109369196,-0.9949535,0.64729583,0.34946397,-0.39777088,0.4081848,-0.44620845,-0.42844614,0.055714812,-0.6414073,-0.078967765,-0.81000316,0.8973399
-0.338554,-0.11199587,-0.4032571,0.22664715,-0.5117927,0.242241,-0.034164928,-0.3241766,0.45208818,0.31736958,-0.68715173,0.022852525,0.10128672,0.51124597,-0.030995622
0.8526535,-0.5329773,0.4300273,0.43475914,-0.23588653,0.65450996,-0.9700779,-0.8668931,0.12170213,-0.40104255,-0.5847327,0.48636633,-0.0016128136,-0.12598757,-0.28377706
-0.46593302,0.14156881,0.7041322,-0.70163196,0.7691241,0.77015847,-0.059365034,-0.45037737,-0.52032036,0.6124482,-0.3911734,-0.20986965,-0.5661579,0.8390416,-0.8776656
-0.3775241,0.44284105,0.8931316,-0.1347438,0.31785196,-0.04867408,-0.12842317,0.11887186,0.7609374,0.48557535,-0.076982856,0.35115898,0.05130272,0.5383119,-0.90593696
-0.2095467,-0.45566252,-0.012587547,0.48540103,0.4846697,-0.0076044314,0.89096683,-0.3615023,-0.084251665,-0.8137696,0.031806294,0.030098274,-0.4869102,-0.7601058,0.42905962
0.26995534,-0.8185515,0.73359925,0.78273565,0.14595926,-0.9984036,0.57333803,-0.06950639,-0.69185954,0.2597149,-0.017868446,-0.27448332,0.09301291,-0.3498505,0.4009038
0.76989764,-0.73596877,-0.6301053,-0.83226985,-0.7775765,-0.14706889,-0.6186395,-0.27157936,0.9422878,0.83123714,-0.51569694,0.22160752,0.010478252,-0.16448109,0.39131314
-0.20367867,0.8201552,0.39031705,0.03716066,0.8705722,0.4219805,0.01959922,0.016757846,-0.61941624,0.35783315,-0.65242815,0.25128555,0.37680575,-0.20090805,-0.1476705
0.046751022,0.32288042,-0.25921175,0.64686626,-0.9458309,-0.7662126,0.323364,-0.5690207,-0.6730482,-0.18055718,-0.6397135,-0.09938753,0.1326132,-0.016864777,0.9708144
