neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4596229,0.0,0.4938845,0.0,0.47416368,0.0,0.5282902,0.0,0.45942461,0.0
0.44181153,0.006289384,0.58296335,0.0,0.4774358,0.0,0.65141994,0.0,0.4502462,0.0
0.4247319,0.012578768,0.66714096,0.0,0.4829811,0.0,0.7578443,0.0,0.44105783,0.0
0.4083884,0.018868152,0.74257183,0.0,0.49044225,0.0,0.84107244,0.0,0.4318838,0.0
0.39277735,0.025157535,0.8066001,0.0,0.49939337,0.0,0.900429,0.0,0.42274946,0.0
0.37788856,0.03144692,0.85824734,0.0,0.50939894,0.0,0.9397082,0.0,0.4136768,0.0
0.3637065,0.037736304,0.8981002,0.0,0.5200643,0.0,0.9643212,0.0,0.40468293,0.0
0.35021135,0.044025686,0.92777056,0.0,0.5310647,0.0,0.97919065,0.0,0.39578027,0.0
0.33738005,0.05031507,0.9492729,0.0,0.54215306,0.0,0.9879688,0.0,0.3869776,0.0
0.32518703,0.056604452,0.9645632,0.0,0.5531533,0.0,0.993079,0.0,0.3782813,0.0
0.31360492,0.06289384,0.9753022,0.0,0.5639468,0.0,0.9960296,0.0,0.36969587,0.0
0.3026054,0.06918322,0.9827895,0.0,0.5744582,0.0,0.99772537,0.0,0.36122492,0.0
0.2921595,0.07547261,0.9879905,0.0,0.58464295,0.0,0.99869746,0.0,0.3528711,0.0
0.28223827,0.08176199,0.99159956,0.0,0.594478,0.0,0.999254,0.0,0.3446366,0.0
0.27281308,0.08805137,0.9941059,0.0,0.6039545,0.0,0.9995725,0.0,0.33652312,0.0
0.26385593,0.09434076,0.99584985,0.0,0.6130728,0.0,0.99975485,0.0,0.3285321,0.0
0.25533965,0.10063014,0.9970667,0.0,0.6218394,0.0,0.9998593,0.0,0.32066464,0.0
0.2472381,0.10691953,0.99791855,0.0,0.63026416,0.0,0.9999191,0.0,0.31292164,0.0
0.23952632,0.113208905,0.9985171,0.0,0.6383593,0.0,0.99995345,0.0,0.30530375,0.0
0.2321805,0.11949829,0.9989392,0.0,0.646138,0.0,0.9999732,0.0,0.29781142,0.0
0.22517818,0.12578768,0.99923813,0.0,0.653614,0.0,0.9999845,0.0,0.29044488,0.0
0.21849811,0.13207707,0.9994507,0.0,0.6608008,0.0,0.99999106,0.0,0.2832042,0.0
0.21212037,0.13836645,0.9996023,0.0,0.667712,0.0,0.9999948,0.0,0.2760893,0.0
0.20602626,0.14465584,0.999711,0.0,0.67436045,0.0,0.999997,0.0,0.26909998,0.0
0.20019826,0.15094522,0.9997892,0.0,0.68075883,0.0,0.9999983,0.0,0.26223576,0.0
0.19462013,0.1572346,0.9998456,0.0,0.686919,0.0,0.999999,0.0,0.2554962,0.0
0.18927667,0.16352399,0.9998866,0.0,0.6928523,0.0,0.9999994,0.0,0.24888062,0.0
0.18415372,0.16981336,0.9999163,0.0,0.6985696,0.0,0.99999964,0.0,0.24238828,0.0
0.17923817,0.17610274,0.9999381,0.0,0.7040812,0.0,0.9999998,0.0,0.23601827,0.0
0.17451788,0.18239214,0.999954,0.0,0.70939654,0.0,0.9999999,0.0,0.22976966,0.0
0.16998155,0.18868151,0.9999657,0.0,0.714525,0.0,0.99999994,0.0,0.22364138,0.0
0.16561872,0.1949709,0.99997437,0.0,0.71947515,0.0,0.99999994,0.0,0.21763228,0.0
0.1614197,0.20126028,0.99998075,0.0,0.7242552,0.0,1.0,0.0,0.21174116,0.0
0.15737556,0.20754966,0.9999855,0.0,0.72887284,0.0,1.0,0.0,0.20596674,0.0
0.15347797,0.21383905,0.9999891,0.0,0.73333544,0.0,1.0,0.0,0.20030765,0.0
0.14971922,0.22012843,0.9999917,0.0,0.73764986,0.0,1.0,0.0,0.19476251,0.0
0.14609224,0.22641781,0.9999937,0.0,0.74182266,0.0,1.0,0.0,0.18932988,0.0
0.14259039,0.2327072,0.99999523,0.0,0.74586004,0.0,1.0,0.0,0.18400826,0.0
0.1392076,0.23899658,0.99999636,0.0,0.74976784,0.0,1.0,0.0,0.17879613,0.0
0.13593817,0.24528596,0.9999972,0.0,0.7535516,0.0,1.0,0.0,0.17369191,0.0
0.13277684,0.25157535,0.99999785,0.0,0.75721663,0.0,1.0,0.0,0.16869403,0.0
0.12971875,0.25786474,0.99999833,0.0,0.7607679,0.0,1.0,0.0,0.16380087,0.0
0.12675937,0.26415414,0.9999987,0.0,0.7642101,0.0,1.0,0.0,0.1590108,0.0
0.12389444,0.2704435,0.999999,0.0,0.7675477,0.0,1.0,0.0,0.15432218,0.0
0.12112004,0.2767329,0.9999992,0.0,0.770785,0.0,1.0,0.0,0.14973333,0.0
0.11843252,0.28302225,0.9999994,0.0,0.77392596,0.0,1.0,0.0,0.14524262,0.0
0.11582843,0.28931168,0.9999995,0.0,0.77697456,0.0,1.0,0.0,0.14084832,0.0
0.113304585,0.29560104,0.99999964,0.0,0.7799343,0.0,1.0,0.0,0.13654882,0.0
0.11085797,0.30189043,0.9999997,0.0,0.78280866,0.0,1.0,0.0,0.1323424,0.0
0.1084858,0.3081798,0.99999976,0.0,0.785601,0.0,1.0,0.0,0.12822741,0.0
0.106185414,0.3144692,0.9999998,0.0,0.7883145,0.0,1.0,0.0,0.12420218,0.0
0.103954345,0.32075855,0.9999999,0.0,0.79095215,0.0,1.0,0.0,0.12026503,0.0
0.10179025,0.32704797,0.9999999,0.0,0.79351664,0.0,1.0,0.0,0.11641432,0.0
0.09969092,0.33333734,0.9999999,0.0,0.79601085,0.0,1.0,0.0,0.11264842,0.0
0.09765428,0.33962673,0.99999994,0.0,0.7984373,0.0,1.0,0.0,0.108965695,0.0
0.09567836,0.3459161,0.99999994,0.0,0.8007985,0.0,1.0,0.0,0.105364524,0.0
0.09376129,0.3522055,0.99999994,0.0,0.8030968,0.0,1.0,0.0,0.10184332,0.0
0.09190129,0.35849488,0.99999994,0.0,0.8053343,0.0,1.0,0.0,0.09840048,0.0
0.090096675,0.36478427,1.0,0.0,0.8075134,0.0,1.0,0.0,0.09503446,0.0
0.08834583,0.37107363,1.0,0.0,0.809636,0.0,1.0,0.0,0.091743685,0.0
0.08664725,0.37736303,1.0,0.0,0.81170404,0.0,1.0,0.0,0.08852665,0.0
0.08499945,0.3836524,1.0,0.0,0.8137195,0.0,1.0,0.0,0.085381836,0.0
0.08340103,0.3899418,1.0,0.0,0.8156842,0.0,1.0,0.0,0.082307756,0.0
0.08185066,0.39623117,1.0,0.0,0.8175997,0.0,1.0,0.0,0.07930293,0.0
0.080347046,0.40252057,1.0,0.0,0.8194678,0.0,1.0,0.0,0.07636591,0.0
0.078888945,0.40880993,1.0,0.0,0.82128996,0.0,1.0,0.0,0.07349529,0.0
0.07747518,0.41509932,1.0,0.0,0.8230677,0.0,1.0,0.0,0.070689656,0.0
0.07610461,0.4213887,1.0,0.0,0.82480264,0.0,1.0,0.0,0.067947626,0.0
0.07477611,0.4276781,1.0,0.0,0.82649595,0.0,1.0,0.0,0.06526784,0.0
0.073488645,0.43396747,1.0,0.0,0.8281491,0.0,1.0,0.0,0.06264897,0.0
0.072241165,0.44025686,1.0,0.0,0.8297633,0.0,1.0,0.0,0.06008969,0.0
0.07103268,0.44654623,1.0,0.0,0.8313398,0.0,1.0,0.0,0.05758871,0.0
0.06986224,0.45283562,1.0,0.0,0.8328798,0.0,1.0,0.0,0.05514478,0.0
0.0687289,0.459125,1.0,0.0,0.8343843,0.0,1.0,0.0,0.052756637,0.0
0.06763177,0.4654144,1.0,0.0,0.8358546,0.0,1.0,0.0,0.05042307,0.0
0.06656996,0.47170377,1.0,0.0,0.83729166,0.0,1.0,0.0,0.048142876,0.0
0.06554264,0.47799316,1.0,0.0,0.8386964,0.0,1.0,0.0,0.045914877,0.0
0.05851652,-0.47175425,1.0,0.0,0.8400699,0.0,1.0,0.0,0.043737922,0.0
0.052085474,-0.4654649,1.0,0.0,0.841413,0.0,1.0,0.0,0.041610878,0.0
0.046197537,-0.4591755,1.0,0.0,0.84272665,0.0,1.0,0.0,0.03953263,0.0
0.040805124,-0.45288613,1.0,0.0,0.84401166,0.0,1.0,0.0,0.0375021,0.0
0.035864737,-0.4465967,1.0,0.0,0.84526896,0.0,1.0,0.0,0.035518214,0.0
0.031336654,-0.44030732,1.0,0.0,0.8464992,0.0,1.0,0.0,0.033579934,0.0
0.027184656,-0.43401796,1.0,0.0,0.8477033,0.0,1.0,0.0,0.03168623,0.0
0.023375744,-0.42772856,1.0,0.0,0.8488819,0.0,1.0,0.0,0.029836105,0.0
0.019879872,-0.4214392,1.0,0.0,0.8500357,0.0,1.0,0.0,0.028028578,0.0
0.016669696,-0.4151498,1.0,0.0,0.85116553,0.0,1.0,0.0,0.026262682,0.0
0.013720351,-0.4088604,1.0,0.0,0.8522719,0.0,1.0,0.0,0.02453748,0.0
0.011009226,-0.40257105,1.0,0.0,0.8533556,0.0,1.0,0.0,0.02285205,0.0
0.008515767,-0.39628163,1.0,0.0,0.85441715,0.0,1.0,0.0,0.021205489,0.0
0.0062212907,-0.3899923,1.0,0.0,0.8554571,0.0,1.0,0.0,0.019596916,0.0
0.00410882,-0.38370287,1.0,0.0,0.8564762,0.0,1.0,0.0,0.018025465,0.0
0.0021629264,-0.37741348,1.0,0.0,0.8574748,0.0,1.0,0.0,0.01649029,0.0
3.6958556E-4,-0.37112412,1.0,0.0,0.85845363,0.0,1.0,0.0,0.014990568,0.0
-0.0012839457,-0.36483473,1.0,0.0,0.859413,0.0,1.0,0.0,0.013525487,0.0
-0.0028092526,-0.35854536,1.0,0.0,0.86035365,0.0,1.0,0.0,0.0120942565,0.0
-0.0042168666,-0.35225597,1.0,0.0,0.8612759,0.0,1.0,0.0,0.010696101,0.0
-0.0055163633,-0.34596655,1.0,0.0,0.8621803,0.0,1.0,0.0,0.009330263,0.0
-0.0067164516,-0.3396772,1.0,0.0,0.86306727,0.0,1.0,0.0,0.007996005,0.0
-0.007825055,-0.3333878,1.0,0.0,0.8639373,0.0,1.0,0.0,0.0066926,0.0
-0.008849381,-0.32709846,1.0,0.0,0.86479074,0.0,1.0,0.0,0.005419341,0.0
-0.009795993,-0.32080904,1.0,0.0,0.86562806,0.0,1.0,0.0,0.0041755354,0.0
-0.010670864,-0.3145197,1.0,0.0,0.86644965,0.0,1.0,0.0,0.0029605064,0.0
-0.011479439,-0.30823028,1.0,0.0,0.86725587,0.0,1.0,0.0,0.001773592,0.0
-0.012226676,-0.3019409,1.0,0.0,0.8680472,0.0,1.0,0.0,6.1414536E-4,0.0
-0.012917097,-0.29565153,1.0,0.0,0.86882377,0.0,1.0,0.0,-5.1846594E-4,0.0
-0.0135548245,-0.28936213,1.0,0.0,0.86958617,0.0,1.0,0.0,-0.0016248601,0.0
-0.014143622,-0.28307277,1.0,0.0,0.8703346,0.0,1.0,0.0,-0.0027056416,0.0
-0.014686925,-0.27678338,1.0,0.0,0.87106955,0.0,1.0,0.0,-0.0037614007,0.0
-0.0151878735,-0.27049395,1.0,0.0,0.8717912,0.0,1.0,0.0,-0.004792715,0.0
-0.015649335,-0.26420462,1.0,0.0,0.8724999,0.0,1.0,0.0,-0.0058001485,0.0
-0.016073935,-0.2579152,1.0,0.0,0.87319595,0.0,1.0,0.0,-0.006784253,0.0
-0.016464073,-0.25162587,1.0,0.0,0.8738796,0.0,1.0,0.0,-0.007745567,0.0
-0.016821953,-0.24533644,1.0,0.0,0.87455124,0.0,1.0,0.0,-0.0086846175,0.0
-0.017149586,-0.23904704,1.0,0.0,0.87521106,0.0,1.0,0.0,-0.009601918,0.0
-0.017448828,-0.23275769,1.0,0.0,0.8758593,0.0,1.0,0.0,-0.010497972,0.0
-0.017721374,-0.22646828,1.0,0.0,0.8764964,0.0,1.0,0.0,-0.011373271,0.0
-0.017968787,-0.22017893,1.0,0.0,0.8771224,0.0,1.0,0.0,-0.012228296,0.0
-0.018192498,-0.21388952,1.0,0.0,0.8777377,0.0,1.0,0.0,-0.013063516,0.0
-0.018393835,-0.20760012,1.0,0.0,0.87834245,0.0,1.0,0.0,-0.013879387,0.0
-0.018574014,-0.20131077,1.0,0.0,0.8789369,0.0,1.0,0.0,-0.014676358,0.0
-0.018734159,-0.19502136,1.0,0.0,0.87952125,0.0,1.0,0.0,-0.015454868,0.0
-0.018875306,-0.18873201,1.0,0.0,0.8800958,0.0,1.0,0.0,-0.016215343,0.0
-0.01899842,-0.1824426,1.0,0.0,0.8806607,0.0,1.0,0.0,-0.0169582,0.0
-0.019104382,-0.1761532,1.0,0.0,0.88121617,0.0,1.0,0.0,-0.017683849,0.0
-0.01919402,-0.16986385,1.0,0.0,0.88176244,0.0,1.0,0.0,-0.018392688,0.0
-0.0192681,-0.16357444,1.0,0.0,0.88229966,0.0,1.0,0.0,-0.019085106,0.0
-0.019327326,-0.1572851,1.0,0.0,0.88282806,0.0,1.0,0.0,-0.019761482,0.0
-0.019372363,-0.15099569,1.0,0.0,0.8833478,0.0,1.0,0.0,-0.020422189,0.0
