neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4596229,0.0,0.4938845,0.0,0.47416368,0.0,0.5282902,0.0,0.45942461,0.0
0.44198328,0.039989334,0.58297455,0.0,0.47743613,0.0,0.65141994,0.0,0.4502462,0.0
0.42524275,0.07991469,0.6671794,0.0,0.48298252,0.0,0.7578445,0.0,0.44105783,0.0
0.40939882,0.119712204,0.7426505,0.0,0.49044582,0.0,0.8410728,0.0,0.4318838,0.0
0.39443913,0.15931821,0.806723,0.0,0.4994002,0.0,0.90042955,0.0,0.42274946,0.0
0.38034335,0.19866931,0.85840875,0.0,0.5094099,0.0,0.9397087,0.0,0.4136768,0.0
0.36708504,0.23770262,0.89828765,0.0,0.5200798,0.0,0.96432173,0.0,0.40468293,0.0
0.35463288,0.27635565,0.92796963,0.0,0.5310848,0.0,0.9791911,0.0,0.39578027,0.0
0.34295204,0.31456655,0.94947076,0.0,0.54217744,0.0,0.98796916,0.0,0.3869776,0.0
0.33200514,0.3522742,0.96475047,0.0,0.5531814,0.0,0.9930793,0.0,0.3782813,0.0
0.32175323,0.38941833,0.975473,0.0,0.56397796,0.0,0.99602985,0.0,0.36969587,0.0
0.31215668,0.42593947,0.9829409,0.0,0.57449174,0.0,0.9977255,0.0,0.36122492,0.0
0.30317554,0.46177918,0.9881219,0.0,0.5846783,0.0,0.9986975,0.0,0.3528711,0.0
0.29477042,0.4968801,0.99171174,0.0,0.59451455,0.0,0.99925405,0.0,0.3446366,0.0
0.28690267,0.5311862,0.99420035,0.0,0.6039917,0.0,0.9995726,0.0,0.33652312,0.0
0.27953476,0.5646424,0.9959286,0.0,0.61311024,0.0,0.9997549,0.0,0.3285321,0.0
0.2726305,0.59719545,0.9971318,0.0,0.6218767,0.0,0.99985933,0.0,0.32066464,0.0
0.26615524,0.628793,0.997972,0.0,0.6303012,0.0,0.9999191,0.0,0.31292164,0.0
0.26007593,0.65938467,0.9985608,0.0,0.6383957,0.0,0.99995345,0.0,0.30530375,0.0
0.25436118,0.68892145,0.99897474,0.0,0.6461738,0.0,0.9999732,0.0,0.29781142,0.0
0.2489813,0.7173561,0.9992669,0.0,0.6536489,0.0,0.9999845,0.0,0.29044488,0.0
0.24390832,0.7446431,0.99947387,0.0,0.66083485,0.0,0.99999106,0.0,0.2832042,0.0
0.23911588,0.7707389,0.99962103,0.0,0.66774505,0.0,0.9999948,0.0,0.2760893,0.0
0.23457928,0.7956016,0.99972606,0.0,0.67439264,0.0,0.999997,0.0,0.26909998,0.0
0.23027533,0.8191916,0.9998012,0.0,0.68079,0.0,0.9999983,0.0,0.26223576,0.0
0.22618237,0.84147096,0.9998553,0.0,0.6869492,0.0,0.999999,0.0,0.2554962,0.0
0.22228014,0.8624042,0.99989426,0.0,0.6928815,0.0,0.9999994,0.0,0.24888062,0.0
0.21854973,0.88195777,0.9999225,0.0,0.6985979,0.0,0.99999964,0.0,0.24238828,0.0
0.2149735,0.90010047,0.999943,0.0,0.7041085,0.0,0.9999998,0.0,0.23601827,0.0
0.21153504,0.9168031,0.999958,0.0,0.709423,0.0,0.9999999,0.0,0.22976966,0.0
0.20821902,0.9320391,0.9999689,0.0,0.71455055,0.0,0.99999994,0.0,0.22364138,0.0
0.20501123,0.94578403,0.9999769,0.0,0.7194999,0.0,0.99999994,0.0,0.21763228,0.0
0.20189841,0.95801586,0.9999828,0.0,0.7242791,0.0,1.0,0.0,0.21174116,0.0
0.19886829,0.9687151,0.9999871,0.0,0.72889596,0.0,1.0,0.0,0.20596674,0.0
0.19590943,0.9778646,0.99999034,0.0,0.7333578,0.0,1.0,0.0,0.20030765,0.0
0.19301121,0.98544973,0.9999927,0.0,0.7376715,0.0,1.0,0.0,0.19476251,0.0
0.19016382,0.99145836,0.9999945,0.0,0.74184364,0.0,1.0,0.0,0.18932988,0.0
0.18735814,0.99588084,0.9999959,0.0,0.74588037,0.0,1.0,0.0,0.18400826,0.0
0.18458572,0.99871016,0.99999684,0.0,0.74978757,0.0,1.0,0.0,0.17879613,0.0
0.18183878,0.9999417,0.9999976,0.0,0.75357074,0.0,1.0,0.0,0.17369191,0.0
0.17911011,0.9995736,0.99999815,0.0,0.75723517,0.0,1.0,0.0,0.16869403,0.0
0.17639305,0.9976064,0.9999986,0.0,0.7607859,0.0,1.0,0.0,0.16380087,0.0
0.17368148,0.99404323,0.9999989,0.0,0.7642275,0.0,1.0,0.0,0.1590108,0.0
0.17096983,0.98888975,0.99999917,0.0,0.7675646,0.0,1.0,0.0,0.15432218,0.0
0.1682529,0.9821543,0.99999934,0.0,0.77080137,0.0,1.0,0.0,0.14973333,0.0
0.16552602,0.9738476,0.9999995,0.0,0.7739419,0.0,1.0,0.0,0.14524262,0.0
0.16278489,0.963983,0.99999964,0.0,0.77699,0.0,1.0,0.0,0.14084832,0.0
0.16002566,0.9525762,0.9999997,0.0,0.77994925,0.0,1.0,0.0,0.13654882,0.0
0.15724482,0.93964547,0.99999976,0.0,0.78282326,0.0,1.0,0.0,0.1323424,0.0
0.15443923,0.92521155,0.9999998,0.0,0.78561527,0.0,1.0,0.0,0.12822741,0.0
0.15160613,0.9092974,0.9999999,0.0,0.78832835,0.0,1.0,0.0,0.12420218,0.0
0.14874308,0.8919287,0.9999999,0.0,0.7909655,0.0,1.0,0.0,0.12026503,0.0
0.1458479,0.873133,0.99999994,0.0,0.7935297,0.0,1.0,0.0,0.11641432,0.0
0.14291878,0.85294056,0.99999994,0.0,0.7960235,0.0,1.0,0.0,0.11264842,0.0
0.13995418,0.8313835,0.99999994,0.0,0.79844964,0.0,1.0,0.0,0.108965695,0.0
0.13695286,0.80849636,0.99999994,0.0,0.80081046,0.0,1.0,0.0,0.105364524,0.0
0.13391382,0.78431594,0.99999994,0.0,0.8031084,0.0,1.0,0.0,0.10184332,0.0
0.13083631,0.75888073,1.0,0.0,0.80534565,0.0,1.0,0.0,0.09840048,0.0
0.12771988,0.7322315,1.0,0.0,0.80752444,0.0,1.0,0.0,0.09503446,0.0
0.12456428,0.70441085,1.0,0.0,0.8096467,0.0,1.0,0.0,0.091743685,0.0
0.1213695,0.67546326,1.0,0.0,0.81171453,0.0,1.0,0.0,0.08852665,0.0
0.118135765,0.645435,1.0,0.0,0.81372976,0.0,1.0,0.0,0.085381836,0.0
0.1148635,0.6143742,1.0,0.0,0.81569415,0.0,1.0,0.0,0.082307756,0.0
0.111553356,0.58233064,1.0,0.0,0.8176094,0.0,1.0,0.0,0.07930293,0.0
0.10820616,0.5493555,1.0,0.0,0.81947726,0.0,1.0,0.0,0.07636591,0.0
0.10482295,0.51550144,1.0,0.0,0.82129925,0.0,1.0,0.0,0.07349529,0.0
0.10140494,0.48082274,1.0,0.0,0.82307684,0.0,1.0,0.0,0.070689656,0.0
0.09795354,0.4453748,1.0,0.0,0.8248115,0.0,1.0,0.0,0.067947626,0.0
0.0944703,0.40921414,1.0,0.0,0.82650465,0.0,1.0,0.0,0.06526784,0.0
0.090956956,0.37239906,1.0,0.0,0.82815754,0.0,1.0,0.0,0.06264897,0.0
0.087415375,0.3349882,1.0,0.0,0.8297716,0.0,1.0,0.0,0.06008969,0.0
0.08384761,0.29704145,1.0,0.0,0.8313479,0.0,1.0,0.0,0.05758871,0.0
0.08025583,0.25861946,1.0,0.0,0.8328877,0.0,1.0,0.0,0.05514478,0.0
0.076642334,0.21978377,1.0,0.0,0.8343921,0.0,1.0,0.0,0.052756637,0.0
0.07300956,0.18059623,1.0,0.0,0.8358622,0.0,1.0,0.0,0.05042307,0.0
0.069360055,0.14112,1.0,0.0,0.83729905,0.0,1.0,0.0,0.048142876,0.0
0.065696485,0.101418026,1.0,0.0,0.83870363,0.0,1.0,0.0,0.045914877,0.0
0.062021624,0.061553795,1.0,0.0,0.840077,0.0,1.0,0.0,0.043737922,0.0
0.05833833,0.02159109,1.0,0.0,0.84141994,0.0,1.0,0.0,0.041610878,0.0
0.054649554,-0.018406155,1.0,0.0,0.8427334,0.0,1.0,0.0,0.03953263,0.0
0.050958328,-0.058373954,1.0,0.0,0.8440183,0.0,1.0,0.0,0.0375021,0.0
0.04726777,-0.0982486,1.0,0.0,0.8452754,0.0,1.0,0.0,0.035518214,0.0
0.043581042,-0.13796584,1.0,0.0,0.8465055,0.0,1.0,0.0,0.033579934,0.0
0.03990139,-0.17746235,1.0,0.0,0.8477095,0.0,1.0,0.0,0.03168623,0.0
