Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.6136359,-5.921528,-0.65712565,168.3647
2,0.68376833,-5.2698865,-0.35277253,70.29601
3,0.8370471,-6.1288147,-0.5398557,157.04785
4,0.8370471,-4.195561,-0.35793504,94.99784
5,0.8370471,-4.24126,-0.37497142,94.53764
6,0.8370471,-8.468376,-0.39473912,163.78893
7,0.8370471,-5.6578813,-0.264363,107.31555
8,0.8370471,-5.6578813,-0.24502316,91.77622
9,0.8370471,-5.6578813,-0.31609505,127.36851
10,0.8370471,-6.989229,-0.431189,191.85393
11,0.8370471,-5.0342684,-0.32261893,140.0155
12,0.8370471,-6.1363416,-0.21188144,111.031944
13,0.8370471,-8.931869,-0.3473251,163.67265
14,0.8370471,-6.9805923,-0.28220657,169.6096
15,0.8370471,-6.898566,-0.19094779,121.55564
16,0.8370471,-6.898566,-0.22216976,127.44425
17,0.8370471,-4.8307095,-0.243355,102.49968
18,0.8370471,-7.5742993,-0.3035878,158.37672
19,0.8370471,-6.813571,-0.246061,157.38359
20,0.8370471,-5.1255965,-0.21908487,91.03615
21,0.8370471,-10.522448,-0.40223473,249.13695
22,0.8370471,-8.990293,-0.21568978,126.01908
23,0.8370471,-5.4446964,-0.26170444,97.64581
24,0.8370471,-5.4446964,-0.40620098,165.96388
25,0.8370471,-5.4446964,-0.28982818,129.87881
26,0.8370471,-3.8422885,-0.22597842,63.849243
27,0.8370471,-4.951799,-0.19282636,87.66964
28,0.8370471,-5.86106,-0.26972964,135.5148
29,0.8370471,-4.461316,-0.13762116,95.144
30,0.8370471,-8.641694,-0.2973803,200.05739
31,0.83748645,-4.845178,-0.20973077,88.692764
32,0.83748645,-7.910077,-0.4541864,226.3458
33,0.83748645,-5.780522,-0.3300803,142.2468
34,0.83748645,-5.780522,-0.28376216,142.19823
35,0.83748645,-4.708094,-0.28204232,133.90756
36,0.83748645,-10.065809,-0.36356792,260.08353
37,0.83748645,-6.9086747,-0.30415237,157.12752
38,0.83748645,-12.374656,-0.4113806,261.20303
39,0.83748645,-3.7883387,-0.2322764,76.06524
40,0.83748645,-5.951484,-0.19479968,107.45506
41,0.83748645,-4.404923,-0.20628645,106.63066
42,0.83748645,-10.75878,-0.40032464,261.70084
43,0.83748645,-4.7712955,-0.31954882,106.82823
44,0.83748645,-9.437972,-0.48230308,223.02634
45,0.83748645,-13.379662,-0.49424344,268.76617
46,0.83748645,-7.126864,-0.38596153,165.03828
47,0.83748645,-12.598215,-0.47978675,303.76984
48,0.83748645,-12.743234,-0.5897892,454.28946
49,0.83748645,-6.8945727,-0.36186874,142.23253
50,0.83748645,-7.3023744,-0.2517763,148.48343
51,0.83748645,-5.2394323,-0.19341877,79.33438
52,0.83748645,-4.665409,-0.13239141,73.37265
53,0.83748645,-10.608169,-0.21117866,196.01048
54,0.83748645,-10.608169,-0.17561752,164.35966
55,0.83748645,-4.413118,-0.24703117,104.83397
56,0.83748645,-8.7806225,-0.3358739,174.31343
57,0.83748645,-5.042012,-0.25898588,89.69052
58,0.83748645,-3.231471,-0.17698793,67.48254
59,0.83748645,-3.804101,-0.16989465,61.51973
60,0.83748645,-4.48733,-0.27424788,106.26897
61,0.83748645,-6.947529,-0.32452628,163.34863
62,0.83748645,-5.5199037,-0.38819304,147.8009
63,0.83748645,-4.132064,-0.17174625,67.52188
64,0.83748645,-6.8838377,-0.20888431,112.77896
65,0.83748645,-10.845947,-0.34691888,268.9086
66,0.83748645,-4.7254534,-0.27196103,103.20187
67,0.85250384,-4.7254534,-0.48970264,192.76611
68,0.85250384,-7.394893,-0.31796274,138.98802
69,0.85250384,-9.441442,-0.45237216,259.5358
70,0.85250384,-6.084494,-0.2954491,113.25075
71,0.85250384,-7.4839087,-0.29919636,171.12561
72,0.85963815,-2.9885328,-0.057700377,60.50705
73,0.85963815,-4.516336,-0.1709522,88.307274
74,0.85963815,-14.003898,-0.54685146,489.39212
75,0.85963815,-9.139118,-0.33314228,209.68109
76,0.85963815,-6.022287,-0.23200911,123.13104
77,0.85963815,-4.0649433,-0.10681119,62.947643
78,0.85963815,-3.6016436,-0.16726515,76.32181
79,0.85963815,-5.158236,-0.32899758,130.06996
80,0.85963815,-6.433454,-0.31813142,170.93173
81,0.85963815,-5.4646435,-0.34501308,146.62167
82,0.85963815,-5.092468,-0.19765304,87.929054
83,0.85963815,-5.092468,-0.17823668,99.65098
84,0.85963815,-8.93236,-0.4109629,191.7881
85,0.85963815,-5.0431623,-0.19439974,86.73049
86,0.85963815,-7.3832436,-0.3423884,194.0472
87,0.85963815,-4.7724595,-0.2710684,140.36267
88,0.85963815,-4.335848,-0.25095165,93.29387
89,0.85963815,-10.210217,-0.3451895,186.00745
90,0.85963815,-8.402498,-0.343732,176.64873
91,0.85963815,-5.9565706,-0.27301222,134.13452
92,0.85963815,-12.848807,-0.24646023,219.96078
93,0.85963815,-12.848807,-0.36304417,252.3197
94,0.85963815,-4.5931487,-0.20836808,107.143684
95,0.85963815,-16.278175,-0.27140912,332.0721
96,0.85963815,-10.216665,-0.2860976,246.15572
97,0.85963815,-5.139535,-0.3012896,159.69456
98,0.85963815,-5.042159,-0.17661232,120.11551
99,0.85963815,-4.262369,-0.19316201,96.16232
100,0.85963815,-3.797881,-0.05692576,61.170193
101,0.85963815,-7.766804,-0.041130237,103.0416
102,0.85963815,-7.766804,-0.31180227,189.34059
103,0.85963815,-3.329665,-0.17350468,77.519516
104,0.85963815,-5.5891323,-0.34667933,155.57379
105,0.85963815,-4.93307,-0.25710765,110.30453
106,0.85963815,-6.5303907,-0.2552978,138.05103
107,0.85963815,-4.1658955,-0.31681493,113.4974
108,0.85963815,-4.73781,-0.29350206,125.98504
109,0.85963815,-6.368118,-0.19050422,118.52665
110,0.85963815,-5.309157,-0.26887098,106.80902
111,0.85963815,-4.1207848,-0.2594971,92.21642
112,0.85963815,-4.764052,-0.22976884,90.36562
113,0.85963815,-12.5849905,-0.34069687,253.30518
114,0.85963815,-7.722976,-0.26665023,118.05194
115,0.85963815,-3.617175,-0.22810015,67.74098
116,0.85963815,-6.575873,-0.48125494,187.76146
117,0.85963815,-6.575873,-0.28465432,118.602875
118,0.85963815,-6.575873,-0.42814636,183.14195
119,0.85963815,-4.953232,-0.3324214,124.48772
120,0.85963815,-6.9749446,-0.29526561,141.12581
121,0.85963815,-6.156701,-0.29102758,122.82705
122,0.85963815,-6.156701,-0.28475225,145.60574
123,0.85963815,-2.5792387,-0.17904083,61.075382
124,0.85963815,-4.2483807,-0.21872954,89.40657
125,0.85963815,-7.9798455,-0.32293677,177.41724
126,0.85963815,-7.764475,-0.27026635,140.78851
127,0.85963815,-4.2806673,-0.24887627,92.63743
128,0.85963815,-7.1834197,-0.3751613,197.37688
129,0.85963815,-7.1834197,-0.36018234,187.4673
130,0.85963815,-5.344511,-0.29832125,132.78304
131,0.85963815,-4.772375,-0.16429529,92.04697
132,0.85963815,-3.725707,-0.19544025,95.661934
133,0.85963815,-4.0005193,-0.25817838,112.569466
134,0.85963815,-6.778603,-0.22064912,120.127106
135,0.85963815,-6.778603,-0.29185638,137.57607
136,0.85963815,-3.1396172,0.012465787,45.80355
137,0.85963815,-11.652915,-0.27980995,254.46152
138,0.85963815,-5.5888643,-0.26117307,158.14183
139,0.85963815,-6.2553663,-0.13688515,103.38276
140,0.85963815,-4.2411594,-0.12675615,79.3732
141,0.85963815,-4.734182,-0.20524476,112.19783
142,0.85963815,-5.4754734,-0.13874225,102.43281
143,0.85963815,-6.0493236,-0.27370334,115.48422
144,0.85963815,-5.428892,-0.21536066,112.915184
145,0.85963815,-3.4562888,-0.05303335,58.367714
146,0.85963815,-4.214316,-0.24546778,95.142075
147,0.85963815,-5.1724772,-0.31218114,145.53442
148,0.85963815,-7.4952397,-0.23282117,137.6296
149,0.85963815,-3.2994187,-0.10590755,64.96969
150,0.85963815,-11.497189,-0.25909078,257.8031
151,0.85963815,-11.497189,-0.13523063,182.30852
152,0.85963815,-10.059365,-0.13653463,169.3863
153,0.85963815,-10.059365,-0.27809426,163.357
154,0.85963815,-9.2881565,-0.32389718,212.29405
155,0.85963815,-12.412542,-0.210874,195.7353
156,0.85963815,-5.2537074,-0.3010103,113.56559
157,0.85963815,-7.847333,-0.24809295,154.9936
158,0.85963815,-10.200527,-0.28603834,177.86029
159,0.85963815,-6.9522524,-0.104729116,91.71485
160,0.85963815,-4.4311185,-0.31518096,120.12415
161,0.85963815,-3.9954557,-0.1928375,88.06832
162,0.85963815,-5.316823,-0.3023063,142.01651
163,0.85963815,-5.7100043,-0.28955188,148.51088
164,0.85963815,-4.222143,-0.25897732,111.256546
165,0.85963815,-4.222143,-0.2092505,93.61312
166,0.85963815,-5.007646,-0.15068363,94.91212
167,0.85963815,-8.57958,-0.3067084,203.68454
168,0.85963815,-4.7778835,-0.26752037,130.86241
169,0.85963815,-4.7778835,-0.20798704,104.896614
170,0.85963815,-9.215054,-0.2867895,208.19426
171,0.85963815,-9.701391,-0.33617228,233.82387
172,0.85963815,-2.8775897,-0.07800832,63.985085
173,0.85963815,-4.1973085,-0.2073217,98.52377
174,0.85963815,-3.0047884,-0.19946581,85.505424
175,0.85963815,-4.775515,-0.18013552,111.114426
176,0.85963815,-5.169951,-0.16044287,88.04447
177,0.85963815,-5.9801917,-0.22581749,135.44475
178,0.85963815,-4.804452,-0.23182468,117.470146
179,0.85963815,-8.478515,-0.3330053,164.58644
180,0.85963815,-13.782712,-0.35181683,290.99213
181,0.85963815,-4.7899985,-0.26909456,109.39713
182,0.85963815,-4.4991016,-0.30584124,125.38733
183,0.85963815,-4.462254,-0.16720097,83.24095
184,0.85963815,-10.790767,-0.2633522,185.4187
185,0.85963815,-7.707136,-0.25957927,184.05841
186,0.85963815,-4.074119,-0.030182237,69.25276
187,0.85963815,-3.2651625,0.0044276495,64.4797
188,0.85963815,-4.8311067,-0.13394578,99.855705
189,0.85963815,-4.028218,-0.08248192,77.992355
190,0.85963815,-12.403085,-0.22193745,234.21413
191,0.85963815,-6.0341673,-0.22979364,103.1394
192,0.85963815,-6.4729576,-0.11314585,92.95428
193,0.85963815,-3.5602689,-0.15930235,79.65549
194,0.85963815,-3.6247158,-0.19742832,82.55524
195,0.85963815,-4.7119694,-0.30408645,130.95448
196,0.85963815,-8.684189,-0.539233,272.2843
197,0.85963815,-8.275578,-0.53945464,259.9731
198,0.85963815,-4.330287,-0.3557467,127.02392
199,0.85963815,-4.7257476,-0.20359795,103.14449
200,0.85963815,-3.2966704,-0.07385438,51.252445
