neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,-0.0,0.51766086,0.0,0.5109763,0.0,0.51308227,0.0,0.51582223,0.0
0.4595388,-0.020935241,0.50770366,0.0,0.503734,0.0,0.49711144,0.0,0.5064375,0.0
0.45883474,-0.041870482,0.498836,0.0,0.49636906,0.0,0.48221606,0.0,0.49648267,0.0
0.45684454,-0.06280573,0.4907935,0.0,0.4889752,0.0,0.46832383,0.0,0.48612183,0.0
0.45368925,-0.083740965,0.48334542,0.0,0.4816159,0.0,0.45536217,0.0,0.47549948,0.0
0.44948798,-0.10467621,0.47629556,0.0,0.47433004,0.0,0.4432589,0.0,0.46474156,0.0
0.44435742,-0.12561145,0.46948093,0.0,0.4671368,0.0,0.43194315,0.0,0.45395628,0.0
0.43841138,-0.14654668,0.46276966,0.0,0.4600399,0.0,0.4213455,0.0,0.443235,0.0
0.43176028,-0.16748193,0.45605814,0.0,0.45303205,0.0,0.4113984,0.0,0.432653,0.0
0.42451027,-0.18841717,0.44926798,0.0,0.44609806,0.0,0.40203652,0.0,0.42227054,0.0
0.4167626,-0.20935242,0.44234294,0.0,0.43921813,0.0,0.39319697,0.0,0.4121339,0.0
0.40861264,-0.23028764,0.435246,0.0,0.43237022,0.0,0.38481972,0.0,0.40227675,0.0
0.40014926,-0.2512229,0.4279564,0.0,0.42553192,0.0,0.3768478,0.0,0.3927214,0.0
0.39145407,-0.27215812,0.420467,0.0,0.41868222,0.0,0.36922774,0.0,0.38348028,0.0
0.38260093,-0.29309335,0.41278183,0.0,0.41180238,0.0,0.36190975,0.0,0.3745572,0.0
0.37365544,-0.31402862,0.40491366,0.0,0.40487692,0.0,0.35484806,0.0,0.365949,0.0
0.36467502,-0.33496386,0.39688197,0.0,0.3978939,0.0,0.34800097,0.0,0.35764676,0.0
0.3557087,-0.35589907,0.38871095,0.0,0.39084533,0.0,0.34133115,0.0,0.34963712,0.0
0.34679744,-0.37683433,0.3804279,0.0,0.38372695,0.0,0.33480558,0.0,0.34190345,0.0
0.3379746,-0.39776957,0.3720617,0.0,0.37653825,0.0,0.32839552,0.0,0.3344268,0.0
0.32926625,-0.41870484,0.36364147,0.0,0.36928198,0.0,0.32207647,0.0,0.327187,0.0
0.320692,-0.43964005,0.35519573,0.0,0.3619639,0.0,0.31582803,0.0,0.32016334,0.0
0.3122656,-0.46057528,0.3467513,0.0,0.35459223,0.0,0.3096337,0.0,0.31333524,0.0
0.30399567,-0.48151055,0.3383329,0.0,0.3471771,0.0,0.30348048,0.0,0.3066828,0.0
0.30322555,0.46505943,0.33105215,0.0,0.33985484,0.0,0.29737452,0.0,0.30018926,0.0
0.30148518,0.44412422,0.32460704,0.0,0.33271214,0.0,0.29133195,0.0,0.293842,0.0
0.29894763,0.42318895,0.31876016,0.0,0.32579848,0.0,0.28537276,0.0,0.28763258,0.0
0.29575676,0.4022537,0.31332734,0.0,0.31913593,0.0,0.2795168,0.0,0.2815562,0.0
0.29203287,0.3813185,0.30816817,0.0,0.31272748,0.0,0.27378115,0.0,0.2756108,0.0
0.2878772,0.36038324,0.3031773,0.0,0.30656287,0.0,0.268179,0.0,0.26979625,0.0
0.2833753,0.33944798,0.2982774,0.0,0.30062377,0.0,0.262719,0.0,0.2641135,0.0
0.2785998,0.31851277,0.29341352,0.0,0.2948873,0.0,0.25740543,0.0,0.25856385,0.0
0.2736125,0.29757753,0.2885481,0.0,0.28932852,0.0,0.2522386,0.0,0.25314835,0.0
0.26846594,0.27664226,0.28365725,0.0,0.28392267,0.0,0.24721543,0.0,0.24786742,0.0
0.26320487,0.25570706,0.27872744,0.0,0.27864614,0.0,0.24233022,0.0,0.24272051,0.0
0.25786704,0.2347718,0.27375302,0.0,0.27347752,0.0,0.23757522,0.0,0.23770607,0.0
0.25248438,0.21383655,0.26873407,0.0,0.26839802,0.0,0.2329414,0.0,0.23282139,0.0
0.24708341,0.19290128,0.26367486,0.0,0.2633916,0.0,0.22841898,0.0,0.22806284,0.0
0.24168615,0.17196609,0.25858235,0.0,0.2584451,0.0,0.22399798,0.0,0.22342584,0.0
0.23631045,0.15103082,0.2534654,0.0,0.25354806,0.0,0.21966858,0.0,0.21890506,0.0
