neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5109763,0.0,0.51308227,0.0,0.51582223,0.0
0.45993918,0.039989334,0.5077532,0.0,0.50373876,0.0,0.49711195,0.0,0.50643754,0.0
0.45998,0.07991469,0.49902296,0.0,0.4963916,0.0,0.4822189,0.0,0.49648303,0.0
0.45903343,0.119712204,0.49123436,0.0,0.48903874,0.0,0.46833318,0.0,0.4861232,0.0
0.45718256,0.15931821,0.48417708,0.0,0.4817554,0.0,0.45538566,0.0,0.47550333,0.0
0.4545144,0.19866931,0.47766876,0.0,0.47459245,0.0,0.44330853,0.0,0.46475053,0.0
0.45111793,0.23770262,0.4715549,0.0,0.46758068,0.0,0.43203616,0.0,0.45397484,0.0
0.4470826,0.27635565,0.46570793,0.0,0.46073508,0.0,0.42150503,0.0,0.44326976,0.0
0.44249687,0.31456655,0.46002513,0.0,0.4540584,0.0,0.4116539,0.0,0.43271336,0.0
0.43744707,0.3522742,0.45442635,0.0,0.4475445,0.0,0.402424,0.0,0.42236918,0.0
0.43201622,0.38941833,0.44885147,0.0,0.44118103,0.0,0.39375898,0.0,0.41228724,0.0
0.426283,0.42593947,0.44325775,0.0,0.4349522,0.0,0.3856051,0.0,0.40250516,0.0
0.420321,0.46177918,0.4376173,0.0,0.42884046,0.0,0.3779115,0.0,0.39304957,0.0
0.41419786,0.4968801,0.43191475,0.0,0.42282802,0.0,0.37063023,0.0,0.38393727,0.0
0.4079748,0.5311862,0.42614478,0.0,0.4168982,0.0,0.36371645,0.0,0.37517676,0.0
0.40170634,0.5646424,0.42031035,0.0,0.4110361,0.0,0.3571287,0.0,0.36676925,0.0
0.39543992,0.59719545,0.41442057,0.0,0.40522924,0.0,0.35082892,0.0,0.3587101,0.0
0.38921604,0.628793,0.4084891,0.0,0.39946783,0.0,0.34478253,0.0,0.3509901,0.0
0.38306835,0.65938467,0.4025326,0.0,0.39374477,0.0,0.33895856,0.0,0.34359628,0.0
0.37702405,0.68892145,0.39656958,0.0,0.38805577,0.0,0.3333295,0.0,0.33651316,0.0
0.37110418,0.7173561,0.39061904,0.0,0.38239902,0.0,0.3278713,0.0,0.32972354,0.0
0.36532417,0.7446431,0.3846999,0.0,0.376775,0.0,0.3225633,0.0,0.32320914,0.0
0.3596944,0.7707389,0.37883005,0.0,0.37118596,0.0,0.31738785,0.0,0.3169514,0.0
0.35422087,0.7956016,0.3730259,0.0,0.36563587,0.0,0.3123304,0.0,0.31093183,0.0
0.34890562,0.8191916,0.36730185,0.0,0.36012977,0.0,0.30737892,0.0,0.30513257,0.0
0.34374762,0.84147096,0.3616703,0.0,0.3546735,0.0,0.30252394,0.0,0.2995366,0.0
0.33874315,0.8624042,0.35614124,0.0,0.34927338,0.0,0.29775807,0.0,0.29412803,0.0
0.33388636,0.88195777,0.35072255,0.0,0.34393585,0.0,0.29307586,0.0,0.2888922,0.0
0.32916987,0.90010047,0.3454197,0.0,0.33866712,0.0,0.28847337,0.0,0.2838158,0.0
0.32458508,0.9168031,0.3402361,0.0,0.33347315,0.0,0.28394794,0.0,0.2788869,0.0
0.32012278,0.9320391,0.33517322,0.0,0.32835925,0.0,0.27949804,0.0,0.27409488,0.0
0.31577316,0.94578403,0.33023074,0.0,0.32333,0.0,0.27512288,0.0,0.26943043,0.0
0.31152645,0.95801586,0.32540694,0.0,0.3183892,0.0,0.27082226,0.0,0.2648854,0.0
0.30737278,0.9687151,0.32069868,0.0,0.31353986,0.0,0.26659635,0.0,0.26045278,0.0
0.30330268,0.9778646,0.3161018,0.0,0.30878395,0.0,0.26244554,0.0,0.2561266,0.0
0.29930705,0.98544973,0.3116113,0.0,0.3041226,0.0,0.25837025,0.0,0.25190172,0.0
0.29537728,0.99145836,0.30722153,0.0,0.2995561,0.0,0.25437087,0.0,0.2477737,0.0
0.29150534,0.99588084,0.30292645,0.0,0.29508394,0.0,0.25044763,0.0,0.24373879,0.0
0.28768376,0.99871016,0.29871964,0.0,0.29070485,0.0,0.24660051,0.0,0.23979369,0.0
0.2839057,0.9999417,0.29459465,0.0,0.28641686,0.0,0.24282922,0.0,0.23593555,0.0
0.2801649,0.9995736,0.29054487,0.0,0.28221747,0.0,0.2391332,0.0,0.23216182,0.0
0.27645567,0.9976064,0.28656384,0.0,0.27810374,0.0,0.23551154,0.0,0.22847016,0.0
0.27277294,0.99404323,0.2826453,0.0,0.27407217,0.0,0.23196298,0.0,0.22485839,0.0
0.269112,0.98888975,0.27878308,0.0,0.27011904,0.0,0.228486,0.0,0.22132443,0.0
0.26546875,0.9821543,0.27497143,0.0,0.26624036,0.0,0.22507878,0.0,0.21786623,0.0
0.26183945,0.9738476,0.27120474,0.0,0.2624319,0.0,0.22173916,0.0,0.21448171,0.0
0.25822076,0.963983,0.26747784,0.0,0.25868937,0.0,0.2184648,0.0,0.21116878,0.0
0.2546096,0.9525762,0.26378578,0.0,0.25500843,0.0,0.21525317,0.0,0.2079253,0.0
0.25100332,0.93964547,0.26012403,0.0,0.25138468,0.0,0.2121015,0.0,0.20474905,0.0
0.2473994,0.92521155,0.25648826,0.0,0.24781382,0.0,0.20900695,0.0,0.20163772,0.0
0.2437956,0.9092974,0.25287452,0.0,0.24429154,0.0,0.20596652,0.0,0.19858895,0.0
0.24018991,0.8919287,0.24927911,0.0,0.24081372,0.0,0.20297718,0.0,0.1956003,0.0
0.23658043,0.873133,0.24569866,0.0,0.23737629,0.0,0.20003581,0.0,0.19266924,0.0
0.23296547,0.85294056,0.24213,0.0,0.23397535,0.0,0.19713934,0.0,0.1897932,0.0
0.22934344,0.8313835,0.23857026,0.0,0.23060715,0.0,0.19428463,0.0,0.18696956,0.0
0.22571294,0.80849636,0.23501675,0.0,0.22726811,0.0,0.19146866,0.0,0.18419567,0.0
0.22207262,0.78431594,0.23146701,0.0,0.22395483,0.0,0.18868838,0.0,0.18146883,0.0
0.21842128,0.75888073,0.22791876,0.0,0.22066404,0.0,0.18594085,0.0,0.1787864,0.0
0.21475784,0.7322315,0.22436993,0.0,0.2173927,0.0,0.18322317,0.0,0.17614567,0.0
0.21108134,0.70441085,0.22081862,0.0,0.2141379,0.0,0.18053259,0.0,0.173544,0.0
0.20739089,0.67546326,0.21726307,0.0,0.21089692,0.0,0.17786638,0.0,0.17097875,0.0
0.20368575,0.645435,0.21370173,0.0,0.20766723,0.0,0.17522201,0.0,0.16844735,0.0
