fitness,g0,g1,g2,g3,g4,g5
0.61384416,0.9782039,0.243999,0.32388437,-0.9769362,-0.41556168,-0.5283928
0.6138585,0.3892311,0.8543695,0.58119285,0.76325786,0.83028567,0.6979909
0.61402565,0.070487976,-0.27508032,-0.035413384,0.8415561,-0.6576023,0.95798457
0.6139046,0.81351626,0.7448447,-0.31032026,0.25229132,0.54414046,0.41094935
0.6137794,0.99247897,0.33553505,-0.39688492,0.14193535,-0.63552415,-0.17206562
0.61408865,0.8054986,0.88932824,-0.69866896,0.54481924,0.4160415,0.0943563
0.6140332,0.7281139,-0.9532963,-0.5229933,-0.23841572,-0.62048817,0.27824414
0.61401445,0.2494278,0.40585113,0.57873774,-0.801888,-0.4179982,0.56138325
0.6139072,0.45295656,0.35199165,0.5362767,-0.46653175,0.74247646,0.68305826
0.61396074,0.46839976,0.0076212883,0.4246825,-0.6659349,0.34832263,0.23793423
0.61398256,0.23605168,0.4971764,0.26009822,-0.21089208,0.25916898,-0.10961211
0.61393666,0.15214515,0.6049422,0.4130057,-0.37294865,-0.67725575,-0.33699358
0.6140465,-0.9579488,0.95404553,-0.3016714,0.90804684,0.23028278,-0.5710374
0.61386037,0.36124313,0.67403996,0.3935672,0.10331297,-0.9857354,-0.25524008
0.6140169,-0.3452325,-0.561887,0.11538637,-0.59466875,0.7588477,-0.4841354
0.61404526,-5.7673454E-4,-0.82222784,-0.44787097,-0.29467487,0.79426515,-0.3362857
0.6138418,-0.4250517,-0.18129933,0.9362472,0.17547,0.20294547,0.085466266
0.6140214,-0.39149106,0.27827048,-0.69050455,-0.6422368,-0.5192758,0.55081856
0.61363184,0.9392104,0.6311654,-0.92090917,-0.54920185,-0.9440141,-0.29723036
0.61395365,-0.63405395,-0.15085602,0.11026597,0.8674108,-0.2610637,0.61697054
0.6136955,-0.93629193,-0.425125,-0.79359996,-0.21588147,-0.5002775,-0.8206779
0.6138908,0.75275147,-0.12504506,-0.11993086,-0.6024525,0.9863013,0.2718866
0.6139217,0.33525324,0.3668698,0.9360752,0.9299513,-0.59942496,0.97746587
0.61397195,0.51010585,-0.7817521,-0.27883494,-0.52194023,0.54538286,-0.055945992
0.613894,-0.14575386,0.6199691,0.62639654,0.87567246,-0.39227915,0.06875026
0.61396104,0.21570718,-0.060500503,0.2698139,-0.4542799,0.40857947,0.79982483
0.6140072,-0.5220853,-0.9745835,-0.016571403,-0.5367248,-0.938198,0.8049203
0.6138512,-0.9136083,-0.6270709,0.054830194,-0.14521646,-0.84060967,-0.6414623
0.61388475,-0.2809986,-0.95602167,-0.5632701,-0.95555544,-0.56400776,-0.43503118
0.61383784,-0.5485821,-0.50880885,-0.82474613,-0.74374604,-0.6605996,-0.88811636
0.6138709,0.32417762,0.5457455,0.9889946,0.42608404,-0.1934483,0.45931923
0.6139465,-0.25879788,0.73454607,-0.34391582,-0.185125,-0.1432519,-0.3204397
0.61388534,0.2881062,0.3877114,-0.93247974,-0.0096104145,0.18789482,-0.7977159
0.61399704,0.7991842,-0.5648122,-0.055456996,0.51610386,0.9009812,0.769583
