fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
-3.0481803,-0.3620795,0.2118213,0.53180754,-0.1443491,0.23196077,0.03941307,-0.07967937,-0.43988085,0.035770435,0.9947736,-0.47010592,0.14310813,0.250066,0.0792855
-1.9720186,-0.17342646,0.996285,-0.16714513,0.37133515,-0.16217762,0.5260037,0.6489531,-0.46023077,0.67254186,0.20425165,0.9813454,-0.4734012,-0.8569381,-0.96765906
-3.002549,-0.24314265,-0.036393974,0.47385448,0.12859955,-0.20821474,-0.118712604,0.18083817,-0.15559071,0.61789244,-0.20655389,0.9863651,0.19873877,0.15357706,-0.4613263
-3.3866253,0.534456,0.72598076,-0.4315086,0.21112229,0.40184757,-0.23295091,-0.15210712,0.044840574,0.69838,-0.26353836,0.75936854,-0.6653409,-0.13444611,0.59922785
-3.7002704,0.8493211,-0.5321537,-0.8186633,-0.77693576,-0.097351566,0.25327298,-0.46241188,0.057625014,0.16241649,-0.34490004,-0.2073034,0.5679267,0.8993855,-0.71192193
-3.0540943,-0.34839916,-0.13096386,-0.04871462,0.18114628,0.33595374,0.94995713,-0.50439024,0.7066784,0.37341905,-0.11808425,-0.26607484,0.10021587,-0.088199735,0.4480919
-3.3224397,0.21903343,-0.123617314,0.04292493,0.02095012,-0.6918883,0.37928683,-0.4728521,-0.48316672,0.5740696,-0.0531661,-0.04334694,-0.31093222,0.90437764,0.21214207
-2.464651,-0.273852,0.46739548,0.4579441,-0.30144426,-0.21576162,0.22493939,0.3342095,0.3729582,7.18832E-4,0.19810848,-0.6170669,-0.8635107,0.0950174,-0.115180135
-1.9049056,-0.20945637,0.4853611,-0.562758,-0.5130586,-0.6567496,-0.37420616,0.64851844,0.112269275,-0.057615053,-0.39830753,0.98185235,-0.31297776,-0.95259374,-0.6760392
-3.9960809,0.0059934855,-0.24991052,-0.40499577,0.37194103,0.3512454,-0.8356857,-0.23148394,-0.058906674,-0.024195043,0.22497185,0.7110553,-0.08180004,0.12956712,-0.0589
-2.2232893,0.6320906,-0.24709742,-0.30112916,-0.29359835,-0.8128204,0.14702536,-0.5527433,0.8028304,0.31064254,-0.56804574,0.049178846,-0.6163191,-0.864108,0.4608204
-3.6186109,0.7679123,0.026269345,-0.8869556,0.5374519,0.39090276,-0.07877603,-0.8492979,-0.032193147,0.14823845,0.34575844,-0.8397824,0.20839939,-0.22148535,0.26155043
-3.7954383,0.5902939,-0.31851318,-0.83165526,0.18983302,0.60912144,0.08770043,-0.36305496,0.06499366,-0.021337926,-0.21792364,-0.06566118,0.6923921,-0.07971032,0.45639533
-2.5799139,-0.5889653,0.7269107,0.23706262,-0.99660933,-0.026414752,-0.012948064,-0.17155564,-0.7854869,-0.27591237,0.80552197,-0.0898565,-0.67821544,0.77778953,-0.29392403
-2.4857361,-0.11202547,0.6805192,-0.56302637,-0.21744704,0.5622149,-0.22388746,-0.20687883,0.13708259,0.3178872,-0.028858079,0.20234191,-0.39349484,-0.8625898,0.54006803
-2.0473876,0.09087956,-0.16209854,0.7176504,0.3979906,-0.4042525,0.12905286,0.6266964,0.093557015,0.046244927,0.23653018,0.014044707,-0.8963092,-0.6354689,-0.17519248
-3.187417,-0.50016636,0.44496378,-0.39262936,-0.8585699,0.7241368,0.13377428,-0.14232695,0.07345004,0.00627625,0.31975192,0.6354048,-0.22151265,-0.30010816,-0.6837905
-3.5614643,0.048472818,0.08911068,-0.4467757,-0.22567365,-0.40799636,-0.9939188,-0.41578567,0.19368072,0.022206279,0.86185455,-0.054098964,-0.8348885,-0.2998219,0.20493525
-2.982667,-0.3045175,0.64775926,0.18736377,0.059153188,0.7775217,-0.2886867,-0.16729498,-0.6580776,-0.4119498,0.074245244,0.48224074,0.17241193,0.4662205,0.2337215
-2.5080853,0.093699746,-0.12138638,-0.5343303,-0.6338992,0.17069723,-0.6212357,-0.9190161,0.06328828,0.37045056,0.61491895,-0.61332595,-0.6770747,-0.071439944,-0.15925017
-2.6264615,0.021934472,0.08754492,-0.4670181,-0.06095588,-0.37277538,0.47175676,-0.028137326,-0.08259841,0.013695679,-0.15272056,-0.14868104,0.08424824,-0.5506806,-0.21848318
-2.3544548,0.8312088,0.630545,-0.13660087,0.1251384,-0.5793734,0.8329582,0.11598896,0.51039845,-0.34055912,-0.26439112,0.28555715,0.036217134,-0.80506414,0.99303657
-1.98108,0.18523419,-0.07876286,0.08346375,-0.5877874,-0.29552528,0.3079125,0.0070234863,0.0029314198,0.6155702,0.32534164,0.5323501,-0.59046006,-0.85774064,0.05882416
-2.5265841,0.44875112,-0.09758549,-0.23071289,0.45569417,-0.09331384,-0.5372219,-0.4223548,0.82523423,0.11862397,0.09298151,-0.7975167,-0.74819803,0.0435702,-0.07350868
-2.3718324,-0.55168253,0.0467372,0.49376056,0.019582868,-0.20540237,-0.7297486,0.22331174,-0.42550898,0.13006097,0.24522781,0.07381364,-0.5212236,-0.73633146,0.62765807
-2.257182,0.14450274,-0.15947737,-0.10841305,0.28125787,-0.54490113,-0.40544507,0.10176669,-0.36572215,-0.26517355,0.64838535,-0.21996236,-0.10949345,-0.79505587,-0.57630056
-2.55843,-0.21876617,-0.68721396,0.20017011,0.14495201,0.2573893,-0.026949815,0.18948004,0.0855993,0.25335768,-0.813492,0.7281558,-0.105770774,-0.6784191,0.582027
-3.8484607,-0.5442684,-0.8473452,0.10486001,0.8730608,0.6653535,0.313899,-0.5040293,-0.23596506,-0.504262,-0.87154555,0.6643486,-0.6405286,0.065958455,0.031593766
-2.064683,-0.23120888,-0.8166153,0.16195086,0.19176,-0.7235703,0.5513732,0.23058572,-0.75501543,0.01674056,0.913122,0.5354936,-0.4414311,-0.9928483,0.70162964
-2.2960994,-0.86171824,-0.59390867,-0.40434435,0.2624303,-0.36807826,-0.14505804,0.6354746,-0.28955176,0.015088558,0.21023004,0.4966065,-0.46871528,-0.7199236,-0.03665857
-2.1022835,0.31945184,-0.06137085,-0.9776783,0.60781324,-0.85705465,-0.0959736,0.14925897,-0.3824478,0.043971337,-0.4216512,-0.2787438,-0.7480813,-0.7496226,0.98600215
-2.9324634,0.31258854,-0.26226,-0.0074773254,0.7021774,0.7195388,0.7011423,-0.020289395,0.14831217,0.73344344,0.34756368,0.17382872,0.6326492,-0.22074208,0.44893202
-2.9903884,0.7269719,-0.46971944,-0.8478355,0.018341988,-0.119654454,-0.87669235,0.2445369,-0.28785008,0.988817,-0.9255178,0.08523238,0.4959689,-0.365296,0.29950956
-2.9955566,-0.7445363,0.25020966,-0.09986436,0.9358525,-0.2313853,-0.19500628,-0.9410785,-0.3062627,-0.048746433,-0.42150745,0.055404436,0.37344265,-0.06740403,-0.34236062
-2.3351085,-0.90742934,-0.85316813,0.31402457,0.32358202,-0.46046543,-0.5484493,0.5889793,0.5789395,-0.3995395,0.922309,-0.6896819,-0.9942983,0.09004255,4.119647E-4
-3.1318645,-0.56871295,0.34240893,-0.44767034,0.05080247,-0.22877958,0.542712,0.8690323,-0.75063413,-0.037220903,0.9546489,0.8532335,0.5886273,-0.28146592,-0.22836907
-3.0611649,-0.6403042,-0.27318677,-0.7325861,0.01866901,0.044128977,0.67609835,0.54430884,-0.7537139,-0.25393248,0.5504338,0.52852213,-0.002983256,0.66156083,0.6604163
-2.1453357,-0.35221407,0.3868781,0.54807407,0.7645016,-0.47744495,0.25787863,0.8281533,0.18342628,0.6620755,0.56099945,0.41477785,-0.40775114,-0.89163476,-0.06609939
-3.0292275,0.14622602,0.24435556,-0.37832817,0.1839508,0.33039373,-0.035397053,0.26830843,0.43983227,-0.8219998,-0.020099029,0.64117473,0.018331904,-0.13617033,0.19010995
-3.8342164,0.24090983,-0.3649738,-0.26211378,0.25374553,0.1324798,0.15750791,-0.70396096,0.5806505,-0.9388837,-0.20037796,0.6950488,0.9279876,0.4967718,0.48216787
-2.3107452,-0.16987407,-0.6671153,-0.67019516,-0.56300014,-0.9696839,0.37923947,-0.44626343,0.010530602,0.57450676,0.9577024,0.16878091,0.1141924,-0.7368032,-0.120162964
-3.6533115,0.774549,-0.07203603,0.7525753,0.4840846,-0.4243153,-0.33009547,0.48126826,-0.70291543,0.20242026,0.9584765,-0.4152436,0.20413873,-0.2059238,0.47960058
-2.9454267,-0.052651525,0.033982296,-0.39910582,-0.582896,0.3055532,0.7564185,0.7605192,0.65401745,0.7468287,0.053500623,0.32448363,0.2585323,0.15574932,-0.8818092
-2.2422476,0.5938479,-0.13682409,0.016186364,-0.6083376,-0.47431514,0.37937832,-0.075516365,0.6543907,0.61873454,0.63518906,0.009918003,-0.3322826,-0.68282694,0.3864025
-2.9958613,-0.3449564,0.8686196,0.58066404,-0.021705745,0.23876475,0.2758829,-0.62837875,-0.37040368,-0.4054524,0.55062133,-0.6389648,0.2967889,-0.68899846,-0.6727619
-2.927524,-0.7179591,0.08503185,-0.2496823,0.20455939,-0.46074316,0.68925405,0.21733405,0.4064647,0.9225011,0.03714955,0.4390348,0.15683353,0.0460715,-0.5664667
-1.915373,0.8093364,0.23467027,-0.8987276,-0.38788894,-0.58450997,0.12609735,0.58976513,0.38013414,0.44125786,-0.63288873,0.72839105,-0.3865076,-0.9228145,-0.22832118
-2.4573355,0.25859746,-0.09808021,0.00687148,-0.76981443,0.79437816,-0.04434356,-0.34150612,-0.7891079,-0.39292154,-0.2886871,0.2769913,-0.13050616,-0.95497185,-0.2588911
-3.2840838,-0.24676216,-0.1342678,0.6601928,-0.5026497,0.038473524,0.77908564,-0.33635163,-0.4864012,0.1606854,-0.35328823,-0.27078298,0.8637241,0.3994112,-0.4378842
-3.8592856,-0.5748172,-0.17824829,-0.9210518,0.22379333,0.3527767,0.7295576,0.67312515,-0.3402605,0.9407039,0.2469307,0.36629033,-0.6391364,0.048461914,0.79021066
-2.636476,0.74190396,0.32437578,0.19611347,0.3843126,0.11362097,-0.09343754,0.0029724156,-0.05153346,0.56036055,0.049337983,-0.7571247,-0.60818356,-0.29778457,-0.7599929
-2.124244,0.5834462,0.3312656,-0.8070725,-0.6850445,-0.70568967,-0.8314128,0.5071488,-0.6071792,-0.16041005,0.18346784,0.624305,-0.24989581,-0.7194846,-0.39241984
-3.500883,0.7641596,0.055202957,0.34229016,0.8698881,-0.89936066,-0.107253455,0.10878107,0.53500557,-0.33239436,0.40031135,-0.30547798,-0.6911771,0.11463773,-0.58906674
-2.3110414,-0.47914568,-0.42242777,0.47088292,-0.043138366,-0.37430158,0.13665615,0.11574294,-0.42968518,0.6028219,-0.78253865,0.7010046,-0.37643886,-0.6498683,0.10048722
-4.007234,0.85601383,-0.94412714,-0.1387552,-0.66286516,-0.041028224,-0.51890844,0.59566236,0.0072080544,-0.11329983,0.3933574,0.029067414,-0.2525953,0.17567654,-0.90280986
-2.8559017,-0.7279468,-0.7470945,0.16223523,-0.23126727,0.04436323,-0.3625858,-0.4475987,0.036853243,0.0429672,-0.6456516,0.6847131,-0.6364905,-0.40607533,-0.5412449
