neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45923305,0.0,0.42344022,0.0,0.46682137,0.0,0.5204779,0.0,0.41528362,0.0
0.4634564,0.039989334,0.391839,0.0,0.49983785,0.0,0.63451034,0.0,0.29053813,0.0
0.46554688,0.07991469,0.3586248,0.0,0.5326868,0.0,0.73750556,0.0,0.16718929,0.0
0.46556476,0.119712204,0.3239497,0.0,0.5651312,0.0,0.8220228,0.0,0.052368864,0.0
0.46368605,0.15931821,0.28798318,0.0,0.5969362,0.0,0.88526154,0.0,-0.049279995,0.0
0.4601591,0.19866931,0.2509029,0.0,0.6278773,0.0,0.9289559,0.0,-0.1359975,0.0
0.45525622,0.23770262,0.21288848,0.0,0.65774745,0.0,0.95731694,0.0,-0.20822391,0.0
0.44923776,0.27635565,0.17411816,0.0,0.68636423,0.0,0.9749042,0.0,-0.26759174,0.0
0.44233325,0.31456655,0.13476695,0.0,0.71357507,0.0,0.985468,0.0,-0.31612763,0.0
0.43473598,0.3522742,0.095005944,0.0,0.7392608,0.0,0.99167556,0.0,-0.35579643,0.0
0.42660454,0.38941833,0.055001874,0.0,0.763338,0.0,0.9952686,0.0,-0.38830775,0.0
0.4180676,0.42593947,0.014916625,0.0,0.78575844,0.0,0.99732614,0.0,-0.41507035,0.0
0.40922934,0.46177918,-0.025093378,0.0,0.80650723,0.0,0.99849534,0.0,-0.43721366,0.0
0.4001739,0.4968801,-0.06487793,0.0,0.8255997,0.0,0.999156,0.0,-0.4556319,0.0
0.39096978,0.5311862,-0.10429395,0.0,0.8430769,0.0,0.99952763,0.0,-0.47103032,0.0
0.38167268,0.5646424,-0.14320643,0.0,0.85900104,0.0,0.9997361,0.0,-0.48396578,0.0
0.37232807,0.59719545,-0.18148941,0.0,0.87345034,0.0,0.99985266,0.0,-0.49487984,0.0
0.36297324,0.628793,-0.2190268,0.0,0.886514,0.0,0.9999178,0.0,-0.5041247,0.0
0.35363853,0.65938467,-0.25571325,0.0,0.8982885,0.0,0.99995416,0.0,-0.51198304,0.0
0.34434873,0.68892145,-0.29145485,0.0,0.90887326,0.0,0.99997437,0.0,-0.5186836,0.0
0.33512387,0.7173561,-0.32616946,0.0,0.9183679,0.0,0.9999857,0.0,-0.5244125,0.0
0.3259799,0.7446431,-0.35978714,0.0,0.92687,0.0,0.999992,0.0,-0.5293224,0.0
0.31692934,0.7707389,-0.39225006,0.0,0.9344728,0.0,0.9999955,0.0,-0.5335391,0.0
0.3079818,0.7956016,-0.4235126,0.0,0.94126457,0.0,0.9999975,0.0,-0.5371672,0.0
0.2991442,0.8191916,-0.45354083,0.0,0.94732755,0.0,0.99999857,0.0,-0.5402937,0.0
0.29042134,0.84147096,-0.48231202,0.0,0.95273757,0.0,0.9999992,0.0,-0.5429917,0.0
0.2818159,0.8624042,-0.5098142,0.0,0.95756406,0.0,0.9999995,0.0,-0.54532284,0.0
0.27332887,0.88195777,-0.53604496,0.0,0.9618699,0.0,0.99999976,0.0,-0.547339,0.0
0.2649597,0.90010047,-0.5610111,0.0,0.9657121,0.0,0.9999999,0.0,-0.5490844,0.0
0.25670648,0.9168031,-0.58472717,0.0,0.9691416,0.0,0.99999994,0.0,-0.55059665,0.0
0.24856605,0.9320391,-0.60721475,0.0,0.97220427,0.0,0.99999994,0.0,-0.5519077,0.0
0.24053422,0.94578403,-0.6285015,0.0,0.9749409,0.0,1.0,0.0,-0.5530451,0.0
0.23260587,0.95801586,-0.6486201,0.0,0.9773878,0.0,1.0,0.0,-0.55403227,0.0
0.22477499,0.9687151,-0.6676073,0.0,0.9795773,0.0,1.0,0.0,-0.5548895,0.0
0.2170349,0.9778646,-0.6855031,0.0,0.98153794,0.0,1.0,0.0,-0.5556342,0.0
0.20937827,0.98544973,-0.7023499,0.0,0.9832952,0.0,1.0,0.0,-0.5562813,0.0
0.20179722,0.99145836,-0.7181916,0.0,0.9848715,0.0,1.0,0.0,-0.5568439,0.0
0.19428337,0.99588084,-0.73307335,0.0,0.98628676,0.0,1.0,0.0,-0.557333,0.0
0.18682797,0.99871016,-0.7470406,0.0,0.98755854,0.0,1.0,0.0,-0.5577584,0.0
0.17942198,0.9999417,-0.7601387,0.0,0.9887025,0.0,1.0,0.0,-0.5581285,0.0
0.17205599,0.9995736,-0.7724125,0.0,0.9897324,0.0,1.0,0.0,-0.5584504,0.0
0.16472045,0.9976064,-0.783906,0.0,0.9906605,0.0,1.0,0.0,-0.55873054,0.0
0.15740564,0.99404323,-0.79466206,0.0,0.9914976,0.0,1.0,0.0,-0.5589743,0.0
0.15010172,0.98888975,-0.80472225,0.0,0.9922533,0.0,1.0,0.0,-0.5591865,0.0
0.14279883,0.9821543,-0.8141264,0.0,0.9929362,0.0,1.0,0.0,-0.55937123,0.0
0.13548699,0.9738476,-0.8229128,0.0,0.99355376,0.0,1.0,0.0,-0.559532,0.0
0.12815636,0.963983,-0.83111805,0.0,0.9941128,0.0,1.0,0.0,-0.55967194,0.0
0.12079711,0.9525762,-0.8387767,0.0,0.9946193,0.0,1.0,0.0,-0.55979383,0.0
0.11339953,0.93964547,-0.8459216,0.0,0.99507856,0.0,1.0,0.0,-0.5599,0.0
0.10595403,0.92521155,-0.85258377,0.0,0.9954954,0.0,1.0,0.0,-0.5599924,0.0
0.09845121,0.9092974,-0.8587924,0.0,0.9958739,0.0,1.0,0.0,-0.56007284,0.0
0.0908819,0.8919287,-0.8645749,0.0,0.996218,0.0,1.0,0.0,-0.5601429,0.0
0.083237134,0.873133,-0.86995685,0.0,0.99653107,0.0,1.0,0.0,-0.5602039,0.0
0.07550823,0.85294056,-0.8749622,0.0,0.9968161,0.0,1.0,0.0,-0.560257,0.0
0.06768682,0.8313835,-0.8796133,0.0,0.99707574,0.0,1.0,0.0,-0.56030333,0.0
0.059764855,0.80849636,-0.88393074,0.0,0.9973125,0.0,1.0,0.0,-0.5603436,0.0
0.051734664,0.78431594,-0.88793397,0.0,0.99752855,0.0,1.0,0.0,-0.56037873,0.0
0.04358895,0.75888073,-0.89164066,0.0,0.9977258,0.0,1.0,0.0,-0.5604093,0.0
