fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
-2.9921196,-0.5145777,0.43267,-0.119335376,-0.6859905,0.43583673,0.06484773,-0.0152031025,0.9598159,-0.10520458,-0.5735389,0.39604396,0.16794366,0.13774312,-0.44351047
-3.0020523,-0.2631232,-0.66956186,-0.06987626,0.4993246,-0.86800003,-0.32142773,0.9656044,0.9667503,0.30909804,0.50196254,-0.06296077,0.02816089,0.24220426,0.5175706
-1.9858457,-0.10424101,-0.22450528,-0.070248865,-0.5069574,0.44755146,-0.40084666,-0.07148496,0.18269373,0.794819,0.09959746,0.789695,-0.732117,-0.99811053,0.021028882
-2.4930892,-0.04180868,0.7127409,-0.31866634,0.26837307,0.15014052,-0.053729564,0.61382276,-0.3659704,0.12260139,-0.12147612,0.36256215,-0.31933892,-0.7741653,0.5436693
-2.7664623,-0.112360545,0.005432133,0.4996703,-0.65706843,0.2873048,0.9093099,-0.64976096,-0.5405705,0.42578614,-0.7267312,-0.062837124,0.17886196,-0.54862726,0.20549738
-2.5167947,-0.2039942,0.57335293,-0.76475,-0.5097821,0.24795872,-0.46666205,-0.27248046,-0.31636408,0.70232683,-0.5103555,0.28163,0.2527181,-0.8991239,0.012749449
-2.4686358,0.847827,-0.4235977,-0.40356445,-0.42912397,0.2924614,-0.34037644,-0.31970578,0.08778113,0.5676102,0.9813964,-0.6528958,-0.27030277,-0.59086484,-0.72995037
-2.2233512,0.3750269,0.12699582,-0.739573,-0.41847137,-0.5844167,-0.4465888,0.041306518,-0.60082144,0.15959148,-0.77403283,-0.13789976,-0.40631187,-0.68191576,0.31812432
-2.5321784,-0.23922168,-0.730255,0.32961527,-0.3908313,0.5847851,0.7313367,0.15051927,-0.8857464,-0.54850286,0.35419104,-0.28388444,-0.7336819,-0.95803297,0.18226647
-3.1133347,0.7255468,-0.061932836,-0.80636674,0.07950221,0.56099856,0.03531848,-0.36093092,0.35051817,-0.72963804,-0.994032,-0.589187,-0.86127114,-0.8261409,0.78385496
-2.8660407,-0.9836435,-0.3488224,0.6615687,-0.48277998,-0.80474335,-0.69267064,-0.2873405,0.048366904,-0.6748213,-0.11185753,-0.6119536,0.29601988,-0.59991115,-0.80518484
-2.748219,0.752507,-0.22329624,0.28966668,-0.13898611,0.48917168,0.18241179,0.5352517,-0.03245698,0.28459072,-0.50399756,-0.02768104,0.06890705,-0.58199364,0.3649343
-2.6788502,-0.7646322,0.10321082,0.33731467,0.03508284,-0.96535933,0.0101201795,-0.12425439,0.20254008,0.03314348,-0.20033705,-0.27648756,-0.22609243,-0.24608171,0.7966322
-2.2066221,-0.11310198,0.7544079,-0.08641067,-0.53561723,-0.28920907,0.0066649537,0.08232439,-0.33209988,0.43646085,-0.08415917,0.4757321,-0.94946533,-0.8260841,0.74273056
-2.8541698,-0.27421033,0.54521865,0.56162834,0.75658494,0.34704328,0.103518955,0.08049476,0.8051325,0.48032787,-0.2116401,0.5365845,0.25295034,-0.27809116,-0.3186235
-3.1808753,0.4909037,0.5481984,0.028426727,-0.94335616,-0.6462554,-0.02745732,-0.2093254,-0.6484857,0.20563015,0.21287057,-0.7734953,0.2954194,-0.44141254,-0.27810687
-2.8257859,-0.1112531,0.12730914,0.66869336,0.5131755,0.07340344,0.12284989,0.07524078,-0.44277063,-0.23319323,0.11631614,0.451487,0.03707528,-0.048853945,0.6019261
-2.8892264,-0.769581,-0.4272383,-0.9237706,0.21620704,0.7489463,-0.15800188,0.7875338,-0.48342597,-0.5267002,0.06799597,-0.0053910017,-0.32010517,-0.40364408,-0.21349162
-2.447753,0.84842736,0.33415687,0.32102332,-0.029021256,-0.1858294,0.42161652,0.0822416,-0.09616778,0.053473365,-0.7515511,-0.67811114,-0.63429546,-0.3675185,0.5311965
-1.9091176,-0.2808862,-0.8411036,-0.42009717,-0.19710533,-0.7782315,-0.09603363,0.7324957,-0.9688509,-0.33460218,0.59938765,0.8152866,-0.4094453,-0.8045939,-0.5247183
-2.3894699,-0.970544,-0.16022961,0.13016506,0.7383067,-0.89462894,-0.15699962,0.17184879,0.6224779,0.375327,-0.4853776,-0.38118088,-0.6086607,-0.6106824,-0.2408158
-3.2551596,-0.10864209,-0.30412418,0.40929684,-0.8086546,-0.24459355,0.18334897,-0.3098703,0.6894032,0.13586104,0.30327472,-0.2605541,0.44148326,0.46023,-0.76132023
-3.447545,0.50634253,-0.2964063,0.41737917,-0.37332532,0.6933301,-0.20366979,0.24058878,-0.73699117,-0.023757262,0.18599936,0.02405558,-0.66361237,-0.17303902,-0.14406875
-2.9394672,0.36075154,-0.084138155,-0.015549102,0.24378867,0.67794794,0.030034304,0.13545427,-0.19025385,0.2457115,0.3870032,-0.06609437,-0.6795758,-0.70214295,0.18266763
-2.8789496,0.39180768,-0.3939342,-0.6679064,0.17953148,0.30917525,0.4582242,-0.24155094,-0.44930387,-0.5566411,0.11568771,0.08103235,0.09609016,-0.18108399,0.40910187
-3.8613458,0.51544505,-0.45919383,-0.25761983,-0.06732607,0.55716,-0.8900221,-0.6801776,-0.34969926,0.20594423,0.60128254,-0.6673757,0.08008194,-0.022262983,0.07123494
