neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45992613,0.0,0.50191665,0.0,0.47887507,0.0,0.52060676,0.0,0.41509464,0.0
0.44953015,0.17544991,0.5400201,0.0,0.5176044,0.0,0.6342462,0.0,0.2868665,0.0
0.4453608,0.17544991,0.5755958,0.0,0.5568965,0.0,0.73721814,0.0,0.16171353,0.0
0.4474787,0.17544991,0.60917556,0.0,0.5961951,0.0,0.82194406,0.0,0.04688027,0.0
0.45544764,0.17544991,0.64116365,0.0,0.6349487,0.0,0.8854371,0.0,-0.053372674,0.0
0.4685014,0.17544991,0.6718236,0.0,0.6726299,0.0,0.9293051,0.0,-0.1378234,0.0
0.48572996,0.17544991,0.7012879,0.0,0.70875674,0.0,0.9577273,0.0,-0.2073694,0.0
0.50621885,0.17544991,0.7295818,0.0,0.74291295,0.0,0.97529036,0.0,-0.2639477,0.0
0.5291269,0.17544991,0.7566522,0.0,0.7747658,0.0,0.98578656,0.0,-0.30975756,0.0
0.55371624,0.17544991,0.78239787,0.0,0.8040769,0.0,0.99191594,0.0,-0.34684873,0.0
0.5793561,0.17544991,0.8066964,0.0,0.83070683,0.0,0.99543846,0.0,-0.37696466,0.0
0.6055152,0.17544991,0.82942677,0.0,0.8546108,0.0,0.9974402,0.0,-0.4015211,0.0
0.63175064,0.17544991,0.85048676,0.0,0.8758288,0.0,0.9985689,0.0,-0.4216415,0.0
0.6576972,0.17544991,0.8698049,0.0,0.89447045,0.0,0.9992018,0.0,-0.4382086,0.0
0.6830579,0.17544991,0.88734716,0.0,0.9106977,0.0,0.99955535,0.0,-0.45191443,0.0
0.70759606,0.17544991,0.90311855,0.0,0.92470765,0.0,0.99975234,0.0,-0.46330267,0.0
0.7311285,0.17544991,0.9171613,0.0,0.9367163,0.0,0.999862,0.0,-0.4728025,0.0
0.7535195,0.17544991,0.9295498,0.0,0.9469458,0.0,0.99992305,0.0,-0.48075488,0.0
0.77467453,0.17544991,0.9403841,0.0,0.95561343,0.0,0.999957,0.0,-0.48743227,0.0
0.79453576,0.17544991,0.94978243,0.0,0.9629251,0.0,0.9999759,0.0,-0.49305427,0.0
0.8130759,0.17544991,0.9578743,0.0,0.9690702,0.0,0.99998647,0.0,-0.49779862,0.0
0.8302939,0.17544991,0.9647937,0.0,0.9742193,0.0,0.9999924,0.0,-0.50181043,0.0
0.8462099,0.17544991,0.9706739,0.0,0.97852355,0.0,0.9999957,0.0,-0.5052088,0.0
0.86086094,0.17544991,0.9756432,0.0,0.98211485,0.0,0.99999756,0.0,-0.5080917,0.0
0.87429714,0.17544991,0.97982186,0.0,0.98510706,0.0,0.9999986,0.0,-0.51054054,0.0
0.886578,0.17544991,0.9833202,0.0,0.9875976,0.0,0.9999992,0.0,-0.51262295,0.0
0.8977695,0.17544991,0.9862377,0.0,0.9896691,0.0,0.9999995,0.0,-0.5143954,0.0
0.9079414,0.17544991,0.9886626,0.0,0.9913913,0.0,0.99999976,0.0,-0.5159053,0.0
0.917165,0.17544991,0.99067223,0.0,0.992823,0.0,0.9999998,0.0,-0.5171924,0.0
0.92551166,0.17544991,0.99233353,0.0,0.99401313,0.0,0.99999994,0.0,-0.5182903,0.0
0.9330514,0.17544991,0.993704,0.0,0.9950027,0.0,0.99999994,0.0,-0.51922715,0.0
0.9398517,0.17544991,0.9948326,0.0,0.99582577,0.0,1.0,0.0,-0.52002704,0.0
0.9459771,0.17544991,0.99576056,0.0,0.99651057,0.0,1.0,0.0,-0.52071023,0.0
0.95148826,0.17544991,0.9965227,0.0,0.99708074,0.0,1.0,0.0,-0.52129394,0.0
0.95644224,0.17544991,0.99714816,0.0,0.99755573,0.0,1.0,0.0,-0.5217927,0.0
0.96089184,0.17544991,0.997661,0.0,0.9979517,0.0,1.0,0.0,-0.52221906,0.0
0.9648859,0.17544991,0.99808127,0.0,0.998282,0.0,1.0,0.0,-0.5225836,0.0
0.9684692,0.17544991,0.99842566,0.0,0.99855775,0.0,1.0,0.0,-0.5228953,0.0
0.9716828,0.17544991,0.9987077,0.0,0.9987882,0.0,1.0,0.0,-0.5231619,0.0
0.974564,0.17544991,0.9989388,0.0,0.9989808,0.0,1.0,0.0,-0.5233899,0.0
0.9771467,0.17544991,0.9991281,0.0,0.9991421,0.0,1.0,0.0,-0.52358496,0.0
0.9794616,0.17544991,0.9992832,0.0,0.9992772,0.0,1.0,0.0,-0.5237518,0.0
0.9815364,0.17544991,0.99941033,0.0,0.9993904,0.0,1.0,0.0,-0.5238946,0.0
0.983396,0.17544991,0.99951464,0.0,0.99948543,0.0,1.0,0.0,-0.52401674,0.0
0.98506296,0.17544991,0.9996002,0.0,0.99956524,0.0,1.0,0.0,-0.5241213,0.0
0.98655736,0.17544991,0.9996703,0.0,0.99963236,0.0,1.0,0.0,-0.5242107,0.0
0.98789746,0.17544991,0.999728,0.0,0.9996888,0.0,1.0,0.0,-0.5242873,0.0
