neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5553801,0.0,0.44416887,0.0,0.43637443,0.0
0.45666823,0.17544991,0.47747806,0.0,0.57690614,0.0,0.35261294,0.0,0.30561736,0.0
0.41820928,0.17544991,0.4654577,0.0,0.5909562,0.0,0.27067012,0.0,0.18004806,0.0
0.34849364,0.17544991,0.4724281,0.0,0.59770465,0.0,0.21022487,0.0,0.065351434,0.0
0.2551372,0.17544991,0.48788798,0.0,0.59684986,0.0,0.17681818,0.0,-0.032839607,0.0
0.1498896,0.17544991,0.50304264,0.0,0.58811283,0.0,0.16975391,0.0,-0.11057626,0.0
0.0465476,0.17544991,0.5120801,0.0,0.57164806,0.0,0.18394306,0.0,-0.16642642,0.0
-0.043233883,0.17544991,0.51195335,0.0,0.5481666,0.0,0.21210814,0.0,-0.20112623,0.0
-0.112677455,0.17544991,0.5015277,0.0,0.51882577,0.0,0.24670404,0.0,-0.21673284,0.0
-0.15973416,0.17544991,0.48083434,0.0,0.4850475,0.0,0.28122386,0.0,-0.21591465,0.0
-0.18541239,0.17544991,0.45067763,0.0,0.44836292,0.0,0.31078604,0.0,-0.20158418,0.0
-0.19222087,0.17544991,0.41251162,0.0,0.41030443,0.0,0.3321576,0.0,-0.17679766,0.0
-0.18330859,0.17544991,0.36840478,0.0,0.3723271,0.0,0.34349656,0.0,-0.14476177,0.0
-0.16215865,0.17544991,0.32094347,0.0,0.3357384,0.0,0.34405676,0.0,-0.10880792,0.0
-0.13251251,0.17544991,0.27299976,0.0,0.30162403,0.0,0.3339839,0.0,-0.07225353,0.0
-0.09826967,0.17544991,0.22738506,0.0,0.27077505,0.0,0.31421766,0.0,-0.038150165,0.0
-0.06324843,0.17544991,0.1864832,0.0,0.243637,0.0,0.28643745,0.0,-0.0089894105,0.0
-0.030834883,0.17544991,0.15197037,0.0,0.2203026,0.0,0.25295913,0.0,0.013534775,0.0
-0.00363987,0.17544991,0.124685705,0.0,0.20055498,0.0,0.21651317,0.0,0.028635325,0.0
0.016715527,0.17544991,0.10465504,0.0,0.1839491,0.0,0.17990837,0.0,0.03639697,0.0
0.029633382,0.17544991,0.09122891,0.0,0.16990846,0.0,0.14566042,0.0,0.037626576,0.0
0.035416186,0.17544991,0.083283275,0.0,0.15781699,0.0,0.115693286,0.0,0.033637203,0.0
0.035051014,0.17544991,0.0794375,0.0,0.14709342,0.0,0.09118418,0.0,0.026011216,0.0
0.029960651,0.17544991,0.07825604,0.0,0.13724397,0.0,0.072559334,0.0,0.016377283,0.0
0.021761818,0.17544991,0.07841192,0.0,0.12789297,0.0,0.05960075,0.0,0.0062257512,0.0
0.0120540345,0.17544991,0.078801304,0.0,0.11879341,0.0,0.051611077,0.0,-0.0032226313,0.0
0.0022536302,0.17544991,0.078607105,0.0,0.10982056,0.0,0.047593895,0.0,-0.011089484,0.0
-0.006518239,0.17544991,0.0773169,0.0,0.10095334,0.0,0.046422604,0.0,-0.016857099,0.0
-0.013491579,0.17544991,0.074704394,0.0,0.09224806,0.0,0.04698277,0.0,-0.020343088,0.0
-0.018252846,0.17544991,0.070785396,0.0,0.08380963,0.0,0.048280504,0.0,-0.021645116,0.0
-0.020710576,0.17544991,0.065759145,0.0,0.07576411,0.0,0.04951405,0.0,-0.021069169,0.0
-0.021034813,0.17544991,0.05994399,0.0,0.0682353,0.0,0.050109934,0.0,-0.019052679,0.0
-0.019583056,0.17544991,0.053715166,0.0,0.061326966,0.0,0.049727995,0.0,-0.01609123,0.0
-0.016823469,0.17544991,0.04745021,0.0,0.05511126,0.0,0.04824192,0.0,-0.012675117,0.0
-0.013263389,0.17544991,0.041485902,0.0,0.049623195,0.0,0.045702606,0.0,-0.009239871,0.0
-0.009388989,0.17544991,0.036088713,0.0,0.044860415,0.0,0.04229178,0.0,-0.006132757,0.0
-0.005619691,0.17544991,0.03143906,0.0,0.040787227,0.0,0.038272474,0.0,-0.0035953962,0.0
-0.002278952,0.17544991,0.027628046,0.0,0.03734153,0.0,0.033941913,0.0,-0.0017609778,0.0
4.189396E-4,0.17544991,0.024664469,0.0,0.034443352,0.0,0.029591,0.0,-6.633124E-4,0.0
0.0023679754,0.17544991,0.022489084,0.0,0.03200367,0.0,0.02547327,0.0,-2.5426972E-4,0.0
0.0035585368,0.17544991,0.02099312,0.0,0.029932609,0.0,0.021784445,0.0,-4.2601666E-4,0.0
0.0040580602,0.17544991,0.020038147,0.0,0.028146192,0.0,0.018652549,0.0,-0.0010347024,0.0
0.0039878865,0.17544991,0.019474946,0.0,0.02657131,0.0,0.016137332,0.0,-0.0019228281,0.0
0.0034994946,0.17544991,0.019159617,0.0,0.025148716,0.0,0.014237066,0.0,-0.002938266,0.0
0.0027527066,0.17544991,0.018965842,0.0,0.02383416,0.0,0.012900409,0.0,-0.0039486713,0.0
0.0018976871,0.17544991,0.018792847,0.0,0.022597935,0.0,0.012040964,0.0,-0.004850789,0.0
0.0010617647,0.17544991,0.018569158,0.0,0.021423187,0.0,0.011552472,0.0,-0.005574785,0.0
3.4141215E-4,0.17544991,0.01825265,0.0,0.02030343,0.0,0.011322894,0.0,-0.00608422,0.0
-2.0090042E-4,0.17544991,0.017827673,0.0,0.019239664,0.0,0.01124619,0.0,-0.0063726055,0.0
-5.3569715E-4,0.17544991,0.01730017,0.0,0.018237485,0.0,0.011231036,0.0,-0.0064576273,0.0
-6.623284E-4,0.17544991,0.016691707,0.0,0.017304443,0.0,0.011206264,0.0,-0.0063741333,0.0
-6.02744E-4,0.17544991,0.016033243,0.0,0.016447876,0.0,0.011123138,0.0,-0.006166855,0.0
-3.942897E-4,0.17544991,0.015359361,0.0,0.015673341,0.0,0.010954913,0.0,-0.0058836923,0.0
-8.248081E-5,0.17544991,0.014703391,0.0,0.014983637,0.0,0.010694296,0.0,-0.0055701016,0.0
2.855102E-4,0.17544991,0.014093796,0.0,0.014378399,0.0,0.010349511,0.0,-0.0052649453,0.0
6.6613173E-4,0.17544991,0.01355185,0.0,0.013854183,0.0,0.009939669,0.0,-0.004997905,0.0
