Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-2.0176601,-8.686401,-3.1413097,102.60018
2,-2.0176601,-8.686401,-3.2699878,148.84286
3,-2.0176601,-7.0186687,-3.0902987,75.623245
4,-2.0176601,-7.89934,-3.177718,103.49766
5,-2.0176601,-6.2819786,-3.013961,56.686615
6,-2.0176601,-8.444882,-3.0859542,75.766396
7,-2.0176601,-9.800358,-3.1860688,142.4039
8,-2.0176601,-7.0850587,-3.0305502,88.86166
9,-2.0176601,-6.423612,-2.9499624,62.18132
10,-2.0176601,-5.7436857,-2.9418106,57.473022
11,-2.0149243,-6.6592073,-2.9862373,76.18503
12,-2.0149243,-6.9912977,-3.0858376,88.578766
13,-2.0149243,-6.9912977,-3.0698984,99.96812
14,-2.0149243,-8.269471,-2.9788132,100.77888
15,-2.0149243,-7.4323063,-2.8278122,54.42173
16,-2.0149243,-6.602064,-3.00154,91.9691
17,-2.0149243,-10.821843,-3.1469119,189.27257
18,-2.0149243,-10.821843,-3.132123,171.0156
19,-2.0149243,-7.4794593,-2.9569674,85.88934
20,-2.0149243,-6.3459997,-2.9039276,56.052727
21,-2.0149243,-5.714532,-2.9570837,50.171265
22,-2.0149243,-12.087725,-3.0734594,153.90297
23,-2.0149243,-7.541646,-3.1960447,137.43619
24,-2.0149243,-10.459716,-3.1852834,159.74995
25,-2.0149243,-8.619079,-3.0310187,94.199684
26,-2.0149243,-9.262058,-2.9553826,96.49098
27,-2.0149243,-7.9696827,-3.0246003,106.90045
28,-2.0149243,-15.702975,-3.134212,304.8659
29,-2.0149243,-15.702975,-3.1086822,369.0971
30,-2.0149243,-10.767765,-3.1399298,217.16858
31,-2.0149243,-15.976126,-3.0864108,231.11082
32,-2.0149243,-15.976126,-3.0975604,247.08714
33,-2.0149243,-14.695719,-3.135156,201.79811
34,-2.0149243,-7.256086,-3.0996423,113.460655
35,-2.0149243,-7.301642,-3.0541456,103.55961
36,-2.0149243,-11.7152405,-3.1260386,180.13351
37,-2.0149243,-5.9597955,-2.9096491,57.09266
38,-2.0149243,-14.197949,-3.0788717,198.54086
39,-2.0149243,-8.597448,-3.0695539,109.896
40,-2.0149243,-7.1262455,-3.0605052,108.2458
41,-2.0149243,-6.470533,-3.0485895,80.36965
42,-2.0149243,-9.866088,-3.1254995,163.5584
43,-2.0149243,-9.866088,-3.1092167,138.2612
44,-1.9992143,-18.199724,-3.4152534,383.41776
45,-1.9992143,-11.295668,-3.0327182,139.95038
46,-1.9992143,-7.3676386,-3.0436823,78.88116
47,-1.9554417,-6.7105675,-3.0413604,94.41989
48,-1.9554417,-8.863258,-3.1494188,161.22263
49,-1.9554417,-7.0026093,-3.0867286,90.09333
50,-1.9554417,-9.951495,-3.0120382,110.93145
51,-1.9554417,-6.703813,-2.926015,58.985825
52,-1.9554417,-7.394982,-2.961339,68.19574
53,-1.9554417,-9.874556,-2.956263,115.52119
54,-1.9554417,-9.874556,-3.180104,154.26567
55,-1.9554417,-7.79054,-3.0465407,129.40588
56,-1.9554417,-7.421495,-3.0195785,119.82206
57,-1.9554417,-7.406806,-2.820438,53.49105
58,-1.9554417,-7.0677667,-3.024036,92.86799
59,-1.9554417,-7.0677667,-2.913739,69.44566
60,-1.9554417,-6.053926,-2.952469,63.312153
61,-1.9554417,-7.1261253,-2.871815,62.577766
62,-1.9554417,-10.550695,-2.9077244,112.0681
63,-1.9554417,-9.925037,-3.0997376,150.08469
64,-1.9554417,-9.925037,-3.0987735,171.23831
65,-1.9554417,-7.345986,-2.9756985,100.37461
66,-1.9554417,-5.696704,-2.918403,57.68142
67,-1.9554417,-6.651186,-2.968678,81.887245
68,-1.9554417,-6.634992,-2.9181397,65.81701
69,-1.9554417,-7.95491,-2.9166467,87.57276
70,-1.9554417,-7.95491,-2.9110684,86.68394
71,-1.9554417,-7.95491,-3.0333097,118.80016
72,-1.9554417,-6.021885,-2.8676026,60.782883
73,-1.9554417,-5.9604554,-2.9879115,77.72152
74,-1.9554417,-7.5063076,-2.9575882,89.24362
75,-1.9554417,-6.9889655,-3.1009545,107.701035
76,-1.9554417,-6.9713163,-2.9918754,88.562004
77,-1.9554417,-9.247227,-3.0005734,117.00655
78,-1.9554417,-6.9973497,-2.9131896,78.99086
79,-1.9554417,-5.981026,-2.9564164,59.705326
80,-1.9554417,-8.466009,-2.9850385,88.53262
81,-1.9554417,-5.8270326,-2.950215,65.1094
82,-1.9554417,-6.5389614,-2.924008,60.081432
83,-1.9554417,-17.106148,-3.1899369,347.69302
84,-1.9554417,-17.106148,-3.122492,347.30603
85,-1.9554417,-8.684737,-3.0373008,135.45688
86,-1.9554417,-10.437204,-3.0962305,134.0899
87,-1.9554417,-10.437204,-3.186921,213.24345
88,-1.9554417,-9.459405,-3.1141322,147.22006
89,-1.9554417,-9.459405,-3.009712,101.01403
90,-1.9554417,-10.774736,-3.143351,167.72456
91,-1.9554417,-6.9549894,-2.9835253,71.62516
92,-1.9554417,-5.9830713,-2.923545,52.243217
93,-1.9554417,-6.4942145,-2.9412355,65.74875
94,-1.9554417,-10.321018,-2.9919806,106.50214
95,-1.9554417,-8.713443,-2.9854107,108.66269
96,-1.9554417,-9.953483,-3.0509644,154.35248
97,-1.9554417,-7.383756,-2.90393,71.8555
98,-1.9554417,-7.445108,-2.826125,67.55696
99,-1.9554417,-8.042317,-2.96602,96.33405
100,-1.9284092,-4.9564657,-2.8800602,44.87485
101,-1.9284092,-7.337598,-2.9983282,99.797714
102,-1.9284092,-7.194763,-2.8478885,65.56103
103,-1.9284092,-8.398966,-2.8576052,64.54103
104,-1.9284092,-6.5621333,-2.9350705,69.29255
105,-1.9284092,-10.22966,-2.949267,95.22347
106,-1.9284092,-10.585162,-3.2173886,202.46173
107,-1.9284092,-6.8902354,-2.9973834,76.42127
108,-1.9284092,-9.690677,-2.967023,107.95075
109,-1.9284092,-14.319196,-3.1370134,277.35983
110,-1.9284092,-9.143361,-2.9827282,112.35201
111,-1.9284092,-10.478647,-2.9861023,132.0308
112,-1.9284092,-10.500703,-3.0914834,181.79205
113,-1.9284092,-8.639822,-3.009312,116.646255
114,-1.9284092,-7.9347453,-3.144022,200.83737
115,-1.9284092,-7.868354,-3.0700579,122.02117
116,-1.9284092,-8.003429,-3.0149453,128.32642
117,-1.8712661,-5.6291127,-2.904083,56.73139
118,-1.8712661,-7.156239,-2.9187186,99.47339
119,-1.8712661,-5.915506,-2.8936393,58.121296
120,-1.8712661,-7.683833,-3.0783474,123.58812
121,-1.8712661,-7.4873424,-2.9609263,85.812515
122,-1.8712661,-8.786734,-2.9371424,88.18083
123,-1.8712661,-10.397798,-3.0968473,181.61894
124,-1.8712661,-8.897793,-3.0110965,122.292366
125,-1.8712661,-13.567392,-3.1477222,245.54764
126,-1.8712661,-16.271982,-3.1574695,300.8414
127,-1.8712661,-8.123312,-3.0668998,108.02739
128,-1.8712661,-6.1485877,-3.0322354,82.23461
129,-1.8712661,-6.963896,-2.9405963,64.01399
130,-1.8712661,-8.167166,-2.988677,114.94559
131,-1.8712661,-7.18532,-2.950018,67.33973
132,-1.8712661,-5.63829,-2.878248,47.89039
133,-1.8712661,-6.6012535,-2.9765291,78.24047
134,-1.8712661,-8.409138,-3.0516856,119.55595
135,-1.8712661,-9.1710005,-3.0595746,131.58072
