neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5553801,0.0,0.44416887,0.0,0.43637443,0.0
0.4555544,0.006684057,0.4773347,0.0,0.5767932,0.0,0.35275295,0.0,0.30567902,0.0
0.41614413,0.013368114,0.46502438,0.0,0.59064,0.0,0.27104545,0.0,0.18028668,0.0
0.34562942,0.02005217,0.4715748,0.0,0.59710616,0.0,0.21086828,0.0,0.065894894,0.0
0.25171086,0.026736228,0.48651817,0.0,0.5959021,0.0,0.17769565,0.0,-0.031891838,0.0
0.14623407,0.033420283,0.5010998,0.0,0.5867652,0.0,0.17077166,0.0,-0.10917129,0.0
0.043009017,0.04010434,0.509539,0.0,0.5698687,0.0,0.18496545,0.0,-0.16455212,0.0
-0.0463956,0.0467884,0.50880426,0.0,0.5459408,0.0,0.21298474,0.0,-0.19879518,0.0
-0.115324415,0.053472456,0.49776632,0.0,0.5161539,0.0,0.2472961,0.0,-0.21396963,0.0
-0.16182368,0.06015651,0.47646245,0.0,0.48194295,0.0,0.2814194,0.0,-0.2127512,0.0
-0.18695393,0.06684057,0.445713,0.0,0.4448519,0.0,0.31050238,0.0,-0.19806296,0.0
-0.19324674,0.073524624,0.40700015,0.0,0.4064262,0.0,0.33133692,0.0,-0.17297837,0.0
-0.1838634,0.08020868,0.36242977,0.0,0.36813378,0.0,0.34210086,0.0,-0.14072739,0.0
-0.16230083,0.08689274,0.3146264,0.0,0.3312932,0.0,0.34206703,0.0,-0.1046655,0.0
-0.13231915,0.0935768,0.26649067,0.0,0.29699704,0.0,0.33140445,0.0,-0.06812731,0.0
-0.09783753,0.100260854,0.2208445,0.0,0.26603734,0.0,0.31108305,0.0,-0.034167565,0.0
-0.06268663,0.10694491,0.18006161,0.0,0.2388545,0.0,0.28281862,0.0,-0.005264247,0.0
-0.030251043,0.11362896,0.14579105,0.0,0.2155312,0.0,0.24896285,0.0,0.01691649,0.0
-0.0031241523,0.12031302,0.11883549,0.0,0.19583853,0.0,0.21227255,0.0,0.03162307,0.0
0.017102348,0.12699708,0.09918289,0.0,0.17931984,0.0,0.17556578,0.0,0.038976163,0.0
0.029864853,0.13368113,0.086150795,0.0,0.16538951,0.0,0.14134838,0.0,0.039813288,0.0
0.03549821,0.14036518,0.07859063,0.0,0.15342523,0.0,0.11151933,0.0,0.035469577,0.0
0.03501516,0.14704925,0.07510676,0.0,0.14284259,0.0,0.08722319,0.0,0.0275399,0.0
0.029855186,0.1537333,0.07425741,0.0,0.1331471,0.0,0.068853214,0.0,0.017656473,0.0
0.02164252,0.16041736,0.074716434,0.0,0.12396399,0.0,0.056163218,0.0,0.0073059076,0.0
0.011976055,0.16710143,0.07538574,0.0,0.11504796,0.0,0.048434783,0.0,-0.0022999316,0.0
0.0022652445,0.17378548,0.07545684,0.0,0.10627616,0.0,0.04465802,0.0,-0.010294456,0.0
-0.006379702,0.18046953,0.07442691,0.0,0.09762896,0.0,0.04369976,0.0,-0.01617263,0.0
-0.013201608,0.1871536,0.07207888,0.0,0.08916336,0.0,0.044444676,0.0,-0.019764014,0.0
-0.017799778,0.19383764,0.06843637,0.0,0.08098418,0.0,0.04590221,0.0,-0.021176336,0.0
-0.020094236,0.20052171,0.06370433,0.0,0.07321651,0.0,0.047276743,0.0,-0.020723088,0.0
-0.020264242,0.20720577,0.05820452,0.0,0.065982506,0.0,0.048002377,0.0,-0.018846374,0.0
-0.018673798,0.21388982,0.05231323,0.0,0.05938378,0.0,0.0477468,0.0,-0.016043695,0.0
-0.015794715,0.22057387,0.04640701,0.0,0.053490043,0.0,0.046390858,0.0,-0.012804851,0.0
-0.012135327,0.22725792,0.040820077,0.0,0.04833379,0.0,0.043991268,0.0,-0.00956302,0.0
-0.008180564,0.23394199,0.035815325,0.0,0.04391029,0.0,0.040733814,0.0,-0.006661879,0.0
-0.0043469374,0.24062604,0.031569123,0.0,0.04018175,0.0,0.03688373,0.0,-0.004338884,0.0
-9.539639E-4,0.2473101,0.028168574,0.0,0.037084363,0.0,0.03273863,0.0,-0.0027230529,0.0
0.0017883957,0.25399417,0.025618892,0.0,0.03453687,0.0,0.028588368,0.0,-0.0018444621,0.0
0.00377832,0.2606782,0.023857933,0.0,0.03244939,0.0,0.024684314,0.0,-0.0016519936,0.0
0.005009813,0.26736227,0.022774832,0.0,0.030731563,0.0,0.021219384,0.0,-0.0020357235,0.0
0.005553118,0.27404633,0.022229895,0.0,0.029299242,0.0,0.018318549,0.0,-0.002850638,0.0
0.0055314484,0.28073037,0.022073386,0.0,0.028079368,0.0,0.016038623,0.0,-0.0039389227,0.0
0.0050972304,0.28741446,0.02216152,0.0,0.027012885,0.0,0.014375321,0.0,-0.0051488336,0.0
0.0044104178,0.2940985,0.022368547,0.0,0.026055796,0.0,0.01327528,0.0,-0.0063489187,0.0
0.0036206534,0.30078256,0.022594556,0.0,0.025178649,0.0,0.012650699,0.0,-0.007437126,0.0
0.0028542916,0.3074666,0.02276905,0.0,0.0243648,0.0,0.012394529,0.0,-0.008344936,0.0
0.0022065754,0.31415066,0.022850864,0.0,0.023607887,0.0,0.012394488,0.0,-0.009037183,0.0
0.0017386765,0.32083473,0.022825181,0.0,0.022908961,0.0,0.0125447335,0.0,-0.009508478,0.0
0.001478851,0.3275188,0.022698585,0.0,0.022273565,0.0,0.012754459,0.0,-0.009777367,0.0
0.0014267201,0.33420286,0.022493046,0.0,0.021709122,0.0,0.012953197,0.0,-0.009879265,0.0
0.0015595625,0.3408869,0.022239702,0.0,0.021222783,0.0,0.013092975,0.0,-0.009859196,0.0
0.0018395442,0.34757096,0.021973101,0.0,0.020819884,0.0,0.013147774,0.0,-0.009765099,0.0
0.0022209343,0.354255,0.021726388,0.0,0.020502971,0.0,0.013110918,0.0,-0.009642268,0.0
0.0026565862,0.36093906,0.021527711,0.0,0.02027145,0.0,0.0129910875,0.0,-0.009529263,0.0
0.0031031559,0.36762312,0.021397976,0.0,0.020121656,0.0,0.012807676,0.0,-0.0094553875,0.0
0.0035248143,0.3743072,0.02134986,0.0,0.020047326,0.0,0.012586078,0.0,-0.009439653,0.0
0.0038953808,0.38099125,0.021387925,0.0,0.02004027,0.0,0.012353423,0.0,-0.00949103,0.0
0.004199003,0.3876753,0.021509571,0.0,0.020091176,0.0,0.012135079,0.0,-0.009609673,0.0
0.0044296267,0.39435935,0.021706568,0.0,0.020190373,0.0,0.01195212,0.0,-0.0097887935,0.0
0.004589565,0.40104342,0.02196685,0.0,0.020328537,0.0,0.01181981,0.0,-0.010016838,0.0
0.0046875137,0.40772745,0.02227635,0.0,0.020497235,0.0,0.011747035,0.0,-0.010279699,0.0
0.004736329,0.41441154,0.022620678,0.0,0.020689301,0.0,0.01173654,0.0,-0.010562708,0.0
0.004750849,0.42109558,0.022986488,0.0,0.020899026,0.0,0.011785768,0.0,-0.010852262,0.0
0.0047459826,0.42777964,0.023362456,0.0,0.021122197,0.0,0.011888077,0.0,-0.011136992,0.0
0.004735185,0.43446368,0.023739878,0.0,0.021355985,0.0,0.012034142,0.0,-0.011408452,0.0
0.004729416,0.44114774,0.024112862,0.0,0.021598747,0.0,0.012213356,0.0,-0.011661358,0.0
0.0047365758,0.4478318,0.02447822,0.0,0.02184977,0.0,0.012415049,0.0,-0.011893461,0.0
0.004761362,0.45451584,0.024835115,0.0,0.022108978,0.0,0.012629503,0.0,-0.012105118,0.0
0.0048054983,0.46119994,0.025184542,0.0,0.022376677,0.0,0.012848632,0.0,-0.012298701,0.0
0.0048682075,0.46788397,0.025528762,0.0,0.022653308,0.0,0.0130663775,0.0,-0.01247793,0.0
0.0049468447,0.47456804,0.025870716,0.0,0.022939257,0.0,0.013278814,0.0,-0.012647186,0.0
0.0050375806,0.48125207,0.02621351,0.0,0.023234738,0.0,0.01348402,0.0,-0.012810937,0.0
0.005136061,0.48793614,0.026560009,0.0,0.023539703,0.0,0.013681784,0.0,-0.012973251,0.0
0.0052379766,0.4946202,0.026912529,0.0,0.023853838,0.0,0.013873201,0.0,-0.013137466,0.0
0.005284595,0.49471474,0.027263543,0.0,0.024167962,0.0,0.014067977,0.0,-0.013301941,0.0
0.005229792,0.48803067,0.027595986,0.0,0.024465958,0.0,0.0142794745,0.0,-0.013458116,0.0
0.0050990107,0.48134664,0.027894072,0.0,0.024735767,0.0,0.01451233,0.0,-0.013594655,0.0
0.004918144,0.47466257,0.02814459,0.0,0.024969103,0.0,0.014764088,0.0,-0.013700424,0.0
0.004711259,0.46797854,0.028337816,0.0,0.025161045,0.0,0.015027163,0.0,-0.013766499,0.0
0.0044988752,0.46129447,0.028467929,0.0,0.025309505,0.0,0.015290895,0.0,-0.013787273,0.0
0.004296893,0.4546104,0.028533023,0.0,0.025414633,0.0,0.015543487,0.0,-0.013760832,0.0
0.0041161706,0.44792637,0.028534692,0.0,0.025478238,0.0,0.015773633,0.0,-0.013688758,0.0
0.00396265,0.4412423,0.02847738,0.0,0.025503205,0.0,0.01597176,0.0,-0.013575533,0.0
0.0038379314,0.43455827,0.028367568,0.0,0.025493,0.0,0.016130824,0.0,-0.013427716,0.0
0.0037401384,0.42787415,0.028212905,0.0,0.025451247,0.0,0.016246678,0.0,-0.013253024,0.0
0.0036649348,0.4211901,0.028021418,0.0,0.025381437,0.0,0.016318062,0.0,-0.013059463,0.0
0.0036065523,0.41450605,0.027800811,0.0,0.02528669,0.0,0.016346281,0.0,-0.012854588,0.0
0.0035587372,0.40782198,0.02755797,0.0,0.025169667,0.0,0.016334705,0.0,-0.012644932,0.0
0.003515528,0.40113795,0.0272986,0.0,0.025032522,0.0,0.016288137,0.0,-0.012435654,0.0
0.003471827,0.39445388,0.027027087,0.0,0.024876926,0.0,0.01621217,0.0,-0.012230381,0.0
0.0034237588,0.38776985,0.02674649,0.0,0.02470415,0.0,0.016112596,0.0,-0.012031231,0.0
0.0033688152,0.38108578,0.026458655,0.0,0.024515158,0.0,0.015994905,0.0,-0.011838968,0.0
0.0033058291,0.37440175,0.02616443,0.0,0.024310704,0.0,0.015863903,0.0,-0.011653267,0.0
0.0032348074,0.36771768,0.025863921,0.0,0.024091436,0.0,0.015723508,0.0,-0.011473008,0.0
0.0031566832,0.36103362,0.025556749,0.0,0.023857966,0.0,0.015576626,0.0,-0.011296608,0.0
0.0030730176,0.35434958,0.025242304,0.0,0.023610944,0.0,0.015425186,0.0,-0.011122291,0.0
0.0029857042,0.34766552,0.024919955,0.0,0.023351084,0.0,0.015270238,0.0,-0.010948345,0.0
0.0028966984,0.34098142,0.024589196,0.0,0.023079181,0.0,0.015112128,0.0,-0.010773301,0.0
0.0028078025,0.33429736,0.024249766,0.0,0.022796113,0.0,0.014950682,0.0,-0.010596043,0.0
0.0027205038,0.3276133,0.023901686,0.0,0.022502813,0.0,0.014785418,0.0,-0.010415864,0.0
0.002635888,0.32092926,0.02354526,0.0,0.022200251,0.0,0.014615721,0.0,-0.010232454,0.0
0.0025546066,0.3142452,0.023181053,0.0,0.021889394,0.0,0.014440999,0.0,-0.010045865,0.0
0.0024769006,0.30756116,0.02280982,0.0,0.02157118,0.0,0.01426079,0.0,-0.009856428,0.0
0.0024026558,0.3008771,0.02243244,0.0,0.021246497,0.0,0.014074834,0.0,-0.009664671,0.0
0.0023314867,0.29419306,0.02204985,0.0,0.020916149,0.0,0.013883102,0.0,-0.00947122,0.0
0.0022628289,0.287509,0.02166296,0.0,0.020580852,0.0,0.013685788,0.0,-0.009276725,0.0
0.002196033,0.28082493,0.021272618,0.0,0.020241227,0.0,0.013483283,0.0,-0.00908179,0.0
0.0021304435,0.2741409,0.020879557,0.0,0.019897796,0.0,0.013276121,0.0,-0.008886919,0.0
0.0020654632,0.26745683,0.020484375,0.0,0.019550994,0.0,0.013064927,0.0,-0.008692494,0.0
0.0020006006,0.2607728,0.020087536,0.0,0.01920118,0.0,0.01285036,0.0,-0.008498758,0.0
0.0019354896,0.25408867,0.019689366,0.0,0.01884864,0.0,0.012633065,0.0,-0.00830583,0.0
0.0018699032,0.24740462,0.019290071,0.0,0.018493619,0.0,0.012413628,0.0,-0.008113708,0.0
0.0018037397,0.24072057,0.018889768,0.0,0.018136311,0.0,0.012192553,0.0,-0.007922309,0.0
0.0017370062,0.23403652,0.018488498,0.0,0.017776893,0.0,0.01197024,0.0,-0.0077314884,0.0
0.0016697892,0.22735247,0.018086264,0.0,0.017415525,0.0,0.01174699,0.0,-0.0075410693,0.0
0.0016022285,0.22066842,0.017683046,0.0,0.017052349,0.0,0.011523005,0.0,-0.007350871,0.0
0.0015344893,0.21398436,0.017278822,0.0,0.01668751,0.0,0.011298405,0.0,-0.0071607255,0.0
0.0014667381,0.2073003,0.01687358,0.0,0.016321152,0.0,0.011073239,0.0,-0.006970495,0.0
0.0013991215,0.20061626,0.016467333,0.0,0.015953409,0.0,0.010847515,0.0,-0.0067800786,0.0
0.0013317576,0.1939322,0.016060114,0.0,0.0155844195,0.0,0.010621211,0.0,-0.0065894155,0.0
0.0012647245,0.18724816,0.015651982,0.0,0.015214315,0.0,0.010394292,0.0,-0.0063984827,0.0
0.0011980626,0.1805641,0.015243013,0.0,0.014843221,0.0,0.010166729,0.0,-0.0062072896,0.0
0.0011317751,0.17388006,0.0148333,0.0,0.014471255,0.0,0.009938505,0.0,-0.0060158693,0.0
0.0010658359,0.16719593,0.014422939,0.0,0.014098524,0.0,0.009709617,0.0,-0.005824272,0.0
0.0010001981,0.16051188,0.01401203,0.0,0.013725123,0.0,0.009480088,0.0,-0.005632554,0.0
9.3480165E-4,0.15382783,0.013600668,0.0,0.013351139,0.0,0.009249954,0.0,-0.005440773,0.0
8.695808E-4,0.14714378,0.013188938,0.0,0.012976641,0.0,0.009019266,0.0,-0.00524898,0.0
8.044729E-4,0.14045973,0.01277691,0.0,0.012601692,0.0,0.008788089,0.0,-0.005057217,0.0
7.3942216E-4,0.13377568,0.012364647,0.0,0.012226343,0.0,0.008556493,0.0,-0.0048655136,0.0
6.7438395E-4,0.12709162,0.011952193,0.0,0.011850637,0.0,0.008324545,0.0,-0.004673887,0.0
6.093273E-4,0.120407574,0.011539579,0.0,0.011474611,0.0,0.008092311,0.0,-0.004482344,0.0
5.4423267E-4,0.11372352,0.011126827,0.0,0.0110982945,0.0,0.00785985,0.0,-0.004290879,0.0
4.790928E-4,0.10703947,0.01071395,0.0,0.010721711,0.0,0.0076272115,0.0,-0.0040994827,0.0
4.139101E-4,0.10035542,0.010300953,0.0,0.010344886,0.0,0.007394434,0.0,-0.0039081383,0.0
3.486939E-4,0.09367136,0.009887839,0.0,0.009967838,0.0,0.007161545,0.0,-0.0037168292,0.0
2.8345687E-4,0.08698731,0.009474609,0.0,0.009590587,0.0,0.0069285664,0.0,-0.003525538,0.0
2.1821383E-4,0.0803032,0.009061264,0.0,0.00921315,0.0,0.006695508,0.0,-0.0033342494,0.0
1.5297951E-4,0.07361915,0.008647806,0.0,0.008835544,0.0,0.006462377,0.0,-0.0031429513,0.0
8.7766355E-5,0.06693509,0.008234238,0.0,0.008457786,0.0,0.006229175,0.0,-0.0029516348,0.0
2.2583576E-5,0.060251042,0.007820568,0.0,0.008079893,0.0,0.0059959013,0.0,-0.002760296,0.0
-4.2563246E-5,0.05356699,0.007406802,0.0,0.0077018784,0.0,0.0057625547,0.0,-0.0025689332,0.0
-1.0767193E-4,0.04688294,0.0069929496,0.0,0.007323757,0.0,0.0055291345,0.0,-0.0023775483,0.0
-1.7274375E-4,0.040198885,0.006579021,0.0,0.0069455407,0.0,0.0052956413,0.0,-0.0021861445,0.0
-2.3778196E-4,0.033514835,0.0061650267,0.0,0.0065672426,0.0,0.0050620763,0.0,-0.001994727,0.0
-3.02792E-4,0.026830781,0.005750977,0.0,0.0061888723,0.0,0.0048284438,0.0,-0.0018033007,0.0
-3.6777992E-4,0.02014673,0.005336881,0.0,0.0058104387,0.0,0.0045947493,0.0,-0.0016118711,0.0
-4.327521E-4,0.013462677,0.004922748,0.0,0.005431949,0.0,0.004360998,0.0,-0.0014204425,0.0
-4.977143E-4,0.0067786244,0.004508584,0.0,0.0050534117,0.0,0.0041271974,0.0,-0.0012290183,0.0
-5.6267175E-4,9.4572206E-5,0.004094396,0.0,0.0046748305,0.0,0.0038933547,0.0,-0.0010376011,0.0
-5.1780307E-4,0.0065895393,0.0036984908,0.0,0.004313438,0.0,0.0036439723,0.0,-8.5433404E-4,0.0
-3.883424E-4,0.013273591,0.0033381432,0.0,0.0039824494,0.0,0.0033728322,0.0,-6.9099176E-4,0.0
-2.0219536E-4,0.019957643,0.0030279392,0.0,0.0036910158,0.0,0.0030816344,0.0,-5.5954285E-4,0.0
1.4463963E-5,0.026641697,0.0027787765,0.0,0.00344465,0.0,0.0027778847,0.0,-4.6984237E-4,0.0
2.3910694E-4,0.033325747,0.0025973537,0.0,0.003245776,0.0,0.0024726666,0.0,-4.2830847E-4,0.0
4.5407517E-4,0.0400098,0.0024861442,0.0,0.0030943493,0.0,0.0021785311,0.0,-4.3742213E-4,0.0
6.471139E-4,0.046693854,0.0024437832,0.0,0.0029884977,0.0,0.0019076894,0.0,-4.958696E-4,0.0
8.112896E-4,0.053377904,0.0024657545,0.0,0.0029251354,0.0,0.0016706261,0.0,-5.9913815E-4,0.0
9.444202E-4,0.060061958,0.0025452566,0.0,0.0029005092,0.0,0.0014751869,0.0,-7.4038334E-4,0.0
0.0010481718,0.06674601,0.0026741268,0.0,0.0029106531,0.0,0.0013261341,0.0,-9.114044E-4,0.0
0.0011269782,0.07343006,0.0028437146,0.0,0.0029517345,0.0,0.0012251174,0.0,-0.0011035907,0.0
0.0011869291,0.08011411,0.0030456376,0.0,0.0030202917,0.0,0.0011709754,0.0,-0.001308742,0.0
0.0012347403,0.08679817,0.0032723588,0.0,0.0031133657,0.0,0.0011602701,0.0,-0.0015196961,0.0
0.0012768939,0.09348222,0.0035175707,0.0,0.0032285461,0.0,0.0011879464,0.0,-0.0017307395,0.0
0.001318997,0.10016627,0.0037763845,0.0,0.0033639453,0.0,0.0012480282,0.0,-0.0019377961,0.0
0.0013653744,0.106850326,0.0040453505,0.0,0.0035181248,0.0,0.0013342676,0.0,-0.0021384244,0.0
0.0014188867,0.113534376,0.004322337,0.0,0.0036899948,0.0,0.0014406935,0.0,-0.0023316578,0.0
0.0014809432,0.120218426,0.0046063173,0.0,0.0038787026,0.0,0.0015620257,0.0,-0.0025177388,0.0
0.0015516639,0.12690248,0.004897098,0.0,0.0040835273,0.0,0.001693937,0.0,-0.0026977945,0.0
0.001630143,0.13358653,0.005195034,0.0,0.0043037897,0.0,0.001833172,0.0,-0.0028734955,0.0
0.0017147632,0.1402707,0.00550076,0.0,0.0045387857,0.0,0.001977541,0.0,-0.0030467408,0.0
0.0018035151,0.14695476,0.005814957,0.0,0.004787744,0.0,0.0021258118,0.0,-0.0032193887,0.0
0.0018942936,0.15363881,0.0061381804,0.0,0.0050498075,0.0,0.0022775377,0.0,-0.003393057,0.0
0.001985138,0.16032286,0.0064707403,0.0,0.005324034,0.0,0.0024328479,0.0,-0.0035689902,0.0
0.002074409,0.16700691,0.0068126433,0.0,0.005609417,0.0,0.0025922311,0.0,-0.0037479978,0.0
0.0021608928,0.17369096,0.007163586,0.0,0.005904911,0.0,0.0027563365,0.0,-0.0039304546,0.0
0.00224384,0.18037501,0.007522988,0.0,0.0062094675,0.0,0.0029258062,0.0,-0.0041163447,0.0
0.002322949,0.18705907,0.007890052,0.0,0.006522065,0.0,0.0031011517,0.0,-0.00430534,0.0
0.0023983072,0.19374312,0.008263839,0.0,0.006841743,0.0,0.0032826734,0.0,-0.0044968924,0.0
0.0024703026,0.20042717,0.008643349,0.0,0.007167619,0.0,0.0034704278,0.0,-0.0046903347,0.0
0.0025395267,0.20711122,0.009027588,0.0,0.007498911,0.0,0.003664226,0.0,-0.004884968,0.0
0.002606672,0.21379527,0.009415639,0.0,0.007834937,0.0,0.0038636674,0.0,-0.005080137,0.0
0.0026724471,0.22047932,0.009806695,0.0,0.008175122,0.0,0.0040681898,0.0,-0.0052752863,0.0
0.002737503,0.22716337,0.010200097,0.0,0.008518987,0.0,0.004277126,0.0,-0.0054699914,0.0
