fitness,g0,g1
0.62421525,0.7475487,0.4070679
0.6240396,-0.17298853,-0.10647917
0.6239365,0.15105236,-0.61348987
0.6240419,-0.41931725,0.45847356
0.62458014,-0.74630797,0.011120677
0.62408376,-0.54611135,0.47492754
0.62408596,0.66357005,-0.58206546
0.62420845,-0.66171885,0.3216573
0.62402135,0.44292688,0.7819245
0.6241143,-0.71170115,0.89245605
0.6239829,-0.29292047,-0.93100846
0.6239295,0.10838699,-0.9282166
0.6240829,-0.5500783,0.48426807
0.6239843,-0.33322144,-0.59427583
0.62400377,-0.40401328,0.6157342
0.62391716,-0.0641613,0.9682603
0.624278,-0.7209269,0.27314544
0.62398887,-0.24102855,0.42285573
0.6244885,-0.65256715,0.022273302
0.62406844,0.34408903,0.2793535
0.6239353,0.09552133,0.4144591
0.624028,0.48364353,-0.65381575
0.62413734,-0.777689,0.9114791
0.62410873,0.5012213,0.3778895
0.62425166,-0.9838339,0.50572324
0.62396276,-0.07530069,-0.08204472
0.6239652,-0.23371863,-0.9643146
0.62392837,-0.11403513,-0.66304076
0.6241552,0.40068197,0.19676685
0.62455815,-0.75280297,0.066030145
0.6240834,-0.6492131,-0.75260794
0.6243865,-0.54628897,0.025620103
0.62416494,0.64253414,0.41043663
0.6243995,-0.8866354,0.24958861
0.62395906,0.21406901,0.96996856
0.6240969,-0.6974721,0.7046001
0.62405914,-0.5400059,-0.9366994
0.6241846,0.5986148,0.30483258
0.6246286,-0.99781716,0.1683569
0.6245818,0.839177,0.122000456
0.6239822,-0.3128451,-0.7136494
0.6240728,0.60756123,0.7906885
0.62402445,-0.18998635,-0.18022525
0.6240627,-0.5548719,-0.891001
0.6242249,-0.43505263,0.14570582
0.6239566,-0.20996594,0.83451104
0.6239776,-0.2777084,0.88441885
0.62399375,-0.35742474,0.67555296
0.62425953,-0.46784472,-0.13668406
0.62425137,0.95709515,0.47778618
0.62441903,0.85460794,-0.2238326
0.6241118,0.7604524,0.6061026
0.6240646,-0.4835689,-0.46233582
0.6239007,-0.0029459,-0.4781661
0.6243241,0.8944304,0.33328402
0.6241866,-0.89955115,0.55527353
0.6240993,0.72531176,-0.63553
0.6241118,-0.708516,0.87351155
0.6239658,0.14211893,0.28912055
0.6241642,0.60302484,-0.35641897
0.6239155,-0.062765956,-0.64260685
0.62404937,-0.36876357,0.39091754
0.62445015,-0.9480591,0.24282002
0.6239031,0.013427496,0.5531318
0.6239757,0.29255033,0.56873596
0.62407935,0.6324576,-0.7709067
0.6239761,0.27308774,-0.8699802
0.62433577,0.5477061,0.12332821
0.6240668,0.5845442,0.8101468
0.62399095,-0.34739602,0.6857276
0.6244417,-0.8093108,0.19355512
0.6239185,0.05872798,0.44657075
0.62419665,-0.94955385,0.8733233
0.6241962,-0.7935424,-0.45314133
0.6242206,0.96683025,-0.54583836
0.6239965,-0.29780602,0.4639616
0.62398946,-0.33755088,-0.74928486
0.6246758,0.88214195,-0.06742191
0.6239201,0.08156586,0.68117905
0.62469655,-0.897346,0.06100726
0.6241628,0.91872406,-0.6437726
0.62400025,-0.24286258,-0.35726666
0.6240051,0.37393677,0.8632537
0.6239042,0.019523025,0.6633222
0.6241553,-0.8655642,-0.754076
0.62410456,-0.6857028,-0.9973686
0.62417996,-0.41701448,0.17904246
0.6241318,0.5130962,0.33233178
0.6240626,0.23275816,-0.1612699
0.624451,0.8578626,0.20874178
0.624028,0.38877165,0.46791494
0.6240007,-0.38943505,-0.639025
0.6239139,0.03589022,-0.36286414
0.6240629,-0.5705211,-0.82560074
0.6239278,-0.046612382,0.20065737
0.624097,0.47203207,0.36940837
0.6247468,-0.94392824,-0.052100897
0.6240745,0.2242105,-0.124492764
0.6239329,-0.038025975,-0.049824715
0.623915,0.056527972,0.9007083
