fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13
-2.264126,0.1726726,0.80793613,-0.19880407,0.56890315,-0.45315123,-0.14145471,0.99059755,0.41696367,0.45160154,-0.25411165,-0.18890852,0.6008797,-0.93005383,-0.028463209
-3.493076,0.89967686,0.21406318,-0.45019856,0.27099657,0.9510151,0.027514832,0.11325336,-0.31133807,0.93988645,-0.2953416,0.50999683,-0.55961555,0.65748143,0.4597931
-2.6645377,-0.5961969,0.070362866,-0.6054935,-0.16928352,-0.33668482,-0.051736474,0.14727744,0.22800517,-0.10943878,-0.11932905,0.4386021,0.6576842,0.24593917,0.5143933
-2.2699118,0.8131769,-0.11468785,-0.39402863,-0.34563294,0.7652922,0.9998456,0.32967174,0.6532086,-0.6506277,-0.86298585,-0.45491362,0.10857304,0.13441792,-0.2603431
-1.6714423,0.6610273,0.9375629,-0.6651015,0.4928572,0.21576712,-0.54448247,-0.012791634,0.16246232,0.14580683,0.05724729,-0.29920614,-0.17878792,-0.6931654,0.58074236
-1.6364673,0.6544901,-0.9904344,-0.8776598,0.24974285,-0.27187896,0.272562,-0.37688416,-0.23016953,0.019421697,-0.5825411,-0.46796757,-0.1957562,-0.5048311,-0.5317236
-1.913347,-0.123302974,0.13737725,0.5028114,0.04427685,0.9294169,0.48147592,-0.028176228,0.4574425,0.21628928,-0.7393558,0.74578905,0.09078861,-0.35944426,-0.17346318
-3.1250188,-0.26836312,0.48663282,-0.44928834,0.110249594,-0.37616068,-0.487195,0.56276685,-0.1531405,-0.33505985,0.8126454,0.27901208,-0.33107346,0.19294806,-0.10268568
-2.0381024,-0.42677903,0.19380632,-0.33010957,-0.861915,0.6499792,-0.059732333,-0.07496902,-0.7482132,-0.837212,0.7280247,-0.7831129,-0.1950773,-0.23369285,0.08751512
-1.1162767,0.11365402,-0.9081048,-0.20604977,-0.6142139,-0.07693303,0.036738876,-0.33665404,0.25488085,-0.24850927,0.9846086,0.6856746,-0.42021528,-0.97030556,-0.38141036
-2.1042447,2.3281574E-4,-0.16780858,0.4576503,0.86726725,0.4350081,0.893079,0.09018731,0.26843953,0.055555087,-0.008393327,0.53850067,0.66923666,-0.2447692,0.07264483
-2.241171,-0.5560927,0.3680844,0.43101108,0.7571793,0.6908334,-0.118307315,0.029343108,0.28682628,0.5006977,-0.8632099,0.2210064,-0.013018638,0.08509153,0.58067083
-1.3836846,-0.7897875,-0.17125405,0.12501645,0.23266332,-0.8999039,0.17028725,0.14103025,-0.33661366,0.10508999,0.12017195,0.8820179,0.00862622,-0.84063745,-0.17743415
-1.7940358,-0.66672,0.84164506,0.3830086,-0.15033323,0.23036148,-0.77826005,-0.014994146,0.023528576,-0.51093966,0.9627226,0.74267167,-0.41763157,-0.5885117,0.1263885
