neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45958805,0.0,0.47244096,0.0,0.50199807,0.0,0.4074972,0.0,0.37781328,0.0
0.45413956,0.012766595,0.5503018,0.0,0.5426844,0.0,0.3431104,0.0,0.24540846,0.0
0.46093842,0.025427863,0.6341608,0.0,0.580714,0.0,0.2640421,0.0,0.12058798,0.0
0.48105893,0.03787942,0.7173086,0.0,0.61726135,0.0,0.16993229,0.0,0.010434584,0.0
0.5150591,0.050018735,0.7929184,0.0,0.6533196,0.0,0.06237242,0.0,-0.08090686,0.0
0.56232375,0.06174607,0.8559848,0.0,0.6895319,0.0,-0.05488516,0.0,-0.15201329,0.0
0.62046856,0.07296533,0.90448284,0.0,0.7260247,0.0,-0.17645738,0.0,-0.20348682,0.0
0.6852011,0.08358497,0.93918484,0.0,0.76234174,0.0,-0.2964504,0.0,-0.23717457,0.0
0.75094813,0.093518734,0.9625539,0.0,0.79755825,0.0,-0.4096594,0.0,-0.25551766,0.0
0.8121532,0.10268648,0.977539,0.0,0.83056206,0.0,-0.51235694,0.0,-0.26111045,0.0
0.86465746,0.111014836,0.98678786,0.0,0.86038214,0.0,-0.6025057,0.0,-0.25645563,0.0
0.9064715,0.118437886,0.99233437,0.0,0.8864168,0.0,-0.6795366,0.0,-0.24385306,0.0
0.93767333,0.124897696,0.9955919,0.0,0.90849215,0.0,-0.7439391,0.0,-0.22535774,0.0
0.9597108,0.13034488,0.9974778,0.0,0.92678416,0.0,-0.79684746,0.0,-0.20276493,0.0
0.97459084,0.13473892,0.99855983,0.0,0.9416851,0.0,-0.839708,0.0,-0.17760436,0.0
0.9842841,0.13804863,0.99917746,0.0,0.95367914,0.0,-0.8740459,0.0,-0.15114003,0.0
0.9904241,0.1402523,0.9995293,0.0,0.96325666,0.0,-0.90131927,0.0,-0.12437835,0.0
0.99423075,0.14133796,0.9997298,0.0,0.970866,0.0,-0.9228393,0.0,-0.09808593,0.0
0.9965528,0.14130335,0.9998443,0.0,0.97689384,0.0,-0.93973684,0.0,-0.07281613,0.0
0.9979523,0.140156,0.9999099,0.0,0.98166156,0.0,-0.9529585,0.0,-0.04894135,0.0
0.9987884,0.13791314,0.9999476,0.0,0.98543066,0.0,-0.96327966,0.0,-0.026687205,0.0
0.99928486,0.13460138,0.9999694,0.0,0.98841083,0.0,-0.9713248,0.0,-0.00616535,0.0
0.9995784,0.13025662,0.99998206,0.0,0.9907686,0.0,-0.9775912,0.0,0.012597207,0.0
0.9997515,0.124923564,0.9999894,0.0,0.9926358,0.0,-0.9824713,0.0,0.029633503,0.0
0.9998535,0.118655324,0.99999374,0.0,0.9941161,0.0,-0.9862728,0.0,0.045016855,0.0
0.9999135,0.11151292,0.99999624,0.0,0.99529135,0.0,-0.9892359,0.0,0.058845695,0.0
0.99994886,0.1035647,0.9999978,0.0,0.99622566,0.0,-0.99154747,0.0,0.07123225,0.0
0.9999697,0.09488568,0.9999986,0.0,0.9969695,0.0,-0.9933527,0.0,0.082294494,0.0
0.99998206,0.08555682,0.99999917,0.0,0.99756277,0.0,-0.9947643,0.0,0.09215047,0.0
0.99998933,0.07566432,0.9999995,0.0,0.9980365,0.0,-0.9958696,0.0,0.10091465,0.0
0.9999936,0.06529881,0.9999997,0.0,0.9984155,0.0,-0.99673617,0.0,0.108695544,0.0
0.9999962,0.054554462,0.9999998,0.0,0.9987193,0.0,-0.99741673,0.0,0.1155944,0.0
0.99999774,0.0435282,0.9999999,0.0,0.998963,0.0,-0.997952,0.0,0.12170456,0.0
0.9999986,0.03231875,0.99999994,0.0,0.999159,0.0,-0.9983736,0.0,0.1271113,0.0
0.99999917,0.021025771,0.99999994,0.0,0.99931675,0.0,-0.9987063,0.0,0.13189198,0.0
0.9999995,0.009748959,1.0,0.0,0.999444,0.0,-0.9989692,0.0,0.13611642,0.0
0.9999997,-0.0014128768,1.0,0.0,0.9995468,0.0,-0.9991773,0.0,0.13984728,0.0
0.9999998,-0.012362645,1.0,0.0,0.99963003,0.0,-0.99934226,0.0,0.14314076,0.0
0.9999999,-0.023005908,1.0,0.0,0.99969745,0.0,-0.9994733,0.0,0.146047,0.0
0.99999994,-0.03325167,1.0,0.0,0.9997522,0.0,-0.9995775,0.0,0.14861065,0.0
0.99999994,-0.043013178,1.0,0.0,0.9997967,0.0,-0.99966055,0.0,0.15087143,0.0
1.0,-0.052208688,1.0,0.0,0.999833,0.0,-0.99972683,0.0,0.1528646,0.0
1.0,-0.06076218,1.0,0.0,0.99986255,0.0,-0.9997798,0.0,0.15462147,0.0
1.0,-0.06860394,1.0,0.0,0.9998867,0.0,-0.99982226,0.0,0.15616973,0.0
1.0,-0.07567121,1.0,0.0,0.9999065,0.0,-0.9998563,0.0,0.15753391,0.0
1.0,-0.0819087,1.0,0.0,0.99992263,0.0,-0.9998836,0.0,0.1587357,0.0
1.0,-0.087268986,1.0,0.0,0.9999359,0.0,-0.9999056,0.0,0.15979433,0.0
1.0,-0.091712914,1.0,0.0,0.9999469,0.0,-0.9999233,0.0,0.16072667,0.0
1.0,-0.09520984,1.0,0.0,0.9999559,0.0,-0.99993753,0.0,0.16154772,0.0
1.0,-0.09773787,1.0,0.0,0.9999633,0.0,-0.9999491,0.0,0.16227071,0.0
1.0,-0.099284016,1.0,0.0,0.9999694,0.0,-0.99995846,0.0,0.16290727,0.0
1.0,-0.09984415,1.0,0.0,0.9999745,0.0,-0.999966,0.0,0.16346769,0.0
1.0,-0.099423006,1.0,0.0,0.99997866,0.0,-0.9999722,0.0,0.16396105,0.0
1.0,-0.09803407,1.0,0.0,0.9999822,0.0,-0.99997723,0.0,0.16439532,0.0
1.0,-0.095699355,1.0,0.0,0.99998504,0.0,-0.9999813,0.0,0.16477756,0.0
1.0,-0.09244904,1.0,0.0,0.9999875,0.0,-0.9999846,0.0,0.16511399,0.0
1.0,-0.08832126,1.0,0.0,0.99998945,0.0,-0.9999873,0.0,0.16541007,0.0
1.0,-0.08336153,1.0,0.0,0.9999911,0.0,-0.99998957,0.0,0.16567063,0.0
1.0,-0.07762236,1.0,0.0,0.99999255,0.0,-0.99999136,0.0,0.16589993,0.0
1.0,-0.07116256,1.0,0.0,0.9999937,0.0,-0.99999285,0.0,0.16610171,0.0
1.0,-0.064046815,1.0,0.0,0.9999947,0.0,-0.9999941,0.0,0.16627927,0.0
1.0,-0.056344766,1.0,0.0,0.99999547,0.0,-0.9999951,0.0,0.1664355,0.0
1.0,-0.04813061,1.0,0.0,0.9999962,0.0,-0.99999595,0.0,0.16657296,0.0
1.0,-0.039482065,1.0,0.0,0.9999968,0.0,-0.9999966,0.0,0.16669391,0.0
1.0,-0.030479852,1.0,0.0,0.99999726,0.0,-0.9999972,0.0,0.1668003,0.0
1.0,-0.021206692,1.0,0.0,0.9999977,0.0,-0.9999976,0.0,0.16689393,0.0
