fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-0.4855161,0.2923872,0.5489682,0.96478033,-0.2654132,-0.21885376,0.17925107,-0.306955,0.8549121,0.12378088,0.7364216,-0.23802236,-0.8471055,-0.5620872,-0.24640419,-0.06461864,-0.56804943,-0.21001357,0.7103541,-0.54418975,0.470513,-0.33929542,-0.87489235,0.5298348,0.025086392,-0.121794745
-8.650442,0.1429101,-0.07517484,0.39406806,0.42124736,0.5275062,-0.460844,0.40612254,-0.5810765,0.3804513,0.2857966,0.24136794,-0.7507603,-0.5660735,-0.52575886,-0.01982738,-0.5002817,0.7710543,0.6192043,0.5029395,0.2962016,0.70526975,-0.3500508,0.99413675,-0.0064592366,-0.097521864
-3.316996,0.19985564,0.4252347,-0.15550801,-0.14003396,0.07277379,0.24976127,-0.45326528,0.5102744,0.8608149,-0.41285756,0.012007547,0.22390832,-0.3172741,-0.20866334,-0.76525456,-0.046504855,0.65891147,0.35150614,0.3893939,-0.03993298,-0.74270374,0.6945307,-0.3618044,-0.052672893,-0.565486
-1.2135816,-0.417492,-0.080227375,-0.800726,0.2846971,0.37885258,-0.64621764,0.42619807,0.084559,0.44572848,0.8931664,-0.02014465,-0.46616283,-0.835952,-0.6283098,-0.23701061,-0.4839803,-0.072272025,-0.63646907,-0.69504714,0.3541293,0.5250757,-0.95992583,0.7506216,0.7709676,-0.6964815
-1.6401815,-0.30931625,-0.25279307,-0.38427523,0.34028962,-0.39250407,0.25134876,0.040087704,-0.10047829,-0.020872219,0.7963,0.43577042,-0.57580304,0.37477013,-0.4473946,0.6574037,-0.12967944,-0.72762316,0.3223866,-0.118611224,-0.4183463,-0.5828179,-0.86421543,-0.08163649,0.26171112,-0.017619308
-4.3331666,-0.6097585,-0.47652322,-0.49323386,0.017995575,-0.7372452,-0.7123581,0.19980052,0.36953226,0.02693139,-0.4516493,-0.19888876,0.121700354,0.40378368,-0.16160439,-0.87139875,0.9479188,-0.18150814,0.24464002,-0.24717362,0.17643261,-0.7396334,0.27509558,0.54084593,-0.099625036,0.25551105
-1.5829442,0.4042273,0.5044865,0.23792495,0.16656238,0.70234716,0.5164771,0.0076648532,0.9989228,0.98087096,0.2672275,0.1674104,-0.67237246,-0.29979485,-0.41335288,-0.48134688,-0.17974615,-0.49900484,0.47610012,0.19928408,0.62882954,-0.25817287,-0.5010177,-0.8685259,-0.420819,0.19059324
-1.9620951,-0.80452836,0.30930755,-0.038885314,-0.31781098,-0.4609938,0.5150534,-0.061917428,-0.2644856,0.5042535,-0.693034,-0.3288846,-0.8082256,0.4324044,0.56743824,-0.43199936,0.6761701,-0.24275108,0.078318454,0.52674615,-0.09663713,0.64662707,-0.14564301,-0.1996737,-0.53422004,-0.28773966
-2.1105876,0.7481316,-0.3908103,-0.08399833,-0.6708761,-0.2617663,-0.715428,-0.4245158,0.40296704,0.6264217,-0.89022374,0.066349216,-0.020840526,0.85526663,0.09451629,0.82037,-0.5521334,-0.6554451,-0.33997715,0.5278911,-0.94549555,-0.70576984,-0.21998318,0.39676887,0.38677862,0.6764472
-1.6235749,-0.24580473,0.45560235,-0.18301591,0.5585247,0.5540482,0.93112093,-0.46562847,-0.045100518,0.26101777,0.10231522,0.36522907,0.3442877,-0.2521673,-0.16359702,-0.07641107,0.18039906,-0.07840574,0.34289494,-0.057283998,0.18874064,0.42421576,0.5040572,0.35620567,-0.14826071,-0.60579896
-0.4709969,0.08166907,-0.4451106,0.80013424,-0.027073145,-0.38368103,-0.25788152,0.5671265,0.18429342,0.29504773,-0.36321998,-0.11118543,-0.795684,-0.4324571,-0.7155336,0.2574338,-0.7037608,0.023359535,0.04350041,-0.4076047,-0.3135583,0.73733866,-0.63121647,-0.23079035,-0.17361195,0.6335112
-1.6876472,0.8558735,-0.9588585,-0.020434923,-0.49409485,0.83259404,-0.8339028,-0.8803801,-0.06306728,-0.0937731,0.584297,-0.7450209,0.45018658,0.11124872,0.6909164,-0.4307843,-0.3388826,0.04127064,-0.47003338,-0.11577141,0.90350026,0.18587445,-0.39774492,-0.20513697,-0.007786235,0.91283333
-5.9461575,0.52067035,0.0795294,-0.3353062,0.39368367,0.40863144,0.25098637,-0.6459033,0.5769039,-0.82605034,0.5628935,0.45480487,-0.08979837,-0.6518948,0.20246954,0.41634035,-0.63772565,0.11057234,-0.13125417,-0.21929581,-0.27170417,0.1710365,-0.13960585,-0.22928235,-0.68060315,0.06737319
