Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-0.8471949,-26.59388,-3.3787048,1493.4341
2,-0.8471949,-15.10699,-2.5293994,463.9274
3,-0.8471949,-43.49789,-3.374074,3361.7654
4,-0.5817417,-18.823763,-2.7694445,778.2582
5,-0.23327896,-19.904879,-3.0612378,1108.0718
6,-0.23327896,-40.819508,-3.3876302,3069.406
7,-0.23327896,-36.617523,-3.1381617,1905.4119
8,-0.23327896,-70.37334,-3.9404588,6425.3125
9,-0.23327896,-28.373682,-3.4186838,1886.1396
10,-0.23327896,-39.67027,-3.235717,2268.9053
11,-0.23327896,-24.840065,-2.9662156,1042.6497
12,-0.23327896,-44.76842,-3.6539326,3152.4512
13,-0.23327896,-33.30971,-4.024472,2735.3203
14,-0.23327896,-24.390982,-3.1339495,1459.5409
15,-0.23327896,-45.085396,-3.0248816,2186.9563
16,-0.23327896,-45.085396,-3.7814221,3758.465
17,-0.23327896,-51.961323,-4.552206,6353.2446
18,-0.23327896,-28.17523,-3.4671082,2279.8394
19,-0.23327896,-28.17523,-2.8482304,1405.8176
20,-0.23327896,-75.47357,-3.4851074,6190.3306
21,-0.23327896,-41.798798,-3.4317417,2392.1528
22,-0.23327896,-41.53862,-3.3911047,2874.5361
23,-0.23327896,-12.40105,-2.6651928,460.23337
24,-0.23327896,-56.21564,-3.8048828,5226.4443
25,-0.23327896,-34.056934,-3.9530184,2369.686
26,-0.23327896,-16.46453,-2.9530947,924.88696
27,-0.23327896,-28.347145,-3.159272,1508.4624
28,-0.23327896,-28.347145,-3.4030802,2077.7644
29,-0.23327896,-59.34628,-3.5233545,4867.4956
30,-0.23327896,-45.786865,-3.5192738,3957.7854
31,-0.23327896,-11.534759,-2.551359,443.41196
32,-0.23327896,-54.090733,-3.0500147,3073.6377
33,-0.23327896,-24.206894,-3.2955563,2047.8811
34,-0.23327896,-21.655224,-2.900711,1306.7488
35,-0.23327896,-21.880947,-2.5705755,952.9483
36,-0.23327896,-55.901352,-2.918873,3387.3093
37,-0.23327896,-24.331793,-2.7619665,1148.1234
38,-0.23327896,-51.77032,-3.3852096,3830.09
39,-0.23327896,-51.77032,-3.3180687,4109.405
40,-0.23327896,-51.77032,-3.4542844,3320.737
41,-0.23327896,-74.65521,-3.9953601,6537.793
42,-0.23327896,-30.500591,-3.0612676,1604.9061
43,-0.23327896,-43.023624,-3.5588663,3339.7961
44,-0.23327896,-33.412697,-3.139207,2547.3528
45,-0.23327896,-24.40496,-3.2661211,1360.423
46,-0.23327896,-20.704235,-3.1525912,1063.0756
47,-0.23327896,-44.85709,-3.3212044,2547.4883
48,-0.23327896,-85.31082,-4.363566,9283.878
49,-0.18689087,-26.275537,-3.0701337,1426.0286
50,-0.18689087,-26.275537,-3.2285383,1770.9291
51,-0.18689087,-37.07252,-3.5168862,3720.4504
52,-0.18689087,-16.443121,-2.8553,966.7608
53,-0.18689087,-73.040016,-3.678673,5953.6816
54,-0.18689087,-73.040016,-3.919599,7584.7544
55,-0.18689087,-49.961014,-3.973202,5053.333
56,-0.18689087,-66.888725,-4.236369,7236.428
57,-0.18689087,-32.588234,-3.1629183,2012.9576
58,-0.18689087,-55.0513,-3.0685334,3784.602
59,-0.18689087,-98.68883,-4.825303,16927.502
60,-0.18689087,-43.368675,-3.761635,4615.05
61,-0.18689087,-36.796894,-2.9991605,1889.4724
62,-0.18689087,-20.176083,-2.9034164,1050.7543
63,-0.18689087,-39.40743,-2.9610236,1848.5399
64,-0.18689087,-27.351463,-3.120844,1589.9714
65,-0.18689087,-18.747581,-2.658846,827.72955
66,-0.18689087,-18.747581,-2.4907844,598.3844
67,-0.18689087,-184.95343,-4.5863576,33812.67
68,-0.18689087,-184.95343,-5.1364317,35186.375
69,-0.18689087,-184.95343,-4.2639647,33446.934
70,-0.18689087,-32.228195,-2.9309125,1582.5923
71,-0.18689087,-21.280014,-2.5841568,686.64264
72,-0.18689087,-24.672667,-2.9398136,1734.3607
73,-0.18689087,-21.675499,-2.936656,1243.462
74,-0.18689087,-21.675499,-2.5689101,726.7407
75,-0.18689087,-37.992752,-3.2684183,2568.028
76,-0.18689087,-12.271631,-2.3207805,387.0737
77,-0.18689087,-10.075807,-2.2947366,238.94946
78,-0.18689087,-13.27642,-2.6044908,551.95746
79,-0.18689087,-13.27642,-2.5207753,483.9389
80,-0.18689087,-25.843891,-2.679418,887.5475
81,-0.18689087,-25.843891,-2.7359133,1089.6106
82,-0.18689087,-38.73491,-2.7433443,1687.0328
83,-0.18689087,-16.99927,-2.8230114,792.9425
84,-0.18689087,-22.466858,-3.4211178,1808.1973
85,-0.18689087,-59.905308,-4.0849886,7050.7817
86,-0.18689087,-57.210846,-3.1915128,3733.1682
87,-0.18689087,-45.307003,-3.3478088,3821.1597
88,-0.18689087,-64.2634,-4.3219357,6835.1084
89,-0.18689087,-64.2634,-3.8734155,5755.3867
90,-0.18689087,-35.921463,-3.003968,2191.6772
91,-0.18689087,-13.728207,-2.3763735,445.52658
92,-0.18689087,-29.681221,-3.0045877,1517.8964
93,-0.18689087,-16.507893,-2.4157534,472.03464
94,-0.18689087,-14.615139,-2.6772287,612.55975
95,-0.18689087,-16.015131,-2.907771,756.6826
96,-0.18689087,-22.8291,-2.6355543,859.07996
97,-0.18689087,-28.997078,-3.3915515,2254.389
98,-0.18689087,-21.776384,-2.8066845,1103.4106
99,-0.18689087,-123.72046,-3.6574793,15208.562
100,-0.18689087,-30.87339,-2.864718,1507.4503
101,-0.18689087,-11.118054,-2.4918482,394.3448
102,-0.18689087,-49.127613,-3.333648,3498.1516
103,-0.18689087,-38.01703,-2.898305,1934.3558
104,-0.18689087,-48.16982,-3.2649665,3735.5352
105,-0.18689087,-40.316696,-2.997563,2106.25
106,-0.18689087,-40.316696,-3.1000888,3025.079
107,-0.18689087,-37.116207,-3.012818,2012.8776
108,-0.18689087,-17.504744,-2.9372165,926.1839
109,-0.18689087,-46.958927,-3.0933518,2356.8354
110,-0.18689087,-32.642105,-3.209183,1969.2384
111,-0.18689087,-36.369877,-3.4128494,2600.0886
112,-0.18689087,-25.480864,-3.133284,1591.375
113,-0.18689087,-49.557484,-3.5468218,4015.762
114,-0.18689087,-32.905205,-3.293492,2322.2356
115,-0.18689087,-27.264585,-2.564929,904.00665
116,-0.18689087,-60.86607,-3.4422748,4511.41
117,-0.18689087,-50.474014,-3.1707416,3226.8635
118,-0.18689087,-19.695824,-2.5911536,727.1504
119,-0.18689087,-18.594193,-2.5427697,766.2822
120,-0.18689087,-29.579092,-2.7511315,1274.9854
121,-0.18689087,-32.31547,-2.9356754,1727.5426
122,-0.18689087,-37.28277,-3.0530264,2166.018
123,-0.18689087,-15.225442,-2.5055027,554.3895
124,-0.18689087,-26.763609,-3.1765838,1318.4156
125,-0.18689087,-44.188446,-3.4572256,4285.738
126,-0.18689087,-66.930756,-3.7742808,6267.5723
127,-0.18689087,-42.227066,-2.9735281,2295.411
128,-0.18689087,-17.282389,-2.4705575,573.1747
129,-0.18689087,-17.814957,-2.881231,935.9243
130,-0.18689087,-51.78069,-3.139944,4559.7896
131,-0.18689087,-50.149044,-3.7394533,4840.0215
132,-0.18689087,-50.149044,-3.0766795,2879.5212
133,-0.18689087,-31.401268,-2.829559,1401.2577
134,-0.18689087,-87.10244,-3.7125175,8522.388
135,-0.18689087,-44.552334,-3.6399713,3685.6765
136,-0.18689087,-42.528984,-3.3376534,2959.011
137,-0.18689087,-48.95491,-3.2804356,3282.92
138,-0.18689087,-52.28786,-3.270307,3976.891
139,-0.18689087,-24.208845,-2.629497,966.7597
140,-0.18689087,-22.103123,-2.548274,774.44336
141,-0.18689087,-29.45615,-2.7702944,1669.7006
142,-0.18689087,-31.997643,-2.5890088,1336.8572
143,-0.18689087,-26.8917,-2.5410078,1292.56
144,-0.18689087,-25.812498,-2.8702075,1570.7303
145,-0.18689087,-24.24876,-3.0580854,1350.5657
146,-0.18689087,-31.856052,-2.6681745,1241.4951
147,-0.18689087,-34.110798,-2.8202167,2199.8237
148,-0.18689087,-29.280169,-3.229144,1956.237
149,-0.18689087,-48.27722,-3.930509,4879.2026
150,-0.18689087,-22.194538,-3.1280482,1253.2186
151,-0.18689087,-35.67684,-2.8000238,1803.7521
152,-0.18689087,-42.4472,-2.9941032,2238.6096
153,-0.18689087,-13.39195,-2.6069021,499.4282
154,-0.18689087,-24.178057,-2.5441818,1156.3925
155,-0.18689087,-20.58232,-2.5019915,830.58417
156,-0.18689087,-32.64135,-3.6463866,3102.847
157,-0.18689087,-44.82216,-2.961181,2428.833
158,-0.18689087,-17.75899,-2.5655434,651.6268
159,-0.18689087,-56.320168,-3.5999851,5963.1978
