neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45928288,0.0,0.5172789,0.0,0.36504495,0.0,0.50512785,0.0,0.36136788,0.0
0.3869843,0.039989334,0.5303372,0.0,0.28714612,0.0,0.50122017,0.0,0.23596624,0.0
0.3268152,0.07991469,0.5153892,0.0,0.21195275,0.0,0.49313915,0.0,0.11120132,0.0
0.2807006,0.119712204,0.4762917,0.0,0.14103365,0.0,0.48291683,0.0,-0.0038388108,0.0
0.24881376,0.15931821,0.41635466,0.0,0.07538219,0.0,0.472453,0.0,-0.102524966,0.0
0.23011778,0.19866931,0.3398807,0.0,0.015474857,0.0,0.46339273,0.0,-0.18146046,0.0
0.22291794,0.23770262,0.2527768,0.0,-0.03873846,0.0,0.457047,0.0,-0.24013595,0.0
0.22529432,0.27635565,0.16197878,0.0,-0.08783256,0.0,0.4543685,0.0,-0.28001946,0.0
0.23539078,0.31456655,0.07408715,0.0,-0.13282208,0.0,0.45597336,0.0,-0.3036136,0.0
0.25158107,0.3522742,-0.0058898395,0.0,-0.17499724,0.0,0.46219093,0.0,-0.3137609,0.0
0.2725424,0.38941833,-0.07504169,0.0,-0.2157376,0.0,0.4731221,0.0,-0.3132482,0.0
0.29726487,0.42593947,-0.13232587,0.0,-0.2563556,0.0,0.4886919,0.0,-0.30463663,0.0
0.32502186,0.46177918,-0.17799717,0.0,-0.2979872,0.0,0.5086897,0.0,-0.2902171,0.0
0.35531744,0.4968801,-0.2130453,0.0,-0.341519,0.0,0.53279364,0.0,-0.27201316,0.0
0.38782272,0.5311862,-0.23879005,0.0,-0.38753578,0.0,0.5605804,0.0,-0.25178975,0.0
0.42230663,0.5646424,-0.25663975,0.0,-0.43627524,0.0,0.5915237,0.0,-0.23105453,0.0
0.45856613,0.59719545,-0.26796594,0.0,-0.4875904,0.0,0.6249889,0.0,-0.21105234,0.0
0.49636117,0.628793,-0.2740447,0.0,-0.54092884,0.0,0.6602302,0.0,-0.19276017,0.0
0.53536147,0.65938467,-0.2760306,0.0,-0.5953478,0.0,0.6964025,0.0,-0.17688873,0.0
0.5751144,0.68892145,-0.2749444,0.0,-0.6495842,0.0,0.7325944,0.0,-0.16389519,0.0
0.61504257,0.7173561,-0.27166694,0.0,-0.70218825,0.0,0.7678844,0.0,-0.15400697,0.0
0.6544748,0.7446431,-0.2669377,0.0,-0.7517087,0.0,0.8014143,0.0,-0.14725564,0.0
0.6927057,0.7707389,-0.26135933,0.0,-0.7968918,0.0,0.8324647,0.0,-0.1435166,0.0
0.7290707,0.7956016,-0.25540876,0.0,-0.83684486,0.0,0.8605133,0.0,-0.14255063,0.0
0.76301575,0.8191916,-0.24945346,0.0,-0.87112087,0.0,0.8852637,0.0,-0.14404313,0.0
0.79414517,0.84147096,-0.24377057,0.0,-0.89971167,0.0,0.9066388,0.0,-0.14763789,0.0
0.82223976,0.8624042,-0.23856539,0.0,-0.9229659,0.0,0.9247468,0.0,-0.15296385,0.0
0.8472456,0.88195777,-0.23398642,0.0,-0.9414684,0.0,0.9398308,0.0,-0.15965484,0.0
0.8692438,0.90010047,-0.23013651,0.0,-0.9559186,0.0,0.95221543,0.0,-0.16736315,0.0
0.8884121,0.9168031,-0.22708003,0.0,-0.96703166,0.0,0.9622607,0.0,-0.17576821,0.0
0.9049878,0.9320391,-0.22484747,0.0,-0.97547287,0.0,0.9703267,0.0,-0.18458182,0.0
0.9192362,0.94578403,-0.22343895,0.0,-0.9818222,0.0,0.97675,0.0,-0.1935507,0.0
0.9314278,0.95801586,-0.2228273,0.0,-0.9865623,0.0,0.98183125,0.0,-0.20245773,0.0
0.94182307,0.9687151,-0.22296192,0.0,-0.9900813,0.0,0.98582953,0.0,-0.21112148,0.0
0.95066357,0.9778646,-0.22377276,0.0,-0.9926834,0.0,0.98896265,0.0,-0.21939524,0.0
0.9581673,0.98544973,-0.2251752,0.0,-0.9946024,0.0,0.9914101,0.0,-0.22716503,0.0
0.96452755,0.99145836,-0.22707476,0.0,-0.99601537,0.0,0.9933174,0.0,-0.23434728,0.0
0.96991324,0.99588084,-0.22937201,0.0,-0.99705505,0.0,0.99480134,0.0,-0.2408859,0.0
0.974471,0.99871016,-0.23196673,0.0,-0.9978202,0.0,0.9959546,0.0,-0.24674927,0.0
0.9783265,0.9999417,-0.23476185,0.0,-0.9983836,0.0,0.9968503,0.0,-0.25192702,0.0
0.9815876,0.9995736,-0.23766647,0.0,-0.99879885,0.0,0.9975459,0.0,-0.2564267,0.0
0.98434603,0.9976064,-0.24059816,0.0,-0.9991055,0.0,0.99808604,0.0,-0.26027074,0.0
0.9866798,0.99404323,-0.24348456,0.0,-0.99933225,0.0,0.9985057,0.0,-0.26349327,0.0
0.9886549,0.98888975,-0.24626443,0.0,-0.99950033,0.0,0.9988319,0.0,-0.26613745,0.0
0.99032736,0.9821543,-0.24888793,0.0,-0.9996252,0.0,0.9990858,0.0,-0.2682529,0.0
0.99174434,0.9738476,-0.2513165,0.0,-0.9997181,0.0,0.99928343,0.0,-0.26989332,0.0
0.9929457,0.963983,-0.25352243,0.0,-0.99978745,0.0,0.9994376,0.0,-0.27111453,0.0
0.99396497,0.9525762,-0.25548807,0.0,-0.99983937,0.0,0.9995579,0.0,-0.27197275,0.0
0.9948306,0.93964547,-0.25720477,0.0,-0.9998783,0.0,0.9996519,0.0,-0.27252313,0.0
0.9955664,0.92521155,-0.2586718,0.0,-0.9999075,0.0,0.9997255,0.0,-0.27281848,0.0
0.9961925,0.9092974,-0.25989527,0.0,-0.99992955,0.0,0.9997832,0.0,-0.27290833,0.0
0.9967258,0.8919287,-0.26088667,0.0,-0.99994624,0.0,0.99982846,0.0,-0.27283835,0.0
0.9971805,0.873133,-0.26166198,0.0,-0.9999589,0.0,0.9998641,0.0,-0.27264965,0.0
0.9975688,0.85294056,-0.26224032,0.0,-0.99996847,0.0,0.9998921,0.0,-0.27237853,0.0
0.9979006,0.8313835,-0.26264304,0.0,-0.99997574,0.0,0.9999142,0.0,-0.27205637,0.0
0.99818456,0.80849636,-0.2628927,0.0,-0.9999813,0.0,0.9999317,0.0,-0.27170965,0.0
0.99842787,0.78431594,-0.26301223,0.0,-0.9999856,0.0,0.9999455,0.0,-0.27135998,0.0
0.9986366,0.75888073,-0.26302427,0.0,-0.9999888,0.0,0.9999564,0.0,-0.2710246,0.0
0.99881595,0.7322315,-0.26295045,0.0,-0.9999913,0.0,0.99996513,0.0,-0.27071646,0.0
0.9989702,0.70441085,-0.26281112,0.0,-0.99999326,0.0,0.99997205,0.0,-0.2704447,0.0
0.99910307,0.67546326,-0.2626247,0.0,-0.99999475,0.0,0.9999775,0.0,-0.27021515,0.0
0.9992177,0.645435,-0.26240772,0.0,-0.9999959,0.0,0.99998194,0.0,-0.27003083,0.0
0.99931663,0.6143742,-0.26217452,0.0,-0.9999968,0.0,0.99998546,0.0,-0.26989222,0.0
0.9994022,0.58233064,-0.26193717,0.0,-0.9999975,0.0,0.99998826,0.0,-0.2697979,0.0
0.9994763,0.5493555,-0.2617056,0.0,-0.99999803,0.0,0.9999905,0.0,-0.269745,0.0
0.99954057,0.51550144,-0.2614876,0.0,-0.99999845,0.0,0.9999923,0.0,-0.2697294,0.0
0.99959636,0.48082274,-0.26128894,0.0,-0.99999875,0.0,0.99999374,0.0,-0.26974636,0.0
0.9996449,0.4453748,-0.26111358,0.0,-0.99999905,0.0,0.99999493,0.0,-0.26979065,0.0
0.9996871,0.40921414,-0.26096398,0.0,-0.9999992,0.0,0.9999959,0.0,-0.26985696,0.0
0.9997239,0.37239906,-0.26084113,0.0,-0.9999994,0.0,0.99999666,0.0,-0.26993996,0.0
0.99975604,0.3349882,-0.2607449,0.0,-0.9999995,0.0,0.99999726,0.0,-0.27003464,0.0
0.9997841,0.29704145,-0.26067415,0.0,-0.9999996,0.0,0.99999774,0.0,-0.27013642,0.0
0.99980867,0.25861946,-0.2606271,0.0,-0.9999997,0.0,0.99999815,0.0,-0.27024117,0.0
0.99983025,0.21978377,-0.26060137,0.0,-0.99999976,0.0,0.9999985,0.0,-0.2703454,0.0
0.99984914,0.18059623,-0.2605943,0.0,-0.9999998,0.0,0.99999875,0.0,-0.27044603,0.0
0.9998657,0.14112,-0.26060307,0.0,-0.9999998,0.0,0.999999,0.0,-0.2705408,0.0
0.9998804,0.101418026,-0.26062468,0.0,-0.9999999,0.0,0.99999917,0.0,-0.2706279,0.0
0.99989325,0.061553795,-0.26065633,0.0,-0.9999999,0.0,0.9999993,0.0,-0.27070597,0.0
0.9999046,0.02159109,-0.26069525,0.0,-0.99999994,0.0,0.9999994,0.0,-0.27077436,0.0
0.9999146,-0.018406155,-0.260739,0.0,-0.99999994,0.0,0.9999995,0.0,-0.2708327,0.0
