fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-1.4704643,0.7467985,0.67489547,-0.6991527,0.03245144,-0.2809738,-0.7150536,0.08004737,0.39014095,0.042375367,0.04677033,-0.4213829,-0.43774542,-0.04183958,-0.1804498,0.6434708,-0.2925295,-0.38866413,-0.017175067,-0.4456893,0.7647224,-0.6661631,0.3238636,-0.015699906,0.3402034,0.86989874
-1.7481468,-0.2845957,0.41110766,0.6994415,0.16954696,-0.20635316,-0.21794128,0.4340813,0.60375446,-0.56406176,-0.40008557,-0.40018052,-0.026578235,0.10187757,0.19482367,-0.12560067,0.30522615,0.16336545,0.0050801295,-0.9137405,0.6220886,-0.6330383,-0.7139396,-0.81237733,0.12518196,-0.102112316
-0.6162945,0.2593082,0.009257338,0.022170037,-0.014313048,0.015250463,0.41259935,-0.15573359,0.6997178,-0.20595932,0.8741954,-0.04749015,-0.8568984,-0.57589865,0.73116,-0.3815365,-0.3138188,0.6952684,0.26470947,-0.47588152,-0.09886563,-0.4929843,-0.8387172,-0.66812134,-0.64482176,0.13477802
-3.205175,0.13299303,0.8432457,-0.048444342,0.45977768,0.10019112,0.056643073,0.29967052,-0.061538108,-0.39823854,0.75907207,-0.0036600395,0.18051319,-0.031018717,-0.23612015,-0.47074893,0.029932508,-0.12253964,0.33454597,-0.901741,-0.12836641,-0.9744567,-0.65262705,-0.5642547,-0.75277656,0.16271222
-3.6682987,0.7712998,-0.40531826,0.687622,0.5636009,-0.7171396,0.85258526,-0.105328426,-0.9207688,0.78153807,-0.41534683,-0.47310635,0.2321616,-0.41190487,0.5854281,0.2952274,-0.53158075,-0.4403187,0.25955355,-0.85677457,-0.4092914,0.46406257,0.3607704,-0.016661577,-0.4837561,0.8143891
-1.3977504,-0.27227595,0.6714657,0.9108566,0.7905967,-0.2644466,-0.8222668,-0.03293644,-0.65004796,0.25819758,-0.3886654,0.09874575,0.9914345,-0.014887846,-0.9946202,-0.051902343,0.19076909,0.017465187,0.30012244,-0.8240861,-0.29639277,0.6200279,-0.81187016,-0.47106206,-0.09697294,-0.53256977
-1.2592198,-0.1874617,0.4053315,-0.2534546,-0.051896807,0.29266012,0.5984445,-0.07342634,0.19698139,-0.08690813,-0.81011003,-0.028482368,-0.9281535,-0.35963833,-0.22774822,0.021053858,-0.16430464,-7.6233986E-4,-0.16607025,-0.94137144,0.3016487,0.3053679,0.45097432,-0.40994674,-0.49766374,0.3637956
-1.0450176,-0.19854133,-0.6338687,-0.6036905,0.19964565,0.77177805,0.6972097,-0.3474051,0.5460127,0.17321146,-0.61912364,-0.14274058,0.31500214,-0.9749352,-0.10888004,0.5475604,-0.2789876,-0.2002033,0.6336389,-0.9242716,-0.3131888,-0.2174406,-0.5718639,-0.90524864,-0.4952222,0.5035052
-1.8211081,0.7894815,-0.16417934,-0.6334071,-0.0037118196,-0.28264964,0.47101328,0.068622135,-0.41429394,0.14672726,0.3606527,0.15918648,-0.07258526,-0.6094635,-0.8523314,0.5072233,-0.0048715062,-0.43273973,-0.01449423,-0.8501498,0.36965168,0.26366523,-0.8348342,0.92569727,-0.24606653,0.0043913373
-2.5521586,0.39209068,-0.67455006,-0.290636,0.08727611,-0.24971016,-0.06811739,-0.027011672,-0.79791355,-0.0529449,-0.2104181,-0.47481045,0.5597375,0.42247507,0.41085508,0.02483964,-0.30052283,-0.6829255,0.05928111,-0.14755137,0.36362234,-0.27707604,0.63455826,0.43256438,0.03792213,0.39493123
