Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-1.1045455,-27.508606,-3.7873125,2048.1316
2,-1.1045455,-26.497234,-3.8197107,2251.6619
3,-0.9472383,-15.930123,-2.772185,582.956
4,-0.6849735,-27.71331,-2.9289672,1347.611
5,-0.6849735,-52.923344,-3.2504413,2935.973
6,-0.6849735,-40.028023,-3.231749,2171.9048
7,-0.6849735,-79.099594,-4.400303,7784.2036
8,-0.6849735,-40.58886,-3.1988614,2858.0967
9,-0.6849735,-23.95314,-3.4598413,1753.2057
10,-0.6849735,-24.138792,-2.8189862,1024.4047
11,-0.6849735,-11.993963,-2.4563234,345.25302
12,-0.6849735,-24.44439,-3.1959994,1504.9244
13,-0.6849735,-35.994213,-3.1974998,2155.6143
14,-0.6849735,-22.781834,-3.331944,1376.5201
15,-0.6849735,-134.86247,-5.0495734,20031.936
16,-0.6849735,-31.548052,-3.153464,1850.9934
17,-0.6849735,-32.71778,-3.3867986,1892.2328
18,-0.6849735,-32.71778,-3.3470535,2392.9673
19,-0.6849735,-29.81933,-3.3516412,1760.4312
20,-0.6849735,-38.41636,-3.0630016,2659.3337
21,-0.6849735,-12.30698,-2.4049108,336.42215
22,-0.36067227,-45.77741,-2.852256,2308.9102
23,-0.36067227,-11.768684,-2.5419393,406.55148
24,-0.36067227,-40.302284,-2.7861557,1813.9547
25,-0.36067227,-23.903233,-2.9312038,1336.2384
26,-0.36067227,-57.86045,-3.9530838,6047.0645
27,-0.36067227,-37.253548,-3.7186358,3746.5247
28,-0.36067227,-37.253548,-3.2486584,2228.7695
29,-0.36067227,-84.52588,-3.3983972,7085.5146
30,-0.36067227,-18.915213,-2.8481271,838.4219
31,-0.36067227,-18.98004,-2.8885608,944.5374
32,-0.36067227,-43.511696,-3.708197,3131.1147
33,-0.36067227,-30.36922,-3.3462226,1752.5398
34,-0.36067227,-18.293953,-2.7642303,707.4583
35,-0.36067227,-48.40813,-3.0598,2724.254
36,-0.36067227,-32.03206,-2.9114656,1691.8024
37,-0.36067227,-14.683381,-2.4942698,523.6899
38,-0.36067227,-115.504265,-3.4822564,12949.562
39,-0.36067227,-29.680584,-2.9277682,1703.1707
40,-0.36067227,-29.680584,-2.9535806,1577.7112
41,-0.36067227,-44.122353,-3.5684073,3878.069
42,-0.36067227,-35.291,-3.4096212,2565.714
43,-0.36067227,-23.284082,-2.9873612,1179.4594
44,-0.36067227,-42.927887,-3.824057,4371.667
45,-0.36067227,-39.735462,-2.6575193,1584.348
46,-0.36067227,-15.167246,-2.483508,474.0336
47,-0.36067227,-22.716814,-2.6783266,858.0683
48,-0.36067227,-24.386345,-2.6125097,1081.7843
49,-0.36067227,-47.255306,-3.0877187,3310.7815
50,-0.36067227,-29.809341,-3.385485,1759.2722
51,-0.36067227,-54.77321,-3.891069,4672.99
52,-0.36067227,-28.137985,-2.9948356,1719.5381
53,-0.36067227,-34.15906,-3.0740342,2107.4814
54,-0.36067227,-29.348665,-2.8456073,1244.2474
55,-0.36067227,-27.107899,-2.961528,1574.0217
56,-0.36067227,-20.482868,-2.7586303,911.52
57,-0.36067227,-31.326982,-2.9428427,1502.3442
58,-0.36067227,-25.196312,-2.7809167,1067.2896
59,-0.36067227,-23.49551,-3.0044653,1117.8335
60,-0.36067227,-74.929955,-3.0743396,5487.0127
61,-0.36067227,-20.750267,-2.540021,646.25903
62,-0.36067227,-15.812967,-2.7437081,706.526
63,-0.36067227,-24.876287,-3.0972967,1180.8989
64,-0.36067227,-34.20347,-3.4055207,3247.726
65,-0.36067227,-34.993176,-3.2222512,2525.3376
66,-0.36067227,-34.993176,-2.8214216,1431.6761
67,-0.36067227,-36.410656,-3.503694,2878.4858
68,-0.36067227,-46.42058,-3.5571976,3203.4343
69,-0.36067227,-46.42058,-4.354864,5465.8916
70,-0.36067227,-30.631567,-3.2276466,1958.7809
71,-0.36067227,-34.72752,-3.1371603,1727.2186
72,-0.36067227,-23.745901,-3.0993402,1366.6049
73,-0.36067227,-22.586102,-3.218286,1619.8531
74,-0.36067227,-10.312885,-2.568163,383.8965
75,-0.36067227,-18.992313,-2.6957917,735.88403
76,-0.36067227,-46.819286,-3.2034097,2975.105
77,-0.36067227,-35.281487,-3.1998196,2087.196
78,-0.36067227,-35.281487,-2.9223351,2007.5646
79,-0.36067227,-24.299885,-3.4016027,1787.0227
80,-0.36067227,-17.790255,-2.3859007,506.7946
81,-0.36067227,-16.205755,-3.036846,928.43427
82,-0.36067227,-24.39295,-3.0849428,1343.0752
83,-0.36067227,-22.998735,-2.9255898,1018.9294
84,-0.36067227,-20.244661,-2.6354113,796.406
85,-0.36067227,-71.0179,-3.6117692,6758.616
86,-0.36067227,-50.357765,-3.4988859,4097.9287
87,-0.36067227,-22.568115,-2.7163372,1264.4307
88,-0.36067227,-58.804405,-3.5865762,4202.586
89,-0.36067227,-81.97691,-4.117926,12204.586
90,-0.36067227,-38.333767,-3.4870684,2427.7405
91,-0.36067227,-20.071194,-2.870192,724.5425
92,-0.36067227,-23.891392,-2.622489,908.5696
93,-0.36067227,-35.553265,-3.687431,3477.521
94,-0.36067227,-17.36489,-2.3017302,368.02243
95,-0.36067227,-43.822906,-3.5282757,3654.0178
96,-0.36067227,-39.54512,-3.4769578,3200.1147
97,-0.36067227,-26.8812,-3.0797653,1589.2302
98,-0.36067227,-24.030224,-3.295311,1883.9705
99,-0.36067227,-26.135427,-2.7676134,1168.4171
100,-0.36067227,-74.74253,-3.4457314,5888.185
101,-0.36067227,-20.506153,-2.7462833,745.7402
102,-0.36067227,-19.118473,-2.7010267,968.9089
103,-0.36067227,-30.23722,-3.1697695,1984.1096
104,-0.36067227,-29.29052,-2.9416351,1635.2178
105,-0.36067227,-36.505497,-3.7062044,3714.0718
106,-0.36067227,-21.676764,-2.3198462,684.6608
107,-0.36067227,-50.447723,-2.8153222,2976.5146
108,-0.36067227,-44.81768,-4.0706477,3849.74
109,-0.36067227,-41.514248,-2.819339,2277.7317
110,-0.36067227,-33.569286,-2.9589095,1682.722
111,-0.36067227,-25.478298,-2.8239071,996.31146
112,-0.36067227,-20.561289,-2.9916956,1181.7582
113,-0.36067227,-23.732965,-2.5277894,739.4913
114,-0.36067227,-36.255775,-3.2219367,2492.1926
115,-0.36067227,-74.216125,-3.8362207,6204.096
116,-0.36067227,-74.216125,-3.6576312,6362.942
117,-0.36067227,-17.200792,-2.825736,741.6463
118,-0.36067227,-21.588055,-2.8260226,998.62396
119,-0.36067227,-18.061386,-2.6102228,590.2892
120,-0.36067227,-15.936829,-3.0807269,995.25
121,-0.36067227,-15.950453,-2.8658612,900.1821
122,-0.36067227,-20.876467,-2.8510144,829.82513
123,-0.36067227,-16.301481,-2.7005596,612.49713
124,-0.36067227,-16.380072,-2.9177063,909.40845
125,-0.36067227,-71.82466,-3.1569026,5163.6167
126,-0.36067227,-71.82466,-3.2758372,5342.332
127,-0.36067227,-14.184734,-2.765893,749.5638
128,-0.36067227,-66.7629,-3.8255444,6239.3447
129,-0.36067227,-20.227636,-2.7907152,966.40717
130,-0.36067227,-33.926544,-2.9821026,1691.0402
131,-0.36067227,-30.1385,-3.3811646,2066.4172
132,-0.36067227,-23.750633,-3.2999816,1440.4644
133,-0.36067227,-14.2101,-2.5258553,470.8363
134,-0.36067227,-47.142277,-3.4124374,3857.2466
135,-0.36067227,-16.336199,-2.7837226,912.9839
136,-0.36067227,-24.585875,-2.812254,1025.1473
137,-0.36067227,-24.585875,-3.0244393,1551.54
138,-0.36067227,-22.434866,-2.7520273,1132.7603
139,-0.36067227,-23.368528,-2.7313797,1137.7133
140,-0.36067227,-10.184633,-2.222785,251.49403
141,-0.36067227,-39.98546,-3.0172112,2382.8538
142,-0.36067227,-12.756902,-2.3642342,448.31833
143,-0.36067227,-54.26985,-3.677149,4862.4673
144,-0.36067227,-54.26985,-3.289198,3613.8674
145,-0.36067227,-22.552298,-2.597406,715.37354
146,-0.36067227,-20.68608,-2.8107507,838.7886
147,-0.36067227,-31.394848,-3.0115387,1394.743
148,-0.36067227,-26.223095,-2.6760142,921.9265
149,-0.36067227,-27.438929,-3.2889664,2074.9045
150,-0.36067227,-23.658796,-2.4437752,727.46216
