neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4600073,0.0,0.4551985,0.0,0.5104809,0.0,0.38715783,0.0,0.40385062,0.0
0.3465472,0.0842646,0.53712976,0.0,0.5932772,0.0,0.34604546,0.0,0.27311975,0.0
0.2320582,0.0842646,0.6283513,0.0,0.6592224,0.0,0.2944477,0.0,0.15240085,0.0
0.12352782,0.0842646,0.71950555,0.0,0.71045446,0.0,0.23195879,0.0,0.047206968,0.0
0.026036032,0.0842646,0.80105454,0.0,0.7498947,0.0,0.15793286,0.0,-0.04006575,0.0
-0.057754442,0.0842646,0.8666129,0.0,0.78039396,0.0,0.0716835,0.0,-0.109054424,0.0
-0.12715799,0.0842646,0.9145584,0.0,0.8043382,0.0,-0.027154302,0.0,-0.1605595,0.0
-0.18271023,0.0842646,0.9470608,0.0,0.82357097,0.0,-0.13806964,0.0,-0.19599332,0.0
-0.22554012,0.0842646,0.967907,0.0,0.8394611,0.0,-0.25896525,0.0,-0.21706165,0.0
-0.25700593,0.0842646,0.9807895,0.0,0.8530064,0.0,-0.3855273,0.0,-0.2256388,0.0
-0.27855742,0.0842646,0.98857,0.0,0.8649249,0.0,-0.51117057,0.0,-0.22378011,0.0
-0.29172674,0.0842646,0.99320954,0.0,0.8757207,0.0,-0.6280805,0.0,-0.21375775,0.0
-0.29814237,0.0842646,0.9959603,0.0,0.88573,0.0,-0.7292861,0.0,-0.19799703,0.0
-0.29948643,0.0842646,0.9975893,0.0,0.895157,0.0,-0.8107281,0.0,-0.17887396,0.0
-0.2973767,0.0842646,0.9985556,0.0,0.90410525,0.0,-0.87202793,0.0,-0.15845774,0.0
-0.29322398,0.0842646,0.99913085,0.0,0.9126095,0.0,-0.91566604,0.0,-0.13832593,0.0
-0.2881341,0.0842646,0.99947464,0.0,0.9206637,0.0,-0.9454297,0.0,-0.11951776,0.0
-0.28288612,0.0842646,0.9996811,0.0,0.9282438,0.0,-0.9651166,0.0,-0.10260183,0.0
-0.2779711,0.0842646,0.9998057,0.0,0.9353236,0.0,-0.9778702,0.0,-0.08779635,0.0
-0.27365828,0.0842646,0.9998811,0.0,0.9418839,0.0,-0.9860219,0.0,-0.07509026,0.0
-0.27006266,0.0842646,0.999927,0.0,0.94791704,0.0,-0.99118936,0.0,-0.06434064,0.0
-0.26720035,0.0842646,0.999955,0.0,0.9534269,0.0,-0.9944497,0.0,-0.05534086,0.0
-0.2650295,0.0842646,0.99997216,0.0,0.9584281,0.0,-0.996502,0.0,-0.047863863,0.0
-0.26347804,0.0842646,0.9999827,0.0,0.9629437,0.0,-0.99779284,0.0,-0.041687336,0.0
-0.2624615,0.0842646,0.9999893,0.0,0.96700275,0.0,-0.998605,0.0,-0.036606733,0.0
-0.261894,0.0842646,0.99999326,0.0,0.970638,0.0,-0.9991166,0.0,-0.03244089,0.0
-0.26169422,0.0842646,0.9999958,0.0,0.97388387,0.0,-0.9994393,0.0,-0.029033298,0.0
-0.2617888,0.0842646,0.9999974,0.0,0.9767752,0.0,-0.99964327,0.0,-0.026251009,0.0
-0.2621132,0.0842646,0.99999833,0.0,0.97934604,0.0,-0.9997724,0.0,-0.023982419,0.0
-0.26261243,0.0842646,0.9999989,0.0,0.98162866,0.0,-0.99985445,0.0,-0.022134636,0.0
-0.26324007,0.0842646,0.99999934,0.0,0.9836534,0.0,-0.99990666,0.0,-0.020630829,0.0
-0.26395774,0.0842646,0.9999996,0.0,0.9854483,0.0,-0.99994,0.0,-0.01940773,0.0
-0.26473412,0.0842646,0.9999997,0.0,0.9870388,0.0,-0.9999613,0.0,-0.018413415,0.0
-0.26554403,0.0842646,0.9999998,0.0,0.988448,0.0,-0.99997497,0.0,-0.017605405,0.0
-0.2663675,0.0842646,0.9999999,0.0,0.98969674,0.0,-0.9999838,0.0,-0.016948985,0.0
-0.26718885,0.0842646,0.99999994,0.0,0.9908035,0.0,-0.99998945,0.0,-0.016415827,0.0
-0.26799616,0.0842646,0.99999994,0.0,0.99178475,0.0,-0.9999931,0.0,-0.01598287,0.0
-0.26878044,0.0842646,1.0,0.0,0.9926552,0.0,-0.99999547,0.0,-0.015631337,0.0
-0.26953518,0.0842646,1.0,0.0,0.9934279,0.0,-0.999997,0.0,-0.015345937,0.0
-0.2702559,0.0842646,1.0,0.0,0.9941141,0.0,-0.99999803,0.0,-0.015114251,0.0
-0.27093968,0.0842646,1.0,0.0,0.994724,0.0,-0.9999987,0.0,-0.014926183,0.0
-0.27158478,0.0842646,1.0,0.0,0.9952665,0.0,-0.99999917,0.0,-0.014773531,0.0
-0.27219066,0.0842646,1.0,0.0,0.9957494,0.0,-0.99999946,0.0,-0.014649627,0.0
-0.27275732,0.0842646,1.0,0.0,0.99617964,0.0,-0.99999964,0.0,-0.014549065,0.0
-0.27328548,0.0842646,1.0,0.0,0.9965633,0.0,-0.99999976,0.0,-0.014467453,0.0
-0.2737763,0.0842646,1.0,0.0,0.9969056,0.0,-0.9999998,0.0,-0.014401218,0.0
-0.27423117,0.0842646,1.0,0.0,0.99721146,0.0,-0.9999999,0.0,-0.014347462,0.0
-0.2746517,0.0842646,1.0,0.0,0.9974848,0.0,-0.99999994,0.0,-0.014303839,0.0
-0.27503973,0.0842646,1.0,0.0,0.99772936,0.0,-0.99999994,0.0,-0.014268439,0.0
-0.27539712,0.0842646,1.0,0.0,0.9979484,0.0,-0.99999994,0.0,-0.014239713,0.0
-0.27572575,0.0842646,1.0,0.0,0.9981447,0.0,-1.0,0.0,-0.014216395,0.0
-0.27602747,0.0842646,1.0,0.0,0.9983208,0.0,-1.0,0.0,-0.014197472,0.0
-0.2763042,0.0842646,1.0,0.0,0.9984789,0.0,-1.0,0.0,-0.014182115,0.0
-0.2765576,0.0842646,1.0,0.0,0.998621,0.0,-1.0,0.0,-0.014169654,0.0
-0.27678952,0.0842646,1.0,0.0,0.9987488,0.0,-1.0,0.0,-0.014159542,0.0
-0.27783516,-0.0842646,1.0,0.0,0.99886346,0.0,-1.0,0.0,-0.014151336,0.0
-0.27875,-0.0842646,1.0,0.0,0.9989665,0.0,-1.0,0.0,-0.014144676,0.0
-0.27955076,-0.0842646,1.0,0.0,0.9990593,0.0,-1.0,0.0,-0.014139272,0.0
-0.280252,-0.0842646,1.0,0.0,0.99914294,0.0,-1.0,0.0,-0.014134888,0.0
-0.2808664,-0.0842646,1.0,0.0,0.9992184,0.0,-1.0,0.0,-0.014131329,0.0
-0.28140494,-0.0842646,1.0,0.0,0.99928653,0.0,-1.0,0.0,-0.014128441,0.0
-0.2818772,-0.0842646,1.0,0.0,0.9993482,0.0,-1.0,0.0,-0.014126098,0.0
-0.2822915,-0.0842646,1.0,0.0,0.999404,0.0,-1.0,0.0,-0.014124196,0.0
-0.28265518,-0.0842646,1.0,0.0,0.9994546,0.0,-1.0,0.0,-0.014122654,0.0
-0.28297457,-0.0842646,1.0,0.0,0.99950045,0.0,-1.0,0.0,-0.014121401,0.0
-0.28325522,-0.0842646,1.0,0.0,0.9995421,0.0,-1.0,0.0,-0.014120385,0.0
-0.28350192,-0.0842646,1.0,0.0,0.99958,0.0,-1.0,0.0,-0.01411956,0.0
-0.28371894,-0.0842646,1.0,0.0,0.9996144,0.0,-1.0,0.0,-0.014118891,0.0
-0.28390995,-0.0842646,1.0,0.0,0.99964577,0.0,-1.0,0.0,-0.014118348,0.0
-0.28407812,-0.0842646,1.0,0.0,0.9996743,0.0,-1.0,0.0,-0.014117908,0.0
-0.28422636,-0.0842646,1.0,0.0,0.99970037,0.0,-1.0,0.0,-0.01411755,0.0
-0.284357,-0.0842646,1.0,0.0,0.99972415,0.0,-1.0,0.0,-0.0141172595,0.0
-0.28447232,-0.0842646,1.0,0.0,0.99974585,0.0,-1.0,0.0,-0.014117024,0.0
-0.2845741,-0.0842646,1.0,0.0,0.9997657,0.0,-1.0,0.0,-0.014116833,0.0
-0.284664,-0.0842646,1.0,0.0,0.9997838,0.0,-1.0,0.0,-0.014116677,0.0
-0.2847435,-0.0842646,1.0,0.0,0.99980044,0.0,-1.0,0.0,-0.014116552,0.0
-0.28481376,-0.0842646,1.0,0.0,0.99981564,0.0,-1.0,0.0,-0.014116449,0.0
-0.28487602,-0.0842646,1.0,0.0,0.99982953,0.0,-1.0,0.0,-0.014116366,0.0
-0.28493118,-0.0842646,1.0,0.0,0.99984235,0.0,-1.0,0.0,-0.014116299,0.0
-0.28498006,-0.0842646,1.0,0.0,0.9998541,0.0,-1.0,0.0,-0.014116245,0.0
-0.28502348,-0.0842646,1.0,0.0,0.9998648,0.0,-1.0,0.0,-0.014116201,0.0
-0.28506202,-0.0842646,1.0,0.0,0.9998747,0.0,-1.0,0.0,-0.014116164,0.0
-0.2850963,-0.0842646,1.0,0.0,0.99988383,0.0,-1.0,0.0,-0.014116135,0.0
-0.28512678,-0.0842646,1.0,0.0,0.9998922,0.0,-1.0,0.0,-0.014116112,0.0
-0.28515393,-0.0842646,1.0,0.0,0.9998999,0.0,-1.0,0.0,-0.014116093,0.0
-0.28517815,-0.0842646,1.0,0.0,0.999907,0.0,-1.0,0.0,-0.014116077,0.0
-0.2851997,-0.0842646,1.0,0.0,0.9999135,0.0,-1.0,0.0,-0.014116065,0.0
-0.28521898,-0.0842646,1.0,0.0,0.9999196,0.0,-1.0,0.0,-0.014116054,0.0
-0.28523624,-0.0842646,1.0,0.0,0.99992514,0.0,-1.0,0.0,-0.014116046,0.0
-0.28525165,-0.0842646,1.0,0.0,0.99993026,0.0,-1.0,0.0,-0.0141160395,0.0
-0.28526548,-0.0842646,1.0,0.0,0.99993503,0.0,-1.0,0.0,-0.014116034,0.0
-0.28527784,-0.0842646,1.0,0.0,0.99993944,0.0,-1.0,0.0,-0.014116029,0.0
-0.28528896,-0.0842646,1.0,0.0,0.9999435,0.0,-1.0,0.0,-0.0141160255,0.0
-0.28529897,-0.0842646,1.0,0.0,0.99994725,0.0,-1.0,0.0,-0.014116023,0.0
-0.28530794,-0.0842646,1.0,0.0,0.99995077,0.0,-1.0,0.0,-0.01411602,0.0
-0.28531605,-0.0842646,1.0,0.0,0.999954,0.0,-1.0,0.0,-0.014116018,0.0
-0.28532332,-0.0842646,1.0,0.0,0.99995697,0.0,-1.0,0.0,-0.014116016,0.0
