neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.4600073,0.0,0.4551985,0.0,0.5104809,0.0,0.38715783,0.0,0.40385062,0.0
0.3463384,0.039989334,0.53713155,0.0,0.59325373,0.0,0.34605518,0.0,0.2731189,0.0
0.23184204,0.07991469,0.62835336,0.0,0.65917885,0.0,0.29447153,0.0,0.1523981,0.0
0.12352368,0.119712204,0.71950585,0.0,0.71041286,0.0,0.23199143,0.0,0.047202054,0.0
0.02643656,0.15931821,0.80105203,0.0,0.7498859,0.0,0.1579564,0.0,-0.040071417,0.0
-0.056802224,0.19866931,0.8666083,0.0,0.7804503,0.0,0.07166665,0.0,-0.10905728,0.0
-0.12554902,0.23770262,0.914553,0.0,0.80449027,0.0,-0.027254803,0.0,-0.16055359,0.0
-0.18036805,0.27635565,0.9470557,0.0,0.82384664,0.0,-0.13830371,0.0,-0.19597024,0.0
-0.22240317,0.31456655,0.9679028,0.0,0.839885,0.0,-0.25937828,0.0,-0.21701129,0.0
-0.25301802,0.3522742,0.9807863,0.0,0.85359985,0.0,-0.38614285,0.0,-0.22555093,0.0
-0.27366334,0.38941833,0.98856777,0.0,0.86570513,0.0,-0.511973,0.0,-0.2236471,0.0
-0.2858727,0.42593947,0.99320805,0.0,0.8766998,0.0,-0.6290089,0.0,-0.21357751,0.0
-0.29127952,0.46177918,0.9959593,0.0,0.8869143,0.0,-0.73024946,0.0,-0.19777453,0.0
-0.29157543,0.4968801,0.9975886,0.0,0.8965455,0.0,-0.8116359,0.0,-0.17862049,0.0
-0.2883906,0.5311862,0.9985552,0.0,0.90569,0.0,-0.87281704,0.0,-0.15818788,0.0
-0.28314838,0.5646424,0.9991306,0.0,0.9143755,0.0,-0.9163094,0.0,-0.13805416,0.0
-0.2769653,0.59719545,0.9994745,0.0,0.92259,0.0,-0.9459295,0.0,-0.11925599,0.0
-0.27062818,0.628793,0.99968106,0.0,0.9303054,0.0,-0.9654915,0.0,-0.102358416,0.0
-0.26463327,0.65938467,0.9998056,0.0,0.9374929,0.0,-0.9781442,0.0,-0.087576166,0.0
-0.25925323,0.68892145,0.9998811,0.0,0.9441325,0.0,-0.9862185,0.0,-0.07489535,0.0
-0.25460514,0.7173561,0.999927,0.0,0.95021695,0.0,-0.99132854,0.0,-0.064171016,0.0
-0.2507067,0.7446431,0.999955,0.0,0.9557518,0.0,-0.99454725,0.0,-0.0551952,0.0
-0.24751738,0.7707389,0.99997216,0.0,0.9607541,0.0,-0.9965698,0.0,-0.047740113,0.0
-0.2449665,0.7956016,0.9999827,0.0,0.9652498,0.0,-0.99783975,0.0,-0.041583084,0.0
-0.2429712,0.8191916,0.9999893,0.0,0.96927094,0.0,-0.9986374,0.0,-0.036519494,0.0
-0.24144721,0.84147096,0.99999326,0.0,0.9728534,0.0,-0.9991388,0.0,-0.0323683,0.0
-0.24031523,0.8624042,0.99999577,0.0,0.9760346,0.0,-0.9994545,0.0,-0.028973155,0.0
-0.23950389,0.88195777,0.9999974,0.0,0.9788519,0.0,-0.99965364,0.0,-0.026201364,0.0
-0.23895101,0.90010047,0.99999833,0.0,0.9813418,0.0,-0.9997795,0.0,-0.023941563,0.0
-0.2386038,0.9168031,0.9999989,0.0,0.9835387,0.0,-0.9998593,0.0,-0.022101095,0.0
-0.23841822,0.9320391,0.99999934,0.0,0.9854747,0.0,-0.99990994,0.0,-0.020603344,0.0
-0.23835823,0.94578403,0.9999996,0.0,0.9871794,0.0,-0.99994224,0.0,-0.019385248,0.0
-0.23839483,0.95801586,0.9999997,0.0,0.98867947,0.0,-0.9999628,0.0,-0.018395055,0.0
-0.23850504,0.9687151,0.9999998,0.0,0.989999,0.0,-0.999976,0.0,-0.017590428,0.0
-0.238671,0.9778646,0.9999999,0.0,0.9911596,0.0,-0.99998444,0.0,-0.016936773,0.0
-0.23887911,0.98544973,0.99999994,0.0,0.99218047,0.0,-0.9999899,0.0,-0.01640588,0.0
-0.23911928,0.99145836,0.99999994,0.0,0.9930786,0.0,-0.99999344,0.0,-0.015974764,0.0
-0.23938432,0.99588084,0.99999994,0.0,0.99386895,0.0,-0.9999957,0.0,-0.015624733,0.0
-0.23966937,0.99871016,1.0,0.0,0.9945647,0.0,-0.9999972,0.0,-0.015340563,0.0
-0.23997134,0.9999417,1.0,0.0,0.99517757,0.0,-0.99999815,0.0,-0.015109883,0.0
-0.24028862,0.9995736,1.0,0.0,0.99571764,0.0,-0.9999988,0.0,-0.014922631,0.0
-0.24062072,0.9976064,1.0,0.0,0.9961939,0.0,-0.9999992,0.0,-0.014770642,0.0
-0.24096794,0.99404323,1.0,0.0,0.9966141,0.0,-0.99999946,0.0,-0.014647283,0.0
-0.2413313,0.98888975,1.0,0.0,0.9969852,0.0,-0.99999964,0.0,-0.014547163,0.0
-0.24171212,0.9821543,1.0,0.0,0.997313,0.0,-0.99999976,0.0,-0.0144659085,0.0
-0.24211207,0.9738476,1.0,0.0,0.997603,0.0,-0.9999998,0.0,-0.014399965,0.0
-0.24253303,0.963983,1.0,0.0,0.9978596,0.0,-0.9999999,0.0,-0.014346446,0.0
-0.24297687,0.9525762,1.0,0.0,0.9980868,0.0,-0.99999994,0.0,-0.014303015,0.0
-0.24344552,0.93964547,1.0,0.0,0.9982883,0.0,-0.99999994,0.0,-0.01426777,0.0
-0.24394082,0.92521155,1.0,0.0,0.99846697,0.0,-0.99999994,0.0,-0.01423917,0.0
-0.24446455,0.9092974,1.0,0.0,0.99862564,0.0,-1.0,0.0,-0.014215954,0.0
-0.2450183,0.8919287,1.0,0.0,0.9987666,0.0,-1.0,0.0,-0.014197114,0.0
-0.24560358,0.873133,1.0,0.0,0.99889195,0.0,-1.0,0.0,-0.014181825,0.0
-0.24622168,0.85294056,1.0,0.0,0.9990036,0.0,-1.0,0.0,-0.014169419,0.0
-0.24687372,0.8313835,1.0,0.0,0.999103,0.0,-1.0,0.0,-0.014159351,0.0
-0.24756067,0.80849636,1.0,0.0,0.99919164,0.0,-1.0,0.0,-0.014151181,0.0
-0.24828319,0.78431594,1.0,0.0,0.9992708,0.0,-1.0,0.0,-0.014144551,0.0
-0.2490419,0.75888073,1.0,0.0,0.9993414,0.0,-1.0,0.0,-0.014139171,0.0
-0.24983713,0.7322315,1.0,0.0,0.9994046,0.0,-1.0,0.0,-0.014134805,0.0
-0.2506691,0.70441085,1.0,0.0,0.9994612,0.0,-1.0,0.0,-0.014131262,0.0
-0.25153783,0.67546326,1.0,0.0,0.9995118,0.0,-1.0,0.0,-0.014128386,0.0
-0.2524431,0.645435,1.0,0.0,0.9995572,0.0,-1.0,0.0,-0.014126053,0.0
-0.25338465,0.6143742,1.0,0.0,0.9995979,0.0,-1.0,0.0,-0.01412416,0.0
-0.25436196,0.58233064,1.0,0.0,0.9996345,0.0,-1.0,0.0,-0.014122624,0.0
-0.2553744,0.5493555,1.0,0.0,0.9996674,0.0,-1.0,0.0,-0.014121377,0.0
-0.2564212,0.51550144,1.0,0.0,0.99969697,0.0,-1.0,0.0,-0.0141203655,0.0
-0.25750154,0.48082274,1.0,0.0,0.9997236,0.0,-1.0,0.0,-0.014119544,0.0
-0.25861433,0.4453748,1.0,0.0,0.99974763,0.0,-1.0,0.0,-0.014118879,0.0
-0.2597584,0.40921414,1.0,0.0,0.99976933,0.0,-1.0,0.0,-0.014118338,0.0
-0.26093256,0.37239906,1.0,0.0,0.9997889,0.0,-1.0,0.0,-0.014117899,0.0
-0.26213545,0.3349882,1.0,0.0,0.9998066,0.0,-1.0,0.0,-0.014117544,0.0
-0.26336557,0.29704145,1.0,0.0,0.9998226,0.0,-1.0,0.0,-0.014117254,0.0
-0.26462144,0.25861946,1.0,0.0,0.9998371,0.0,-1.0,0.0,-0.014117019,0.0
-0.26590142,0.21978377,1.0,0.0,0.9998503,0.0,-1.0,0.0,-0.014116829,0.0
-0.26720384,0.18059623,1.0,0.0,0.9998622,0.0,-1.0,0.0,-0.014116675,0.0
-0.2685269,0.14112,1.0,0.0,0.99987304,0.0,-1.0,0.0,-0.014116549,0.0
-0.26986885,0.101418026,1.0,0.0,0.9998829,0.0,-1.0,0.0,-0.014116447,0.0
-0.27122775,0.061553795,1.0,0.0,0.9998918,0.0,-1.0,0.0,-0.0141163645,0.0
-0.2726017,0.02159109,1.0,0.0,0.99990004,0.0,-1.0,0.0,-0.0141162975,0.0
-0.27398872,-0.018406155,1.0,0.0,0.9999075,0.0,-1.0,0.0,-0.014116243,0.0
-0.2753868,-0.058373954,1.0,0.0,0.9999143,0.0,-1.0,0.0,-0.0141162,0.0
