neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5553801,0.0,0.44416887,0.0,0.43637443,0.0
0.4560666,0.0842646,0.47740066,0.0,0.5768451,0.0,0.35268858,0.0,0.30565065,0.0
0.41706914,0.0842646,0.46522048,0.0,0.590783,0.0,0.27087617,0.0,0.18017846,0.0
0.3468724,0.0842646,0.4719541,0.0,0.5973718,0.0,0.21058486,0.0,0.065652266,0.0
0.25314024,0.0842646,0.48711517,0.0,0.596314,0.0,0.17732084,0.0,-0.032307465,0.0
0.14768235,0.0842646,0.50192815,0.0,0.58733726,0.0,0.17035474,0.0,-0.10977494,0.0
0.0443148,0.0842646,0.5105964,0.0,0.5706045,0.0,0.18457198,0.0,-0.1653389,0.0
-0.045344803,0.0842646,0.51007956,0.0,0.54683465,0.0,0.21268283,0.0,-0.19974807,0.0
-0.11458185,0.0842646,0.4992435,0.0,0.51719224,0.0,0.24714439,0.0,-0.2150651,0.0
-0.16140017,0.0842646,0.47812,0.0,0.48310524,0.0,0.28146112,0.0,-0.21396126,0.0
-0.1868386,0.0842646,0.44751957,0.0,0.44611105,0.0,0.3107652,0.0,-0.19935368,0.0
-0.1934193,0.0842646,0.40891019,0.0,0.40774894,0.0,0.3318355,0.0,-0.17430753,0.0
-0.18429734,0.0842646,0.36438152,0.0,0.36948156,0.0,0.34283924,0.0,-0.14204313,0.0
-0.1629618,0.0842646,0.31654435,0.0,0.3326239,0.0,0.34303877,0.0,-0.105907805,0.0
-0.13316302,0.0842646,0.26829207,0.0,0.2982678,0.0,0.33259088,0.0,-0.069232635,0.0
-0.09881148,0.0842646,0.22244878,0.0,0.2672079,0.0,0.31245068,0.0,-0.03507612,0.0
-0.063734576,0.0842646,0.18139929,0.0,0.23988973,0.0,0.28431785,0.0,-0.005927227,0.0
-0.03132165,0.0842646,0.14680974,0.0,0.2164028,0.0,0.25053012,0.0,0.01653177,0.0
-0.004178604,0.0842646,0.11950181,0.0,0.19652504,0.0,0.2138365,0.0,0.031531487,0.0
0.01608576,0.0842646,0.09948096,0.0,0.17980547,0.0,0.17705598,0.0,0.03917623,0.0
0.028890213,0.0842646,0.086078554,0.0,0.16566233,0.0,0.14270377,0.0,0.040290676,0.0
0.03455472,0.0842646,0.07815515,0.0,0.15347554,0.0,0.11269378,0.0,0.036201656,0.0
0.034081627,0.0842646,0.07431976,0.0,0.14266144,0.0,0.088187285,0.0,0.02850031,0.0
0.028904978,0.0842646,0.07313138,0.0,0.13272536,0.0,0.06959291,0.0,0.018819174,0.0
0.020647964,0.0842646,0.07326185,0.0,0.1232918,0.0,0.056676485,0.0,0.008648302,0.0
