fitness,g0,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,g11,g12,g13,g14,g15,g16,g17,g18,g19,g20,g21,g22,g23,g24
-2.0515645,-0.03273224,-0.90210843,-0.5859495,0.5098157,-0.19628297,0.4501301,0.34562862,0.13668774,-0.39359304,-0.5908933,-0.43647915,-0.6516528,-0.35332772,-0.8588293,0.04878393,-0.16305181,0.21043503,-0.27848795,0.23209369,0.5614002,-0.49834993,0.39371562,0.145071,-0.5674678,-0.519453
-3.847123,0.09658636,0.3293178,0.43580288,-0.028739795,-0.9893989,0.4214313,-0.11184975,-0.10057923,0.16345231,0.84760886,-0.029331446,0.6867973,-0.5868594,-0.9301405,0.22101867,-0.8572569,-0.49180794,0.67017484,-0.6890212,-0.2841666,-0.3323189,0.17062092,-0.37407568,-0.59806037,-0.38326406
-13.052938,0.2702568,0.09601705,-0.073879935,-0.67922795,-0.05502557,0.23995548,0.6008048,-0.68944174,0.35668337,-0.33269385,-0.38429382,-0.26259297,0.76092243,-0.011686501,-0.57953835,-0.9904657,-0.45036137,0.023463488,0.2497416,-0.94397247,-0.60600656,-0.049896955,-0.09300444,0.63249314,0.06715212
-1.3060663,-0.061457336,0.95518744,0.6447639,0.15406048,-0.3774562,-0.1984471,0.40125346,0.096119165,-0.41287908,0.05497162,0.5744766,0.86026573,-0.60794157,0.008690146,0.055950236,0.58185303,-0.38532192,0.5125501,-0.21618962,0.79872185,0.9385311,-0.6520531,-0.505373,-0.7051851,-0.2703821
-2.8576934,-0.80572414,-8.9848833E-4,-0.47153783,-0.43250358,-0.12380458,-0.11067319,-0.4549979,-0.69830865,-0.34892997,-0.5259843,0.35539606,-0.6863579,-0.57081014,-0.14151227,-0.9831622,-0.22749758,-0.24530056,-0.13690579,0.31419736,-0.6929108,-0.044549346,0.7681391,-0.37885752,-0.123302475,-0.14641273
-8.138195,-0.21893474,-0.823148,-0.4835539,-0.28945908,-0.47363347,0.18981135,-0.676063,0.0047650337,0.37358758,0.33385628,0.45669287,0.6879748,-0.24693899,-0.14391899,-0.22759287,0.7584599,-0.5588544,-0.5522865,-0.24325067,-0.32285172,-0.10367706,0.05019151,-0.3611498,-0.6875392,0.34766135
-0.7041607,-0.28392914,-0.057343245,0.14256799,-0.2717351,-0.11261947,-0.022329422,-0.22411919,0.44312266,0.6293519,0.15911269,0.07485608,-0.6643188,-0.5724552,-0.96852547,0.0053560734,0.14737271,-0.026112763,0.07572067,-0.5933025,0.37110487,-0.31857437,-0.09163452,-0.2974094,-0.5032347,0.75231975
-3.436794,-0.4667578,-0.32957497,-0.06721461,0.025627363,-0.40098903,0.40584585,0.1449275,0.7485374,0.19333911,0.10400318,0.8191266,0.052247792,0.42769593,0.46862262,0.20919037,0.52543074,-0.95778424,-0.010338877,-0.7919251,0.9945904,0.021184029,0.2288181,-0.023483016,0.088986516,0.45342645
-1.5763224,0.6119456,-0.38803974,0.055667367,0.59266263,-0.0017819966,-0.20167725,-0.29680112,-0.020043125,-0.122856855,-0.4475595,-0.9925117,-0.41964406,-0.08423591,-0.9205987,-0.14980671,-0.20579462,0.051741958,0.50272197,0.20299803,-0.5477969,-0.4082462,-0.62100863,0.19391537,0.025632963,-0.6477618
-4.701157,0.4286473,0.93136096,-0.38623425,-0.61462533,0.97822726,-0.45697367,-0.27383503,-0.6773778,0.7015509,-0.5917552,-0.9281779,-0.6997046,-0.3493102,-0.88990414,-0.23380151,0.65902925,-0.61162436,-0.315693,-0.8968066,0.30426204,-0.2727784,0.27282694,-0.49384636,-0.23943257,-0.8796665
-3.011741,-0.89126116,-0.56409115,0.07369712,0.88193417,-0.18794513,0.23329099,0.14830554,-0.40513226,-0.3567145,-0.11093861,0.22902298,-0.2307895,-0.27989256,-0.7223332,-0.8085839,-0.37047315,0.34937757,0.9578289,0.017477702,0.47125006,-0.028981056,0.9594036,-0.9224429,0.31070498,-0.50870454
-0.79143417,-0.15550466,0.7543816,0.022223163,-0.16385627,-0.44960174,-0.60875833,0.34093022,0.43515858,0.1603707,0.35623345,0.24120502,-0.085161105,-0.63494414,0.14870119,0.0621919,0.11025941,-0.7580992,0.02901782,-0.44911203,-0.71995616,0.085903645,-0.3371869,0.38977963,-0.37051985,0.058571447
-1.8321387,0.5116483,-0.95401955,-0.45127958,0.6379699,-0.17048086,0.5017498,0.7236201,0.087826215,-0.27173245,0.37284634,0.504775,-0.13015531,-0.13534676,0.40829036,0.45419988,-0.049468733,-0.422313,0.16037387,0.26272285,0.17435889,-0.42522964,-0.8003814,-0.8959213,0.58530533,0.41066107
-1.6655068,-0.2813353,-0.2933459,-0.7150202,0.26489893,-0.61874753,0.32119125,0.36638877,-0.25201383,0.6326326,0.3594218,-0.0976038,0.31870085,-0.2894395,-0.82277906,0.41860902,-0.4364106,-0.50948596,0.110232614,-0.56804806,0.009567399,0.036164936,-0.18527174,-0.30441257,-0.055005256,0.0650988
-2.6065757,0.35804236,-0.4048648,0.15711468,0.0052422173,0.32969666,0.3949729,0.41044357,-0.054859336,0.5127602,0.03283584,-0.3988308,0.1663799,0.45770386,-0.62859374,0.5626963,0.38975954,0.20413685,0.1599032,0.37204993,0.7878528,-0.38175142,-0.07948017,-0.68698263,-0.5999479,0.8682501
-2.0835137,0.19601507,-0.04284371,0.69139725,0.0049507846,-0.14824426,-0.115582176,-0.2791125,-0.59996414,-0.13551478,-0.12061715,0.35382143,0.55297387,-0.24287257,0.21723826,-0.24782556,-0.38161492,-0.8860008,0.35815144,0.010995737,-0.10082607,-0.14125632,0.40547228,-0.20206334,-0.6325971,0.3412059
-2.5891275,0.044677414,-0.6689869,0.5246812,0.691362,-0.4289186,-0.29909933,0.5224987,0.11147297,0.15799573,0.4529135,0.09388004,0.44508252,0.15592471,-0.033033572,0.10020852,-0.006149173,-0.16526754,-0.030869555,-0.15221089,0.29978484,-0.3956339,0.6544223,-0.5963417,0.05161617,0.26585403
-1.0173165,0.8796053,0.3766524,-0.3083049,0.2667414,-0.17837194,0.2892839,0.7971221,-0.1551261,-0.7732679,0.7398154,-0.55864847,-0.16885522,-0.46767285,-0.24866354,0.8688931,-0.93208694,0.40948755,-0.24047336,-0.2306303,-0.0017976761,-0.5275594,-0.5755207,-0.5173657,0.25788018,-0.84719276
-2.421811,0.4190197,0.5876366,-0.6983656,0.5071796,-0.013208201,-0.8384076,0.90471554,-0.047240995,0.41655582,0.4317187,0.34049135,-0.07632923,0.6857162,0.7151667,0.10859101,-0.025594983,-0.11563824,-0.4265346,-0.3423981,-0.28602934,0.20859168,0.104889035,-0.16055876,-0.049307942,-0.40229076
-1.9666336,-0.18035781,-0.011725903,0.8146114,0.7218052,-0.53312236,-0.23207277,-0.17809696,-0.8871295,0.76566184,0.50766444,-0.7596646,0.27710006,-0.2758591,-0.28284183,0.10641813,0.29745483,0.3263178,-0.11279488,0.06610334,0.095599,0.23659584,-0.36148953,0.29532287,-0.29556704,0.14305317
-6.908356,-0.20050162,-0.97760594,0.41368937,0.5185824,0.46878222,-0.33388498,0.026670218,0.33498263,0.4309855,0.010039926,0.6683457,-0.10256202,-0.19825071,-0.06600213,-0.4927828,-0.49019465,0.20592093,0.42666298,-0.68354815,-0.14685665,0.3785833,0.29628122,-0.3911828,0.5449265,-0.0164119
-3.352179,-0.18155836,-0.537718,-0.65183806,0.03950983,0.072717585,-0.22338308,-0.12344074,0.11706612,0.54680026,-0.094784446,-0.6734523,0.22975379,0.0086556,-0.041881133,-0.2125399,0.66504306,-0.08991427,-0.26183352,-0.64504534,-0.42510602,-0.3725282,0.08964502,0.5891591,-0.42109856,0.8312603
-0.86238486,0.03035784,0.65959084,0.4007402,-0.19681114,-0.17427589,-0.8799206,-0.8301636,0.25174186,0.9643291,0.19975664,-0.40953413,-0.83555883,-0.4789337,0.16397682,-0.7931071,-0.007620055,0.41107926,0.102840185,-0.6423598,0.8259029,0.19898506,-0.27580982,0.22555266,0.69082636,-0.13307667
-1.6130035,0.58952147,-0.4753998,-0.68656814,0.20122416,0.37899017,-0.17921738,-0.6002239,-0.33495536,0.13470182,0.59519804,-0.8945829,0.2966458,-0.074097656,0.59859973,-0.05521067,0.21272591,-0.31195843,0.73749435,0.33533326,0.4577732,0.13995531,-0.88492113,-0.6242073,0.35827145,-0.14163417
-1.4660815,-0.12982713,0.3142704,-0.5907192,0.12185395,0.03294402,0.15768617,0.69434166,-0.024578689,-0.6453873,0.109173246,-0.19627248,0.5409173,-0.9116339,0.019796014,-0.48218215,-0.2510128,0.6128545,0.53487766,0.12361893,-0.081457496,0.5326142,-0.75505626,0.39753443,-0.3813721,-0.25469032
-19.078825,-0.8134829,-0.47233143,-0.7216295,0.14307249,0.4371283,0.4747696,-0.514905,0.73173195,-0.76495624,0.3546547,-0.85320586,0.81218886,-0.3102147,-0.41385156,0.10747294,0.07791554,-0.102327794,-0.051767606,-0.7147154,0.58447915,0.27360937,-0.37525082,0.069818616,-0.5805163,0.3580672
-1.7246608,-0.09965074,0.42773068,-0.46715403,-0.041589666,0.341963,0.09097614,-0.5921585,0.35935348,-0.9742424,0.38015854,-0.38513738,0.49482602,0.23021154,-0.5985413,0.5687926,0.081157975,-0.29280785,0.083852425,-0.6200398,-0.10556756,-0.52593106,-0.25786287,0.74948007,0.59027225,-0.10284506
-2.8551192,-0.7283562,-0.76986736,0.24315928,0.8314636,-0.61512387,-0.3730097,-0.095178954,-0.18362354,-0.5914399,0.5942694,-0.3971008,-0.36357749,0.08519035,-0.89959735,0.30040562,-0.08141671,0.09258317,0.45825887,0.033119593,-0.5495385,0.3890119,-0.37962812,-0.021438003,-0.112665154,-0.22561143
-0.7944456,0.17469263,0.25214016,0.5061068,-0.13283196,0.64996004,0.115822315,0.08466701,-0.3689708,-0.7559855,0.9642253,-0.55128163,-0.5743928,-0.66842645,-0.4960792,-0.13364272,-0.81227845,0.14144652,0.46595225,-0.6706561,-0.83915627,0.63491386,-0.08913983,0.5711253,0.11619106,0.6069069
-1.8625374,-0.036181804,-0.7661279,0.42200547,-0.8613151,0.31517422,0.88134426,-0.18553784,0.21956865,0.40290183,0.26061976,0.5079743,0.0023615547,-0.12999451,-0.032626007,-0.83221936,-0.10159148,0.57760274,0.6713452,-0.085549556,-0.7565788,0.9616871,-0.48449063,0.22958529,-0.2463735,0.110187024
