neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45952642,0.0,0.48369667,0.0,0.34778795,0.0,0.38729852,0.0,0.41832304,0.0
0.3468157,0.01382217,0.537186,0.0,0.21076572,0.0,0.37798053,0.0,0.3172927,0.0
0.2526631,0.02764434,0.5847281,0.0,0.081113376,0.0,0.35737324,0.0,0.22338021,0.0
0.1812664,0.041466508,0.6277866,0.0,-0.038269352,0.0,0.32487035,0.0,0.14049461,0.0
0.13235445,0.05528868,0.6677142,0.0,-0.14716695,0.0,0.27918777,0.0,0.070695095,0.0
0.10332185,0.06911085,0.7055726,0.0,-0.24662492,0.0,0.21820009,0.0,0.014722014,0.0
0.09078909,0.082933016,0.7420616,0.0,-0.3379509,0.0,0.13891084,0.0,-0.027346382,0.0
0.091389276,0.09675519,0.7775053,0.0,-0.42220002,0.0,0.03773617,0.0,-0.055585258,0.0
0.10204235,0.11057736,0.81186384,0.0,-0.49999303,0.0,-0.08846652,0.0,-0.06997487,0.0
0.11997245,0.124399535,0.84476084,0.0,-0.571526,0.0,-0.23994829,0.0,-0.07048837,0.0
0.14261593,0.1382217,0.8755321,0.0,-0.63668174,0.0,-0.41000235,0.0,-0.05759195,0.0
0.16750164,0.15204386,0.9033261,0.0,-0.6951897,0.0,-0.5817504,0.0,-0.033033185,0.0
0.19219747,0.16586603,0.92730147,0.0,-0.74679995,0.0,-0.73194134,0.0,-2.6677176E-4,0.0
0.21445408,0.17968822,0.94691414,0.0,-0.7914387,0.0,-0.84351104,0.0,0.03626296,0.0
0.2325614,0.19351038,0.96214104,0.0,-0.8293066,0.0,-0.91483796,0.0,0.07260818,0.0
0.24564765,0.20733255,0.97345626,0.0,-0.8608846,0.0,-0.9556064,0.0,0.106263764,0.0
0.25364614,0.22115472,0.9815983,0.0,-0.88685787,0.0,-0.97735333,0.0,0.13612449,0.0
0.25700995,0.23497689,0.9873311,0.0,-0.9080063,0.0,-0.9885429,0.0,0.16199136,0.0
0.25641775,0.24879907,0.99131167,0.0,-0.9251101,0.0,-0.9942107,0.0,0.1841183,0.0
0.25258648,0.26262125,0.9940518,0.0,-0.938888,0.0,-0.99706805,0.0,0.2029322,0.0
0.24618241,0.2764434,0.99592865,0.0,-0.94996744,0.0,-0.9985095,0.0,0.21889135,0.0
0.23778962,0.29026556,0.99721086,0.0,-0.958877,0.0,-0.9992391,0.0,0.2324238,0.0
0.22790594,0.30408773,0.9980862,0.0,-0.9660512,0.0,-0.99960977,0.0,0.24390595,0.0
0.21694942,0.3179099,0.9986839,0.0,-0.9718417,0.0,-0.999799,0.0,0.25365946,0.0
0.20526792,0.33173206,0.99909264,0.0,-0.97652996,0.0,-0.99989605,0.0,0.2619555,0.0
0.19314876,0.34555423,0.99937266,0.0,-0.9803397,0.0,-0.999946,0.0,0.26902124,0.0
0.18082751,0.35937643,0.9995649,0.0,-0.98344827,0.0,-0.99997187,0.0,0.27504677,0.0
0.16849545,0.3731986,0.99969727,0.0,-0.9859958,0.0,-0.9999853,0.0,0.28019118,0.0
0.15630609,0.38702077,0.9997887,0.0,-0.98809326,0.0,-0.99999225,0.0,0.28458792,0.0
0.14438087,0.40084293,0.999852,0.0,-0.9898281,0.0,-0.9999959,0.0,0.28834912,0.0
0.13281392,0.4146651,0.99989605,0.0,-0.9912699,0.0,-0.99999785,0.0,0.29156923,0.0
0.121676326,0.42848727,0.9999267,0.0,-0.99247384,0.0,-0.99999887,0.0,0.2943281,0.0
0.1110198,0.44230944,0.99994814,0.0,-0.9934839,0.0,-0.9999994,0.0,0.2966932,0.0
0.100879945,0.4561316,0.9999632,0.0,-0.99433523,0.0,-0.99999964,0.0,0.29872182,0.0
0.09127903,0.46995378,0.99997383,0.0,-0.9950561,0.0,-0.9999998,0.0,0.3004626,0.0
0.08220675,0.4804608,0.9999813,0.0,-0.9956692,0.0,-0.9999999,0.0,0.30195704,0.0
0.073508136,0.4666386,0.9999866,0.0,-0.9961926,0.0,-0.99999994,0.0,0.30324036,0.0
0.065192744,0.45281646,0.9999904,0.0,-0.9966412,0.0,-1.0,0.0,0.30434278,0.0
0.05726371,0.43899426,0.9999931,0.0,-0.9970272,0.0,-1.0,0.0,0.30529,0.0
0.049719,0.42517212,0.999995,0.0,-0.9973605,0.0,-1.0,0.0,0.30610406,0.0
0.042552534,0.41134992,0.99999636,0.0,-0.9976494,0.0,-1.0,0.0,0.3068038,0.0
0.035755094,0.39752772,0.9999974,0.0,-0.99790055,0.0,-1.0,0.0,0.30740538,0.0
0.029315067,0.3837056,0.9999981,0.0,-0.99811965,0.0,-1.0,0.0,0.30792263,0.0
0.023219109,0.3698834,0.99999857,0.0,-0.99831146,0.0,-1.0,0.0,0.30836743,0.0
0.017452648,0.35606125,0.999999,0.0,-0.9984799,0.0,-1.0,0.0,0.30874994,0.0
0.012000333,0.34223905,0.9999992,0.0,-0.9986282,0.0,-1.0,0.0,0.309079,0.0
0.006846364,0.3284169,0.99999946,0.0,-0.99875915,0.0,-1.0,0.0,0.309362,0.0
0.001974784,0.31459472,0.9999996,0.0,-0.99887514,0.0,-1.0,0.0,0.30960542,0.0
-0.0026302715,0.30077258,0.9999997,0.0,-0.99897814,0.0,-1.0,0.0,0.30981487,0.0
-0.006984465,0.28695038,0.99999976,0.0,-0.99906975,0.0,-1.0,0.0,0.30999503,0.0
-0.0111030545,0.27312824,0.9999998,0.0,-0.9991516,0.0,-1.0,0.0,0.31015006,0.0
-0.015000837,0.25930604,0.9999999,0.0,-0.9992247,0.0,-1.0,0.0,0.31028345,0.0
-0.018692052,0.24548386,0.9999999,0.0,-0.9992903,0.0,-1.0,0.0,0.3103982,0.0
-0.022190325,0.23166172,0.99999994,0.0,-0.99934924,0.0,-1.0,0.0,0.31049693,0.0
-0.025508665,0.21783952,0.99999994,0.0,-0.9994023,0.0,-1.0,0.0,0.3105819,0.0
-0.028659416,0.20401739,0.99999994,0.0,-0.9994501,0.0,-1.0,0.0,0.310655,0.0
-0.03165426,0.19019519,1.0,0.0,-0.9994933,0.0,-1.0,0.0,0.31071788,0.0
-0.03450422,0.17637305,1.0,0.0,-0.99953246,0.0,-1.0,0.0,0.310772,0.0
-0.03721968,0.16255085,1.0,0.0,-0.999568,0.0,-1.0,0.0,0.31081858,0.0
-0.03981038,0.14872871,1.0,0.0,-0.99960023,0.0,-1.0,0.0,0.31085867,0.0
-0.042285465,0.13490652,1.0,0.0,-0.99962956,0.0,-1.0,0.0,0.31089315,0.0
