neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.458834,0.0,0.51766086,0.0,0.5553801,0.0,0.44416887,0.0,0.43637443,0.0
0.4556291,0.017991941,0.4773443,0.0,0.57680076,0.0,0.35274354,0.0,0.3056749,0.0
0.41636363,0.035983883,0.46506405,0.0,0.5906693,0.0,0.27100953,0.0,0.18026571,0.0
0.34606367,0.053975828,0.47167537,0.0,0.5971781,0.0,0.21078452,0.0,0.065834545,0.0
0.2524165,0.071967766,0.48671862,0.0,0.5960447,0.0,0.17754361,0.0,-0.03202171,0.0
0.14723445,0.08995971,0.5014443,0.0,0.5870124,0.0,0.17053796,0.0,-0.10940458,0.0
0.04428842,0.107951656,0.5100749,0.0,0.57025886,0.0,0.1846493,0.0,-0.16492386,0.0
-0.044876713,0.1259436,0.5095834,0.0,0.5465154,0.0,0.21259984,0.0,-0.19934133,0.0
-0.11360732,0.14393553,0.49884742,0.0,0.51695687,0.0,0.24686845,0.0,-0.21472818,0.0
-0.15993935,0.16192748,0.47791252,0.0,0.48301992,0.0,0.28098324,0.0,-0.21376331,0.0
-0.1849228,0.17991942,0.44760573,0.0,0.44624984,0.0,0.3100968,0.0,-0.1993723,0.0
-0.19108438,0.19791137,0.40941098,0.0,0.4081915,0.0,0.33100453,0.0,-0.17462832,0.0
-0.18158633,0.21590331,0.36542803,0.0,0.37030998,0.0,0.3418878,0.0,-0.1427562,0.0
-0.15992941,0.23389524,0.3182669,0.0,0.33391792,0.0,0.34202364,0.0,-0.10710051,0.0
-0.12987623,0.2518872,0.27080712,0.0,0.30009952,0.0,0.3315843,0.0,-0.070980415,0.0
-0.09534337,0.26987913,0.22584768,0.0,0.26963735,0.0,0.31154034,0.0,-0.037434023,0.0
-0.060152873,0.28787106,0.18574275,0.0,0.24296299,0.0,0.28360298,0.0,-0.00892527,0.0
-0.027676359,0.30586302,0.15212877,0.0,0.2201529,0.0,0.2501133,0.0,0.0128882155,0.0
-4.94115E-4,0.32385495,0.12580377,0.0,0.20097502,0.0,0.21381257,0.0,0.027257182,0.0
0.019811569,0.34184688,0.10675785,0.0,0.18497244,0.0,0.1775019,0.0,0.03429952,0.0
0.032680724,0.35983884,0.09431499,0.0,0.17156114,0.0,0.14367265,0.0,0.034846812,0.0
0.038446125,0.3778308,0.08733482,0.0,0.16012129,0.0,0.11421449,0.0,0.03022703,0.0
0.038114328,0.39582273,0.0844298,0.0,0.15007088,0.0,0.090268634,0.0,0.022027893,0.0
0.033116687,0.41381466,0.08416504,0.0,0.14091708,0.0,0.07222994,0.0,0.011875236,0.0
0.025069261,0.43180662,0.085219644,0.0,0.13228598,0.0,0.059856843,0.0,0.0012503921,0.0
0.015564134,0.44979855,0.08649902,0.0,0.12393228,0.0,0.052436963,0.0,-0.008638748,0.0
