Generation,Max fitness,Min fitness,Avg fitness,Variance
1,-1.0969907,-39.11553,-4.5489597,3987.1914
2,-0.9384597,-39.11553,-3.3612068,1999.6213
3,-0.9384597,-10.184044,-2.5518682,242.13622
4,-0.9384597,-19.008568,-2.8243732,575.78107
5,-0.9384597,-15.285889,-2.828463,567.004
6,-0.9384597,-43.066116,-3.0160856,1988.7319
7,-0.9384597,-31.712662,-3.568137,2382.652
8,-0.9384597,-62.99339,-3.5009928,4199.7515
9,-0.9384597,-29.07328,-3.2236152,1853.6183
10,-0.9384597,-23.216408,-3.056293,1035.3428
11,-0.9157427,-53.00577,-3.2993658,3160.403
12,-0.9157427,-100.54,-4.0187583,10643.65
13,-0.9157427,-19.210587,-2.935318,649.16
14,-0.9157427,-17.285063,-3.1738267,877.78033
15,-0.812415,-25.442373,-2.8385935,973.56696
16,-0.812415,-21.222265,-2.808451,1088.756
17,-0.6797862,-21.995146,-2.7633317,970.32904
18,-0.6797862,-74.66721,-3.468728,6353.4004
19,-0.6797862,-74.66721,-4.246604,7707.347
20,-0.6797862,-74.66721,-4.593685,8791.19
21,-0.6797862,-23.659973,-2.8002605,788.5757
22,-0.6797862,-28.00277,-3.418105,1867.2634
23,-0.6797862,-29.331507,-3.2177992,1370.399
24,-0.6797862,-20.07904,-3.0171409,976.0233
25,-0.6797862,-71.620346,-3.3623664,5144.105
26,-0.6797862,-66.02774,-3.6739688,5022.499
27,-0.6797862,-25.126842,-2.912067,1037.5162
28,-0.6797862,-29.184381,-3.0807877,2045.7659
29,-0.6797862,-34.755955,-3.0991056,1732.567
30,-0.6797862,-31.076757,-3.2030325,1615.9275
31,-0.6797862,-17.596027,-2.60666,562.51166
32,-0.6797862,-32.61559,-3.237615,2152.8782
33,-0.6797862,-33.95383,-3.211613,1928.4666
34,-0.6797862,-26.952236,-3.1277652,1378.1997
35,-0.6797862,-35.676327,-3.755573,3041.4065
36,-0.6797862,-35.993477,-3.8750062,3000.1982
37,-0.6797862,-38.14955,-3.5766706,3107.094
38,-0.6797862,-50.558228,-3.501467,3606.3254
39,-0.6797862,-29.826866,-3.5936172,2512.1973
40,-0.6797862,-51.22053,-3.2364614,3379.0632
41,-0.6797862,-15.564278,-2.4745772,346.11758
42,-0.6797862,-13.988415,-2.5349412,326.99344
43,-0.6797862,-51.84556,-3.7326002,3588.6907
44,-0.6797862,-31.945606,-3.5973258,2227.3958
45,-0.6797862,-118.65751,-4.54435,16238.5625
46,-0.6797862,-20.866186,-3.0247855,1080.8317
47,-0.6797862,-11.884404,-2.4679406,350.3252
48,-0.6797862,-42.378807,-3.3985245,2242.451
49,-0.44286823,-47.286728,-3.7339747,3959.8113
50,-0.44286823,-20.673407,-3.052039,890.5867
51,-0.44286823,-39.861202,-3.2899504,2252.808
52,-0.44286823,-40.941837,-3.6146324,3216.701
53,-0.44286823,-141.70157,-5.619669,26853.727
54,-0.44286823,-42.492363,-3.9417396,4186.2944
55,-0.44286823,-31.355337,-3.1491385,1956.6475
56,-0.44286823,-53.04681,-3.7552216,4421.874
57,-0.44286823,-36.121796,-3.5381677,3137.1812
58,-0.44286823,-19.458529,-3.381526,1528.8859
59,-0.44286823,-23.570532,-3.0029101,1315.668
60,-0.44286823,-15.1735115,-2.843498,594.3403
61,-0.44286823,-12.844774,-2.3972907,311.8461
62,-0.44286823,-21.72138,-2.7184565,784.4354
63,-0.44286823,-53.20287,-3.7668064,4095.289
64,-0.44286823,-41.946243,-2.8429148,1951.2355
65,-0.44286823,-33.164356,-3.208227,1962.7372
66,-0.44286823,-49.059555,-4.3784313,5232.83
67,-0.44286823,-85.9261,-4.813175,10115.911
68,-0.44286823,-28.805082,-2.8787382,1844.7999
69,-0.44286823,-26.683926,-2.7797904,1224.2721
70,-0.44286823,-20.446053,-2.7213922,824.4868
71,-0.44286823,-20.446053,-2.4778287,585.73517
72,-0.44286823,-79.747025,-3.8499396,7298.951
73,-0.44286823,-21.195322,-3.3519301,1453.38
74,-0.44286823,-30.899002,-3.6043863,2248.2114
75,-0.44286823,-19.181616,-2.7899597,821.62476
76,-0.44286823,-24.927946,-2.965709,1229.4137
77,-0.44286823,-40.635147,-3.1549997,2523.755
78,-0.44286823,-24.092722,-2.7040524,914.51483
79,-0.44286823,-33.60546,-3.033444,1997.7164
80,-0.44286823,-26.572586,-2.8201377,905.27246
81,-0.44286823,-24.050135,-2.9395087,1209.9432
82,-0.44286823,-24.617432,-3.133626,1394.5547
83,-0.44286823,-19.830284,-3.269035,1263.1982
84,-0.44286823,-33.4118,-3.160327,1694.7522
85,-0.44286823,-23.897182,-2.5809262,724.0967
86,-0.44286823,-14.409316,-2.332177,309.04785
87,-0.44286823,-29.478477,-2.7610786,1131.5996
88,-0.44286823,-40.528404,-3.6312854,2873.5747
89,-0.44286823,-54.198986,-4.2182307,5636.0723
90,-0.44286823,-36.26433,-3.5733087,3050.9348
91,-0.44286823,-43.42875,-3.8548098,3818.9817
92,-0.44286823,-73.73262,-3.3998296,5714.3477
93,-0.44286823,-18.325703,-2.7380958,763.7022
94,-0.44286823,-45.473648,-3.07705,2653.7075
95,-0.44286823,-33.448177,-3.3965738,2509.7468
96,-0.44286823,-55.873325,-3.806255,5365.542
