neur0,input0,neur1,input1,neur2,input2,neur3,input3,neur4,input4
0.45879802,0.0,0.43562555,0.0,0.4632055,0.0,0.5158183,0.0,0.369108,0.0
0.5345977,0.039989334,0.41238835,0.0,0.5111392,0.0,0.58761775,0.0,0.21904221,0.0
0.6120934,0.07991469,0.36714566,0.0,0.5689977,0.0,0.6652061,0.0,0.074772865,0.0
0.6880794,0.119712204,0.29571563,0.0,0.63539076,0.0,0.7439014,0.0,-0.053556617,0.0
0.75867987,0.15931821,0.19419959,0.0,0.7068673,0.0,0.8173643,0.0,-0.1594662,0.0
0.8203024,0.19866931,0.06073606,0.0,0.77805734,0.0,0.87947434,0.0,-0.23987961,0.0
0.87069577,0.23770262,-0.101546854,0.0,0.8427869,0.0,0.9265642,0.0,-0.2943057,0.0
0.9094757,0.27635565,-0.28169852,0.0,0.8959918,0.0,0.95851976,0.0,-0.32421443,0.0
0.93784547,0.31456655,-0.46139342,0.0,0.93542385,0.0,0.97805804,0.0,-0.3326756,0.0
0.9578335,0.3522742,-0.620901,0.0,0.9619668,0.0,0.9889749,0.0,-0.32398427,0.0
0.9715698,0.38941833,-0.7473219,0.0,0.97845846,0.0,0.994657,0.0,-0.30302972,0.0
0.980873,0.42593947,-0.8382908,0.0,0.9881119,0.0,0.9974686,0.0,-0.27450758,0.0
0.98712814,0.46177918,-0.8991806,0.0,0.9935404,0.0,0.99881536,0.0,-0.24230708,0.0
0.9913228,0.4968801,-0.93802917,0.0,0.99651873,0.0,0.9994485,0.0,-0.20926738,0.0
0.994136,0.5311862,-0.9621272,0.0,0.99813026,0.0,0.9997434,0.0,-0.17724177,0.0
0.99602574,0.5646424,-0.9768643,0.0,0.9989963,0.0,0.9998804,0.0,-0.1473064,0.0
0.99729824,0.59719545,-0.985829,0.0,0.9994605,0.0,0.99994403,0.0,-0.11998987,0.0
0.99815756,0.628793,-0.99128234,0.0,0.99970937,0.0,0.99997365,0.0,-0.0954654,0.0
0.99873966,0.65938467,-0.99460965,0.0,0.99984294,0.0,0.99998754,0.0,-0.07369174,0.0
0.99913514,0.68892145,-0.996649,0.0,0.9999149,0.0,0.9999941,0.0,-0.054508608,0.0
0.9994047,0.7173561,-0.9979056,0.0,0.9999537,0.0,0.99999714,0.0,-0.03769776,0.0
0.999589,0.7446431,-0.99868417,0.0,0.9999747,0.0,0.9999986,0.0,-0.023020316,0.0
0.99971545,0.7707389,-0.9991692,0.0,0.9999861,0.0,0.99999934,0.0,-0.010238415,0.0
0.99980235,0.7956016,-0.9994729,0.0,0.9999924,0.0,0.9999997,0.0,8.7301224E-4,0.0
0.9998624,0.8191916,-0.9996641,0.0,0.99999577,0.0,0.9999998,0.0,0.0105205765,0.0
0.99990386,0.84147096,-0.99978507,0.0,0.9999977,0.0,0.99999994,0.0,0.018890223,0.0
0.99993265,0.8624042,-0.9998619,0.0,0.9999987,0.0,0.99999994,0.0,0.02614725,0.0
0.9999527,0.88195777,-0.9999109,0.0,0.9999993,0.0,1.0,0.0,0.032437313,0.0
0.9999667,0.90010047,-0.9999423,0.0,0.9999996,0.0,1.0,0.0,0.03788806,0.0
0.99997646,0.9168031,-0.9999625,0.0,0.99999976,0.0,1.0,0.0,0.04261087,0.0
0.9999833,0.9320391,-0.99997556,0.0,0.9999999,0.0,1.0,0.0,0.046702687,0.0
0.99998814,0.94578403,-0.999984,0.0,0.99999994,0.0,1.0,0.0,0.05024774,0.0
0.99999154,0.95801586,-0.9999895,0.0,0.99999994,0.0,1.0,0.0,0.053319085,0.0
0.999994,0.9687151,-0.9999931,0.0,1.0,0.0,1.0,0.0,0.055980098,0.0
0.9999957,0.9778646,-0.99999547,0.0,1.0,0.0,1.0,0.0,0.058285676,0.0
0.9999969,0.98544973,-0.99999696,0.0,1.0,0.0,1.0,0.0,0.060283367,0.0
0.9999978,0.99145836,-0.999998,0.0,1.0,0.0,1.0,0.0,0.062014356,0.0
0.9999984,0.99588084,-0.9999987,0.0,1.0,0.0,1.0,0.0,0.063514315,0.0
0.9999988,0.99871016,-0.9999991,0.0,1.0,0.0,1.0,0.0,0.06481413,0.0
