Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.44112176,0.43898925,0.43999454,1.3027286E-5
2,0.44112176,0.2788356,0.30285397,0.25733167
3,0.44037515,0.28128448,0.3644873,0.102809615
4,0.4401081,0.2820502,0.3036538,0.057804033
5,0.37497297,0.28632194,0.30681783,0.009264343
6,0.31566942,0.2756295,0.28042558,0.012581461
7,0.32167348,0.27566522,0.31190553,0.02309411
8,0.32057422,0.27589265,0.30784822,0.0029300775
9,0.3084439,0.27589265,0.29832515,0.0019187438
10,0.340047,0.29647171,0.33535805,0.012863274
