neur0,input0,neur1,input1
0.45962325,-0.0,0.49037936,0.0
0.40400964,-0.011335072,0.5212502,0.0
0.3512667,-0.02257663,0.54785514,0.0
0.30213445,-0.033632156,0.5707167,0.0
0.25703707,-0.04441112,0.5903332,0.0
0.21613233,-0.05482593,0.6071607,0.0
0.17937584,-0.064792894,0.62160397,0.0
0.1465846,-0.07423305,0.63401604,0.0
0.11749082,-0.083073035,0.64470017,0.0
0.091783345,-0.09124585,0.6539148,0.0
0.0691368,-0.09869156,0.66187894,0.0
0.04923098,-0.10535785,0.6687777,0.0
0.0317625,-0.111200586,0.6747673,0.0
0.016451096,-0.11618427,0.67998,0.0
0.0030423328,-0.12028231,0.6845272,0.0
-0.008691972,-0.12347727,0.6885039,0.0
-0.018954728,-0.12576103,0.69199044,0.0
-0.0279253,-0.12713473,0.69505525,0.0
-0.0357616,-0.12760876,0.697757,0.0
-0.042602275,-0.12720247,0.70014584,0.0
-0.048568875,-0.12594394,0.7022648,0.0
-0.053767864,-0.1238696,0.704151,0.0
-0.058292482,-0.121023715,0.70583653,0.0
-0.062224407,-0.11745777,0.7073491,0.0
-0.06563526,-0.11322987,0.70871276,0.0
-0.068587884,-0.108403996,0.7099484,0.0
-0.07113753,-0.103049256,0.7110742,0.0
-0.073332846,-0.097238936,0.71210593,0.0
-0.075216725,-0.09104972,0.71305746,0.0
-0.07682707,-0.084560774,0.7139408,0.0
-0.07819749,-0.07785267,0.71476644,0.0
-0.079357766,-0.071006596,0.71554345,0.0
-0.08033442,-0.06410331,0.7162798,0.0
-0.08115108,-0.05722226,0.7169823,0.0
-0.081828855,-0.050440647,0.717657,0.0
-0.082386635,-0.043832492,0.718309,0.0
-0.08284134,-0.037467893,0.7189426,0.0
-0.08320812,-0.031412166,0.7195616,0.0
-0.08350061,-0.025725184,0.720169,0.0
-0.083731,-0.020460716,0.7207676,0.0
-0.083910264,-0.015665835,0.72135943,0.0
-0.084048174,-0.011380416,0.7219462,0.0
-0.08415348,-0.0076368335,0.72252935,0.0
-0.08423396,-0.0044595837,0.7231098,0.0
-0.08429648,-0.0018651009,0.72368836,0.0
-0.084347084,1.3830663E-4,0.7242655,0.0
-0.08439101,0.0015505076,0.7248415,0.0
-0.0844328,0.0023793937,0.7254164,0.0
-0.084476285,0.002640736,0.7259902,0.0
-0.08452464,0.0023578524,0.7265626,0.0
-0.08458044,0.0015612126,0.72713333,0.0
-0.084645666,2.880454E-4,0.727702,0.0
-0.0847218,-0.0014183521,0.72826815,0.0
-0.08480978,-0.0035090894,0.7288313,0.0
-0.0849101,-0.0059304475,0.7293909,0.0
-0.0850228,-0.008624598,0.72994655,0.0
-0.085147515,-0.011530406,0.73049766,0.0
-0.08528356,-0.0145842405,0.7310438,0.0
-0.085429884,-0.017720846,0.7315846,0.0
-0.08558516,-0.020874176,0.7321196,0.0
-0.08574783,-0.023978239,0.7326487,0.0
-0.0859161,-0.026968056,0.7331714,0.0
-0.08608805,-0.029780362,0.73368776,0.0
-0.086261585,-0.032354623,0.7341977,0.0
-0.08643455,-0.034633566,0.73470116,0.0
-0.08660472,-0.036564123,0.7351984,0.0
-0.08676989,-0.038098004,0.73568946,0.0
-0.08692784,-0.039192278,0.73617476,0.0
-0.08707644,-0.03981006,0.73665464,0.0
-0.08721364,-0.039920777,0.7371295,0.0
-0.08733754,-0.03950069,0.7375999,0.0
-0.08744633,-0.038533133,0.73806655,0.0
-0.087538466,-0.03700872,0.7385299,0.0
-0.08761255,-0.0349254,0.73899084,0.0
-0.08766742,-0.03228857,0.73945004,0.0
-0.08770218,-0.029110927,0.73990834,0.0
-0.087716155,-0.025412245,0.74036646,0.0
-0.087708965,-0.021219254,0.7408253,0.0
-0.08768048,-0.016565114,0.74128574,0.0
-0.087630875,-0.011489143,0.74174845,0.0
-0.08756056,-0.0060362103,0.7422143,0.0
-0.08747024,-2.5612116E-4,0.7426841,0.0
-0.087360874,0.005796856,0.7431585,0.0
-0.08723366,0.012064874,0.7436382,0.0
-0.08709006,0.018487094,0.7441239,0.0
-0.08693173,0.025000555,0.744616,0.0
-0.08676051,0.031540915,0.745115,0.0
-0.08657845,0.0380433,0.7456214,0.0
-0.08638771,0.044443082,0.74613535,0.0
-0.08619058,0.050676703,0.74665725,0.0
-0.08598947,0.056682494,0.7471871,0.0
-0.0857868,0.062401354,0.7477249,0.0
-0.08558506,0.06777767,0.74827063,0.0
-0.08538673,0.07275976,0.7488241,0.0
-0.08519427,0.07730068,0.7493851,0.0
-0.08501004,0.08135872,0.74995327,0.0
-0.08483634,0.084897906,0.7505281,0.0
-0.084675364,0.08788846,0.7511091,0.0
-0.08452912,0.09030713,0.7516957,0.0
-0.08439947,0.09213741,0.7522872,0.0
-0.084288076,0.0933698,0.7528829,0.0
-0.0841964,0.09400181,0.75348204,0.0
-0.08412566,0.094037995,0.7540838,0.0
-0.08407683,0.09348982,0.7546873,0.0
-0.08405063,0.09237551,0.75529176,0.0
-0.084047526,0.09071978,0.7558962,0.0
-0.084067695,0.08855342,0.75649977,0.0
-0.08411107,0.085912935,0.7571016,0.0
-0.08417731,0.08284002,0.75770086,0.0
-0.0842658,0.07938089,0.7582967,0.0
-0.084375694,0.07558586,0.75888836,0.0
-0.08450591,0.07150837,0.75947505,0.0
-0.08465512,0.06720458,0.76005614,0.0
-0.08482183,0.06273239,0.7606309,0.0
