neur0,input0,neur1,input1
0.45947105,0.0,0.49403995,0.0
0.42206755,0.039989334,0.5254112,0.0
0.386882,0.07991469,0.55313504,0.0
0.35412198,0.119712204,0.5776382,0.0
0.32389274,0.15931821,0.5993192,0.0
0.29621527,0.19866931,0.6185413,0.0
0.27104503,0.23770262,0.63562953,0.0
0.24828963,0.27635565,0.6508709,0.0
0.22782388,0.31456655,0.6645168,0.0
0.20950256,0.3522742,0.67678547,0.0
0.19316983,0.38941833,0.6878659,0.0
0.17866667,0.42593947,0.6979213,0.0
0.16583589,0.46177918,0.70709187,0.0
0.15452577,0.4968801,0.71549857,0.0
0.14459224,0.5311862,0.72324514,0.0
0.13590021,0.5646424,0.7304209,0.0
0.12832426,0.59719545,0.7371024,0.0
0.12174864,0.628793,0.7433557,0.0
0.11606724,0.65938467,0.74923736,0.0
0.11118316,0.68892145,0.75479615,0.0
0.107008174,0.7173561,0.7600737,0.0
0.103462204,0.7446431,0.76510614,0.0
0.100472674,0.7707389,0.76992404,0.0
0.0979739,0.7956016,0.7745538,0.0
0.09590652,0.8191916,0.77901787,0.0
0.09421692,0.84147096,0.7833355,0.0
0.092856735,0.8624042,0.7875229,0.0
0.091782324,0.88195777,0.79159397,0.0
0.09095432,0.90010047,0.79556024,0.0
0.09033726,0.9168031,0.7994316,0.0
0.08989916,0.9320391,0.8032161,0.0
0.08961121,0.94578403,0.80692047,0.0
0.08944746,0.95801586,0.8105503,0.0
0.08938452,0.9687151,0.8141099,0.0
0.08940133,0.9778646,0.81760305,0.0
0.08947894,0.98544973,0.8210324,0.0
0.08960031,0.99145836,0.8244002,0.0
0.08975008,0.99588084,0.82770807,0.0
0.08991448,0.99871016,0.8309571,0.0
0.09008114,0.9999417,0.83414805,0.0
0.09023896,0.9995736,0.83728147,0.0
0.09037801,0.9976064,0.84035754,0.0
0.0904894,0.99404323,0.8433762,0.0
0.090565234,0.98888975,0.8463373,0.0
0.09059846,0.9821543,0.84924066,0.0
0.09058285,0.9738476,0.8520858,0.0
0.09051288,0.963983,0.8548725,0.0
0.09038375,0.9525762,0.8576002,0.0
0.09019125,0.93964547,0.8602685,0.0
0.08993173,0.92521155,0.8628769,0.0
0.08960209,0.9092974,0.8654251,0.0
0.089199714,0.8919287,0.8679127,0.0
0.08872243,0.873133,0.8703395,0.0
0.088168494,0.85294056,0.87270516,0.0
0.08753655,0.8313835,0.8750095,0.0
0.08682562,0.80849636,0.87725234,0.0
0.08603504,0.78431594,0.8794337,0.0
0.085164525,0.75888073,0.8815536,0.0
0.084214024,0.7322315,0.8836121,0.0
0.08318382,0.70441085,0.8856094,0.0
0.082074426,0.67546326,0.88754565,0.0
0.08088663,0.645435,0.8894211,0.0
0.07962147,0.6143742,0.89123625,0.0
0.07828019,0.58233064,0.89299136,0.0
0.07686425,0.5493555,0.89468694,0.0
0.0753753,0.51550144,0.8963235,0.0
0.07381522,0.48082274,0.89790165,0.0
0.07218602,0.4453748,0.89942193,0.0
0.07048991,0.40921414,0.90088505,0.0
0.068729274,0.37239906,0.9022916,0.0
0.06690661,0.3349882,0.9036424,0.0
0.065024585,0.29704145,0.9049381,0.0
0.063085996,0.25861946,0.90617955,0.0
0.061093766,0.21978377,0.90736747,0.0
0.059050936,0.18059623,0.9085027,0.0
0.056960646,0.14112,0.9095861,0.0
0.054826155,0.101418026,0.9106184,0.0
0.052650806,0.061553795,0.91160065,0.0
0.050438017,0.02159109,0.9125335,0.0
0.04819131,-0.018406155,0.913418,0.0
0.045914248,-0.058373954,0.91425484,0.0
0.043610476,-0.0982486,0.915045,0.0
0.041283686,-0.13796584,0.9157893,0.0
0.038937617,-0.17746235,0.91648865,0.0
0.03657605,-0.21667498,0.91714394,0.0
0.034202803,-0.25554097,0.91775596,0.0
0.03182171,-0.29399815,0.9183256,0.0
0.029436616,-0.3319852,0.91885376,0.0
0.027051393,-0.36944094,0.91934127,0.0
0.024669904,-0.40630564,0.91978896,0.0
0.022296013,-0.44252035,0.9201977,0.0
0.019933572,-0.47802714,0.9205684,0.0
0.017586414,-0.51276916,0.9209019,0.0
0.015258346,-0.54669106,0.92119896,0.0
0.0129531445,-0.5797382,0.9214605,0.0
0.01067455,-0.61185783,0.9216873,0.0
0.008426256,-0.6429987,0.9218803,0.0
0.006211905,-0.67311084,0.9220403,0.0
0.004035086,-0.7021462,0.92216814,0.0
0.0018993227,-0.73005825,0.9222647,0.0
-1.9192975E-4,-0.7568025,0.92233086,0.0
-0.0022352883,-0.7823359,0.92236745,0.0
-0.0042274506,-0.8066177,0.92237544,0.0
-0.006165198,-0.8296091,0.92235565,0.0
-0.008045403,-0.8512733,0.92230904,0.0
-0.009865031,-0.87157565,0.9222365,0.0
-0.011621147,-0.8904837,0.9221389,0.0
-0.013310922,-0.90796715,0.9220174,0.0
-0.014931631,-0.92399806,0.92187285,0.0
-0.016480666,-0.9385509,0.92170626,0.0
-0.017955529,-0.9516021,0.9215186,0.0
-0.019353842,-0.96313095,0.921311,0.0
-0.020673359,-0.97311896,0.9210845,0.0
-0.021911953,-0.9815503,0.9208402,0.0
-0.023067625,-0.98841125,0.9205792,0.0
-0.024138512,-0.99369097,0.9203027,0.0
-0.025122888,-0.99738103,0.9200118,0.0
-0.026019163,-0.99947554,0.91970783,0.0
-0.026825886,-0.99997103,0.91939193,0.0
-0.027541747,-0.9988668,0.91906536,0.0
-0.028165583,-0.9961646,0.9187294,0.0
-0.028696375,-0.9918688,0.9183855,0.0
-0.029133255,-0.9859861,0.9180349,0.0
-0.029475497,-0.9785261,0.9176791,0.0
-0.02972253,-0.96950066,0.9173193,0.0
-0.029873932,-0.9589243,0.9169571,0.0
-0.029929433,-0.94681376,0.9165939,0.0
-0.029888911,-0.9331886,0.91623116,0.0
-0.029752403,-0.9180705,0.9158704,0.0
-0.029520094,-0.9014837,0.91551316,0.0
-0.02919232,-0.88345474,0.91516083,0.0
-0.028769568,-0.8640124,0.9148151,0.0
-0.028252477,-0.84318787,0.9144774,0.0
-0.027641842,-0.8210144,0.91414934,0.0
-0.026938597,-0.7975275,0.9138324,0.0
-0.026143828,-0.77276444,0.91352814,0.0
-0.02525877,-0.7467654,0.91323805,0.0
-0.0242848,-0.71957165,0.9129637,0.0
-0.023223437,-0.6912268,0.9127065,0.0
-0.022076342,-0.6617761,0.91246796,0.0
-0.020845314,-0.6312667,0.91224945,0.0
-0.019532284,-0.5997474,0.9120524,0.0
-0.01813932,-0.56726867,0.91187817,0.0
-0.016668614,-0.53388244,0.911728,0.0
-0.01512249,-0.4996421,0.9116033,0.0
-0.01350339,-0.46460244,0.911505,0.0
-0.011813875,-0.4288195,0.9114345,0.0
-0.010056622,-0.39235055,0.9113927,0.0
-0.008234414,-0.3552535,0.9113806,0.0
-0.0063501475,-0.31758854,0.9113991,0.0
-0.004406815,-0.2794155,0.91144913,0.0
-0.0024075063,-0.24079546,0.9115314,0.0
-3.554036E-4,-0.2017902,0.9116464,0.0
0.001746225,-0.16246213,0.91179496,0.0
0.0038940313,-0.12287415,0.9119773,0.0
0.0060845916,-0.08308959,0.9121939,0.0
0.00831441,-0.043172114,0.912445,0.0
0.010579932,-0.0031855688,0.91273075,0.0
0.012877539,0.036806073,0.91305125,0.0
0.015203563,0.076738834,0.9134064,0.0
0.01755429,0.11654883,0.91379595,0.0
0.019925969,0.15617284,0.9142198,0.0
0.022314807,0.19554654,0.9146775,0.0
0.024716992,0.2346074,0.91516864,0.0
0.027128683,0.27329293,0.91569257,0.0
0.029546035,0.31154126,0.9162487,0.0
0.031965185,0.3492912,0.9168362,0.0
0.034382273,0.38648236,0.9174543,0.0
0.03679344,0.4230552,0.918102,0.0
0.039194837,0.45895126,0.9187783,0.0
0.041582644,0.4941131,0.9194821,0.0
0.043953046,0.52848446,0.9202122,0.0
0.046302274,0.56201035,0.92096746,0.0
0.048626587,0.5946376,0.9217465,0.0
0.050922282,0.62631303,0.922548,0.0
0.053185705,0.6569866,0.92337054,0.0
0.05541326,0.6866091,0.92421275,0.0
0.057601407,0.7151332,0.9250731,0.0
0.059746668,0.7425132,0.92595005,0.0
0.061845645,0.76870537,0.92684215,0.0
0.063895,0.79366773,0.9277478,0.0
0.06589149,0.81736046,0.9286655,0.0
0.06783194,0.8397455,0.9295937,0.0
0.06971329,0.8607872,0.9305308,0.0
0.07153255,0.88045186,0.9314753,0.0
0.07328685,0.8987079,0.9324256,0.0
0.074973404,0.91552645,0.9333803,0.0
0.07658955,0.9308801,0.93433785,0.0
0.078132726,0.94474465,0.93529683,0.0
0.0796005,0.9570977,0.9362558,0.0
0.080990545,0.96791965,0.93721336,0.0
0.08230067,0.9771931,0.9381682,0.0
0.0835288,0.9849033,0.93911904,0.0
0.084672995,0.99103785,0.9400646,0.0
0.08573144,0.99558693,0.9410037,0.0
0.08670246,0.9985433,0.9419351,0.0
0.08758452,0.99990225,0.94285786,0.0
0.088376224,0.99966156,0.9437709,0.0
0.08907632,0.9978216,0.9446731,0.0
0.089683674,0.9943853,0.94556373,0.0
