neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996214,0.008937257,0.5742118,0.0
0.99871635,0.017870659,0.60465205,0.0
0.99608076,0.026796354,0.6313016,0.0
0.98916024,0.035710488,0.6544851,0.0
0.97294194,0.044609223,0.6741967,0.0
0.9401918,0.05348872,0.6900527,0.0
0.88716435,0.062345147,0.70154095,0.0
0.82505393,0.071174696,0.70877415,0.0
0.7768686,0.07997356,0.7129556,0.0
0.7523756,0.08873795,0.7155907,0.0
0.74386024,0.097464085,0.71762466,0.0
0.7423296,0.10614822,0.7194594,0.0
0.74332637,0.114786625,0.72123796,0.0
0.7451852,0.12337559,0.7230079,0.0
0.7473388,0.13191141,0.7247845,0.0
0.7495977,0.14039043,0.72657245,0.0
0.75189865,0.148809,0.7283729,0.0
0.75421935,0.15716355,0.7301857,0.0
0.75655186,0.16545048,0.7320105,0.0
0.7588929,0.17366624,0.7338466,0.0
0.7612406,0.18180732,0.73569334,0.0
0.76359373,0.18987028,0.73755014,0.0
0.76595134,0.19785163,0.7394161,0.0
0.7683124,0.20574799,0.74129075,0.0
0.7706761,0.21355604,0.7431732,0.0
0.7730414,0.2212724,0.7450628,0.0
0.77540743,0.22889386,0.7469589,0.0
0.7777733,0.23641716,0.7488608,0.0
0.78013813,0.2438391,0.75076765,0.0
0.78250104,0.2511566,0.7526789,0.0
0.78486115,0.25836653,0.7545937,0.0
0.78721744,0.2654659,0.75651145,0.0
0.7895691,0.2724517,0.75843143,0.0
0.79191536,0.279321,0.76035297,0.0
0.7942553,0.286071,0.7622754,0.0
0.7965881,0.29269883,0.76419795,0.0
0.7989129,0.2992017,0.76612,0.0
0.80122876,0.305577,0.7680409,0.0
0.80353516,0.31182206,0.76996,0.0
0.805831,0.3179343,0.7718765,0.0
0.80811566,0.32391125,0.77378994,0.0
0.8103883,0.3297504,0.7756997,0.0
0.81264836,0.33544943,0.777605,0.0
0.8148948,0.34100598,0.7795054,0.0
0.8171271,0.34641784,0.78140014,0.0
0.81934446,0.3516828,0.7832888,0.0
0.8215463,0.35679886,0.7851706,0.0
0.82373184,0.3617638,0.7870452,0.0
0.8259005,0.3665758,0.7889119,0.0
0.8280516,0.37123296,0.7907702,0.0
