fitness,g0,g1,g2,g3,g4,g5
0.09988878,-0.7512908,0.2750297,0.2670181,0.61873835,0.23536158,0.64684045
0.5245828,0.104613416,0.10284462,-0.89939356,0.8342878,0.023866773,0.15112087
0.05528884,0.28822395,-0.3620608,-0.48760995,-0.16285352,0.534244,0.41030952
0.18754305,-0.3678474,-0.5462939,-0.60757625,0.2335517,0.4939911,-0.06935061
-0.16661358,-0.42399657,0.4688606,-0.08132338,-0.5564558,0.8226192,-0.15799345
0.16672182,-0.4658422,0.122708604,-0.25655887,0.1079614,0.4063175,-0.135932
0.596964,-0.1984108,0.20594956,-0.5196587,0.7769763,-0.06240042,0.12409556
-1.2519932,-0.290143,0.38066515,0.35222328,-0.14458384,0.14672622,0.0151564265
0.48086968,-0.6110008,-0.039556324,-0.60268617,0.12087059,0.16840294,-0.46408167
0.09684092,-0.33945712,-0.4128214,-0.25212577,0.48453832,-0.87386435,0.9122128
0.081605434,-0.114143886,0.17612736,0.3560151,-0.08765399,0.75215536,0.30810335
-0.05139164,-0.26394543,0.28834173,0.087382466,0.07431351,-0.37838393,0.11256143
-1.3580697,-0.34098488,-0.1468935,0.039129,-0.5019287,-0.022277828,-0.44206932
0.114595175,-0.11411871,0.4316591,0.30955693,-0.10039162,0.25478542,0.32788485
-1.1499823,-0.020586122,0.47939488,0.14314947,-0.26404196,-0.18846905,-0.30497974
-1.4487965,-0.098369606,-0.62411886,0.48024088,-0.8514176,-0.124912284,-0.096009366
0.5259689,0.49730414,-0.45039234,-0.6857116,0.43347558,-0.15188777,0.3756696
-1.3964833,0.29611108,0.10731028,0.42105335,-0.088250786,0.00665133,0.418792
0.18433037,-0.15795995,0.72168344,-0.17121783,0.2920643,0.15813553,0.16227175
0.21298444,0.12713598,-0.7538302,0.2884182,0.15454058,0.30770266,-0.33162555
-1.2329819,-0.119392514,-0.91638565,-0.24259925,-0.5444867,-0.39552346,0.73688525
-0.57373595,0.73340845,0.52449554,0.7788775,-0.21234973,-0.89946586,-0.090236604
0.17031756,-0.60165894,-0.34112248,-0.1327234,0.5603892,0.41393557,0.2652445
0.29229072,-0.07100056,-0.072328866,-0.3174803,0.6466303,0.12245154,0.13130875
0.21857148,-0.51121795,-0.79442143,0.30138192,0.7304544,0.11806933,-0.020957641
0.518321,-0.44364956,-0.6042322,-0.9993266,0.21416233,0.16359186,-0.36279804
0.12704667,-0.665028,-0.5815958,-0.6502758,0.041518103,0.27305174,0.57134557
-2.6535168,-0.31148767,-0.29331538,0.5534178,-0.79090196,0.8564466,-0.3475624
0.009675988,0.16833113,-0.2915436,0.19365679,-0.17037238,0.75927806,-0.3039229
-0.5276897,0.104939215,-0.42345682,0.28740007,-0.1011872,-0.31385922,-0.5812149
0.31577262,0.2633585,-0.34887064,-0.31234583,0.13700427,-0.10408255,0.85200334
0.18936759,-0.6952358,-0.36940023,-0.29884234,0.11976848,0.13653344,0.2353672
0.112013265,-0.23485525,0.5668129,0.76223636,0.4604111,0.3862177,-0.12195425
0.4286237,0.1336441,-0.6506136,0.46368396,0.01885295,0.03838251,0.23774636
-0.35992593,0.37340966,-0.84149224,0.5120132,0.8864523,0.9922461,-0.22891565
0.28854483,-0.89860356,-0.14342606,-0.9914626,0.29625976,0.13949904,0.22114508
0.23974964,0.16216724,0.45077237,0.5841566,0.28410816,-0.40951374,0.031489372
0.20179686,0.011154408,0.3619177,-0.08608022,0.7965039,-0.19778888,0.2582925
-0.72955424,-0.92544615,-0.6369568,0.08901787,-0.22831883,-0.55349076,-0.21801221
0.29480398,-0.96811515,0.7728844,0.14169148,0.12121564,0.3314456,-0.5426935
0.29334718,0.38134733,0.6280458,0.1238424,0.23151973,-0.3390562,0.590305
-0.48498684,0.56994516,-0.43550235,-0.77494395,-0.53345287,0.20790486,-0.21363372
-0.41079512,0.3338674,-0.7749214,-0.60229534,-0.54577684,0.63028944,-0.44284892
0.42360267,-0.28510168,0.15791702,0.85063714,0.06583622,-0.0367162,0.30737555
-0.24365288,-0.18526846,-0.028033543,-0.35748747,0.17792445,0.14178576,-0.47417644
0.20183775,0.20957147,0.6773835,-0.054921627,0.5500907,0.87326616,-0.31623197
0.21490735,0.7584312,0.12529221,-0.5851666,-0.0325042,0.09944681,-0.47492677
-0.14969184,-0.7099167,-0.31149215,-0.48596913,0.13835764,0.09235942,-0.6572259
0.25426352,-0.4691297,0.40190157,-0.7138596,0.24489132,0.41773736,-0.27256668
0.23951986,0.14257623,-0.54812336,-0.791695,0.2850386,0.62240106,-0.7237366
0.24008612,0.2064443,-0.42486152,-0.76335067,0.587395,0.6295228,-0.24509361
-1.3993574,0.01984158,-0.8409023,0.07080164,-0.78546363,0.08101289,-0.39553294
0.30018416,-0.87115175,-0.2459085,-0.37257275,0.33243355,0.6774633,-0.77497005
0.010937993,-0.6035345,-0.4654217,-0.5183398,-0.108557254,0.51466006,-0.38758743
0.595828,-0.8903706,-0.05210567,-0.8839296,0.6531955,-0.077265896,0.24396805
-11.631643,-0.4879323,0.30509287,0.24686928,0.48179993,-0.18067347,-0.52408904
0.32134858,-0.49797463,0.92037994,-0.9715533,0.7827041,0.3485623,0.15847585
0.1240842,0.37447643,0.19006254,0.9307371,0.58870393,-0.83605874,0.6237505
-3.9905157,-0.30911607,-0.9546367,0.41826496,-0.8459375,-0.5168081,0.53525966
0.21450442,0.68160987,0.21700425,0.09006273,0.7515473,-0.81165385,-0.029244198
0.29713506,0.3653425,0.025008736,-0.634722,0.31860095,0.5217688,-0.5699892
0.0012574196,-0.34409413,0.21837482,-0.46447614,-0.15286563,-0.13107036,-0.61179245
0.14701024,0.64429694,0.22861941,0.30502704,-0.14436689,0.44902596,0.5700188
-0.25384057,0.1025174,-0.00825026,-0.9087421,0.89329267,-0.40686122,-0.1482129
0.20102945,0.68314755,-0.16393453,0.10500848,0.10201412,0.30259874,-0.3097445
0.54611397,0.38903445,0.7825847,-0.9068269,0.49215588,0.109917544,-0.021449124
-8.618032,0.37021646,0.23639166,-0.13348912,-0.82427907,0.7247885,0.5535497
-4.8523183,0.7205769,-0.6935209,-0.21376581,0.32701266,0.3628605,-0.6297291
0.0830998,0.18703678,-0.2910552,0.6273682,0.6510493,-0.34483,0.74712443
0.2833074,0.078752354,-0.20886573,-0.025970126,-0.12266102,0.2378856,0.18376121
0.08418217,-0.95535535,0.35135746,0.8393754,0.83924556,-0.275766,0.7156636
0.07919981,0.96151805,0.02022601,-0.021574603,-0.05974853,0.18642795,-0.38559246
-1.335161,-0.8907689,-0.8428212,0.47423458,-0.5739503,-0.7043687,-0.0021378768
