fitness,g0,g1,g2,g3,g4,g5
0.24020912,0.7325592,0.38065583,-0.87266785,-0.053259954,0.21551003,0.58460766
0.2560462,0.97870845,0.31843868,0.041969832,0.88279366,0.3787589,0.48499843
0.23582275,0.74708384,0.21120441,-0.767012,-0.4258869,0.27149704,-0.19437283
0.2974815,0.91643095,0.21641728,-0.759077,-0.26502576,-0.042852543,0.49127162
0.29588056,0.07529006,0.26451236,0.6986771,0.69056046,0.90376014,0.70886225
0.2943729,0.7561158,-0.5041915,-0.74685735,0.6861629,-0.015697697,-0.42373532
0.25500748,0.6797056,0.6790248,0.36033976,0.27522886,-0.044848345,-0.64038455
0.23301153,-0.09719011,-0.6378546,-0.12386143,0.079381146,-0.12105593,0.67658406
0.29512814,0.29491857,0.73782134,-0.18070939,-0.24209194,-0.07372459,0.105259806
0.23327424,-0.21765518,-0.6193071,0.36777422,0.22647244,-0.44198662,0.033557653
0.23309837,0.07402384,0.24905853,-0.46564654,-0.35457644,-0.27154452,0.09602046
0.23302235,-0.119619265,0.44689557,0.4237593,-0.58321357,-0.3000158,-0.012064039
0.23334794,-0.041539475,-0.43026233,-0.25648034,-0.7348943,-0.50409955,0.6367556
0.23279785,0.25509673,-0.27380627,0.22576094,-0.21955629,-0.035465658,-0.04191398
0.23272632,0.8755305,-0.87586594,0.039320063,-0.3079405,0.016521744,-0.68220115
0.23153588,0.69307256,-0.14287193,0.25137988,0.63740706,-0.25220668,-0.30596113
0.23415409,-0.5023027,-0.38085306,-0.6878191,0.6134157,0.19205372,0.186364
0.23482995,-0.14246053,-0.22353286,-0.633482,-0.2840723,-0.19949032,-0.20813188
0.23106395,0.75659525,-0.19670251,0.43686897,0.48573238,-0.14716761,0.14404084
0.22633785,0.7077874,-0.425175,-0.87890077,0.41340134,-0.26367345,-0.20725656
0.2956451,-0.12528491,0.08842957,-0.97455084,-0.4644442,0.8724104,-0.9758817
0.34163085,-0.46713853,-0.11471355,-0.9218396,-0.4158517,0.79667914,0.46680808
0.23405789,0.40977815,0.18985452,0.30893883,-0.9718979,0.4846043,-0.61432225
0.23743625,-0.06490432,0.9323305,-0.58309215,-0.1014238,-0.45808104,-0.34063452
0.23391332,-0.05717671,0.55021286,-0.21655878,-0.13070571,-0.58998024,0.6540364
0.23863731,0.6847629,0.16216493,-0.16413319,-0.054978076,0.29880908,0.055703163
0.25763175,0.6050754,0.20267439,-0.10364546,-0.8016477,-0.7929414,-0.55979824
0.2349493,-0.8320887,0.5491416,0.47973636,0.14623092,0.05465361,0.79253775
0.23407218,-0.35766938,0.74696803,-0.20842588,-0.12714842,-0.1271377,0.75219655
0.23200539,-0.3813145,0.07916612,0.3779864,0.6062006,0.784422,-0.8737439
0.2309441,0.31875247,-0.083458185,0.60337394,-0.1049881,-0.4382768,-0.4146922
0.2946943,-0.4639061,-0.20110857,0.7447626,2.0749481E-4,0.09314799,-0.9548591
0.23618057,-0.94439894,-0.19639598,-0.12214038,-0.3072092,-0.10986073,0.40639645
0.23377925,-0.3160776,-0.039151974,0.043352477,0.37351716,-0.2066226,0.0644356
0.25900573,-0.444726,-0.1529885,-0.7614491,-0.581268,-0.7598534,-0.31177044
0.232898,0.1791196,0.23950689,0.4194211,0.35129762,-0.5467172,0.031740904
0.3254399,-0.43064857,0.15122679,-0.28574276,0.46911508,0.74824333,-0.6036093
0.25739387,-0.27229217,-0.51086706,0.3908295,0.12601146,-0.73450994,-0.81656563
0.23347448,-0.0530283,0.30857983,0.16764838,-0.9090608,0.13349693,0.6965155
0.25536463,0.9412813,0.86296684,-0.3849558,0.20150697,0.7537157,0.30621815
0.23443115,-0.06462703,-0.9499154,0.57375205,0.23759833,-0.02714279,-0.42115054
0.23448561,0.4773351,0.42623082,-0.40256834,-0.2668281,-0.24505448,0.29325405
0.22415239,-0.67694575,0.33029532,0.41009724,-0.720983,0.32520577,-0.084601894
0.23271045,-0.16378108,-0.2647418,0.444969,-0.013005376,-0.5179737,0.7483551
0.23374791,0.116705775,0.29138303,-0.31807053,-0.4497779,-0.4197386,0.4953328
0.23313414,0.28479105,-0.1301999,0.20935161,-0.9577143,0.6781731,0.24715605
0.23268257,-0.031868972,-0.34587884,-0.5552614,0.23648462,-0.08419669,-0.33715466
0.23568717,-0.4546851,-0.12513638,-0.14456098,-0.030857444,0.58903116,-0.27025238
0.2611712,0.60877943,0.07523048,0.932397,0.7422503,-0.9603697,-0.32993484
0.23322959,0.092113934,-0.6396098,-0.11884598,0.363066,-0.23443401,0.0025085544
0.23393998,0.69729996,-0.033878256,0.5427129,0.0938744,-0.06624635,0.7597692
0.2382741,0.05976488,0.3652818,0.61631864,0.687945,0.7020392,0.09112036
0.23161443,0.40442014,-0.21053126,-0.28220618,0.46942922,0.12418011,-0.23168905
0.23519504,-0.17602503,0.43274876,-0.38300043,0.7998744,-0.8834389,-0.20964848
