Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.3364361,-15.770393,-1.1055471,771.78174
2,0.48398498,-8.119174,-0.46845084,201.56583
3,0.48398498,-18.984243,-0.5327174,468.40765
4,0.48398498,-24.283348,-0.7857326,1059.4692
5,0.48398498,-20.123432,-0.8944585,975.9044
6,0.48398498,-10.828054,-0.61213595,291.0463
7,0.48398498,-6.8566175,-0.4538788,157.97746
8,0.68133837,-5.9335537,-0.25359115,89.6338
9,0.68133837,-18.563967,-0.63600296,540.6944
10,0.68133837,-14.331078,-0.82665527,735.33105
11,0.684834,-14.331078,-0.48923326,493.43964
12,0.684834,-20.280895,-0.63266325,660.6569
13,0.684834,-16.228436,-0.29324752,322.89383
14,0.684834,-16.3615,-0.99908644,1242.6853
15,0.684834,-12.765903,-0.38001642,258.28723
16,0.684834,-10.037298,-0.31838557,204.08276
17,0.684834,-27.02715,-0.69678247,1006.71985
18,0.684834,-12.108099,-0.4273965,289.73093
19,0.684834,-18.981997,-1.1015251,1173.5984
20,0.684834,-24.135088,-0.74051386,926.6353
21,0.6825545,-12.108099,-0.46274132,319.48453
22,0.6825545,-3.6965919,-0.14386037,35.09718
23,0.6825545,-22.34466,-0.6912959,756.6341
24,0.6825545,-25.784521,-1.050353,1785.8867
25,0.6825545,-25.784521,-0.6950907,1001.8764
26,0.6825545,-15.487051,-0.41259205,322.24115
27,0.6825545,-2.8085108,-0.14067282,31.790037
28,0.6825545,-10.247859,-0.34580162,167.22952
29,0.6825545,-14.003204,-0.3687834,249.50931
30,0.6825545,-23.397667,-0.6057073,757.57294
31,0.6897257,-12.307421,-0.54539996,417.109
32,0.6897257,-21.937578,-0.6511641,733.4233
33,0.6897257,-21.957539,-0.42902052,595.5556
34,0.6897257,-15.978233,-0.51283216,561.961
35,0.6897257,-6.656836,-0.11924877,73.57912
36,0.6897257,-11.283817,-0.44792145,344.93744
37,0.6897257,-26.411394,-0.33599433,727.21826
38,0.6897257,-3.74052,-0.14784408,40.522667
39,0.6897257,-9.156943,-0.32583854,238.574
40,0.6897257,-18.695206,-0.71370816,774.053
41,0.69307184,-5.7852187,-0.08659558,54.734898
42,0.69307184,-14.258824,-0.34922314,342.7536
43,0.69307184,-13.804478,-0.5147245,336.2554
44,0.69307184,-20.54,-0.50098383,555.3355
45,0.69307184,-18.221895,-0.64176977,624.926
46,0.69307184,-5.832604,-0.28240916,101.58389
47,0.69307184,-16.190529,-0.5772797,549.5155
48,0.69307184,-19.474537,-0.82063884,961.7991
49,0.69307184,-16.190529,-0.51557577,463.2129
50,0.69307184,-14.451622,-0.5457533,390.18848
51,0.69410634,-12.382132,-0.42510724,299.54044
52,0.69410634,-6.7873316,-0.23858525,100.462616
53,0.69410634,-15.565969,-0.23646306,290.29193
54,0.69410634,-13.026245,-0.41634244,283.33124
55,0.69410634,-13.172015,-0.4994144,377.7029
56,0.69410634,-13.172015,-0.5433722,433.7311
57,0.69410634,-14.911945,-0.56686354,594.9402
58,0.69410634,-14.190783,-0.3942668,293.375
59,0.69410634,-10.923756,-0.28269115,174.45041
60,0.69410634,-12.298884,-0.23524159,188.79185
61,0.69084096,-5.976371,-0.25115976,91.99602
62,0.69084096,-18.271084,-0.5297655,531.36896
63,0.69084096,-15.896577,-0.47942844,417.96494
64,0.69084096,-15.896577,-0.56468713,535.2921
65,0.69084096,-10.037047,-0.38081235,204.79192
66,0.69084096,-14.156643,-0.39870328,355.7912
67,0.69084096,-3.8624887,-0.16189884,47.82932
68,0.69084096,-2.0280683,-0.0079139955,24.401161
69,0.69084096,-8.357685,-0.2833631,188.24727
70,0.69084096,-29.799753,-0.9609005,1712.1543
71,0.6844346,-16.256054,-0.45705834,401.53494
72,0.6844346,-11.861098,-0.45741844,332.82385
73,0.6844346,-10.159277,-0.3073104,174.38524
74,0.6844346,-16.638577,-0.3659199,320.28406
75,0.6844346,-9.829188,-0.5449813,301.7441
76,0.6844346,-9.422155,-0.36901376,176.94371
77,0.6844346,-9.978443,-0.5062645,236.26076
78,0.6844346,-6.8175397,-0.22345802,90.63114
79,0.6844346,-6.5819426,-0.31603172,104.92915
80,0.6844346,-6.9116497,-0.38901937,162.16357
81,0.6902259,-24.772085,-0.5515765,688.82495
82,0.6902259,-16.065624,-0.52123815,419.28128
83,0.6902259,-9.533476,-0.41078904,206.02876
84,0.6902259,-20.606333,-0.76241165,829.53064
85,0.6902259,-8.450922,-0.32638115,150.74513
86,0.6902259,-24.126606,-0.35599032,604.1821
87,0.6902259,-20.869465,-0.5690314,587.2577
88,0.6902259,-23.14511,-0.70926213,1013.9774
89,0.6902259,-23.14511,-0.60801023,682.9128
90,0.6902259,-18.88401,-0.5599883,488.89575
91,0.6901107,-7.920804,-0.3514767,178.95764
92,0.6901107,-17.365059,-0.8459666,694.11145
93,0.6901107,-21.654503,-1.0788836,1017.0314
94,0.6901107,-21.654503,-0.5771201,621.2163
95,0.6901107,-11.712694,-0.26530015,201.11584
96,0.6901107,-21.264643,-0.43181282,564.5835
97,0.6901107,-25.431587,-0.51352674,851.86694
98,0.6901107,-3.7197797,-0.09762471,47.707
99,0.6901107,-15.6934805,-0.33343613,312.53598
100,0.6901107,-14.2491665,-0.33792454,277.5539
