fitness,g0,g1
0.3145598,-0.968318,-0.1929939
0.3095655,0.017153779,-0.4067483
0.31120607,-0.2746673,-0.5246682
0.30852842,0.110070586,-0.12935612
0.31341454,-0.82150936,-0.5051239
0.3139161,-0.6379939,-0.3102144
0.3087636,0.08839667,-0.15904768
0.29185408,-0.39255214,0.6136166
0.29214427,-0.5074037,0.9519794
0.30935487,0.050636157,-0.5241217
0.30856296,0.16401112,-0.63337845
0.38929346,0.5701771,0.8406725
0.3129735,0.57653725,0.07882301
0.31023407,0.09191334,0.5577266
0.3116798,0.3464813,0.4737878
0.30854535,0.15822004,-0.5795751
0.3101712,0.04969853,0.22158778
0.31130704,-0.25112787,-0.43598267
0.30979732,-0.018292723,-0.677011
0.31535393,-0.95014924,-0.3042665
0.3125526,0.4097588,0.1817074
0.38890332,0.1697823,0.11664421
0.31370372,-0.63598466,-0.21157938
0.31432536,-0.74040025,-0.23024833
0.3104689,-0.10832146,-0.42001736
0.28732625,0.7083424,-0.31841978
0.31471387,-0.7763451,-0.26280773
0.29043123,-0.60096693,0.5414979
0.30959848,0.010396481,-0.1758824
0.31476,-0.97757477,-0.3868969
0.31040817,-0.15551224,-0.7817706
0.31366718,-0.89494354,-0.09801336
0.3144134,0.8253313,0.36014557
0.28874096,-0.4802908,0.25741637
0.28901637,0.44927606,-0.1791053
0.3148663,-0.8151154,-0.2571685
0.31259722,-0.5435034,-0.46364364
0.31245503,-0.56845677,-0.5206603
0.28720173,-0.68503743,0.20206062
0.31456712,0.74983793,0.25462294
0.3129741,-0.57666904,-0.07392212
0.31374124,0.97024435,0.06717052
0.31015792,0.106274724,0.8829548
0.3124325,0.77842456,0.722037
0.31010523,-0.095207885,-0.9054995
0.3115844,0.40222847,0.5850763
0.30868882,0.09335919,-0.18034506
0.38908887,-0.6425102,-0.33102092
0.31029785,-0.09903229,-0.52897227
0.38858315,0.2396003,-0.7220512
0.38950625,0.6012903,0.08495612
0.31041336,0.083075374,0.008457951
0.3135746,0.7046728,0.4053314
0.3120514,-0.349669,-0.37064078
0.3129947,0.831859,0.5854495
0.31111166,-0.208948,-0.41117072
0.31338295,-0.7288513,-0.11160221
0.31044433,-0.20384021,-0.98183274
0.31354612,-0.81218815,-0.09510212
0.38853636,0.3723943,-0.59201694
0.38866273,-2.1082613E-4,0.0902337
0.28989992,-0.37844422,0.13123292
0.31319213,0.54208344,0.19435021
0.38959128,-0.8062775,-0.88837385
0.31110036,-0.17850411,-0.009603662
0.29033613,0.5399596,-0.47911644
0.31171435,0.25653428,0.18559335
0.31219408,-0.44952708,-0.46463716
0.3109222,-0.2859434,-0.7558716
0.31178525,-0.2558584,-0.28180325
0.3121118,0.6802246,0.7760618
0.31239873,-0.36397314,-0.21099007
0.31214875,-0.6813104,-0.7325034
0.31061837,-0.13559705,-0.44142246
0.2915829,0.34833845,-0.489307
0.30793706,-0.15512344,0.12381172
0.30931872,-0.044786163,0.37074348
0.31358895,-0.92341566,-0.5350064
0.30960858,-0.01341716,0.4969926
0.31289732,0.7142296,0.53820986
0.31198442,0.42186925,0.48422298
0.31243193,-0.38946483,-0.17568241
0.3137376,0.9653896,0.095136315
0.29199553,-0.4988203,0.8697022
0.31172478,0.24558042,0.27732274
0.38882592,0.11311379,0.14044443
0.315452,0.97322065,0.24917671
0.31359357,-0.73705333,-0.15871191
0.3108922,-0.14776053,-0.11624878
0.38875785,0.06686999,0.1195904
0.38931218,-0.46169057,-0.05007635
0.389098,-0.30501732,-0.1381698
0.313308,-0.69652253,-0.07194364
0.31122988,0.4125486,0.85012776
0.2909186,0.5723173,-0.5910685
0.29118702,0.7203105,-0.8473558
0.31443912,0.75019264,0.3128782
0.38726813,0.9596541,-0.08851671
0.38938507,-0.83960277,-0.47539946
0.31512028,0.88139904,0.2912809
