Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.48410594,-9.036429,-0.740517,332.72995
2,0.48410594,-17.264673,-0.84417695,703.8851
3,0.48410594,-8.78482,-0.39421722,180.32399
4,0.48410594,-22.322659,-0.82212096,901.32104
5,0.48410594,-5.459411,-0.3496333,109.43738
6,0.48410594,-9.180561,-0.39967602,222.83405
7,0.48410594,-6.4877076,-0.433433,204.07042
8,0.48410594,-24.414482,-0.6454495,777.6682
9,0.48410594,-34.01424,-0.66657424,1351.3478
10,0.48410594,-10.4117985,-0.24206337,159.94388
11,0.5073491,-12.337312,-0.48214322,331.23886
12,0.5073491,-16.216827,-0.386472,342.7955
13,0.5073491,-5.129172,-0.22795315,93.27884
14,0.52165675,-6.4990993,-0.18593705,84.79891
15,0.5221584,-13.776726,-0.23461403,226.97984
16,0.5221584,-12.481952,-0.37297046,318.07297
17,0.5221584,-12.238608,-0.32135347,251.65018
18,0.5221584,-13.332283,-0.82467574,691.2708
19,0.5221584,-13.474383,-0.64138407,423.61508
20,0.5221584,-18.433334,-0.52476996,470.9922
21,0.5197086,-13.721062,-0.4780869,427.1387
22,0.5197086,-13.721062,-0.45742947,440.54358
23,0.5197086,-30.970745,-0.60499454,1186.7263
24,0.5197086,-21.62893,-0.9522236,1309.4133
25,0.5197086,-23.101887,-0.7089665,753.01874
26,0.5197086,-18.870562,-0.4579021,480.49692
27,0.5197086,-18.711586,-0.3397903,482.97974
28,0.5197086,-16.471056,-0.31881323,360.52936
29,0.5197086,-21.072762,-0.6642328,773.745
30,0.5197086,-17.855038,-0.6676387,593.343
31,0.5299067,-13.687792,-0.36449838,282.63538
32,0.5299067,-18.39261,-0.6226123,710.9902
33,0.5299067,-19.473928,-0.5856512,761.99963
34,0.5299067,-12.112724,-0.6161909,477.89478
35,0.5299067,-10.513485,-0.4050222,302.42517
36,0.5299067,-16.937075,-0.69551444,696.69214
37,0.5299067,-16.937075,-0.5073706,544.5766
38,0.5299067,-10.438637,-0.34108084,273.54694
39,0.5299067,-8.632328,-0.43729404,297.48544
40,0.5299067,-8.632328,-0.27349553,153.30408
41,0.530152,-18.956148,-0.47524312,545.86383
42,0.530152,-9.66024,-0.36669913,237.44188
43,0.530152,-41.26205,-1.0536629,2096.9238
44,0.530152,-4.256585,-0.12523928,48.3856
45,0.530152,-21.862041,-0.73630697,1097.0334
46,0.530152,-17.998137,-0.657478,629.10406
47,0.58542734,-12.337617,-0.422873,346.38223
48,0.58542734,-35.841267,-0.7048566,1694.6495
49,0.58542734,-10.332641,-0.48542237,367.6027
50,0.58542734,-9.435675,-0.35338578,227.74983
51,0.58506656,-15.852605,-0.31805345,324.04807
52,0.58506656,-11.456582,-0.2596127,279.8331
53,0.58506656,-15.550446,-0.33731267,497.96097
54,0.58506656,-20.611534,-0.5224409,647.4113
55,0.58506656,-20.254833,-0.53638667,623.0717
56,0.58506656,-9.081616,-0.21965005,147.1256
57,0.58506656,-10.076971,-0.19831139,156.56776
58,0.58506656,-2.1325562,-0.06808159,31.173832
59,0.58506656,-6.1992164,-0.18125868,81.07108
60,0.58506656,-38.085426,-0.93349165,1885.9141
61,0.58615863,-8.9866905,-0.33381316,182.94504
62,0.58615863,-14.126996,-0.3778456,421.91287
63,0.60031915,-20.35543,-0.63267535,703.07336
64,0.60031915,-14.125383,-0.49912798,449.34985
65,0.60031915,-12.4213,-0.27282187,209.59427
66,0.60031915,-7.0302467,-0.19945697,110.740685
67,0.60031915,-8.155032,-0.21701221,106.8544
68,0.60031915,-35.361115,-0.9363653,1912.8104
69,0.60031915,-10.943411,-0.50336635,372.2508
70,0.60031915,-52.33807,-0.80465543,2844.29
71,0.60213995,-4.248646,-0.24802732,87.222015
72,0.60213995,-6.912027,-0.10662681,86.283775
73,0.60213995,-20.272758,-0.32955873,471.44287
74,0.60213995,-14.314568,-0.4180337,404.05112
75,0.60213995,-10.7502165,-0.37592316,387.47772
76,0.60213995,-7.768311,-0.20447989,134.87907
77,0.60213995,-12.9717455,-0.4575168,427.47458
78,0.60213995,-17.176458,-0.31827345,413.06104
79,0.60213995,-25.044256,-0.69668233,1375.4021
80,0.60213995,-8.93308,-0.30625018,228.01747
81,0.60597295,-12.563934,-0.49723166,396.58408
82,0.67466646,-15.024777,-0.59879994,507.44168
83,0.67466646,-9.294712,-0.58287895,382.7793
84,0.67466646,-9.864753,-0.26210353,192.50212
85,0.67466646,-14.151992,-0.29486242,343.39575
86,0.67466646,-15.231529,-0.44437087,560.6898
87,0.67466646,-17.614809,-0.7809171,916.73865
88,0.67466646,-15.199083,-0.45651805,453.31754
89,0.67466646,-15.199083,-0.37873918,394.5587
90,0.67466646,-6.4053264,-0.075689875,83.86455
91,0.67003393,-20.134117,-0.23034225,478.0866
92,0.67003393,-6.472898,-0.105982974,118.294785
93,0.67003393,-18.366724,-0.23829658,369.8222
94,0.67003393,-19.160074,-0.4116737,590.4298
95,0.67003393,-13.581129,-0.49939647,512.3153
96,0.67003393,-10.0583315,-0.18586749,224.49666
97,0.67003393,-11.393224,-0.2636183,226.27371
98,0.67003393,-3.9014597,-0.12744983,69.39122
99,0.67003393,-14.328052,-0.3228467,293.40396
100,0.67003393,-11.480847,-0.2860004,177.84792
