neur0,input0,neur1,input1
0.4594729,0.0,0.4982289,0.0
0.42239904,0.08367887,0.52539885,0.0
0.38862664,0.08367887,0.54856753,0.0
0.3581914,0.08367887,0.5683437,0.0
0.3310054,0.08367887,0.58525455,0.0
0.3068967,0.08367887,0.5997503,0.0
0.28564247,0.08367887,0.61221206,0.0
0.26699448,0.08367887,0.6229605,0.0
0.25069726,0.08367887,0.6322646,0.0
0.23650058,0.08367887,0.6403498,0.0
0.22416714,0.08367887,0.64740473,0.0
0.21347706,0.08367887,0.6535875,0.0
0.20422985,0.08367887,0.6590309,0.0
0.19624504,0.08367887,0.6638464,0.0
0.1893616,0.08367887,0.6681279,0.0
0.18343689,0.08367887,0.6719545,0.0
0.17834523,0.08367887,0.6753931,0.0
0.17397639,0.08367887,0.67850035,0.0
0.17023394,0.08367887,0.6813241,0.0
0.16703382,0.08367887,0.68390524,0.0
0.16430289,0.08367887,0.68627816,0.0
0.16197756,0.08367887,0.68847257,0.0
0.16000271,0.08367887,0.6905134,0.0
0.15833052,0.08367887,0.6924221,0.0
0.15691964,0.08367887,0.694217,0.0
0.15573427,0.08367887,0.69591373,0.0
0.15474345,0.08367887,0.6975256,0.0
0.15392041,0.08367887,0.69906414,0.0
0.15324207,0.08367887,0.7005391,0.0
0.15268843,0.08367887,0.70195884,0.0
0.15224229,0.08367887,0.7033306,0.0
0.15188874,0.08367887,0.7046605,0.0
0.15161496,0.08367887,0.7059538,0.0
0.1514099,0.08367887,0.7072151,0.0
0.15126392,0.08367887,0.70844823,0.0
0.15116885,0.08367887,0.7096566,0.0
0.15111753,0.08367887,0.7108431,0.0
0.15110385,0.08367887,0.7120101,0.0
0.1511225,0.08367887,0.7131597,0.0
0.15116893,0.08367887,0.71429384,0.0
0.15123917,0.08367887,0.715414,0.0
0.15132986,0.08367887,0.71652156,0.0
0.15143804,0.08367887,0.71761763,0.0
0.1515612,0.08367887,0.7187032,0.0
0.15169716,0.08367887,0.7197792,0.0
0.15184402,0.08367887,0.7208463,0.0
0.15200019,0.08367887,0.7219052,0.0
0.15216424,0.08367887,0.7229563,0.0
0.15233497,0.08367887,0.72400016,0.0
0.15251136,0.08367887,0.7250372,0.0
0.15269251,0.08367887,0.7260677,0.0
0.15287761,0.08367887,0.7270921,0.0
0.15306602,0.08367887,0.7281105,0.0
0.15325718,0.08367887,0.7291232,0.0
0.15345055,0.08367887,0.73013026,0.0
0.15364572,0.08367887,0.7311321,0.0
0.15384233,0.08367887,0.7321286,0.0
0.15404005,0.08367887,0.7331201,0.0
0.15423863,0.08367887,0.7341065,0.0
0.1544378,0.08367887,0.73508805,0.0
0.15463735,0.08367887,0.7360648,0.0
0.15483713,0.08367887,0.73703676,0.0
0.15503697,0.08367887,0.7380041,0.0
0.15523677,0.08367887,0.73896676,0.0
0.15543637,0.08367887,0.7399248,0.0
0.15563568,0.08367887,0.74087834,0.0
0.15583465,0.08367887,0.74182737,0.0
0.15603319,0.08367887,0.7427719,0.0
0.15623122,0.08367887,0.743712,0.0
0.15642871,0.08367887,0.7446476,0.0
0.1566256,0.08367887,0.7455789,0.0
0.15682186,0.08367887,0.7465058,0.0
0.15701747,0.08367887,0.7474283,0.0
0.15721236,0.08367887,0.74834645,0.0
0.15740654,0.08367887,0.7492603,0.0
0.15759997,0.08367887,0.7501699,0.0
0.15779264,0.08367887,0.7510751,0.0
0.15798454,0.08367887,0.7519761,0.0
0.15817563,0.08367887,0.75287277,0.0
0.15836594,0.08367887,0.7537652,0.0
0.15855543,0.08367887,0.7546534,0.0
0.1587441,0.08367887,0.75553733,0.0
0.15893194,0.08367887,0.75641704,0.0
0.15911894,0.08367887,0.75729257,0.0
0.15930511,0.08367887,0.75816387,0.0
0.15949044,0.08367887,0.759031,0.0
0.15967491,0.08367887,0.75989395,0.0
0.15985857,0.08367887,0.76075274,0.0
0.16004135,0.08367887,0.76160735,0.0
0.1602233,0.08367887,0.7624578,0.0
0.16040441,0.08367887,0.7633041,0.0
0.16058466,0.08367887,0.76414627,0.0
0.16076405,0.08367887,0.76498437,0.0
0.16094258,0.08367887,0.76581836,0.0
0.16112028,0.08367887,0.76664823,0.0
0.16129713,0.08367887,0.767474,0.0
0.16147313,0.08367887,0.7682957,0.0
0.16164827,0.08367887,0.76911336,0.0
0.16182259,0.08367887,0.7699269,0.0
0.16199605,0.08367887,0.77073646,0.0
0.16216867,0.08367887,0.77154195,0.0
0.16234045,0.08367887,0.77234346,0.0
0.16251138,0.08367887,0.77314097,0.0
0.16268148,0.08367887,0.7739345,0.0
0.16285074,0.08367887,0.774724,0.0
0.16301917,0.08367887,0.77550954,0.0
0.16318677,0.08367887,0.7762911,0.0
0.16335355,0.08367887,0.77706873,0.0
0.16351949,0.08367887,0.7778424,0.0
0.1636846,0.08367887,0.77861214,0.0
0.16384889,0.08367887,0.779378,0.0
0.16401236,0.08367887,0.7801399,0.0
0.164175,0.08367887,0.780898,0.0
0.16433685,0.08367887,0.78165215,0.0
0.16449787,0.08367887,0.78240246,0.0
0.16465808,0.08367887,0.7831489,0.0
0.16481747,0.08367887,0.78389156,0.0
0.16497606,0.08367887,0.78463036,0.0
0.16513383,0.08367887,0.7853653,0.0
0.16529083,0.08367887,0.78609645,0.0
0.16544701,0.08367887,0.78682387,0.0
0.16560239,0.08367887,0.78754747,0.0
0.16575697,0.08367887,0.7882673,0.0
0.16591077,0.08367887,0.78898346,0.0
0.16606379,0.08367887,0.7896958,0.0
0.166216,0.08367887,0.79040444,0.0
0.16636744,0.08367887,0.7911094,0.0
0.16651809,0.08367887,0.7918107,0.0
0.16666795,0.08367887,0.79250824,0.0
0.16681705,0.08367887,0.7932021,0.0
0.16696538,0.08367887,0.7938923,0.0
0.16711293,0.08367887,0.79457897,0.0
0.16725972,0.08367887,0.7952619,0.0
0.16740572,0.08367887,0.7959413,0.0
0.16755098,0.08367887,0.79661703,0.0
0.16769548,0.08367887,0.7972892,0.0
0.1678392,0.08367887,0.79795784,0.0
0.16798219,0.08367887,0.79862285,0.0
0.16812442,0.08367887,0.7992844,0.0
0.1682659,0.08367887,0.7999423,0.0
