fitness,g0,g1,g2,g3,g4,g5
0.5172909,0.4537714,-0.34398186,-0.58878917,0.33576715,0.15433389,-0.11890805
-8.860564E-4,-0.4105515,0.012030229,-0.8073282,0.43637154,-0.33805436,0.7158952
-0.6730454,-0.8516698,-0.71203905,0.394243,-0.19452,-0.606841,-0.28130233
-0.3870617,0.4533095,-0.97783,-0.11625963,-0.01426205,-0.65732944,-0.68525106
0.14169642,0.54612064,-0.26516402,0.29211098,0.60532546,0.35435817,0.30065033
-0.2414992,0.1230399,0.5759426,-0.049484037,0.02867109,-0.4970567,0.583718
-4.216359,-0.87890285,0.376172,-0.16294433,-0.963673,0.13593407,0.6875543
0.5011506,-0.1189501,0.6672293,-0.80584913,0.49858654,0.40560576,-0.58959925
0.111058846,-0.6142146,-0.15896022,-0.9068613,0.24844958,0.8344457,0.5179612
0.36818996,-0.24004005,-0.40395957,-0.27224597,0.5441046,0.025567854,0.08583841
0.42887104,-0.21352029,0.23747794,-0.657646,0.46284676,0.5316545,-0.5897827
-1.3674045,0.23499288,0.13788146,0.4652741,-0.7570171,0.042374484,-0.10571814
0.0922617,-0.3097973,0.04699137,0.8093984,0.33752173,0.0211749,-0.2535302
0.48812896,0.6856808,-0.18832394,-0.822458,0.42407647,0.3246811,-0.4116461
0.5908191,-0.43900704,0.031517625,-0.93312114,0.8576074,-0.161504,0.3077354
0.08802435,0.48475486,0.6256616,0.5493587,0.34419808,0.42674187,0.7036509
0.13837953,-0.53879255,0.16502056,-0.70101047,0.22854872,0.4718689,0.45974895
-0.22077651,0.42287636,0.8330541,-0.29257256,-0.39254677,0.2924609,-0.2408579
0.13906565,0.7935716,0.9058502,-0.03733468,0.4482682,0.31199864,0.31746772
0.079943866,0.15515518,-0.5089332,0.3711009,-0.015766624,0.44006753,-0.52649015
-0.42365575,-0.7850076,-0.67557615,-0.85690224,0.52311516,-0.7158016,-0.76889896
0.12195693,0.7071181,-0.23569833,0.1714896,0.2933179,0.6357828,-0.043159004
0.5879741,0.030791271,-0.6601198,-0.83250934,0.30681944,0.0659634,0.034077525
-8.440863,-0.24267012,-0.588291,0.052477542,-0.56449085,0.4964961,0.62064445
0.1709882,-0.0053049657,0.058411907,0.15937892,-0.21000026,0.46781898,0.58880585
0.17554438,0.7880162,0.0021190643,0.63643646,0.33106548,-0.38519683,-0.0643175
0.2674324,-0.0027982611,-0.72104114,-0.4251238,0.6813049,-0.0048197964,0.33371496
0.26389447,0.42211366,0.45756906,-0.36908677,0.9869684,0.4469619,0.015393968
0.35988212,-0.21628916,-0.04958763,-0.21697028,0.011479709,0.090897046,-0.17179255
-9.481629,-0.65361977,0.0819356,0.12705581,0.7873836,0.56926763,-0.7054692
0.22731775,-0.39591384,-0.23306549,0.19945003,0.36164832,-0.3073764,-0.05216427
0.055441055,0.1899701,0.05993879,0.38477385,0.14494419,-0.44593763,0.36212683
0.1347939,0.45448637,0.540943,-0.50459003,0.08915162,0.5238996,-0.22615564
-7.7482476,0.2328381,0.6062307,-0.006359604,0.6449504,0.37294373,-0.26116294
0.12503861,-0.120407,-0.3832142,-0.16764644,0.5327518,0.26492992,0.70984024
0.51510674,0.5695896,0.9803951,-0.6837681,0.8956993,0.20647368,-0.1019758
-0.6172459,-0.02508734,-0.32286322,0.23730554,0.9288035,-0.6423176,-0.49531132
0.14506178,-0.19637728,-0.15327728,0.61914206,0.35672495,-0.35655946,-0.2823095
-13.154891,0.02785647,-0.8044958,0.5471204,-0.9946596,0.5899403,0.5977194
0.17563893,-0.23899645,0.49433544,0.29403186,0.8857205,-0.2098465,0.008790539
0.3065412,0.015262109,0.6286694,0.03843689,0.16800095,-0.14878237,0.042419296
0.14751226,0.0052850903,0.1633573,-0.2017754,0.67264634,0.6585713,0.44310418
-0.24424893,-0.032492097,-0.599157,0.13118353,0.1930845,-0.9956015,-0.2512176
0.5197177,-0.06845379,-0.88163567,-0.8471576,0.9665386,-0.10077226,0.21628611
0.44641995,-0.9755149,-0.29901665,-0.27195996,0.9912246,-0.11334599,0.09828059
-0.4267355,0.044328608,0.5544526,0.85916823,-0.039227486,-0.11234723,-0.45055383
-0.3482117,-0.7115841,-0.37804884,-0.063342206,0.9375365,-0.8537545,-0.32658398
0.30296332,-0.05609978,0.25890812,0.29531217,0.1820268,-0.24168566,0.21590321
-1.1621069,-0.02508182,-0.5721541,0.30938363,-0.4952643,0.140119,-0.8988787
0.44749564,0.11167681,0.21623608,-0.39644042,0.13078967,-0.0046283687,0.2605491
-1.2620358,0.32027262,0.32383266,0.054242834,-0.6631384,0.04324138,-0.130021
0.4805876,-0.06530673,0.42415726,-0.51548815,0.18687929,0.07087269,0.020152956
0.15557444,-0.0734584,0.19627407,0.10043982,0.7429212,0.37573484,0.2724881
-0.43600178,-0.0017762786,-0.2632162,-0.211969,-0.29479694,-0.6297445,-0.45289108
-0.04259716,0.21310386,-0.18992335,0.91089314,0.92667925,0.7935567,-0.025760455
-0.1657855,0.3753211,-0.39339116,-0.5581082,0.028428076,-0.041761484,-0.19737458
0.57510173,0.049435183,0.9049804,-0.82320184,0.5813643,0.10594688,-0.04940786
0.20435247,-0.26967803,-0.9542713,-0.8074643,0.15315601,0.3607132,-0.18114766
-0.7678554,-0.7666892,-0.99384475,-0.9044136,-0.5625074,-0.7625449,-0.91747713
0.19919012,-0.414176,0.36228028,0.32457185,-0.12488348,0.32469738,-0.08344519
