neur0,input0,neur1,input1
0.45911545,0.0,0.49179012,0.0
0.41146046,0.039989334,0.5158482,0.0
0.3687349,0.07991469,0.5361881,0.0
0.3311073,0.119712204,0.553413,0.0
0.29844877,0.15931821,0.56804955,0.0
0.27043986,0.19866931,0.580548,0.0
0.24665733,0.23770262,0.5912873,0.0
0.22663702,0.27635565,0.60058373,0.0
0.20991509,0.31456655,0.60869926,0.0
0.19605257,0.3522742,0.61585057,0.0
0.18464816,0.38941833,0.622216,0.0
0.17534342,0.42593947,0.6279425,0.0
0.16782336,0.46177918,0.63315105,0.0
0.16181415,0.4968801,0.63794106,0.0
0.15707974,0.5311862,0.6423942,0.0
0.15341777,0.5646424,0.6465776,0.0
0.15065546,0.59719545,0.6505464,0.0
0.14864576,0.628793,0.6543455,0.0
0.14726374,0.65938467,0.65801185,0.0
0.14640339,0.68892145,0.66157526,0.0
0.14597487,0.7173561,0.6650599,0.0
0.14590207,0.7446431,0.6684854,0.0
0.14612041,0.7707389,0.6718672,0.0
0.14657526,0.7956016,0.6752175,0.0
0.14722022,0.8191916,0.6785459,0.0
0.14801592,0.84147096,0.6818596,0.0
0.14892891,0.8624042,0.6851639,0.0
0.14993075,0.88195777,0.68846256,0.0
0.15099716,0.90010047,0.69175804,0.0
0.15210748,0.9168031,0.6950517,0.0
0.15324402,0.9320391,0.698344,0.0
0.15439163,0.94578403,0.70163465,0.0
0.15553732,0.95801586,0.70492285,0.0
0.15666993,0.9687151,0.70820713,0.0
0.15777984,0.9778646,0.7114858,0.0
0.15885876,0.98544973,0.71475685,0.0
0.1598995,0.99145836,0.7180179,0.0
0.16089588,0.99588084,0.7212665,0.0
0.16184253,0.99871016,0.7245001,0.0
0.16273479,0.9999417,0.72771597,0.0
0.16356866,0.9995736,0.7309114,0.0
0.16434066,0.9976064,0.7340835,0.0
0.1650478,0.99404323,0.7372296,0.0
0.1656875,0.98888975,0.74034697,0.0
0.16625759,0.9821543,0.74343294,0.0
0.16675623,0.9738476,0.7464849,0.0
0.16718188,0.963983,0.7495003,0.0
0.1675333,0.9525762,0.75247663,0.0
0.16780947,0.93964547,0.75541157,0.0
0.16800967,0.92521155,0.7583028,0.0
0.16813335,0.9092974,0.76114833,0.0
0.1681802,0.8919287,0.763946,0.0
0.16815007,0.873133,0.7666939,0.0
0.16804306,0.85294056,0.7693902,0.0
0.1678594,0.8313835,0.77203333,0.0
0.16759951,0.80849636,0.77462167,0.0
0.16726395,0.78431594,0.7771538,0.0
0.16685349,0.75888073,0.7796284,0.0
0.166369,0.7322315,0.78204423,0.0
0.16581151,0.70441085,0.78440017,0.0
0.16518219,0.67546326,0.78669536,0.0
0.16448237,0.645435,0.7889288,0.0
0.16371349,0.6143742,0.79109985,0.0
0.1628771,0.58233064,0.7932077,0.0
0.16197494,0.5493555,0.79525197,0.0
0.16100879,0.51550144,0.79723215,0.0
0.1599806,0.48082274,0.79914784,0.0
0.15889236,0.4453748,0.8009987,0.0
0.15774629,0.40921414,0.8027846,0.0
0.15654455,0.37239906,0.8045055,0.0
0.15528953,0.3349882,0.8061612,0.0
0.15398365,0.29704145,0.80775195,0.0
0.15262942,0.25861946,0.80927765,0.0
0.15122943,0.21978377,0.81073856,0.0
0.14978634,0.18059623,0.812135,0.0
