neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996302,0.13876842,0.57421243,0.0
0.9987732,0.13876842,0.60465646,0.0
0.99632746,0.13876842,0.6313213,0.0
0.99001586,0.13876842,0.6545548,0.0
0.975408,0.13876842,0.6744026,0.0
0.9459969,0.13876842,0.6905627,0.0
0.8976575,0.13876842,0.7025743,0.0
0.8385929,0.13876842,0.7104465,0.0
0.78934556,0.13876842,0.7151686,0.0
0.7618332,0.13876842,0.7181573,0.0
0.7509756,0.13876842,0.72040474,0.0
0.74809164,0.13876842,0.72237146,0.0
0.7482689,0.13876842,0.72423214,0.0
0.74952304,0.13876842,0.7260483,0.0
0.7511418,0.13876842,0.72784096,0.0
0.7528785,0.13876842,0.7296175,0.0
0.75464803,0.13876842,0.7313804,0.0
0.756421,0.13876842,0.7331306,0.0
0.7581872,0.13876842,0.73486835,0.0
0.75994277,0.13876842,0.73659384,0.0
0.7616867,0.13876842,0.7383072,0.0
0.76341844,0.13876842,0.7400083,0.0
0.7651379,0.13876842,0.7416973,0.0
0.766845,0.13876842,0.7433743,0.0
0.7685397,0.13876842,0.7450391,0.0
0.77022207,0.13876842,0.7466919,0.0
0.77189225,0.13876842,0.7483327,0.0
0.7735501,0.13876842,0.7499615,0.0
0.7751956,0.13876842,0.7515784,0.0
0.7768291,0.13876842,0.7531833,0.0
0.77845037,0.13876842,0.7547764,0.0
0.7800595,0.13876842,0.75635767,0.0
0.7716463,-0.13876842,0.75747234,0.0
0.7686069,-0.13876842,0.7583918,0.0
0.76787674,-0.13876842,0.7592315,0.0
0.7680757,-0.13876842,0.76003784,0.0
0.7686381,-0.13876842,0.76082885,0.0
0.76934034,-0.13876842,0.76161176,0.0
0.77009517,-0.13876842,0.7623893,0.0
0.77086836,-0.13876842,0.7631625,0.0
0.7716465,-0.13876842,0.7639319,0.0
0.7724244,-0.13876842,0.76469755,0.0
0.7732,-0.13876842,0.76545954,0.0
0.7739725,-0.13876842,0.76621795,0.0
0.77474153,-0.13876842,0.7669728,0.0
0.77550703,-0.13876842,0.7677241,0.0
0.77626896,-0.13876842,0.76847184,0.0
0.77702725,-0.13876842,0.769216,0.0
0.77778196,-0.13876842,0.7699567,0.0
0.7785331,-0.13876842,0.77069384,0.0
0.77928066,-0.13876842,0.77142745,0.0
0.7800245,-0.13876842,0.77215755,0.0
0.7807649,-0.13876842,0.7728842,0.0
0.7815017,-0.13876842,0.77360725,0.0
0.78223485,-0.13876842,0.7743269,0.0
0.7829646,-0.13876842,0.7750431,0.0
0.7836907,-0.13876842,0.77575576,0.0
0.78441334,-0.13876842,0.776465,0.0
0.78513235,-0.13876842,0.7771708,0.0
0.78584796,-0.13876842,0.7778731,0.0
0.78656,-0.13876842,0.778572,0.0
0.7872685,-0.13876842,0.77926755,0.0
0.78797364,-0.13876842,0.7799596,0.0
0.78867525,-0.13876842,0.78064835,0.0
0.7893734,-0.13876842,0.7813337,0.0
0.79936236,0.13876842,0.7824004,0.0
0.80446863,0.13876842,0.783626,0.0
0.80753917,0.13876842,0.78491765,0.0
0.8096978,0.13876842,0.7862342,0.0
0.811431,0.13876842,0.7875569,0.0
0.8129587,0.13876842,0.78887683,0.0
0.8143832,0.13876842,0.7901899,0.0
0.81575257,0.13876842,0.79149425,0.0
0.8170898,0.13876842,0.792789,0.0
0.8184059,0.13876842,0.79407364,0.0
0.81970626,0.13876842,0.7953481,0.0
0.82099354,0.13876842,0.79661226,0.0
0.82226896,0.13876842,0.7978662,0.0
0.8235333,0.13876842,0.7991099,0.0
0.8247869,0.13876842,0.80034345,0.0
0.82602996,0.13876842,0.80156684,0.0
0.8272627,0.13876842,0.8027802,0.0
0.82848513,0.13876842,0.80398357,0.0
0.82969743,0.13876842,0.805177,0.0
0.83089954,0.13876842,0.8063605,0.0
0.8320916,0.13876842,0.8075342,0.0
0.83327377,0.13876842,0.8086982,0.0
0.83444595,0.13876842,0.8098525,0.0
0.8356083,0.13876842,0.8109971,0.0
0.8367609,0.13876842,0.81213224,0.0
0.83790374,0.13876842,0.8132578,0.0
