Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.46419466,0.42858535,0.45408154,0.0024445106
2,0.45631933,0.30568913,0.34163052,0.21063952
3,0.4556514,0.3208313,0.3274813,0.0504697
4,0.3249632,0.28919172,0.29632312,0.008333629
5,0.44720706,0.29226238,0.4271634,0.21589488
6,0.44681966,0.27444744,0.29668853,0.26871005
7,0.37372258,0.27604064,0.3576042,0.05862323
8,0.36808243,0.27879938,0.33814836,0.01808328
9,0.3531642,0.26675034,0.29059857,0.030806374
10,0.35066402,0.26700974,0.3364576,0.03340472
