Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.54200083,-19.364607,-0.9006791,861.16754
2,0.54200083,-8.4720125,-0.5604093,247.54988
3,0.54200083,-18.063986,-0.45487693,395.79218
4,0.54200083,-25.308619,-0.7968493,1204.0436
5,0.57874185,-11.02744,-0.6328829,361.59875
6,0.57874185,-25.189814,-0.7199475,913.5739
7,0.57874185,-22.098625,-0.38888878,553.14307
8,0.57874185,-19.115997,-0.73005795,628.4361
9,0.57874185,-16.925222,-0.6288378,699.72253
10,0.57874185,-10.541481,-0.35953888,187.9262
11,0.5913737,-9.28926,-0.44825852,244.62001
12,0.5913737,-18.325098,-0.49304527,540.29285
13,0.5913737,-24.649302,-0.7125996,963.85974
14,0.5913737,-11.984247,-0.27768117,222.70563
15,0.5913737,-10.760258,-0.1339565,148.61479
16,0.5913737,-18.427961,-0.3089288,374.61005
17,0.5913737,-14.111856,-0.21111238,250.17522
18,0.5913737,-6.572228,-0.085040286,78.193085
19,0.5913737,-11.575403,-0.49022305,481.27756
20,0.5913737,-9.883176,-0.26054364,196.27432
21,0.5855639,-16.638098,-0.33437034,460.37372
22,0.5855639,-13.224614,-0.4328891,449.11325
23,0.5855639,-22.78249,-0.74881905,839.9887
24,0.5855639,-14.432625,-0.4624502,324.18262
25,0.5855639,-18.20873,-0.3304636,412.0011
26,0.5855639,-8.645538,-0.15866894,103.55807
27,0.5855639,-5.2456408,-0.13024257,59.95773
28,0.5855639,-4.349633,-0.14551547,67.7542
29,0.5855639,-10.4507265,-0.5175663,365.70993
30,0.5855639,-29.003267,-0.7665076,1162.8275
31,0.5699596,-29.003267,-0.52786994,944.94354
32,0.5699596,-16.711357,-0.4365999,402.6246
33,0.5699596,-7.8211403,-0.30921164,149.56212
34,0.5699596,-19.029709,-0.73645014,815.44977
35,0.5699596,-15.092572,-0.7074456,624.09344
36,0.5699596,-10.305759,-0.4666893,307.62943
37,0.5699596,-20.96227,-0.84727204,1323.6136
38,0.5699596,-20.96227,-0.5476526,660.85583
39,0.5699596,-11.749664,-0.3249062,251.90714
40,0.5699596,-9.644648,-0.26475167,197.002
41,0.5699596,-7.5759487,-0.24370526,139.56981
42,0.5699596,-9.12721,-0.28356788,188.32034
43,0.56680727,-6.330507,-0.29858318,129.15326
44,0.56680727,-24.272032,-0.4078643,697.5694
45,0.56680727,-17.556503,-0.34062636,374.3843
46,0.56680727,-8.154277,-0.25041416,150.4342
47,0.56680727,-15.260002,-0.50474674,426.62192
48,0.56680727,-15.125669,-0.40377906,301.9336
49,0.56680727,-11.408255,-0.34333688,257.02237
50,0.56680727,-13.479332,-0.55441654,388.14175
51,0.56680727,-18.276436,-0.55717283,508.86508
52,0.63632953,-12.633795,-0.4280172,296.25412
53,0.63632953,-7.376696,-0.19300091,84.26474
54,0.63632953,-17.776407,-0.4555897,423.72925
55,0.63632953,-1.5898387,-0.04943476,23.103168
56,0.63632953,-10.96879,-0.123547904,135.27507
57,0.63632953,-10.3495865,-0.27060238,240.30176
58,0.63632953,-21.400375,-0.6408103,727.6415
59,0.63632953,-29.832853,-0.86072505,1384.4791
60,0.63632953,-17.062346,-0.7324248,734.741
61,0.64524376,-19.352327,-1.2046434,1165.1248
62,0.64524376,-15.313329,-0.34874585,350.5359
63,0.64524376,-17.892344,-0.3279246,368.552
64,0.64524376,-5.998457,-0.21801805,86.64626
65,0.64524376,-6.640069,-0.31319386,155.70395
66,0.64524376,-22.531948,-0.63063323,769.28827
67,0.64524376,-19.033022,-0.45477235,480.33844
68,0.64524376,-36.45999,-0.608214,1413.318
69,0.64524376,-36.45999,-0.6794649,1519.929
70,0.64524376,-36.45999,-0.5040537,1392.145
71,0.63742435,-16.49685,-0.25628358,323.507
72,0.63742435,-2.6222262,-0.119465105,33.575096
73,0.63742435,-7.3575096,-0.2871645,133.87962
74,0.63742435,-9.022896,-0.22700092,154.10345
75,0.63742435,-10.859561,-0.18397236,165.15744
76,0.63742435,-1.7875758,-0.06000922,26.698223
77,0.63742435,-24.016647,-0.5790531,796.5646
78,0.63742435,-24.289139,-0.60321033,851.65436
79,0.63742435,-23.070406,-0.40559518,600.5841
80,0.63742435,-18.415237,-0.37122262,385.198
81,0.6527501,-6.835275,-0.20135662,101.37875
82,0.6527501,-12.21915,-0.32887447,264.8338
83,0.6527501,-24.117136,-0.35895035,649.6837
84,0.6527501,-18.156864,-0.36575708,409.44592
85,0.6527501,-9.50134,-0.30307636,176.29263
86,0.6527501,-20.439701,-0.5294565,573.6415
87,0.6527501,-9.967443,-0.15492432,141.8673
88,0.6527501,-29.767994,-0.47495022,1086.6168
89,0.6527501,-14.345267,-0.3548017,335.96176
90,0.6527501,-3.9345334,-0.11705893,43.537605
91,0.64811134,-5.4044776,-0.11671673,61.880272
92,0.64811134,-19.922083,-0.28449306,422.0673
93,0.64811134,-20.296366,-0.44222814,605.8031
94,0.64811134,-10.803431,-0.26945323,198.13567
95,0.65830827,-6.7725086,-0.2656332,153.08531
96,0.65830827,-7.280927,-0.16606751,113.221436
97,0.65830827,-7.0401983,-0.14789678,80.95316
98,0.65830827,-10.675634,-0.38757762,258.25906
99,0.65830827,-10.401489,-0.3665554,272.64874
100,0.65830827,-11.714246,-0.43000033,256.7283
