Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.47527003,0.4747471,0.47495306,1.6836801E-6
2,0.47524536,0.28843415,0.30805793,0.309496
3,0.29072577,0.28619623,0.28711385,1.2839676E-4
4,0.3394869,0.28627676,0.33159402,0.023981838
5,0.3443732,0.2863551,0.341385,0.0063745114
6,0.3443713,0.26971716,0.2969278,0.043785524
7,0.4123956,0.28997707,0.39770103,0.11810221
8,0.41182292,0.28997707,0.36934718,0.042962518
9,0.40952563,0.36201915,0.3641581,0.0061305296
10,0.40813586,0.3475951,0.35142037,0.0056373244
