fitness,g0,g1
0.33297938,-0.53795063,-0.38864398
0.36467412,-0.4940077,0.0043169865
0.36036867,-0.09563207,0.29365045
0.3660404,-0.6254307,0.14288585
0.35960996,-0.021010714,0.5662664
0.36607695,-0.6211442,0.03257835
0.32774612,-0.08376465,-0.20458606
0.3596227,-0.022652626,0.8273981
0.36866885,-0.84786755,0.06440961
0.36227617,-0.27432838,-0.12903869
0.3703951,0.99389404,0.1219295
0.35956797,-0.017662525,-0.4506725
0.3594327,0.003704071,0.63831764
0.37002265,-0.9698496,0.18405665
0.37032378,-0.9892101,0.10837988
0.360034,-0.06466275,0.35406622
0.36989477,0.9883181,-0.32574663
0.36184826,0.25244322,0.93941844
0.2972283,0.7345336,-0.19042097
0.36871374,-0.9059704,0.9197639
0.36352277,0.40078136,0.2942323
0.36293808,-0.36648908,0.9864187
0.36431152,-0.49745536,0.4119098
0.361964,0.26433334,-0.94188696
0.36803302,0.82793695,0.32456455
0.36718777,0.72874165,-0.18083361
0.36903667,-0.8796467,0.077280454
0.36363587,0.4212196,-0.47181308
0.3680219,0.7915888,0.023172379
0.36362582,-0.39750585,-0.01651442
0.36108813,0.16040815,-0.008972185
0.33557224,-0.88652575,0.5522472
0.36220777,-0.268858,-0.16379929
0.36361554,-0.41213417,0.31107008
0.3673343,-0.73282194,0.06130329
0.36819947,0.8500088,-0.4680038
0.3619173,0.24444857,0.25131738
0.3634031,0.38428253,0.21537791
0.3643722,0.47485366,-0.21210767
0.36596608,0.625222,-0.5164007
0.36466035,-0.50265163,0.20511346
0.3659205,-0.6219972,0.2721012
0.36824295,0.83978647,-0.74374795
0.36373678,-0.40938374,-0.090815425
0.3656978,-0.60157585,-0.2719042
0.37014538,-0.9791622,0.14982459
0.32664907,-0.028589725,0.5291037
0.36437365,-0.47775045,-0.51932484
0.36914048,-0.9193463,-0.7703796
0.36417183,-0.46302545,0.30080763
0.36551526,0.610186,0.9412621
0.3639317,-0.4435839,0.75304127
0.36566406,-0.60346067,-0.59589446
0.3606765,-0.12754472,0.6835023
0.361397,-0.18953966,0.040178765
0.3625702,0.31019166,-0.30238768
0.36271384,-0.3190968,0.2071162
0.3619507,-0.24557535,0.19235474
0.36438715,-0.49856082,-0.35765463
0.3624996,-0.29944298,0.24104786
0.36928996,0.9130933,-0.21191601
0.3365982,-0.9853832,0.23823485
0.36006987,-0.064048596,0.029240148
0.361432,-0.19719118,-0.52470106
0.36611125,0.62796515,0.11642627
0.29755694,0.7619034,0.23606765
0.3703881,0.98815113,0.019397212
0.36462232,-0.50603557,0.30382186
0.3602734,-0.087742954,0.62481844
0.35972732,0.031779904,0.1110176
0.36798432,-0.8171412,-0.31375024
0.36576578,0.59354734,0.05665767
0.3699772,0.98154324,-0.7320579
0.3663804,0.6478755,-0.012168273
0.36443752,-0.47575277,0.10655903
0.36868683,0.85076386,-0.083663225
0.36100522,0.15731707,0.28275293
0.36183232,0.23431139,0.17500651
0.36927763,0.93636316,-0.47935736
0.3680143,-0.79746145,0.13336664
0.3309251,0.35873556,0.6903447
0.36168456,0.22738643,-0.67192733
0.36790052,0.81735057,-0.80293775
0.3319294,0.40685713,-0.08193132
0.3676093,0.7620284,-0.13255669
0.3619294,-0.24116671,0.10328835
0.36019596,-0.076158285,0.06855333
0.32994148,0.25989497,-0.6040653
0.33219394,-0.43282542,-0.014719387
0.36249402,0.30017406,0.51390874
0.36903065,-0.89550966,0.25398412
0.36636195,-0.6541822,0.14915192
0.36186472,-0.2338973,-0.069467075
0.36770314,0.8008405,0.8143237
0.36175996,-0.2376517,-0.8776264
0.36215436,-0.26060453,-0.029113743
0.3329493,0.5156221,0.17802867
0.3701961,-0.98327184,0.14980286
0.36698523,0.71611774,-0.22783275
0.36579382,0.59606636,0.060080457
