neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.9996269,0.08898677,0.57421213,0.0
0.998771,0.17797354,0.6046561,0.0
0.9964054,0.26696032,0.631326,0.0
0.9906,0.35594708,0.6545946,0.0
0.9780322,0.4449339,0.67459077,0.0
0.9540466,0.46469864,0.69118124,0.0
0.9143023,0.37571183,0.70403534,0.0
0.86193,0.2867251,0.7130221,0.0
0.8108619,0.19773829,0.718683,0.0
0.7746841,0.10875149,0.7221115,0.0
0.75440323,0.019764753,0.72429854,0.0
0.7491235,0.06922199,0.72609067,0.0
0.75179,0.15820885,0.72791344,0.0
0.75740147,0.24719559,0.72991127,0.0
0.76414186,0.33618233,0.73212767,0.0
0.77139664,0.42516908,0.73457175,0.0
0.7778892,0.48446333,0.7371892,0.0
0.77893597,0.39547658,0.7397035,0.0
0.77764463,0.30648986,0.7420096,0.0
0.7751976,0.21750298,0.7440672,0.0
0.7720846,0.12851624,0.74586165,0.0
0.7685158,0.039529506,0.747389,0.0
0.76829314,0.049457356,0.74882317,0.0
0.77233905,0.13844398,0.75036883,0.0
0.7781233,0.22743084,0.75209934,0.0
0.78467345,0.3164177,0.7540374,0.0
0.7916233,0.40540433,0.7561869,0.0
0.7988294,0.49439117,0.7585443,0.0
0.80081284,0.41524145,0.76085967,0.0
0.80007213,0.3262546,0.7630141,0.0
0.79791874,0.23726773,0.7649558,0.0
0.79494494,0.14828111,0.7666629,0.0
0.7914314,0.059294257,0.7681268,0.0
0.78955615,0.029692603,0.7694336,0.0
0.79243064,0.118679225,0.77079856,0.0
0.79744875,0.20766608,0.7723103,0.0
0.8034582,0.29665294,0.77400184,0.0
0.8099732,0.38563958,0.7758828,0.0
0.8167861,0.47462642,0.77795285,0.0
0.820009,0.43500596,0.7800488,0.0
0.820038,0.34601936,0.7820361,0.0
0.8183434,0.25703248,0.78385085,0.0
0.8156276,0.16804586,0.7854622,0.0
0.81224847,0.07905901,0.7868558,0.0
0.80901957,0.009927851,0.7880507,0.0
0.8107557,0.09891471,0.7892581,0.0
0.81496227,0.1879011,0.790576,0.0
0.82038575,0.27688795,0.79204595,0.0
0.8264395,0.36587483,0.7936836,0.0
0.8328513,0.45486167,0.7954921,0.0
0.83708286,0.4547707,0.7973754,0.0
0.8378395,0.36578387,0.7991942,0.0
0.8366436,0.27679747,0.8008778,0.0
0.8342519,0.18781061,0.8023889,0.0
0.83107215,0.09882376,0.80370814,0.0
