neur0,input0,neur1,input1
0.4585047,0.0,0.50257224,0.0
0.4112882,0.039989334,0.53792906,0.0
0.3680627,0.07991469,0.5677998,0.0
0.32912397,0.119712204,0.5930642,0.0
0.29451382,0.15931821,0.61449355,0.0
0.26409152,0.19866931,0.6327474,0.0
0.23759882,0.23770262,0.6483802,0.0
0.21471167,0.27635565,0.6618532,0.0
0.1950784,0.31456655,0.67354786,0.0
0.1783455,0.3522742,0.68377864,0.0
0.16417369,0.38941833,0.69280446,0.0
0.1522472,0.42593947,0.7008385,0.0
0.14227816,0.46177918,0.70805645,0.0
0.13400795,0.4968801,0.71460325,0.0
0.12720655,0.5311862,0.7205985,0.0
0.121671,0.5646424,0.72614115,0.0
0.11722307,0.59719545,0.73131293,0.0
0.11370691,0.628793,0.7361814,0.0
0.11098655,0.65938467,0.74080217,0.0
0.108943686,0.68892145,0.7452214,0.0
0.10747539,0.7173561,0.74947655,0.0
0.1064923,0.7446431,0.75359863,0.0
0.10591681,0.7707389,0.75761265,0.0
0.105681546,0.7956016,0.76153886,0.0
0.10572799,0.8191916,0.7653934,0.0
0.10600535,0.84147096,0.7691889,0.0
0.10646947,0.8624042,0.7729353,0.0
0.107081994,0.88195777,0.77663994,0.0
0.10780955,0.90010047,0.7803082,0.0
0.10862308,0.9168031,0.7839438,0.0
0.109497294,0.9320391,0.78754896,0.0
0.110410124,0.94578403,0.7911249,0.0
0.111342356,0.95801586,0.79467165,0.0
0.11227719,0.9687151,0.7981886,0.0
0.11319998,0.9778646,0.80167466,0.0
0.114097916,0.98544973,0.80512804,0.0
0.11495982,0.99145836,0.80854666,0.0
0.11577595,0.99588084,0.81192815,0.0
0.116537765,0.99871016,0.81527,0.0
0.11723786,0.9999417,0.81856954,0.0
0.11786976,0.9995736,0.821824,0.0
0.11842789,0.9976064,0.82503074,0.0
0.11890739,0.99404323,0.828187,0.0
0.11930411,0.98888975,0.8312902,0.0
0.11961451,0.9821543,0.8343378,0.0
0.1198356,0.9738476,0.83732736,0.0
0.11996487,0.963983,0.84025663,0.0
0.12000027,0.9525762,0.8431235,0.0
0.1199402,0.93964547,0.84592605,0.0
0.1197834,0.92521155,0.84866244,0.0
0.11952898,0.9092974,0.851331,0.0
0.11917638,0.8919287,0.85393035,0.0
0.118725345,0.873133,0.85645926,0.0
0.118175924,0.85294056,0.8589165,0.0
0.117528394,0.8313835,0.86130124,0.0
0.116783336,0.80849636,0.86361265,0.0
0.11594153,0.78431594,0.86585003,0.0
0.11500403,0.75888073,0.8680129,0.0
0.11397207,0.7322315,0.870101,0.0
0.11284712,0.70441085,0.87211406,0.0
0.11163082,0.67546326,0.87405187,0.0
0.11032502,0.645435,0.8759146,0.0
0.10893177,0.6143742,0.8777022,0.0
0.10745326,0.58233064,0.8794149,0.0
0.10589186,0.5493555,0.8810531,0.0
0.10425011,0.51550144,0.88261694,0.0
0.10253068,0.48082274,0.884107,0.0
0.1007364,0.4453748,0.88552374,0.0
0.09887023,0.40921414,0.8868676,0.0
0.09693527,0.37239906,0.88813925,0.0
0.09493474,0.3349882,0.88933915,0.0
0.09287197,0.29704145,0.8904681,0.0
0.09075041,0.25861946,0.8915267,0.0
0.0885736,0.21978377,0.8925156,0.0
0.08634518,0.18059623,0.8934355,0.0
0.08406887,0.14112,0.89428705,0.0
0.0817485,0.101418026,0.8950711,0.0
0.07938793,0.061553795,0.8957882,0.0
0.07699112,0.02159109,0.89643914,0.0
0.074562065,-0.018406155,0.8970246,0.0
0.072104834,-0.058373954,0.8975452,0.0
0.06962351,-0.0982486,0.8980018,0.0
0.06712223,-0.13796584,0.8983949,0.0
0.064605154,-0.17746235,0.8987252,0.0
0.06207647,-0.21667498,0.8989934,0.0
0.05954038,-0.25554097,0.8992001,0.0
0.05700108,-0.29399815,0.89934593,0.0
0.054462764,-0.3319852,0.8994316,0.0
0.051929634,-0.36944094,0.8994576,0.0
0.04940586,-0.40630564,0.89942455,0.0
0.0468956,-0.44252035,0.8993332,0.0
0.04440297,-0.47802714,0.8991839,0.0
0.04193206,-0.51276916,0.8989775,0.0
0.03948691,-0.54669106,0.8987145,0.0
0.037071515,-0.5797382,0.8983954,0.0
0.034689806,-0.61185783,0.898021,0.0
0.032345664,-0.6429987,0.8975918,0.0
0.030042887,-0.67311084,0.8971086,0.0
0.027785202,-0.7021462,0.89657193,0.0
0.025576266,-0.73005825,0.8959826,0.0
0.023419635,-0.7568025,0.8953412,0.0
0.021318782,-0.7823359,0.8946487,0.0
0.01927708,-0.8066177,0.89390576,0.0
0.017297808,-0.8296091,0.8931133,0.0
0.015384127,-0.8512733,0.89227223,0.0
0.013539096,-0.87157565,0.8913835,0.0
0.011765655,-0.8904837,0.8904483,0.0
0.010066625,-0.90796715,0.8894675,0.0
0.008444704,-0.92399806,0.8884424,0.0
0.006902466,-0.9385509,0.8873743,0.0
0.005442351,-0.9516021,0.8862645,0.0
0.0040666685,-0.96313095,0.8851145,0.0
0.0027775916,-0.97311896,0.8839258,0.0
0.0015771503,-0.9815503,0.8827,0.0
4.6723775E-4,-0.98841125,0.881439,0.0
-5.50399E-4,-0.99369097,0.88014454,0.0
-0.0014741602,-0.99738103,0.8788186,0.0
-0.0023025952,-0.99947554,0.8774633,0.0
-0.0030343998,-0.99997103,0.87608075,0.0
-0.0036684244,-0.9988668,0.8746735,0.0
-0.004203672,-0.9961646,0.87324375,0.0
-0.0046392996,-0.9918688,0.8717943,0.0
-0.004974617,-0.9859861,0.87032765,0.0
-0.005209093,-0.9785261,0.8688468,0.0
-0.0053423503,-0.96950066,0.8673546,0.0
-0.005374169,-0.9589243,0.8658541,0.0
-0.005304486,-0.94681376,0.8643485,0.0
-0.0051333955,-0.9331886,0.86284107,0.0
-0.0048611457,-0.9180705,0.8613353,0.0
-0.004488142,-0.9014837,0.8598345,0.0
-0.004014946,-0.88345474,0.8583423,0.0
-0.0034422728,-0.8640124,0.8568624,0.0
-0.00277099,-0.84318787,0.8553986,0.0
-0.0020021177,-0.8210144,0.8539545,0.0
-0.0011368275,-0.7975275,0.85253406,0.0
-1.7643673E-4,-0.77276444,0.8511411,0.0
8.775854E-4,-0.7467654,0.8497796,0.0
0.0020236275,-0.71957165,0.84845334,0.0
0.0032599336,-0.6912268,0.84716636,0.0
0.0045846095,-0.6617761,0.8459224,0.0
0.0059956224,-0.6312667,0.84472543,0.0
0.007490804,-0.5997474,0.8435791,0.0
0.009067855,-0.56726867,0.8424873,0.0
0.010724347,-0.53388244,0.8414535,0.0
0.012457725,-0.4996421,0.84048134,0.0
0.014265314,-0.46460244,0.83957416,0.0
0.01614432,-0.4288195,0.8387353,0.0
0.018091835,-0.39235055,0.8379678,0.0
0.020104848,-0.3552535,0.8372747,0.0
0.022180231,-0.31758854,0.8366586,0.0
0.02431476,-0.2794155,0.83612216,0.0
0.026505109,-0.24079546,0.8356677,0.0
0.028747873,-0.2017902,0.83529747,0.0
0.031039553,-0.16246213,0.83501315,0.0
0.03337657,-0.12287415,0.8348164,0.0
0.035755266,-0.08308959,0.8347086,0.0
0.038171913,-0.043172114,0.83469087,0.0
0.04062273,-0.0031855688,0.83476394,0.0
0.04310386,0.036806073,0.8349284,0.0
0.045611404,0.076738834,0.83518445,0.0
0.048141412,0.11654883,0.83553207,0.0
0.0506899,0.15617284,0.83597094,0.0
0.053252835,0.19554654,0.83650035,0.0
0.05582617,0.2346074,0.8371194,0.0
0.058405824,0.27329293,0.8378269,0.0
0.06098771,0.31154126,0.83862144,0.0
0.063567735,0.3492912,0.8395012,0.0
0.066141784,0.38648236,0.8404642,0.0
0.06870578,0.4230552,0.8415081,0.0
0.071255624,0.45895126,0.84263045,0.0
0.07378726,0.4941131,0.8438286,0.0
0.07629663,0.52848446,0.84509957,0.0
0.07877973,0.56201035,0.8464402,0.0
0.08123259,0.5946376,0.8478472,0.0
0.08365128,0.62631303,0.8493172,0.0
0.08603192,0.6569866,0.8508464,0.0
0.08837069,0.6866091,0.8524312,0.0
0.09066383,0.7151332,0.85406774,0.0
0.09290764,0.7425132,0.85575205,0.0
0.09509852,0.76870537,0.85748017,0.0
0.097232945,0.79366773,0.859248,0.0
0.09930747,0.81736046,0.86105144,0.0
0.10131875,0.8397455,0.8628865,0.0
0.10326352,0.8607872,0.864749,0.0
0.10513866,0.88045186,0.8666349,0.0
0.10694112,0.8987079,0.8685401,0.0
0.10866799,0.91552645,0.8704607,0.0
0.11031648,0.9308801,0.8723927,0.0
0.1118839,0.94474465,0.87433237,0.0
0.113367714,0.9570977,0.8762759,0.0
0.11476552,0.96791965,0.87821966,0.0
0.11607504,0.9771931,0.88016015,0.0
0.11729414,0.9849033,0.882094,0.0
0.11842085,0.99103785,0.88401794,0.0
0.11945332,0.99558693,0.8859288,0.0
0.12038987,0.9985433,0.8878237,0.0
0.12122897,0.99990225,0.8896998,0.0
0.12196925,0.99966156,0.89155436,0.0
0.12260951,0.9978216,0.89338493,0.0
0.12314868,0.9943853,0.89518917,0.0
0.12358589,0.98935825,0.8969648,0.0
0.12392042,0.98274845,0.89870983,0.0
0.12415171,0.9745664,0.9004224,0.0
0.12427937,0.96482533,0.90210074,0.0
0.12430321,0.9535407,0.9037432,0.0
0.124223165,0.94073063,0.9053485,0.0
0.12403936,0.92641556,0.9069152,0.0
0.12375209,0.9106185,0.90844214,0.0
0.12336182,0.8933646,0.9099283,0.0
0.122869186,0.8746815,0.91137284,0.0
0.12227498,0.8545991,0.91277486,0.0
0.121580176,0.83314955,0.9141337,0.0
0.120785914,0.8103671,0.91544884,0.0
0.119893484,0.7862883,0.91671973,0.0
0.118904345,0.7609516,0.917946,0.0
0.11782013,0.7343975,0.91912735,0.0
0.1166426,0.70666856,0.9202635,0.0
0.11537371,0.67780906,0.92135435,0.0
0.11401551,0.6478645,0.9223999,0.0
0.112570256,0.61688423,0.9233999,0.0
0.111040324,0.584917,0.92435455,0.0
0.109428234,0.5520141,0.9252639,0.0
0.10773664,0.5182281,0.926128,0.0
0.10596832,0.48361304,0.926947,0.0
0.10412619,0.4482243,0.92772114,0.0
0.10221329,0.4121185,0.92845064,0.0
0.10023279,0.37535337,0.9291357,0.0
0.09818793,0.33798778,0.92977655,0.0
0.096082106,0.3000815,0.93037343,0.0
0.09391876,0.26169512,0.9309267,0.0
0.091701485,0.2228901,0.9314366,0.0
0.08943392,0.1837285,0.9319034,0.0
0.08711982,0.14427298,0.9323275,0.0
0.084762976,0.10458665,0.93270904,0.0
0.08236728,0.064733006,0.9330484,0.0
0.07993668,0.024775807,0.93334585,0.0
0.07747517,-0.015221031,0.9336017,0.0
0.07498679,-0.05519352,0.93381613,0.0
0.07247563,-0.09507771,0.9339895,0.0
0.06994581,-0.13480979,0.9341221,0.0
0.067401476,-0.17432621,0.93421406,0.0
0.0648468,-0.21356376,0.9342657,0.0
0.062285956,-0.25245965,0.93427724,0.0
0.059723124,-0.29095164,0.9342489,0.0
0.057162482,-0.32897907,0.934181,0.0
0.05460822,-0.3664793,0.9340736,0.0
0.05206448,-0.40339324,0.9339271,0.0
0.0495354,-0.43966186,0.93374157,0.0
0.047025092,-0.4752271,0.9335172,0.0
0.04453761,-0.51003206,0.93325436,0.0
0.042076986,-0.5440211,0.9329532,0.0
0.03964719,-0.57713985,0.93261385,0.0
0.037252143,-0.60933524,0.9322366,0.0
