neur0,input0,neur1,input1
0.45974854,0.0,0.5118425,0.0
0.43103668,0.184709,0.5466303,0.0
0.40594295,0.369418,0.57632864,0.0
0.38434747,0.55412704,0.60186136,0.0
0.36603367,0.73372334,0.6239972,0.0
0.34884903,0.5490143,0.6432027,0.0
0.33266956,0.3643053,0.65987056,0.0
0.31737813,0.17959629,0.67433035,0.0
0.30292177,0.0051126825,0.6868624,0.0
0.29117495,0.18982175,0.69785345,0.0
0.2818819,0.37453082,0.70762044,0.0
0.2747986,0.5592397,0.71642405,0.0
0.26961142,0.7286106,0.7244725,0.0
0.26413855,0.5439015,0.7317999,0.0
0.25838807,0.35919258,0.7384373,0.0
0.25236818,0.17448352,0.74441344,0.0
0.24620262,0.010225365,0.74976194,0.0
0.241866,0.1949346,0.7546404,0.0
0.23916347,0.3796435,0.75918007,0.0
0.23791866,0.5643524,0.7634909,0.0
0.23782787,0.7234977,0.7676554,0.0
0.23681311,0.5387888,0.7716238,0.0
0.23496601,0.3540799,0.77535564,0.0
0.23236649,0.16937067,0.7788183,0.0
0.22925946,0.015338223,0.78199553,0.0
0.22762196,0.20004712,0.78498584,0.0
0.22729522,0.38475636,0.78787243,0.0
0.22813691,0.5694653,0.79072505,0.0
0.22981602,0.71838516,0.79359096,0.0
0.23034206,0.53367597,0.7964048,0.0
0.22983761,0.34896705,0.79911226,0.0
0.22840907,0.16425817,0.8016681,0.0
0.22638258,0.02045073,0.804047,0.0
0.22569185,0.20515962,0.8063268,0.0
0.22619258,0.3898692,0.8085732,0.0
0.22775565,0.5745781,0.81084174,0.0
0.23000374,0.71327233,0.8131655,0.0
0.23102237,0.52856344,0.81547904,0.0
0.23094432,0.34385455,0.8177276,0.0
0.22988473,0.15914565,0.81986517,0.0
0.22823548,0.02556394,0.82186747,0.0
0.22787046,0.21027283,0.8238019,0.0
0.22865127,0.3949817,0.8257256,0.0
0.230454,0.57969064,0.82768685,0.0
0.23284815,0.7081598,0.8297111,0.0
0.23399042,0.5234509,0.8317367,0.0
0.23401637,0.33874133,0.83371186,0.0
0.2330437,0.15403244,0.8355931,0.0
0.23152421,0.030676447,0.8373594,0.0
0.23126666,0.21538533,0.8390715,0.0
0.23213542,0.40009424,0.8407807,0.0
0.23400891,0.5848031,0.84253037,0.0
