neur0,input0,neur1,input1
0.9999006,0.0,0.53940976,0.0
0.99962103,0.0037314405,0.5742118,0.0
0.9987127,0.007462881,0.6046518,0.0
0.99605864,0.011194321,0.6312999,0.0
0.98905945,0.014925762,0.6544775,0.0
0.9725745,0.018657204,0.6741686,0.0
0.93912375,0.022388643,0.6899676,0.0
0.8848089,0.026120085,0.7013355,0.0
0.82131743,0.029851524,0.7083856,0.0
0.77246857,0.033582967,0.71236163,0.0
0.74789685,0.037314408,0.71479976,0.0
0.739307,0.041045845,0.71664464,0.0
0.73752683,0.044777285,0.7182892,0.0
0.73814666,0.04850873,0.7198701,0.0
0.7395605,0.05224017,0.72143215,0.0
0.7412341,0.05597161,0.72298974,0.0
0.742994,0.05970305,0.7245473,0.0
0.7447834,0.0634345,0.7261063,0.0
0.7465839,0.06716593,0.727667,0.0
0.748389,0.07089737,0.72922933,0.0
0.7501967,0.074628815,0.73079324,0.0
0.75200593,0.07836025,0.7323586,0.0
0.7538165,0.08209169,0.73392516,0.0
0.7556279,0.08582313,0.73549277,0.0
0.7574401,0.08955457,0.7370612,0.0
0.7592527,0.09328602,0.73863035,0.0
0.7610657,0.09701746,0.74020004,0.0
0.7628789,0.1007489,0.74177,0.0
0.76469207,0.10448034,0.7433402,0.0
0.766505,0.10821178,0.7449103,0.0
0.7683175,0.11194322,0.7464802,0.0
0.77012944,0.11567465,0.74804986,0.0
0.77194065,0.1194061,0.7496189,0.0
0.77375096,0.12313754,0.75118715,0.0
0.7755601,0.126869,0.7527546,0.0
0.77736795,0.13060042,0.75432104,0.0
0.77917445,0.13433187,0.75588626,0.0
0.7809792,0.13806331,0.75745004,0.0
0.78278226,0.14179474,0.75901234,0.0
0.78458333,0.14552619,0.7605729,0.0
0.78638226,0.14925763,0.76213163,0.0
0.78817886,0.15298906,0.7636883,0.0
0.789973,0.1567205,0.7652429,0.0
0.7917647,0.16045195,0.76679504,0.0
0.7935534,0.16418338,0.7683448,0.0
0.7953392,0.16791482,0.76989186,0.0
0.797122,0.17164627,0.77143615,0.0
0.79890156,0.17537771,0.7729776,0.0
0.80067766,0.17910914,0.7745159,0.0
0.80245024,0.18284059,0.77605104,0.0
0.8042191,0.18657205,0.77758276,0.0
0.80598414,0.19030347,0.779111,0.0
0.8077452,0.19403492,0.78063565,0.0
0.8095021,0.19776636,0.7821566,0.0
0.8112548,0.2014978,0.7836735,0.0
0.813003,0.20522924,0.78518647,0.0
0.8147468,0.20896068,0.78669524,0.0
0.8164858,0.21269211,0.7881997,0.0
0.81822,0.21642356,0.7896998,0.0
0.81994927,0.220155,0.7911953,0.0
0.8216735,0.22388645,0.79268616,0.0
0.8233925,0.22761787,0.7941723,0.0
0.8251062,0.2313493,0.7956535,0.0
0.8268144,0.23508076,0.7971297,0.0
0.82851714,0.2388122,0.79860073,0.0
0.83021414,0.24254362,0.80006665,0.0
0.83190536,0.24627508,0.8015272,0.0
0.8335907,0.25000653,0.8029823,0.0
0.83527005,0.253738,0.8044318,0.0
0.83694315,0.25746942,0.8058757,0.0
0.8386101,0.26120085,0.80731386,0.0
0.8402707,0.2649323,0.8087462,0.0
0.8419249,0.26866373,0.8101727,0.0
0.84357256,0.27239516,0.81159306,0.0
0.8452136,0.27612662,0.8130073,0.0
0.84684783,0.27985805,0.8144154,0.0
0.8484754,0.28358948,0.8158172,0.0
0.8500959,0.28732094,0.81721264,0.0
0.8517095,0.29105237,0.8186016,0.0
0.85331595,0.2947838,0.8199841,0.0
0.85491526,0.29851526,0.82136,0.0
0.85650736,0.3022467,0.8227292,0.0
0.8580921,0.30597812,0.8240916,0.0
0.8596694,0.30970958,0.82544726,0.0
0.8612392,0.313441,0.82679605,0.0
0.8628015,0.31717244,0.8281378,0.0
0.8643561,0.3209039,0.8294726,0.0
0.8659031,0.32463533,0.83080035,0.0
0.8674422,0.32836676,0.832121,0.0
0.86897355,0.33209822,0.8334344,0.0
0.8704969,0.33582965,0.83474064,0.0
0.87201244,0.33956107,0.83603954,0.0
0.87351984,0.34329253,0.8373311,0.0
0.87501925,0.34702396,0.83861524,0.0
0.87651044,0.35075542,0.83989197,0.0
0.87799346,0.35448685,0.84116125,0.0
0.87946826,0.35821828,0.84242296,0.0
0.8809347,0.36194974,0.84367716,0.0
0.8823929,0.36568117,0.84492373,0.0
