fitness,g0,g1,g2,g3,g4,g5
0.47779047,0.4168909,-0.40446892,-0.11953637,0.0987761,0.16781273,0.38955763
0.47785467,-0.37806094,-0.025615454,0.17704523,-0.54381454,-0.6158967,0.2529608
0.47782254,-0.20457971,0.5333673,0.58729124,-0.72166264,0.2770753,-0.072886944
0.47775185,0.008684086,-0.52975786,-0.6155216,-0.42580837,-0.031876564,0.50162125
0.47764775,0.08100784,-0.89542025,-0.50785625,-0.75390935,-0.018224105,0.049315967
0.47787803,0.2395908,-0.35954043,-0.50993466,0.1499927,0.25283575,0.6973772
0.47787875,0.63379204,-0.92898774,-0.6674197,0.8841269,-0.23989308,0.8501868
0.47780997,-0.27582425,-0.58660907,0.112047315,0.38191402,0.045084756,-0.5400938
0.47781822,-0.46234488,0.9214814,-0.5161822,-0.6116488,0.51049864,-0.8959131
0.47778133,0.47873425,0.72374773,0.14642929,0.40063676,0.8408685,0.565126
0.477845,-0.33443177,-0.13281167,0.804844,0.7821785,-0.04445517,-0.7036016
0.47778553,-0.30307078,0.6052128,0.38116848,0.89253175,-0.19446683,-0.56383264
0.47778767,-0.6782476,0.18310714,0.7909385,-0.407066,0.37906325,-0.64927125
0.4778175,0.4686681,0.7106715,-0.30612493,0.36477715,-0.27140045,0.37179685
0.47780937,0.1888799,0.6062609,0.12648451,-0.10101926,0.8677903,0.10429675
0.4778377,0.48658988,-0.7998198,-0.19643606,-0.78034306,-0.04864204,0.1355958
0.47779498,-0.94865346,0.14698559,-0.57667124,0.15255469,0.46463478,-0.7439515
0.47782096,0.6572025,-0.39395142,0.7258758,0.33464393,-0.28950605,-0.7388271
0.4777883,-0.53995115,-0.31607524,0.46601105,-0.17976019,0.23696032,-0.3414199
0.4778256,0.47924352,0.6603819,-0.1689266,0.37540245,-0.07828379,0.31689978
0.4778338,0.68425816,-0.75142056,0.9586631,-0.13141485,-0.8221117,-0.2578419
0.47781697,0.7356039,0.11914346,-0.3182098,0.023468614,0.23997748,0.69219905
0.47780034,-0.20517667,-0.067287035,0.11490524,0.03950412,0.44687355,-0.8153686
0.47782964,0.9078194,0.49203217,-0.19916642,-0.33758044,0.7325003,-0.5747597
0.47786295,0.698269,-0.12426042,-0.37039044,0.6590585,-0.24621859,-0.058516953
0.47781795,-0.3360672,-0.8389666,-0.407763,-0.8652607,0.39101255,0.658319
0.4778632,-0.7866527,-0.7811787,-0.47659838,0.67053473,0.20895839,0.91003406
0.4778595,0.42001522,0.036671136,0.6102208,-0.40062523,-0.22120608,-0.033687588
0.47779816,-0.54065263,-0.9917948,-0.42501748,-0.17280388,0.8589697,-0.14296818
0.4778086,-0.39229226,-0.43574682,0.13616467,-0.68593615,0.20787263,0.46064913
0.4778016,-0.24012257,0.110616945,0.013694757,0.84148085,0.2724716,0.39222285
0.47782257,-0.45760798,0.3844875,0.8829211,-0.08521044,-0.53242147,0.047873378
0.47783306,-0.34267512,-0.07899847,-0.70140135,0.86621326,-0.14414714,-0.22722423
0.47785878,0.54197276,0.12180579,-2.6094913E-4,0.75450456,0.45220506,-0.6777599
0.47783053,-0.8391329,-0.45637023,0.48041797,0.34163046,0.38290393,-0.34225523
0.4778108,-0.012422479,-0.03398324,-0.8284784,0.16666472,-0.12959313,0.46440136
0.47780982,-0.16900527,-0.30868635,0.28372785,0.73466265,-0.48619747,-0.39196718
0.47781953,-0.03056562,-0.3092785,0.99165213,0.84599864,0.8975806,0.15526032
0.47775927,0.12516105,0.71029735,-0.93505245,0.6478741,0.89858675,0.9029817
0.4778015,0.2860068,0.14075224,0.13361514,0.2618485,0.14940268,0.62090623
0.47779885,-0.38332343,-0.012981794,-0.44226968,-0.31556386,-0.6474909,0.53749794
0.4777999,0.1957525,0.27483904,0.9301076,-0.88752794,0.54785824,-0.3737955
0.47786537,-0.8272557,0.5217484,-0.66602755,-0.37991214,0.76707864,0.005056262
0.47779065,-0.70357955,0.5566318,7.073879E-4,0.72331166,0.86279774,0.33465338
0.47774205,-0.8338529,-0.22431909,-0.47060567,-0.6412998,-0.50855094,0.18616107
0.47800797,-0.3302455,0.024796128,0.31259477,-0.94099355,0.7794826,-0.877223
0.4778048,-0.41427398,-0.23067927,0.87090886,-0.010682106,0.31898785,-0.9350296
0.47783396,-0.50254107,-0.11031687,-0.3551395,0.6481558,0.9957242,0.4833989
0.47777608,-0.19587243,-0.8962382,0.1595962,-0.7298765,0.21575189,-0.2303325
0.47794646,-0.067730114,0.36941087,0.6785073,0.0014994466,-0.9384482,0.802888
0.47782052,-0.49904,0.39318264,-0.28417015,-0.80942905,0.679361,0.9640031
0.47782165,-0.43960547,-0.61150587,0.42686713,-0.775007,0.16662037,0.03783846
0.47790965,0.5596917,-0.7983291,0.6141774,-0.5772715,-0.2601932,-0.94782203
0.4778048,-0.02830374,0.48007613,0.35530847,0.085409164,-0.33035538,0.38901997
0.4778746,-0.14357187,0.35152882,-0.34749722,0.30911684,-0.36252534,0.66275936
0.4778299,-0.29412973,0.8777171,-0.31227073,0.72143066,-0.31660956,0.06493051
0.4778542,0.52369666,0.6055248,0.3290589,-0.65955454,0.8460623,-0.22231485
0.4777837,0.90567,0.28112495,0.5605397,-0.49089456,0.81789255,-0.47989637
0.47780073,-0.41618523,0.5167087,0.46531516,-0.068254806,0.47059807,0.42234388
0.4779713,-0.92464995,0.15003586,-0.7517059,0.21861482,0.572466,0.08004868
0.47782543,0.7322546,-0.25855124,-0.30626845,0.60189533,0.02850461,-0.16401339
0.47784764,-0.47653645,-0.4799951,-0.21193227,-0.081993714,0.4839995,0.6071806
0.47773743,-0.7465043,0.1547889,0.5042764,0.9782259,-0.032325625,-0.77867085
0.4777952,-0.61065304,-0.8417462,-0.299572,0.9698007,-0.67629004,0.9363923
0.47782907,-0.50562847,-0.8562422,-0.5270603,0.5337912,-0.41791686,0.51091796
0.47781923,-0.27320337,0.68739045,0.30792534,0.26612198,0.887795,0.13109207
0.47783062,-0.61021125,0.022153497,-0.31837487,0.89412844,-0.49374235,-0.19005871
0.4778066,-0.25029624,-0.14632273,-0.39542794,-0.75751567,-0.1388359,-0.12230266
0.47781423,-0.1283561,-0.21946712,0.22047198,0.15421915,-0.87369865,0.24074697
0.47781137,0.14252913,-0.32305032,-0.416336,0.0642119,-0.2147273,0.31571576
0.47777286,0.9651226,0.19613397,0.06947279,0.5479133,0.81797314,0.94596696
0.47781652,-0.06452346,0.5498765,0.82962805,-0.041163683,-0.29112148,0.61983323
0.4778186,-0.35514173,-0.11851545,0.43092063,0.8085828,-0.67579806,0.62012136
0.47785878,0.576407,0.06207748,-0.4814723,0.72307855,0.47439542,-0.6018123
0.47791618,-0.15364002,-0.10555208,-0.75604975,0.07443136,-0.52716786,-0.0051322216
0.47779998,-0.118775554,-0.50719553,0.20605361,-0.8681651,-0.8373894,-0.04187218
0.47780302,-0.26842797,-0.22961307,0.2268393,0.1795255,-0.9133463,-0.44701588
0.4777654,0.84414077,0.37435624,-0.3403984,0.19224319,0.22236854,-0.18825525
0.47796795,0.56131494,-0.35695553,0.4214325,-0.87462556,0.44658768,0.10090661
0.47778693,-0.2404129,-0.8549244,-0.16043924,-0.4017803,-0.34416488,-0.576197
0.47784063,0.07739787,-0.8854751,-0.18496813,-0.025732746,0.061903365,0.23902285
0.47785848,0.3436431,-0.7026461,0.42655334,-0.42399412,-0.7185271,0.061450977
0.47783288,0.07146355,-0.66998863,0.25164786,-0.45151463,-0.8039259,-0.2690576
0.47783136,-0.30748653,-0.2632736,0.3280791,0.033669233,0.7874402,-0.19690764
0.4778823,0.9236165,-0.55148005,0.66780245,-0.59178436,-0.26581228,-0.8239393
0.4778016,-0.85578156,0.7620288,-0.2543341,0.6747292,-0.39151466,-0.29137456
0.47776616,0.01240542,-0.82937765,0.7993477,0.14777465,-0.090095505,-0.49090824
0.47778723,-0.22890115,-0.09632792,0.101118915,0.16647351,-0.7642805,0.5351159
0.47796702,-0.7482352,0.97908366,-0.122672535,0.22605976,-0.123193026,-0.1447442
0.4778231,0.32060444,0.31470454,0.6928768,0.06012726,-0.99406826,0.44558668
0.4778114,0.08920436,-0.8400698,-0.9252048,0.8452632,0.9185939,-0.13852413
0.47781438,-0.035746824,0.5898482,-0.821484,0.29238433,-0.22257687,-0.45856854
0.4777825,0.016516685,0.3583163,-0.99829924,0.96364725,-0.51530087,0.40683722
0.4778024,0.09285879,-0.5185653,-0.4794376,-0.06293513,0.16567023,0.92338264
0.47781202,0.3876009,0.6122861,-0.22307909,-0.5105678,-0.059193254,0.27286386
0.47781855,0.2345202,-0.4840939,0.6828407,0.107492685,-0.9720689,-0.5618855
0.47780284,0.30300808,-0.88545,0.16367352,0.23121703,-0.009854436,0.22317088
0.47784603,0.8559456,0.05450511,-0.4384905,0.16235054,0.83872664,-0.27121198
0.47780028,0.17585257,0.9393806,-0.26382124,-0.17081773,0.22583258,-0.18983632
0.47783253,0.24249613,0.43982348,-0.6533782,-0.2797137,-0.4094217,0.14090778
