neur0,input0,neur1,input1
0.45932108,0.0,0.47681528,0.0
0.44530427,0.039989334,0.47022584,0.0
0.43201083,0.07991469,0.46341276,0.0
0.41942656,0.119712204,0.45641023,0.0
0.4075327,0.15931821,0.4492512,0.0
0.39630696,0.19866931,0.44196728,0.0
0.38572434,0.23770262,0.43458843,0.0
0.37575802,0.27635565,0.42714316,0.0
0.36637986,0.31456655,0.4196582,0.0
0.35756117,0.3522742,0.4121587,0.0
0.34927288,0.38941833,0.40466785,0.0
0.34148616,0.42593947,0.39720726,0.0
0.33417255,0.46177918,0.38979664,0.0
0.32730424,0.4968801,0.38245395,0.0
0.32085422,0.5311862,0.37519544,0.0
0.3147964,0.5646424,0.36803564,0.0
0.30910563,0.59719545,0.36098742,0.0
0.30375788,0.628793,0.3540621,0.0
0.29873005,0.65938467,0.3472695,0.0
0.29400018,0.68892145,0.3406179,0.0
0.28954735,0.7173561,0.33411422,0.0
0.28535157,0.7446431,0.32776415,0.0
0.28139392,0.7707389,0.32157218,0.0
0.27765632,0.7956016,0.31554157,0.0
0.27412158,0.8191916,0.30967456,0.0
0.27077347,0.84147096,0.30397254,0.0
0.26759642,0.8624042,0.29843587,0.0
0.26457572,0.88195777,0.29306415,0.0
0.26169723,0.90010047,0.28785622,0.0
0.25894764,0.9168031,0.28281027,0.0
0.25631416,0.9320391,0.27792388,0.0
0.25378463,0.94578403,0.2731941,0.0
0.25134748,0.95801586,0.26861745,0.0
0.2489916,0.9687151,0.2641901,0.0
0.2467064,0.9778646,0.2599078,0.0
0.2444818,0.98544973,0.25576597,0.0
0.24230817,0.99145836,0.2517598,0.0
0.24017626,0.99588084,0.24788414,0.0
0.23807727,0.99871016,0.24413374,0.0
0.23600279,0.9999417,0.24050315,0.0
0.23394479,0.9995736,0.23698682,0.0
0.23189558,0.9976064,0.23357904,0.0
0.22984788,0.99404323,0.2302741,0.0
0.22779472,0.98888975,0.22706619,0.0
0.2257295,0.9821543,0.2239495,0.0
0.22364587,0.9738476,0.22091824,0.0
0.22153792,0.963983,0.21796657,0.0
0.21939997,0.9525762,0.21508877,0.0
0.2172267,0.93964547,0.21227913,0.0
0.21501309,0.92521155,0.209532,0.0
0.21275438,0.9092974,0.20684181,0.0
0.21044622,0.8919287,0.20420313,0.0
0.20808446,0.873133,0.20161058,0.0
0.20566529,0.85294056,0.19905892,0.0
0.20318516,0.8313835,0.19654302,0.0
0.20064089,0.80849636,0.19405791,0.0
0.19802953,0.78431594,0.19159874,0.0
0.19534844,0.75888073,0.18916081,0.0
0.19259526,0.7322315,0.18673956,0.0
0.18976796,0.70441085,0.18433063,0.0
0.18686472,0.67546326,0.18192978,0.0
0.1838841,0.645435,0.17953297,0.0
0.18082486,0.6143742,0.17713632,0.0
0.1776861,0.58233064,0.17473611,0.0
0.17446718,0.5493555,0.17232884,0.0
0.1711677,0.51550144,0.16991118,0.0
0.16778763,0.48082274,0.16747998,0.0
0.16432709,0.4453748,0.16503225,0.0
0.16078658,0.40921414,0.16256529,0.0
0.1571668,0.37239906,0.16007647,0.0
0.15346874,0.3349882,0.15756345,0.0
0.14969362,0.29704145,0.15502402,0.0
0.14584295,0.25861946,0.15245621,0.0
0.14191848,0.21978377,0.14985822,0.0
0.13792217,0.18059623,0.1472285,0.0
0.13385627,0.14112,0.14456563,0.0
0.12972322,0.101418026,0.14186841,0.0
0.12552573,0.061553795,0.13913587,0.0
0.12126667,0.02159109,0.13636719,0.0
0.11694918,-0.018406155,0.13356178,0.0
0.112576574,-0.058373954,0.13071923,0.0
0.10815235,-0.0982486,0.12783933,0.0
0.10368022,-0.13796584,0.12492204,0.0
0.09916407,-0.17746235,0.12196754,0.0
0.09460794,-0.21667498,0.11897616,0.0
0.090016045,-0.25554097,0.115948446,0.0
0.08539274,-0.29399815,0.112885095,0.0
0.08074254,-0.3319852,0.109786995,0.0
0.076070055,-0.36944094,0.10665521,0.0
0.07138004,-0.40630564,0.103490956,0.0
0.066677354,-0.44252035,0.1002956,0.0
0.061966956,-0.47802714,0.09707072,0.0
0.05725387,-0.51276916,0.09381798,0.0
0.052543223,-0.54669106,0.09053924,0.0
0.04784018,-0.5797382,0.08723647,0.0
0.043149985,-0.61185783,0.0839118,0.0
0.038477894,-0.6429987,0.080567464,0.0
0.03382921,-0.67311084,0.07720584,0.0
0.029209245,-0.7021462,0.0738294,0.0
0.024623321,-0.73005825,0.07044073,0.0
0.020076755,-0.7568025,0.067042544,0.0
0.01557485,-0.7823359,0.06363762,0.0
0.011122876,-0.8066177,0.06022883,0.0
0.006726071,-0.8296091,0.056819122,0.0
0.0023896224,-0.8512733,0.05341152,0.0
-0.0018813388,-0.87157565,0.05000911,0.0
-0.006081749,-0.8904837,0.046615038,0.0
-0.010206624,-0.90796715,0.043232486,0.0
-0.0142510645,-0.92399806,0.03986469,0.0
-0.01821027,-0.9385509,0.036514908,0.0
-0.022079539,-0.9516021,0.03318643,0.0
-0.025854286,-0.96313095,0.029882558,0.0
-0.029530043,-0.97311896,0.026606606,0.0
-0.033102475,-0.9815503,0.023361888,0.0
-0.03656738,-0.98841125,0.020151716,0.0
-0.03992069,-0.99369097,0.016979385,0.0
-0.043158505,-0.99738103,0.013848173,0.0
-0.04627706,-0.99947554,0.010761334,0.0
-0.049272764,-0.99997103,0.0077220835,0.0
-0.052142184,-0.9988668,0.0047336034,0.0
-0.05488207,-0.9961646,0.0017990257,0.0
-0.05748933,-0.9918688,-0.001078567,0.0
-0.059961073,-0.9859861,-0.00389615,0.0
-0.062294576,-0.9785261,-0.0066507612,0.0
-0.06448732,-0.96950066,-0.009339508,0.0
-0.06653697,-0.9589243,-0.011959571,0.0
-0.06844138,-0.94681376,-0.014508207,0.0
-0.07019864,-0.9331886,-0.016982758,0.0
-0.07180698,-0.9180705,-0.019380655,0.0
-0.0732649,-0.9014837,-0.021699417,0.0
-0.07457105,-0.88345474,-0.023936663,0.0
-0.07572434,-0.8640124,-0.026090108,0.0
-0.076723866,-0.84318787,-0.028157571,0.0
-0.07756893,-0.8210144,-0.030136982,0.0
-0.07825907,-0.7975275,-0.032026377,0.0
-0.078794025,-0.77276444,-0.033823904,0.0
-0.07917375,-0.7467654,-0.03552783,0.0
-0.07939843,-0.71957165,-0.03713654,0.0
-0.07946847,-0.6912268,-0.038648546,0.0
-0.07938445,-0.6617761,-0.04006247,0.0
-0.07914724,-0.6312667,-0.04137707,0.0
