neur0,input0,neur1,input1
0.4595854,0.0,0.48900422,0.0
0.40247345,0.004425609,0.5194107,0.0
0.34822804,0.008851218,0.5457661,0.0
0.29765844,0.0132768275,0.56855166,0.0
0.25123698,0.017702436,0.58823234,0.0
0.20914878,0.022128046,0.60523784,0.0
0.17136014,0.026553655,0.619953,0.0
0.13768655,0.030979265,0.6327148,0.0
0.107851006,0.035404872,0.6438144,0.0
0.08152876,0.039830483,0.65350044,0.0
0.058379058,0.04425609,0.6619845,0.0
0.038065962,0.048681702,0.6694454,0.0
0.020270955,0.05310731,0.67603445,0.0
0.004699721,0.05753292,0.6818795,0.0
-0.008914908,0.06195853,0.6870887,0.0
-0.020812506,0.06638414,0.69175357,0.0
-0.031206049,0.070809744,0.69595164,0.0
-0.04028373,0.07523536,0.699749,0.0
-0.04821112,0.07966097,0.7032017,0.0
-0.055133484,0.084086575,0.70635784,0.0
-0.061177988,0.08851218,0.70925826,0.0
-0.06645581,0.0929378,0.71193814,0.0
-0.0710641,0.097363405,0.71442753,0.0
-0.07508765,0.10178901,0.71675235,0.0
-0.07860049,0.10621462,0.71893483,0.0
-0.08166721,0.11064023,0.7209942,0.0
-0.084344216,0.11506584,0.722947,0.0
-0.086680725,0.11949144,0.72480756,0.0
-0.08871971,0.12391706,0.7265882,0.0
-0.090498686,0.12834267,0.7282996,0.0
-0.09205042,0.13276827,0.7299511,0.0
-0.093403526,0.13719389,0.73155063,0.0
-0.094583005,0.14161949,0.7331052,0.0
-0.0956107,0.1460451,0.73462075,0.0
-0.09650571,0.15047072,0.7361026,0.0
-0.097284704,0.15489632,0.7375552,0.0
-0.097962275,0.15932193,0.7389825,0.0
-0.09855116,0.16374753,0.7403879,0.0
-0.09906251,0.16817315,0.7417744,0.0
-0.09950607,0.17259876,0.7431444,0.0
-0.09989036,0.17702436,0.7445002,0.0
-0.100222826,0.18144998,0.74584377,0.0
-0.10050997,0.1858756,0.74717665,0.0
-0.10075751,0.1903012,0.7485003,0.0
-0.1009704,0.19472681,0.74981594,0.0
-0.10115302,0.19915241,0.7511247,0.0
