Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.3755655,-14.42746,-0.50385666,331.79382
2,0.3755655,-13.811824,-0.41512245,275.64316
3,0.3755655,-9.563596,-0.40793335,181.85709
4,0.3755655,-5.2433,-0.3631799,71.29242
5,0.45808402,-7.1686487,-0.32627913,126.54594
6,0.45808402,-12.637062,-0.44893646,238.63098
7,0.45808402,-17.07481,-0.5203472,494.8971
8,0.45808402,-14.983957,-0.4672892,340.60187
9,0.45808402,-5.817838,-0.24469462,84.97592
10,0.45808402,-2.7567005,-0.12079982,38.98662
11,0.515765,-16.354393,-0.52736795,625.12067
12,0.52825135,-14.972987,-0.37102145,314.9645
13,0.52825135,-27.583721,-1.1009367,1549.4666
14,0.52825135,-12.818943,-0.4705785,325.6181
15,0.52825135,-18.963549,-0.48502052,506.33917
16,0.52825135,-12.065156,-0.59903556,422.86133
17,0.52825135,-11.037289,-0.41168746,255.38333
18,0.52825135,-10.646837,-0.39832294,237.13051
19,0.52825135,-10.646837,-0.53763556,352.64307
20,0.52825135,-20.466225,-0.6689014,704.9348
21,0.53916675,-9.399441,-0.44735047,259.97903
22,0.53916675,-9.382857,-0.34396353,151.2817
23,0.53916675,-13.836876,-0.43312022,270.80746
24,0.53916675,-9.951328,-0.32531342,200.76407
25,0.53916675,-18.982834,-0.6370398,631.976
26,0.53916675,-7.4442554,-0.3230716,132.52956
27,0.53916675,-22.303259,-0.7960173,861.8143
28,0.53916675,-24.305471,-0.61800075,808.3501
29,0.53916675,-20.543669,-0.6048699,616.14246
30,0.53916675,-8.627044,-0.26849446,128.17662
31,0.4996798,-8.627044,-0.23471564,101.16637
32,0.4996798,-6.2768464,-0.30717814,98.35791
33,0.4996798,-25.161955,-0.8516247,933.9446
34,0.4996798,-15.776589,-0.47757113,397.2535
35,0.4996798,-16.394644,-0.49805325,497.04227
36,0.4996798,-17.607164,-0.60650826,575.6151
37,0.4996798,-22.257696,-0.8194916,997.2251
38,0.4996798,-21.807167,-0.637383,724.6034
39,0.4996798,-24.349243,-0.6990459,956.85126
40,0.4996798,-16.033232,-0.42829868,323.32175
41,0.52236366,-9.470985,-0.53557897,261.03995
42,0.52236366,-12.398952,-0.4221542,240.88576
43,0.52236366,-14.821397,-0.34237394,296.97733
44,0.52236366,-7.4279985,-0.33883977,154.38397
45,0.52236366,-22.518562,-0.5201464,624.33215
46,0.52236366,-11.344089,-0.25630382,174.25781
47,0.52236366,-5.574771,-0.17213365,65.41323
48,0.5775058,-20.896517,-0.4919721,592.1477
49,0.5775058,-16.601973,-0.36090893,418.291
50,0.5775058,-13.206212,-0.5210169,335.27048
51,0.5775058,-24.493715,-0.35869896,650.4035
52,0.56848747,-15.587015,-0.46008888,472.86725
53,0.56848747,-12.70834,-0.27400532,296.64917
54,0.56848747,-15.923374,-0.262703,301.83194
55,0.56848747,-16.168356,-0.71712136,816.14197
56,0.6228129,-15.6035795,-0.5672845,503.71313
57,0.6228129,-5.201375,-0.20065948,74.15945
58,0.6228129,-14.41783,-0.40004706,389.6528
59,0.6228129,-24.96985,-0.79149103,925.2409
60,0.6228129,-15.763041,-0.44860566,470.66376
61,0.6228129,-16.087233,-0.45910388,393.40622
62,0.61865926,-15.986381,-0.4093785,362.63138
63,0.61865926,-11.99081,-0.43050084,311.43225
64,0.61865926,-9.646614,-0.34018818,159.66481
65,0.61865926,-14.176251,-0.7625766,487.2174
66,0.61865926,-28.85478,-0.7596363,1255.4081
67,0.61865926,-26.320229,-0.7811745,1147.3082
68,0.61865926,-27.124413,-0.6353605,1236.4487
69,0.61865926,-10.447906,-0.31410328,213.77773
70,0.61865926,-23.45254,-0.5860626,822.1746
71,0.61865926,-5.790813,-0.31373942,100.91381
72,0.60530776,-17.383715,-0.3958368,366.10577
73,0.60530776,-7.0737333,-0.33629924,121.77793
74,0.60530776,-7.595941,-0.5108669,188.07556
75,0.60530776,-13.896305,-0.39959565,230.22644
76,0.60530776,-20.806911,-1.1933262,1370.4983
77,0.60530776,-17.441254,-0.88635474,872.47565
78,0.60530776,-16.32664,-0.9638405,723.3384
79,0.60530776,-19.81114,-0.9400859,1012.2985
80,0.60530776,-19.81114,-0.8162925,882.0885
81,0.58271456,-9.833992,-0.37491265,147.27295
82,0.58271456,-20.569326,-0.86810416,801.71436
83,0.58271456,-6.1755257,-0.32875147,79.01644
84,0.58271456,-18.264595,-0.46561217,399.36078
85,0.58271456,-19.886612,-0.70452905,604.3398
86,0.58271456,-18.585468,-0.59432137,515.4042
87,0.58271456,-5.8480396,-0.29023737,86.0307
88,0.58271456,-24.09731,-0.5510262,727.9044
89,0.58271456,-5.9142985,-0.33213916,90.18731
90,0.58271456,-9.923862,-0.45045543,227.17618
91,0.5976096,-4.6031933,-0.34403315,115.024925
92,0.5976096,-14.744037,-0.3647807,266.335
93,0.5976096,-11.7829685,-0.37765405,198.64317
94,0.5976096,-12.998845,-0.64255494,439.1344
95,0.5976096,-17.185993,-0.5352796,390.74335
96,0.5976096,-17.185993,-0.4699621,549.63794
97,0.5976096,-13.917444,-0.33327535,232.1485
98,0.5976096,-12.37022,-0.4049589,241.66295
99,0.5976096,-26.545141,-0.8163158,1003.6102
100,0.5976096,-10.067911,-0.36877894,206.86586
