fitness,g0,g1,g2,g3,g4,g5
-2.16749,0.30124193,0.39701596,-0.59025204,-0.666697,0.7860542,0.73585427
0.5681158,-0.79773676,0.044179797,-0.9931457,0.7528186,0.03172847,0.10310417
0.041714083,-0.35161293,-0.22432636,-0.60572463,0.036048073,0.08985078,-0.90503263
0.51099813,-0.11761828,-0.5311534,-0.76316565,0.3300231,-0.037658934,0.27634636
-1.0309114,-0.10494194,-0.3425566,-0.29338467,0.2723268,0.25027585,-0.3376916
-0.4360786,0.7916837,-0.23394567,-0.12333945,-0.25834364,-0.4374733,-0.054791246
0.057946187,0.29731885,-0.42414418,0.51450163,0.48678008,0.33058277,0.466339
-0.39108354,-0.07092105,-0.4541477,-0.45970964,0.04102862,-0.77036154,0.74942714
0.19226892,-0.29995337,0.73472565,0.77836,0.2172819,-0.16262656,-0.5095358
0.5816963,-0.79692906,-0.43710294,-0.63616717,0.38083586,0.24965328,-0.28498524
-0.27686527,0.45382425,0.6753925,-0.08351101,-0.25746584,0.1388613,-0.44723794
0.14703868,0.055497184,0.47973853,-0.4023756,0.6474268,-0.17967808,0.4469327
-0.41726768,-0.6995387,0.5906714,0.44795302,0.06788804,-0.38933343,-0.8124555
-3.8798285,-0.59349054,-0.18606696,0.23424566,-0.46575356,-0.039273977,0.14891267
0.39390862,-0.30273324,0.16366541,0.30174196,0.039818678,-0.0066536274,0.6804532
0.23552214,0.5395351,0.25366196,-0.7018204,0.52323866,-0.10287434,0.4697094
-0.10288161,0.826331,-0.050891984,0.64037913,0.09614098,-0.45970908,0.6554608
0.11825325,0.46071118,0.33963838,-0.24082112,0.17369932,0.6741398,-0.62334645
0.08481529,-0.08893897,-0.3719827,-0.05700468,-0.059038956,-0.055941027,-0.53307694
0.38393664,-0.0025258102,-0.8342422,-0.4249169,0.81285,-0.029940138,0.06358433
0.24122381,-0.2639531,-0.23415701,-0.6021796,0.55303115,0.19814987,0.18126282
0.44314498,-0.19774874,-0.089915514,-0.6662608,0.39109534,0.49909404,-0.79752445
0.399077,0.53655064,-0.1968538,-0.66439486,0.3580356,0.059353758,0.11270327
0.20560633,0.017126676,0.57596844,-0.37582693,0.7572961,0.70337325,-0.1826422
-1.7119027,-0.47516808,0.22910258,-0.059693124,0.19417232,0.2364386,-0.16393143
-0.26579356,-0.4529053,0.3462304,-0.8790816,-0.020399753,-0.30026352,-0.006667092
-1.4019777,-0.6351799,0.43703762,0.19631006,-0.6839059,-0.5662528,0.0011665642
-4.3635783,-0.43201578,-0.19226149,0.4880335,-0.55376154,0.30411342,0.47053373
0.10201557,0.26013216,0.130023,-0.37888387,0.431757,-0.28680536,0.8564515
0.15663667,-0.9640538,-0.69502014,-0.71845883,0.50851697,-0.053681146,0.1476791
0.32678464,-0.92479306,0.8217948,0.7320779,0.21747029,0.3930234,-0.713783
0.07931438,0.18120292,-0.15262617,-0.19907327,0.3420612,0.6688401,0.22392642
-2.077816,-0.15747452,0.30066207,0.2415601,-0.97907627,0.8430174,-0.06607093
-1.248441,0.17787087,0.19326244,-0.59313667,-0.76521254,0.5841198,0.53585327
0.14309582,-0.78085744,-0.4189952,-0.33304462,0.97766477,0.27363282,0.50683194
0.4609071,-0.6673846,-0.04071355,-0.6116357,0.40494114,0.17175373,-0.0887701
0.29560617,-0.074998625,-0.5023078,-0.23288292,0.3254466,-0.04677741,0.16367517
-2.1874306,-0.10536252,-0.050673064,0.7799962,0.6092026,-0.2531967,-0.56820244
0.24213344,-0.38942546,0.54802006,-0.83878565,0.28509113,0.58014554,-0.7990002
0.074964456,-0.31576657,-0.59233433,-0.2816125,0.32560727,0.5636341,0.44302848
-0.3058839,-0.8882199,0.97308004,0.23719114,-0.4095044,0.5537443,-0.50565803
-0.27319652,-0.45861012,0.04702611,0.09240356,0.3243742,-0.58429515,-0.30447674
-1.6423656,0.31743366,-0.88772124,-0.12431521,-0.96204,-0.46276733,-0.5979441
-0.09731781,0.48895174,-0.3392892,0.5656634,-0.35972452,0.5899643,-0.4183907
0.10171707,0.9541128,0.4631763,-0.19277823,0.51982826,0.34057885,0.44184867
0.5054397,-0.26757374,-0.0450778,-0.41825342,0.985616,-0.09826676,0.10495522
-0.26178417,0.7343365,0.06574616,-0.11371197,0.012835264,-0.29621688,0.044310566
-0.074842475,0.02868614,0.5040521,0.3819865,-0.39731705,0.8856553,-0.2844748
-7.0303993,-0.829723,-0.2898018,0.71288157,0.8112554,0.52140003,-0.76721674
-1.3383231,-0.7287375,0.21238057,0.07734816,-0.58305156,0.15746316,-0.082317084
0.035196096,0.23360033,-0.2527148,0.7934213,0.3978062,-0.03220431,0.32594115
-0.3132426,-0.2502546,-0.45344624,-0.4809544,0.43221772,-0.17313202,-0.5944552
0.42150933,-0.93051815,-0.15687497,-0.56998783,0.13604438,0.008441729,0.2748487
0.030261472,0.3024999,-0.0053876652,-0.36028954,-0.020088673,0.48700187,-0.31128824
0.26478148,-0.2714869,0.67385274,-0.42695895,0.44012386,0.1190213,0.102826595
0.18039587,-0.5856017,-0.49066013,-0.39107573,0.60959923,0.0025788585,0.37248608
0.19583027,-0.27855378,0.7572443,-0.17491966,0.15910962,-0.05759189,0.6410237
0.29438573,-0.0256591,-0.47269133,-0.5859156,0.23209636,0.35731944,-0.5190972
0.24442783,-0.5828518,-0.64022434,-0.71856236,0.6167331,0.2589736,0.16966896
-0.106630296,-0.073497415,0.21530667,-0.5204021,-0.35725132,0.29152763,0.13085225
-10.890613,0.212574,0.32499114,0.06919772,0.58965814,0.04586452,-0.26025477
-1.2230195,0.3368123,0.28966406,0.6641132,-0.32423127,-0.2720971,-0.66727895
-1.530343,-0.549338,0.10661684,0.58330834,-0.32033068,0.40878165,0.3994327
0.6131872,-0.58815676,0.42349294,-0.8034145,0.59604514,0.21205679,-0.17246811
0.115791045,-0.77561176,-0.70738405,0.5675467,-0.021117328,0.20377102,0.49906453
-0.030491095,-0.85661286,-0.34434143,-0.28582734,-0.1762556,0.35510924,0.09706705
-0.24915703,-0.61726487,-0.03153217,-0.33294737,-0.13831055,0.0746001,0.41278973
-3.867055,0.30836338,0.3915794,0.61610126,-0.5100751,0.13353722,0.6682957
-5.5347576,0.014606272,0.5638575,0.4338167,0.26222205,-0.055873815,-0.5393677
0.5720578,-0.4475014,-0.27990997,-0.60708106,0.43904582,0.11472311,-0.051238418
-0.5309875,0.6503167,0.8406715,-0.19790922,-0.43698877,-0.69888663,0.15342557
-0.7206222,-0.06374383,0.42401615,0.2078617,-0.3681651,-0.17214888,-0.9194958
-1.7533467,-0.34801844,-0.841612,-0.24271873,-0.7404827,-0.17528951,0.39613712
0.22251849,-0.37669662,0.18293178,-0.5291203,0.92301136,-0.03953576,0.3860918
-0.011517997,0.08052266,0.79338485,0.42206165,-0.08152835,0.2851973,-0.5082923
0.05660727,0.34122,0.3673482,0.81693596,0.3420921,-0.067047946,-0.29951826
0.1501326,0.042231422,0.31656498,-0.84121823,0.6270074,0.33575386,0.55409473
0.29218495,0.23687322,0.20351693,-0.16315983,0.34502208,-0.08346307,0.14421368
0.09089365,-0.47301102,-0.11273217,0.3748608,0.46553725,0.20669258,-0.0031141306
0.006054947,0.18057828,-0.26064813,0.98753643,0.052308876,0.797878,0.47420973
0.05403663,-0.3455799,-0.44515204,0.9143305,0.28939825,-0.01771638,0.65060765
0.048550125,0.27931696,0.64769435,0.8246057,0.8769588,5.1065604E-4,0.6784533
0.52087027,-0.33949295,-0.18963443,-0.603441,0.49217817,-0.11871445,0.26187363
0.18959944,0.1580235,0.6963774,-0.047902368,0.45938972,-0.27051583,0.17920716
0.065071106,-0.26186833,-0.39880145,0.7918436,0.41505587,-0.17837606,-0.44306636
-1.6403673,-0.50097775,0.3825654,0.18143728,0.13257064,-0.19697581,-0.7624612
0.08183268,0.9841576,-0.3176472,0.28800136,0.04764068,0.33858877,-0.3335478
-0.32790223,-0.17613757,0.23793805,-0.9411783,0.40419883,-0.93239427,-0.2750435
0.29517108,0.5428654,0.8231354,0.24312137,0.043392908,0.13863482,-0.22176975
-0.3956015,0.54441994,0.72109294,-0.34411228,-0.5342252,0.33215693,-0.120396614
-0.23679857,-0.03923383,-0.6485784,-0.5118155,0.5612779,-0.3929493,0.2158918
0.1483542,-0.9767836,0.73885536,-0.74569994,0.41365755,0.78947467,-0.12507632
-0.25063333,-0.62744343,-0.6014101,-0.4726731,-0.24796018,0.31877056,-0.7123812
0.44446766,-0.5253787,-0.07660355,-0.43758395,0.7237556,-0.07507313,0.14516354
0.030790906,-0.8097217,0.8101986,0.9727515,0.7447874,-0.114310175,0.87963563
-0.81566834,-0.21632782,0.07872558,0.28648993,-0.21448515,-0.37188447,-0.22415033
0.050195403,0.9505268,0.095038295,0.30131194,0.097543,0.65776175,-0.2249379
0.12944299,-0.74192077,-0.8102994,0.03924632,0.26565397,-0.4049716,0.34866485
-1.4867721,-0.015408724,-0.22467871,0.11732972,-0.8877389,-0.43364894,-0.6809521
-0.6713688,-0.65771425,0.43561324,0.046256933,-0.34468126,-0.536459,0.12522459
