Generation,Max fitness,Min fitness,Avg fitness,Variance
1,0.47769094,0.46620095,0.472508,0.0013537549
2,0.4764023,0.3358111,0.35447288,0.19480588
3,0.4760742,0.26789272,0.28374863,0.16589282
4,0.47523418,0.26835215,0.30014774,0.04332839
5,0.3018101,0.21150565,0.2245179,0.08244574
6,0.35688713,0.21232603,0.3396293,0.2040024
7,0.35665414,0.30903602,0.31396666,0.013619554
8,0.37203658,0.31011856,0.36177745,0.03577016
9,0.37203658,0.23450121,0.25410938,0.18676361
10,0.24228232,0.23450121,0.24162088,2.0082817E-4
