fitness,g0,g1
0.3392662,0.12061439,0.041452207
0.31728134,-0.64482623,0.07860851
0.3194301,-0.3546317,-0.5352873
0.33937326,-0.1450813,-0.48949835
0.31603166,0.41773316,-0.48190197
0.33929652,0.015894413,0.758517
0.3200231,-0.67521054,-0.5055301
0.31819105,0.3255933,0.33932057
0.31735018,0.034702137,-0.67866695
0.31913045,0.8700644,0.34253982
0.32338998,-0.7642923,-0.8108582
0.32202834,0.43882826,0.67839265
0.31887087,-0.399019,-0.44973972
0.31839162,0.2621233,0.43211198
0.31864336,0.91520953,-0.8322819
0.32231006,-0.6910781,-0.6297859
0.45285112,0.42124474,-0.16964363
0.33923453,0.05459643,-0.43135712
0.3175432,0.03679646,-0.12564649
0.32298133,0.5176667,0.7864389
0.3174242,-0.3325994,0.04110784
0.3152624,0.73789734,-0.46776107
0.32050562,-0.7411208,-0.52008206
0.3395416,-0.40432793,-0.66335976
0.3176145,-0.024654383,-0.2607913
0.32246837,-0.5591652,-0.72048837
0.31725216,-0.23526673,0.25719228
0.31731895,-0.080116354,0.77795374
0.3174519,-0.38737187,0.8267536
0.3171507,-0.2401354,0.23064995
0.3232309,0.92167974,0.8279455
0.3203899,0.28108758,0.67114675
0.32142538,-0.3826158,-0.6706107
0.31733218,-0.19269456,0.18555832
0.31918132,-0.16791427,-0.6485867
0.31823784,-0.18333435,-0.49037164
0.32220012,-0.8133664,-0.653923
0.31928214,-0.4988793,-0.4922485
0.31965673,-0.6349529,-0.4285922
0.31771147,0.23177944,0.0474964
0.32268214,-0.49840772,-0.73816544
0.3193848,-0.87691784,-0.24636269
0.31777197,0.098187976,0.94501287
0.33821884,0.48360774,-0.6556397
0.31701875,-0.49833795,0.12918818
0.31759685,-0.2760338,-0.0153726805
0.3174316,-0.08051552,0.24109161
0.32456493,0.9647134,0.88606524
0.31753734,-0.13295151,0.042821936
0.31845197,0.094887376,0.60539126
0.31844845,-0.470204,-0.25046757
0.32202947,-0.7228571,-0.7036056
0.3174593,-0.091960266,0.27617854
0.3221858,-0.5814104,-0.66089237
0.32225236,0.71105653,0.638273
0.31836548,-0.31607148,-0.39075807
0.31807187,-0.971181,-0.08388605
0.31823453,-0.35126477,-0.35920563
0.31704253,-0.3843727,0.21255553
0.32264435,0.9594294,0.63080895
0.31775126,0.1319574,0.28621364
0.33954147,-0.39738673,-0.69367826
0.3205531,0.5232052,0.5577852
0.31792328,0.32104653,0.040254354
0.3219415,0.81876636,0.6894212
0.33965272,0.53923815,0.75623417
0.31840754,-0.24547206,-0.4823172
0.3177062,0.10365617,0.15783618
0.31816962,-0.43064055,0.8884718
0.3183755,0.42825165,0.33595005
0.33931637,-0.9274909,0.05919989
0.318848,-0.6733343,-0.36359262
0.32209155,0.76661277,0.7210413
0.31793287,-0.5175138,-0.090729386
0.31775278,-0.29517233,-0.034089055
0.32062402,-0.8874883,-0.45052058
0.3172796,-0.6260926,0.04746995
0.31771433,-0.30166423,-0.02292472
0.3187632,-0.48569787,-0.38880292
0.31837678,-0.42424345,-0.3236169
0.33927545,-0.15645915,-0.17590767
0.31735843,-0.11076903,0.3719468
0.3183623,-0.32108024,-0.39001885
0.31968635,-0.49894482,-0.88194734
0.31720388,-0.7540333,0.04945581
0.31754905,0.080145,-0.05687789
0.31793073,0.22430407,0.18017216
0.32212418,0.54849297,0.645186
0.33998775,0.9190955,0.5411302
0.45221204,-0.7695105,0.61568683
0.317663,0.05215799,0.92723924
0.31770146,0.053125564,0.3816405
0.31769922,-0.7385454,-0.011324355
0.3166904,0.5571641,-0.23355411
0.3191605,-0.9457382,-0.18900263
0.3169358,0.33826357,-0.32098934
0.31639692,-0.6069324,0.42324758
0.3174458,0.08835287,-0.29982615
0.32302353,-0.7885169,-0.79952013
0.31774235,-0.11659474,-0.18507117
