fitness,g0,g1,g2,g3,g4,g5
0.5042181,0.41263723,-0.95598817,0.6549429,0.5000696,-0.04371742,-0.60954374
0.50416857,0.27978194,-0.8541752,-0.1759695,-0.35719892,-0.13487875,-0.13583314
0.5042205,0.92046404,0.39920026,0.22116838,-0.04549277,-0.29828382,0.08914789
0.5107924,-0.11602223,-0.057616234,-0.953593,0.33444965,0.4974625,0.6999556
0.50396097,-0.6573253,0.30632833,-0.94206166,0.2938439,-0.48418382,0.1275624
0.50400835,0.6034934,-0.52387047,0.2541271,0.75997144,0.100225925,0.5468911
0.504212,-0.2590107,-0.37154126,0.8151159,0.64863473,-0.13694954,0.13079005
0.5042002,-0.26421225,0.3148267,-0.85494316,-0.8604311,-0.5908653,0.76739305
0.5042181,-0.7651367,0.39570045,-0.6450714,-0.15802526,0.6355777,-0.894034
0.5042193,0.42217147,0.36772954,-0.9337704,-0.7847055,0.46498156,0.43895483
0.50422114,-0.4687538,-0.8075129,-0.5200747,-0.6142943,0.91587996,-0.5507747
0.5039917,0.6634253,-0.6607758,-0.2565513,0.296628,-0.84126157,-0.6357533
0.503931,-0.30005538,-0.93756545,-0.43253803,-0.13443987,0.3924418,0.29772076
0.503968,-0.43174452,0.5979072,0.7579603,-0.3298299,0.046726104,-0.023445392
0.5103554,-0.50245607,0.75188124,-0.20113349,-0.89013195,-0.76940036,-0.8824918
0.50421286,0.6914953,-0.2770784,0.721371,-0.8740696,0.94531566,-0.21365947
0.50385803,0.99004364,-0.5827112,0.812524,0.19877625,-0.37302935,-0.48674753
0.50418174,-0.2634392,0.20264348,0.58094436,-0.06945634,0.9988651,-0.5555473
0.5041346,0.046523675,-0.9107793,-0.064671434,0.061676126,0.3650149,-0.029433489
0.51064223,-0.44048417,-0.22651565,-0.8360852,-0.9646301,0.5098542,0.22009885
0.50405276,-0.67353517,-0.3449338,-0.43042377,0.56719124,0.4823726,0.8203633
0.5040742,-0.3643287,0.91028905,0.5149363,0.21647024,0.6696863,-0.34578446
0.50417817,0.3910698,-0.6529726,-0.044250067,-0.7586598,0.091943055,-0.5480457
0.5042145,0.45323986,0.19587195,0.27153885,0.0753597,0.15505244,-0.005741926
0.50418335,-0.029419899,0.69932723,0.9387082,0.3185042,-0.18197656,-0.8081572
0.5041381,-0.47982883,0.106576204,0.23293054,-0.49397957,-0.075666904,-0.116098404
0.5042284,-0.2382851,0.20995963,-0.5038176,0.8895631,-0.23901902,0.44534475
0.50410986,0.29883394,0.30198336,-0.7381813,-0.43695155,0.05849266,0.45402074
0.50421953,0.3385042,-0.91463566,-0.33253205,0.7972895,0.5037972,-0.26599538
0.50419825,-0.02216196,0.41190088,-0.5206473,-0.40926003,-0.0930469,0.4100138
0.5042182,-0.6499392,0.6293359,-0.8112583,0.16278803,0.0022580624,-0.6397042
0.50421065,-0.67740685,0.563533,-0.26976597,-0.23998378,-0.63283694,0.22191429
0.5042158,-0.6369486,-0.10331392,-0.21096146,0.006096959,-0.9809172,0.80876756
0.5042217,0.43700954,-0.5929802,-0.8953453,-0.99245465,0.54566574,-0.47178906
0.5041726,0.44600046,0.35311678,0.10866103,0.72708744,0.70163137,0.652466
0.50402623,-0.24750078,0.877944,0.37483883,-0.09313774,0.48959517,0.40412056
0.504166,0.37044606,-0.024644451,-0.2931148,-0.3966936,-0.8510833,-0.9856209
0.5042208,-0.4199795,-0.6639092,-0.16896167,-0.9021121,-0.9028333,-0.8301535
0.5040341,-0.011094928,-0.8843955,-0.6596409,-0.9715971,-0.42366743,-0.5701877
0.5041726,0.8452542,-0.95088375,0.86992097,-0.8966446,-0.15384626,-0.45560277
0.5050837,0.56935143,-0.06655669,-0.64470494,-0.41902435,0.042819858,0.04611659
0.5041658,-0.018766284,0.32693183,0.80553293,0.58511734,0.054115415,0.76209307
0.5041347,0.8787451,0.023035157,0.0067611933,0.3567291,-0.37267897,-0.7213217
0.5040137,-0.19023603,-0.23683536,-0.099415936,0.39592585,-0.5519256,0.20330785
0.5038599,0.14102234,0.14393476,0.43903944,-0.66838527,0.24315213,0.20072126
0.50393796,-0.7446776,-0.1434075,-0.9433843,0.5301443,-0.54553354,0.0353223
0.5041672,-0.03314209,0.82299244,0.04543221,-0.55107856,0.50285447,0.31128228
0.50414985,0.073879,-0.5029068,-0.3439753,0.0073280334,0.24035656,-0.3798443
0.5069353,-0.22229218,0.09972787,-0.57201123,-0.88013744,-0.17268324,-0.9354569
0.5042119,-0.8299798,0.21373343,-0.618955,-0.815609,-0.7762747,0.32872283
0.509423,-0.8450819,0.33390594,0.012384653,-0.053835742,-0.71437275,-0.2870547
0.50390196,0.33786848,0.42729032,0.8634765,0.3836309,-0.08347283,-0.14940447
0.5101455,0.07417023,0.43457192,0.8164059,0.3367257,-0.5745891,0.40730646
0.50413394,0.91525733,-0.67198145,0.8956614,0.15411551,0.45382905,0.024886627
0.50399196,0.2526836,0.34112895,-0.40028566,-0.18711378,0.9214184,0.9344473
0.50420105,0.65758073,0.2679875,-0.6162561,0.05559492,-0.6012765,-0.9913335
0.50420856,-0.02073598,0.77553976,0.56890357,0.205508,-0.2464366,0.58851683
0.5042189,0.15482533,0.3954382,0.24929099,-0.042933464,-0.86183935,0.109473884
0.5039598,-0.4079693,-0.45682257,-0.32489333,0.7943168,-0.3515824,-0.84443486
0.50417787,-0.747449,0.5280174,-0.0069959597,-0.23140013,-0.4495881,0.85006094
0.5099603,-0.7506459,-0.029865146,0.20477605,0.47989738,-0.7800214,-0.8388692
0.50395775,-0.1886442,-0.7369111,-0.20789698,-0.047237422,-0.93158996,-0.30263984
0.50412506,-0.64895415,0.58837414,0.46789232,-0.4599495,-0.26686478,-0.30537334
0.50419676,0.1785465,0.7054694,0.107815504,0.18875226,0.133334,-0.47517958
0.5105079,-0.77319205,-0.46164525,-0.3787105,0.6939627,0.30945885,0.6887336
0.50823814,0.8777785,-0.37697777,-0.059194326,-0.33968294,-0.18980952,-0.52367264
0.503972,0.43415028,0.6083308,-0.14095284,-0.118641615,-0.7413202,0.8322219
0.5042166,-0.09181383,0.6878073,-0.22457267,0.09102306,0.37885433,0.035552233
0.5042163,0.04897797,-0.3704809,0.22639835,0.9883454,0.9679723,-0.08824265
0.50421494,-0.4598925,-0.7494795,0.09305143,0.9143787,0.19024444,-0.37124905
0.5042215,0.58661103,-0.04722179,0.5741736,0.4902874,0.074932255,-0.65357065
0.5042202,0.48212266,-0.9657557,-0.7440462,0.09943104,0.89403355,0.93215954
0.503854,-0.20233624,0.5902751,0.5257715,0.4673478,0.87886876,0.633564
0.50404924,-0.60491943,0.6618589,0.16998482,-0.21967375,-0.31313062,-0.3127985
0.5041687,-0.13181648,-0.514707,0.13403225,-0.43715712,-0.059028305,0.47225726
0.5039944,-0.083714746,-0.7729499,0.24799907,-0.8354748,0.28041226,0.3192202
0.504213,-0.6053679,0.30310524,0.04004846,-0.13150714,-0.10172545,-0.5790064
0.50420904,0.5797989,0.07449659,-0.092267625,0.18298876,-0.5057455,-0.39832392
0.50422066,0.48742664,0.025662899,0.7759168,-0.13501501,-0.66786647,-0.236781
0.5098844,-0.59800506,-0.45375994,-0.8352276,0.9209787,0.053407274,-0.64014065
0.50421894,-0.16996443,-0.8024049,0.63789964,0.8908315,-0.94621444,0.13095665
0.5041613,0.87293607,-0.2704271,-0.13395298,-0.45116898,0.17531197,0.46649793
0.5040346,-0.22913504,-0.13302541,-0.80190647,0.6968343,-0.2695489,0.8619591
0.5042213,-0.6619799,-0.9026139,0.46607178,0.61431277,0.5070098,-0.17173469
0.50417566,0.12592733,0.05458522,0.19366671,-0.05021311,-0.8372152,-0.5635561
0.5039588,0.32300943,0.04742551,-0.099820495,-0.46144032,0.55098724,0.31553072
0.50422156,-0.79514873,0.26551628,0.5293938,-0.34351087,-0.6315583,0.469988
0.50420624,0.067071564,0.82448065,-0.34699684,0.085579515,0.5513077,-0.80218166
0.5041569,0.10740125,0.34108204,-0.019162692,0.115199484,0.548397,0.944805
0.50421286,-0.69048846,-0.9552183,0.37474966,-0.8224623,0.23376966,0.9892814
0.5042187,-0.94136345,-0.44758695,0.50355417,0.26983726,0.6968262,-0.72225076
0.50418705,-0.61652726,-0.28736398,0.08974581,-0.072453596,0.67225975,-0.54700387
0.50398415,-0.9345982,0.95383525,0.07754421,-0.4988091,-0.3058306,-0.81916773
0.5042174,0.3382486,0.98197925,-0.9689275,0.15356123,-0.7286706,-0.5396019
0.50421876,-0.4686427,-0.24414024,-0.50440013,-0.11566244,0.08156089,0.6448865
0.50421375,0.62654775,-0.20089798,0.11683297,-0.8499136,0.5593509,0.71155024
0.5041872,0.16017604,0.10295081,0.26390636,-0.26405215,-0.20533109,0.8550589
0.5072873,-0.13862728,-0.9900763,-0.5291826,-0.042635202,0.017548736,0.7620035
0.5042176,0.71779656,0.024992824,0.88494825,0.14979112,-0.63758624,0.50640666
0.5041914,0.4826157,-0.60817826,-0.96217513,-0.7259973,-0.798278,0.59616613
