fitness,g0,g1,g2,g3,g4,g5
0.47367644,0.20993555,0.030632438,-0.70681125,-0.22943196,0.34799898,0.81380993
0.47391835,0.33117115,-0.52341354,0.7720804,-0.7005044,0.003484249,0.8832058
0.4734911,0.09081507,-0.7400802,0.7296635,0.027706422,0.052698497,-0.55443555
0.46910852,0.3299027,0.12329054,0.25413898,0.24370632,0.58157897,0.50770557
0.47348124,0.4640553,0.04711841,-0.8322727,-0.19974174,0.87625873,-0.59925395
0.4742104,-0.36860812,0.6451347,0.5260899,0.8432878,-0.40244853,0.6216507
0.4739069,0.4959978,-0.037113547,0.9807483,0.0764519,-0.84818065,-0.3452345
0.47418147,0.7797971,-0.9574449,-0.14913356,-0.13914251,0.20843065,-0.81497335
0.4684037,-0.32735625,-0.24493414,-0.2635206,0.12670618,0.45254946,-0.17701714
0.47592095,0.17880982,0.061286207,0.34870958,0.29385754,0.06868429,0.39804724
0.47376403,0.0233922,0.46791804,0.73666614,0.10287862,-0.21676844,-0.56362873
0.47449848,0.52249527,-0.57366467,-0.66102934,0.9596641,-0.8373898,0.069752336
0.4746506,0.16870223,-0.8788793,-0.38389614,0.031484548,-0.45402148,-0.4874195
0.47426593,-0.0053486824,0.5863701,0.79009104,-0.95052505,-0.24216187,-0.8819362
0.47353378,-0.11805081,0.045909047,-0.105950184,0.1495719,-0.12700978,0.18974277
0.4736953,-0.44215456,0.06976302,0.36489585,0.06459803,0.43097734,-0.9782644
0.4745505,0.36626256,0.13403249,0.4124987,0.16937852,0.102427125,-0.9723464
0.4734803,0.5937676,-0.027592437,-0.6936998,-0.9119014,0.023229053,0.13289155
0.47379738,-0.62655205,0.23427567,-0.3782456,-0.559553,-0.108639024,0.13673508
0.47554055,-0.6448674,-0.05464805,-0.48048434,0.78344685,0.7665042,0.04326803
0.46862134,0.5402186,0.24913053,-0.14137685,0.6584568,0.5632006,-0.061422195
0.47486755,0.99938583,0.46384215,0.97600543,0.30370474,0.66999495,0.27767503
0.47525665,0.79147065,0.0017149448,0.6293405,0.143749,-0.7027111,0.104337335
0.47539148,-0.47382498,0.34835875,0.75116897,-0.39089608,0.7294916,0.2105676
0.4766057,-0.35035205,0.3932072,0.68245506,-0.9222878,0.5852345,0.3775537
0.47442657,0.18737838,-0.1456244,-0.7618986,-0.33885318,-0.16280013,-0.5552042
0.46895388,-0.29571232,-0.134247,0.7972176,-0.047476094,0.16124283,-0.52335304
0.4846121,0.78644514,0.83227634,-0.25928214,0.26596066,0.8644438,-0.7954629
0.46904972,0.45151258,-0.9955976,0.57690275,-0.047925614,0.07816015,0.37343732
0.47380254,0.17538248,-0.72976744,0.031747784,-0.06647474,0.106453575,0.5069342
