neur0,input0,neur1,input1
0.45965302,0.0,0.47724628,0.0
0.41579294,-0.7338316,0.4751541,0.0
0.37522393,-0.43303955,0.4715302,0.0
0.3368149,-0.41088045,0.46650285,0.0
0.30398008,0.16879797,0.46032873,0.0
0.2791791,1.1677506,0.45335683,0.0
0.25491685,0.9299052,0.44562417,0.0
0.23106644,0.6671164,0.43716115,0.0
0.20778038,0.42640185,0.4280039,0.0
0.18116345,-0.4591333,0.4180238,0.0
0.15816808,-0.24850643,0.4073884,0.0
0.14164893,0.4628765,0.39638835,0.0
0.12802446,0.6726796,0.38515854,0.0
0.12045895,1.4331641,0.373973,0.0
0.114138655,1.500767,0.362891,0.0
0.10301054,0.60831517,0.3516999,0.0
0.091856785,0.41754857,0.34040472,0.0
0.07968071,0.06547928,0.32896504,0.0
0.06773288,-0.1012975,0.3173985,0.0
0.063424416,0.92306036,0.30606574,0.0
0.06239156,1.3622657,0.29511833,0.0
0.06177326,1.3930439,0.28456977,0.0
0.06276325,1.6223863,0.27448848,0.0
0.058317892,0.74733627,0.26460552,0.0
0.050235584,0.07887334,0.25474358,0.0
0.04467695,0.34233332,0.24502537,0.0
0.039387755,0.2831331,0.23546149,0.0
0.03868121,0.918443,0.226271,0.0
0.04356121,1.7851677,0.21771479,0.0
0.045740787,1.4120917,0.20963964,0.0
0.046203118,1.1557728,0.20194468,0.0
0.044314254,0.7723178,0.19450079,0.0
0.03686969,-0.15934372,0.18702507,0.0
0.031911433,0.11147511,0.17964254,0.0
0.03113122,0.69065547,0.17255743,0.0
0.031519607,0.85275185,0.16581638,0.0
0.036505986,1.5820814,0.15963471,0.0
0.040212072,1.4424797,0.1539253,0.0
0.037798952,0.5094357,0.14836238,0.0
0.03437489,0.30069226,0.14288928,0.0
0.028306255,-0.18454248,0.13736975,0.0
0.022115782,-0.3066103,0.13180004,0.0
0.02276505,0.68224955,0.12652658,0.0
0.025112947,0.9542005,0.1216219,0.0
0.027432201,0.9766619,0.117068104,0.0
0.0302946,1.0907853,0.11287672,0.0
0.026571643,0.0736953,0.108698666,0.0
0.019456388,-0.5331297,0.104361996,0.0
0.0143179605,-0.33362436,0.0999742,0.0
0.008939475,-0.4584913,0.095525645,0.0
0.008455173,0.23334952,0.0912673,0.0
0.012601667,0.95830554,0.08742524,0.0
0.013440159,0.4860609,0.0838121,0.0
0.012765297,0.25042388,0.080340296,0.0
0.008998338,-0.26042283,0.07684611,0.0
