neur0,input0,neur1,input1
0.45999977,0.0,0.4863374,0.0
0.43727815,0.039989334,0.4832324,0.0
0.41559893,0.07991469,0.4790667,0.0
0.39499882,0.119712204,0.47394773,0.0
0.37549567,0.15931821,0.46797737,0.0
0.35709113,0.19866931,0.4612524,0.0
0.33977327,0.23770262,0.45386472,0.0
0.32351923,0.27635565,0.44590187,0.0
0.30829763,0.31456655,0.43744692,0.0
0.29407057,0.3522742,0.4285787,0.0
0.28079554,0.38941833,0.41937163,0.0
0.26842695,0.42593947,0.4098959,0.0
0.25691745,0.46177918,0.4002172,0.0
0.24621886,0.4968801,0.39039668,0.0
0.23628314,0.5311862,0.38049105,0.0
0.22706293,0.5646424,0.3705524,0.0
0.21851204,0.59719545,0.3606283,0.0
0.21058588,0.628793,0.35076174,0.0
0.20324157,0.65938467,0.34099123,0.0
0.19643821,0.68892145,0.33135107,0.0
0.1901369,0.7173561,0.32187116,0.0
0.18430077,0.7446431,0.31257755,0.0
0.17889501,0.7707389,0.30349228,0.0
0.17388684,0.7956016,0.2946339,0.0
0.16924535,0.8191916,0.28601748,0.0
0.16494156,0.84147096,0.27765504,0.0
0.16094819,0.8624042,0.26955563,0.0
0.1572397,0.88195777,0.2617256,0.0
0.15379211,0.90010047,0.25416902,0.0
0.15058295,0.9168031,0.24688773,0.0
0.14759111,0.9320391,0.23988159,0.0
0.14479683,0.94578403,0.2331488,0.0
0.14218159,0.95801586,0.22668605,0.0
0.13972798,0.9687151,0.22048867,0.0
0.13741969,0.9778646,0.21455091,0.0
0.13524137,0.98544973,0.20886602,0.0
0.1331787,0.99145836,0.2034264,0.0
0.13121817,0.99588084,0.19822389,0.0
0.12934709,0.99871016,0.19324967,0.0
0.1275536,0.9999417,0.18849453,0.0
0.12582654,0.9995736,0.18394892,0.0
0.12415543,0.9976064,0.17960306,0.0
0.12253048,0.99404323,0.17544697,0.0
0.12094247,0.98888975,0.17147067,0.0
0.1193828,0.9821543,0.16766405,0.0
0.1178434,0.9738476,0.16401711,0.0
0.116316736,0.963983,0.16051988,0.0
0.1147958,0.9525762,0.15716255,0.0
0.11327403,0.93964547,0.15393542,0.0
0.11174535,0.92521155,0.15082903,0.0
0.11020414,0.9092974,0.1478341,0.0
0.10864516,0.8919287,0.14494164,0.0
0.10706363,0.873133,0.14214285,0.0
0.10545513,0.85294056,0.13942923,0.0
0.10381565,0.8313835,0.13679259,0.0
0.10214154,0.80849636,0.134225,0.0
0.10042948,0.78431594,0.13171887,0.0
0.09867653,0.75888073,0.12926689,0.0
0.09688007,0.7322315,0.1268621,0.0
0.09503782,0.70441085,0.12449783,0.0
0.093147784,0.67546326,0.122167744,0.0
0.09120831,0.645435,0.11986585,0.0
0.08921801,0.6143742,0.117586456,0.0
0.08717581,0.58233064,0.11532419,0.0
0.0850809,0.5493555,0.11307403,0.0
0.08293274,0.51550144,0.11083123,0.0
0.08073107,0.48082274,0.1085914,0.0
0.078475885,0.4453748,0.10635044,0.0
0.07616739,0.40921414,0.10410457,0.0
0.07380609,0.37239906,0.10185031,0.0
0.07139267,0.3349882,0.099584475,0.0
0.06892807,0.29704145,0.09730421,0.0
0.06641343,0.25861946,0.09500689,0.0
0.06385012,0.21978377,0.09269023,0.0
0.06123967,0.18059623,0.0903522,0.0
0.058583856,0.14112,0.08799105,0.0
0.055884596,0.101418026,0.0856053,0.0
0.053144004,0.061553795,0.08319373,0.0
0.050364356,0.02159109,0.08075536,0.0
0.047548097,-0.018406155,0.078289494,0.0
0.044697814,-0.058373954,0.07579566,0.0
0.04181623,-0.0982486,0.07327361,0.0
0.03890623,-0.13796584,0.07072335,0.0
0.0359708,-0.17746235,0.06814509,0.0
0.03301305,-0.21667498,0.065539256,0.0
0.030036207,-0.25554097,0.06290648,0.0
0.027043587,-0.29399815,0.060247615,0.0
0.0240386,-0.3319852,0.057563674,0.0
0.021024745,-0.36944094,0.054855872,0.0
0.01800559,-0.40630564,0.052125603,0.0
0.014984771,-0.44252035,0.049374416,0.0
